,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,5239,HYPE,0.0,-0.31552455200000007,999.684475448,0.0,999.684475448,1.0,63.56,24.821,63.56,24.821,entry_initial_normal_long
1,5511,HYPE,0.0,-0.019089170000000003,999.6653862779999,0.0,999.6653862779999,1.0,4.15,22.999,67.71,24.70932816422981,entry_grid_cropped_long
2,5514,HYPE,0.0,-1.4647743360000003,998.2006119419999,0.0,998.2006119419999,1.0,318.54,22.992,386.25,23.293049294498385,entry_trailing_cropped_long
3,5529,HYPE,1.2798445442070305,-0.135914688,999.3445417982069,0.0,999.3445417982069,1.0,-29.12,23.337,357.13,23.293049294498385,close_trailing_long
4,5535,HYPE,-0.5554774275728708,-0.135733968,998.6533304026341,0.0,998.6533304026341,1.0,-29.16,23.274,327.97,23.293049294498385,close_trailing_long
5,5555,HYPE,6.205383558317077,-0.136992968,1004.7217209929512,0.0,1004.7217209929512,1.0,-29.14,23.506,298.83,23.293049294498385,close_trailing_long
6,5566,HYPE,3.427825178252349,-0.13722942000000002,1008.0123167512036,0.0,1008.0123167512036,1.0,-29.31,23.41,269.52,23.293049294498385,close_trailing_long
7,5580,HYPE,8.880370248802473,-0.13878579,1016.753901210006,0.0,1016.753901210006,1.0,-29.41,23.595,240.11,23.293049294498385,close_trailing_long
8,5621,HYPE,14.087037925177931,-0.140991776,1030.6999473591839,0.0,1030.6999473591839,1.0,-29.66,23.768,210.45,23.293049294498385,close_trailing_long
9,5627,HYPE,8.748887714433561,-0.141834176,1039.3070008976174,0.0,1039.3070008976174,1.0,-30.07,23.584,180.38,23.293049294498385,close_trailing_long
10,5638,HYPE,10.125385390808942,-0.143274128,1049.2891121604264,0.0,1049.2891121604264,1.0,-30.32,23.627,150.06,23.293049294498385,close_trailing_long
11,5659,HYPE,21.97647109540442,-0.146995342,1071.1185879138309,0.0,1071.1185879138309,1.0,-30.61,24.011,119.45,23.293049294498385,close_trailing_long
12,5692,HYPE,24.534897503689205,-0.146901408,1095.50658400952,0.0,1095.50658400952,1.0,-30.48,24.098,88.97,23.293049294498385,close_trailing_long
13,5693,HYPE,70.4598542684788,-0.42856849,1165.537869787999,0.0,1165.537869787999,1.0,-88.97,24.085,0.0,23.293049294498385,close_grid_long
14,5704,HYPE,0.0,-0.3677124,1165.1701573879989,0.0,1165.1701573879989,1.0,78.25,23.496,78.25,23.496,entry_initial_normal_long
15,5736,HYPE,24.727000000000196,-0.37265780000000004,1189.5244995879991,0.0,1189.5244995879991,1.0,-78.25,23.812,0.0,23.496,close_grid_long
16,5765,HYPE,0.0,-0.375318632,1189.149180955999,0.0,1189.149180955999,1.0,80.21,23.396,80.21,23.396,entry_initial_normal_long
17,5775,HYPE,25.266149999999815,-0.380371862,1214.0349590939989,0.0,1214.0349590939989,1.0,-80.21,23.711,0.0,23.396,close_grid_long
18,5856,HYPE,0.0,-0.3830134,1213.6519456939989,0.0,1213.6519456939989,1.0,82.28,23.275,82.28,23.275,entry_initial_normal_long
19,5945,HYPE,0.0,-0.023249226,1213.628696467999,0.0,1213.628696467999,1.0,5.39,21.567,87.67,23.169991217063988,entry_grid_cropped_long
20,5947,HYPE,0.0,-1.77825444,1211.850442027999,0.0,1211.850442027999,1.0,403.8,22.019,491.47,22.22431751683724,entry_trailing_cropped_long
21,5951,HYPE,0.5441328260119555,-0.164835468,1212.2297393860108,0.0,1212.2297393860108,1.0,-37.06,22.239,454.41,22.22431751683724,close_trailing_long
22,5959,HYPE,-5.238640349156505,-0.163723362,1206.8273756748542,0.0,1206.8273756748542,1.0,-37.07,22.083,417.34,22.22431751683724,close_trailing_long
23,5964,HYPE,0.9476836287058852,-0.164205,1207.61085430356,0.0,1207.61085430356,1.0,-36.9,22.25,380.44,22.22431751683724,close_trailing_long
24,5967,HYPE,-5.21885589679929,-0.163105038,1202.2288933687607,0.0,1202.2288933687607,1.0,-36.93,22.083,343.51,22.22431751683724,close_trailing_long
25,5982,HYPE,-3.320071918936889,-0.162729168,1198.7460922818238,0.0,1198.7460922818238,1.0,-36.76,22.134,306.75,22.22431751683724,close_trailing_long
26,6012,HYPE,1.60096300791522,-0.16322444,1200.183830849739,0.0,1200.183830849739,1.0,-36.65,22.268,270.1,22.22431751683724,close_trailing_long
27,6016,HYPE,-0.5988528679267255,-0.16300672,1199.4219712618124,0.0,1199.4219712618124,1.0,-36.7,22.208,233.4,22.22431751683724,close_trailing_long
28,6021,HYPE,-2.4325265175898765,-0.162551088,1196.8268936562224,0.0,1196.8268936562224,1.0,-36.68,22.158,196.72,22.22431751683724,close_trailing_long
29,6035,HYPE,-3.6350211162429433,-0.16195500000000002,1193.0299175399796,0.0,1193.0299175399796,1.0,-36.6,22.125,160.12,22.22431751683724,close_trailing_long
30,6134,HYPE,0.0,-1.4357376000000002,1191.5941799399795,0.0,1191.5941799399795,1.0,339.9,21.12,500.02,21.473632496292105,entry_trailing_cropped_long
31,6195,HYPE,13.136938564824705,-0.164581524,1204.5665369808044,0.0,1204.5665369808044,1.0,-37.71,21.822,462.31,21.473632496292105,close_trailing_long
32,6198,HYPE,13.584729241344908,-0.16643191999999998,1217.9848343021492,0.0,1217.9848343021492,1.0,-38.12,21.83,424.19,21.473632496292105,close_trailing_long
33,6207,HYPE,11.88448359290229,-0.167895656,1229.7014222390515,0.0,1229.7014222390515,1.0,-38.54,21.782,385.65,21.473632496292105,close_trailing_long
34,6212,HYPE,4.723623244311246,-0.16809548000000002,1234.2569500033626,0.0,1234.2569500033626,1.0,-38.92,21.595,346.73,21.473632496292105,close_trailing_long
35,6217,HYPE,4.232834694830425,-0.16859858400000002,1238.321186114193,0.0,1238.321186114193,1.0,-39.06,21.582,307.67,21.473632496292105,close_trailing_long
36,6222,HYPE,12.32006247031243,-0.170774344,1250.4704742405056,0.0,1250.4704742405056,1.0,-39.19,21.788,268.48,21.473632496292105,close_trailing_long
37,6234,HYPE,22.213312121721426,-0.17438499,1272.509401372227,0.0,1272.509401372227,1.0,-39.57,22.035,228.91,21.473632496292105,close_trailing_long
38,6249,HYPE,25.747329374316934,-0.17809810200000004,1298.078632644544,0.0,1298.078632644544,1.0,-40.27,22.113,188.64,21.473632496292105,close_trailing_long
39,6254,HYPE,14.55741705232032,-0.179338848,1312.4567108488643,0.0,1312.4567108488643,1.0,-41.08,21.828,147.56,21.473632496292105,close_trailing_long
40,6265,HYPE,14.426367858641369,-0.12872076000000002,1326.7543579475057,0.0,1326.7543579475057,1.0,-29.3,21.966,118.26,21.473632496292105,close_trailing_long
41,6266,HYPE,65.20472098849555,-0.5209353,1391.4381436360013,0.0,1391.4381436360013,1.0,-118.26,22.025,0.0,21.473632496292105,close_grid_long
42,6303,HYPE,0.0,-0.4389836079999999,1390.9991600280014,0.0,1390.9991600280014,1.0,101.41,21.644,101.41,21.644,entry_initial_normal_long
43,6319,HYPE,29.510310000000036,-0.44488566999999996,1420.0645843580014,0.0,1420.0645843580014,1.0,-101.41,21.935,0.0,21.644,close_grid_long
44,6324,HYPE,0.0,-0.4480254800000001,1419.6165588780013,0.0,1419.6165588780013,1.0,103.7,21.602,103.7,21.602,entry_initial_normal_long
45,6395,HYPE,30.07299999999991,-0.45404008000000007,1449.2355187980013,0.0,1449.2355187980013,1.0,-103.7,21.892,0.0,21.602,close_grid_long
46,6461,HYPE,0.0,-0.4572324,1448.7782863980012,0.0,1448.7782863980012,1.0,106.83,21.4,106.83,21.4,entry_initial_normal_long
47,6556,HYPE,30.767040000000026,-0.463385808,1479.0819405900013,0.0,1479.0819405900013,1.0,-106.83,21.688,0.0,21.4,close_grid_long
48,6691,HYPE,0.0,-0.4666676820000001,1478.6152729080013,0.0,1478.6152729080013,1.0,110.59,21.099,110.59,21.099,entry_initial_normal_long
49,6723,HYPE,31.407559999999883,-0.472949194,1509.5498837140012,0.0,1509.5498837140012,1.0,-110.59,21.383,0.0,21.099,close_grid_long
50,6726,HYPE,0.0,-0.4762842,1509.0735995140012,0.0,1509.0735995140012,1.0,113.25,21.028,113.25,21.028,entry_initial_normal_long
51,6730,HYPE,32.049750000000145,-0.48269415,1540.6406553640013,0.0,1540.6406553640013,1.0,-113.25,21.311,0.0,21.028,close_grid_long
52,6733,HYPE,0.0,-0.48607695000000006,1540.1545784140012,0.0,1540.1545784140012,1.0,115.65,21.015,115.65,21.015,entry_initial_normal_long
53,6741,HYPE,32.6133,-0.4925996100000001,1572.2752788040011,0.0,1572.2752788040011,1.0,-115.65,21.297,0.0,21.015,close_grid_long
54,6772,HYPE,0.0,-0.49606843200000006,1571.7792103720012,0.0,1571.7792103720012,1.0,118.32,20.963,118.32,20.963,entry_initial_normal_long
55,6822,HYPE,33.366240000000005,-0.50274168,1604.6427086920012,0.0,1604.6427086920012,1.0,-118.32,21.245,0.0,20.963,close_grid_long
56,7451,HYPE,0.0,-0.506291552,1604.1364171400012,0.0,1604.1364171400012,1.0,114.92,22.028,114.92,22.028,entry_initial_normal_long
57,7468,HYPE,34.016320000000334,-0.5130948160000001,1637.6396423240014,0.0,1637.6396423240014,1.0,-114.92,22.324,0.0,22.028,close_grid_long
58,7491,HYPE,0.0,-0.516688432,1637.1229538920015,0.0,1637.1229538920015,1.0,117.52,21.983,117.52,21.983,entry_initial_normal_long
59,7672,HYPE,0.0,-0.031286784000000005,1637.0916671080015,0.0,1637.0916671080015,1.0,7.68,20.369,125.2,21.88399424920128,entry_grid_cropped_long
60,7675,HYPE,0.0,-2.39880458,1634.6928625280016,0.0,1634.6928625280016,1.0,589.3,20.353,714.5,20.621272190342896,entry_trailing_cropped_long
61,7680,HYPE,-7.071632893771912,-0.22075926,1627.4004703742296,0.0,1627.4004703742296,1.0,-53.87,20.49,660.63,20.621272190342896,close_trailing_long
