,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,46,HYPE,0.0,-0.407084658,999.592915342,0.0,999.592915342,1.0,61.73,32.973,61.73,32.973,entry_initial_normal_long
1,94,HYPE,12.099079999999873,-0.40950447399999995,1011.2824908679999,0.0,1011.2824908679999,1.0,-61.73,33.169,0.0,32.973,close_grid_long
2,172,HYPE,0.0,-0.41165821399999997,1010.8708326539999,0.0,1010.8708326539999,1.0,62.77,32.791,62.77,32.791,entry_initial_normal_long
3,174,HYPE,12.240150000000018,-0.414106244,1022.6968764099998,0.0,1022.6968764099998,1.0,-62.77,32.986,0.0,32.791,close_grid_long
4,180,HYPE,0.0,-0.41630563800000003,1022.2805707719998,0.0,1022.2805707719998,1.0,63.63,32.713,63.63,32.713,entry_initial_normal_long
5,191,HYPE,12.40785000000002,-0.418787208,1034.2696335639998,0.0,1034.2696335639998,1.0,-63.63,32.908,0.0,32.713,close_grid_long
6,204,HYPE,0.0,-0.42102981200000006,1033.848603752,0.0,1033.848603752,1.0,64.73,32.522,64.73,32.522,entry_initial_normal_long
7,299,HYPE,12.49289000000032,-0.42352839000000003,1045.9179653620001,0.0,1045.9179653620001,1.0,-64.73,32.715,0.0,32.522,close_grid_long
8,359,HYPE,0.0,-0.4257478719999999,1045.49221749,0.0,1045.49221749,1.0,66.32,32.098,66.32,32.098,entry_initial_normal_long
9,367,HYPE,12.667120000000164,-0.42828129600000003,1057.7310561940003,0.0,1057.7310561940003,1.0,-66.32,32.289,0.0,32.098,close_grid_long
10,725,HYPE,0.0,-0.430569024,1057.3004871700002,0.0,1057.3004871700002,1.0,65.44,32.898,65.44,32.898,entry_initial_normal_long
11,813,HYPE,12.760800000000017,-0.433121184,1069.6281659860003,0.0,1069.6281659860003,1.0,-65.44,33.093,0.0,32.898,close_grid_long
12,872,HYPE,0.0,-0.43538446000000003,1069.1927815260003,0.0,1069.1927815260003,1.0,66.65,32.662,66.65,32.662,entry_initial_normal_long
13,885,HYPE,12.930100000000175,-0.43797048000000005,1081.6849110460005,0.0,1081.6849110460005,1.0,-66.65,32.856,0.0,32.662,close_grid_long
14,897,HYPE,0.0,-0.44032287200000003,1081.2445881740005,0.0,1081.2445881740005,1.0,67.64,32.549,67.64,32.549,entry_initial_normal_long
15,908,HYPE,13.054519999999854,-0.44293377599999995,1093.8561743980003,0.0,1093.8561743980003,1.0,-67.64,32.742,0.0,32.549,close_grid_long
16,923,HYPE,0.0,-0.445230776,1093.4109436220003,0.0,1093.4109436220003,1.0,68.87,32.324,68.87,32.324,entry_initial_normal_long
