,balance,equity,balance_btc,equity_btc
0,996.309224464,1000.0,0.0,0.0
60,991.3731596020001,992.7486244639998,0.0,-3.56060000000009
120,1001.5753899980001,992.1687787060001,0.0,0.0
180,1001.6300128340001,1001.5753899980001,0.0,0.0
240,998.8788195540002,1001.6300128340001,0.0,0.0
300,998.8788195540002,996.9028195540002,0.0,-1.9759999999999849
360,998.8788195540002,984.7428195540002,0.0,-14.135999999999996
420,998.8788195540002,982.5008195540001,0.0,-16.378000000000036
480,998.8788195540002,984.6668195540002,0.0,-14.211999999999954
540,998.8788195540002,978.7008195540002,0.0,-20.177999999999955
600,998.8788195540002,986.1108195540002,0.0,-12.768000000000079
660,1002.9528907540001,998.6128195540001,0.0,-0.2660000000000551
720,1002.9528907540001,1002.9528907540001,0.0,0.0
780,1002.9528907540001,1002.9528907540001,0.0,0.0
840,1002.9528907540001,1002.9528907540001,0.0,0.0
900,1002.8069273420002,1002.9528907540001,0.0,0.0
960,1003.2894667100002,998.3059373420002,0.0,-4.500990000000034
1020,1000.7091858980001,994.9691467100001,0.0,-8.320320000000041
1080,1000.7091858980001,1000.7091858980001,0.0,0.0
1140,1000.7091858980001,1000.7091858980001,0.0,0.0
1200,1000.7091858980001,1000.7091858980001,0.0,0.0
1260,1000.7091858980001,1000.7091858980001,0.0,0.0
1320,1000.7091858980001,1000.7091858980001,0.0,0.0
1380,1000.7091858980001,1000.7091858980001,0.0,0.0
1440,1000.7091858980001,1000.7091858980001,0.0,0.0
1500,1000.7091858980001,1000.7091858980001,0.0,0.0
1560,1000.7091858980001,1000.7091858980001,0.0,0.0
1620,1000.7091858980001,1000.7091858980001,0.0,0.0
1680,1000.7091858980001,1000.7091858980001,0.0,0.0
1740,1000.7091858980001,1000.7091858980001,0.0,0.0
1800,1000.7091858980001,1000.7091858980001,0.0,0.0
1860,1000.7091858980001,1000.7091858980001,0.0,0.0
1920,1000.7091858980001,1000.7091858980001,0.0,0.0
1980,1000.4218019780001,1000.7091858980001,0.0,0.0
