,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.08810960000000001,999.9118904,0.0,999.9118904,1.0,18.28,24.1,18.28,24.1,entry_initial_normal_long
1,129,HYPE,1.517239999999971,-0.08841304800000001,1001.340717352,0.0,1001.340717352,1.0,-18.28,24.183,0.0,24.1,close_grid_long
2,242,HYPE,0.0,-0.088251978,1001.2524653739999,0.0,1001.2524653739999,1.0,18.51,23.839,18.51,23.839,entry_initial_normal_long
3,662,HYPE,1.5363300000000364,-0.08855924400000002,1002.70023613,0.0,1002.70023613,1.0,-18.51,23.922,0.0,23.839,close_grid_long
4,949,HYPE,0.0,-0.088363352,1002.611872778,0.0,1002.611872778,1.0,18.76,23.551,18.76,23.551,entry_initial_normal_long
5,953,HYPE,1.5195600000000578,-0.08866726400000001,1004.042765514,0.0,1004.042765514,1.0,-18.76,23.632,0.0,23.551,close_grid_long
6,959,HYPE,0.0,-0.08847459399999999,1003.9542909200001,0.0,1003.9542909200001,1.0,18.79,23.543,18.79,23.543,entry_initial_normal_long
7,974,HYPE,1.5219899999999909,-0.088778992,1005.387501928,0.0,1005.387501928,1.0,-18.79,23.624,0.0,23.543,close_grid_long
8,980,HYPE,0.0,-0.088568788,1005.29893314,0.0,1005.29893314,1.0,18.83,23.518,18.83,23.518,entry_initial_normal_long
9,1050,HYPE,1.5252299999999908,-0.088873834,1006.735289306,0.0,1006.735289306,1.0,-18.83,23.599,0.0,23.518,close_grid_long
10,2010,HYPE,0.0,-0.088719484,1006.6465698220001,0.0,1006.6465698220001,1.0,17.99,24.658,17.99,24.658,entry_initial_normal_long
11,2020,HYPE,1.5471399999999733,-0.089028912,1008.1046809100001,0.0,1008.1046809100001,1.0,-17.99,24.744,0.0,24.658,close_grid_long
12,2067,HYPE,0.0,-0.08882896,1008.0158519500001,0.0,1008.0158519500001,1.0,18.04,24.62,18.04,24.62,entry_initial_normal_long
13,2084,HYPE,1.5514399999999733,-0.089139248,1009.478152702,0.0,1009.478152702,1.0,-18.04,24.706,0.0,24.62,close_grid_long
