,balance,equity,balance_btc,equity_btc
0,1002.43819174,1000.0,0.0,0.0
60,1002.43819174,999.45159174,0.0,-2.9865999999999904
120,1002.43819174,999.80779174,0.0,-2.6303999999999994
180,1002.43819174,996.90339174,0.0,-5.534799999999999
240,1004.91285836,1002.17789174,0.0,-0.26030000000000175
300,1004.8946079599999,1004.91285836,0.0,0.0
360,1007.3496003599998,1004.64260796,0.0,-0.25200000000000333
420,1007.3496003599998,1007.1676003599998,0.0,-0.1819999999999955
480,1007.3496003599998,1006.2156003599998,0.0,-1.1339999999999995
540,1007.2159205799999,1004.1436003599998,0.0,-3.2060000000000044
600,1007.2159205799999,979.0310205799997,0.0,-28.18490000000014
660,1027.7718395999998,1016.6440205799997,0.0,9.42809999999989
720,1027.7531729999998,1027.7718395999998,0.0,0.0
780,1027.7531729999998,1028.7389729999998,0.0,0.9857999999999973
840,1027.7531729999998,1027.6100729999998,0.0,-0.1431000000000019
900,1027.7531729999998,1024.5413729999998,0.0,-3.2117999999999993
960,1030.2938944199998,1026.4334729999998,0.0,-1.3196999999999959
1020,1030.2938944199998,1030.2938944199998,0.0,0.0
1080,1030.2751682599999,1030.2938944199998,0.0,0.0
1140,1030.2751682599999,1031.6655682599999,0.0,1.3904000000000047
1200,1032.8155301799998,1031.8867682599998,0.0,1.611599999999998
1260,1032.7967439799997,1032.8155301799998,0.0,0.0
1320,1032.7967439799997,1029.6841439799998,0.0,-3.112600000000008
1380,1032.7967439799997,1032.8915439799998,0.0,0.09479999999998956
1440,1032.7967439799997,1031.1061439799998,0.0,-1.6906000000000068
1500,1032.7967439799997,1029.0837439799998,0.0,-3.713000000000012
1560,1032.7967439799997,1030.9797439799997,0.0,-1.8170000000000104
1620,1032.7967439799997,1032.4175439799997,0.0,-0.37920000000001086
1680,1032.7967439799997,1031.0113439799998,0.0,-1.7853999999999963
1740,1035.3528426999997,1031.4537439799997,0.0,-1.34300000000001
1800,1035.3528426999997,1035.3528426999997,0.0,0.0
1860,1035.3340298999997,1035.3528426999997,0.0,0.0
1920,1035.3340298999997,1036.3900298999997,0.0,1.056000000000008
1980,1035.3340298999997,1035.4460298999998,0.0,0.11200000000000543
2040,1035.3340298999997,1034.6460298999996,0.0,-0.6879999999999953
2100,1035.3340298999997,1034.6620298999997,0.0,-0.671999999999997
2160,1035.3340298999997,1035.6060298999996,0.0,0.27200000000000557
2220,1037.8907018999996,1037.7980298999996,0.0,2.463999999999995
2280,1037.8907018999996,1037.8907018999996,0.0,0.0
2340,1037.8907018999996,1037.8907018999996,0.0,0.0
2400,1037.8907018999996,1037.8907018999996,0.0,0.0
2460,1037.8907018999996,1037.8907018999996,0.0,0.0
2520,1037.8907018999996,1037.8907018999996,0.0,0.0
2580,1037.8718879999997,1037.8907018999996,0.0,0.0
2640,1040.4255594999997,1039.5923879999996,0.0,1.7205
2700,1040.4255594999997,1040.4255594999997,0.0,0.0
2760,1040.4066298199998,1040.4255594999997,0.0,0.0
2820,1040.4066298199998,1041.0842298199998,0.0,0.6775999999999938
2880,1040.4066298199998,1039.7290298199998,0.0,-0.6776000000000109
2940,1040.4066298199998,1039.2054298199998,0.0,-1.2012000000000045
3000,1040.4066298199998,1040.5298298199998,0.0,0.12319999999998643
3060,1040.4066298199998,1041.1766298199998,0.0,0.7700000000000007
3120,1040.4066298199998,1041.0996298199998,0.0,0.6929999999999921
3180,1040.4066298199998,1040.1448298199998,0.0,-0.26180000000000536
3240,1040.4066298199998,1041.5000298199998,0.0,1.0933999999999993
3300,1040.4066298199998,1039.7290298199998,0.0,-0.6776000000000109
3360,1040.4066298199998,1036.34102982,0.0,-4.065600000000014
3420,1040.4066298199998,1034.5238298199997,0.0,-5.882800000000001
3480,1040.4066298199998,1035.4170298199997,0.0,-4.989599999999998
3540,1040.4066298199998,1036.55662982,0.0,-3.850000000000003
3600,1040.4066298199998,1036.31022982,0.0,-4.096400000000011
3660,1040.4066298199998,1035.2168298199997,0.0,-5.18980000000001
3720,1040.4066298199998,1035.2938298199997,0.0,-5.112800000000001
3780,1040.4066298199998,1035.3862298199997,0.0,-5.020400000000011
3840,1040.4066298199998,1035.87902982,0.0,-4.527599999999997
3900,1040.4066298199998,1034.5854298199997,0.0,-5.821200000000008
3960,1040.4066298199998,1034.5084298199997,0.0,-5.8982
4020,1040.4066298199998,1033.8000298199997,0.0,-6.606600000000007
4080,1040.4066298199998,1034.2774298199997,0.0,-6.129200000000009
4140,1040.4066298199998,1033.8154298199997,0.0,-6.5912000000000095
4200,1040.4066298199998,1034.5392298199997,0.0,-5.8674000000000035
4260,1040.4066298199998,1034.0618298199997,0.0,-6.344800000000002
4320,1040.4066298199998,1034.7856298199997,0.0,-5.621000000000014
4380,1040.4066298199998,1033.7384298199997,0.0,-6.668200000000001
4440,1040.4066298199998,1033.0300298199998,0.0,-7.376600000000009
4500,1040.4066298199998,1033.5228298199997,0.0,-6.8838000000000115
4560,1040.4066298199998,1034.0464298199997,0.0,-6.360200000000001
4620,1040.4066298199998,1033.3072298199997,0.0,-7.099400000000005
4680,1040.4066298199998,1032.4602298199998,0.0,-7.946400000000014
4740,1040.4066298199998,1033.3842298199997,0.0,-7.0224000000000135
4800,1040.4066298199998,1033.6922298199997,0.0,-6.714400000000013
4860,1040.4066298199998,1033.6768298199997,0.0,-6.7298000000000116
4920,1040.4066298199998,1032.2600298199998,0.0,-8.146600000000008
4980,1040.4066298199998,1031.8442298199998,0.0,-8.562399999999997
5040,1040.26800012,1031.4284298199998,0.0,-8.978200000000003
5100,1040.26800012,1034.75250012,0.0,-5.515499999999917
5160,1040.26800012,1027.04670012,0.0,-13.221300000000019
5220,1040.26800012,1030.6142001199999,0.0,-9.653799999999936
5280,1040.26800012,1031.1850001199998,0.0,-9.082999999999998
5340,1040.26800012,1040.6032001199999,0.0,0.33520000000007244
5400,1040.26800012,1048.0236001199999,0.0,7.755600000000047
5460,1061.70362124,1043.88530012,0.0,3.6173000000000277
5520,1061.70362124,1061.70362124,0.0,0.0
5580,1061.70362124,1061.70362124,0.0,0.0
5640,1061.70362124,1061.70362124,0.0,0.0
5700,1061.68435724,1061.70362124,0.0,0.0
5760,1061.68435724,1062.12185724,0.0,0.4374999999999907
5820,1061.68435724,1060.44185724,0.0,-1.2424999999999993
5880,1061.68435724,1060.00435724,0.0,-1.6800000000000093
5940,1061.68435724,1060.33685724,0.0,-1.347500000000007
6000,1061.68435724,1058.51685724,0.0,-3.167500000000001
6060,1061.68435724,1058.25435724,0.0,-3.4299999999999913
6120,1061.68435724,1058.63935724,0.0,-3.044999999999995
6180,1061.68435724,1057.3443572400001,0.0,-4.340000000000008
6240,1061.68435724,1056.8018572400001,0.0,-4.8825000000000065
6300,1061.68435724,1057.85185724,0.0,-3.8325000000000053
6360,1061.68435724,1059.61935724,0.0,-2.0650000000000057
6420,1061.68435724,1058.9893572400001,0.0,-2.6949999999999945
6480,1061.68435724,1059.32185724,0.0,-2.3624999999999923
6540,1061.68435724,1060.61685724,0.0,-1.067499999999999
6600,1061.68435724,1061.75435724,0.0,0.06999999999999229
6660,1064.30706474,1061.12435724,0.0,-0.5599999999999966
6720,1064.30706474,1064.30706474,0.0,0.0
6780,1064.30706474,1064.30706474,0.0,0.0
6840,1064.30706474,1064.30706474,0.0,0.0
6900,1064.28772234,1064.30706474,0.0,0.0
6960,1064.28772234,1064.71012234,0.0,0.42239999999999256
7020,1064.28772234,1063.47812234,0.0,-0.809599999999989
7080,1064.28772234,1062.93252234,0.0,-1.355200000000007
7140,1064.28772234,1063.17892234,0.0,-1.1087999999999951
7200,1064.28772234,1061.99972234,0.0,-2.288000000000002
7260,1064.28772234,1063.14372234,0.0,-1.1439999999999912
7320,1064.28772234,1061.4541223400001,0.0,-2.8336000000000006
7380,1064.28772234,1061.2077223400001,0.0,-3.079999999999993
7440,1064.28772234,1060.90852234,0.0,-3.379199999999999
7500,1064.28772234,1061.71812234,0.0,-2.5695999999999906
7560,1064.28772234,1061.8237223400001,0.0,-2.464000000000002
7620,1064.28772234,1061.13732234,0.0,-3.1504000000000048
7680,1064.28772234,1060.9261223400001,0.0,-3.361600000000001
7740,1064.28772234,1061.2077223400001,0.0,-3.079999999999993
7800,1064.28772234,1061.03172234,0.0,-3.255999999999993
7860,1064.28772234,1060.0989223400002,0.0,-4.188800000000008
7920,1064.28772234,1060.29252234,0.0,-3.99519999999999
7980,1064.28772234,1060.11652234,0.0,-4.17119999999999
8040,1064.28772234,1061.50692234,0.0,-2.7808000000000064
8100,1064.28772234,1062.12292234,0.0,-2.164799999999996
8160,1064.28772234,1060.5917223400002,0.0,-3.6960000000000033
8220,1064.28772234,1058.69092234,0.0,-5.596799999999989
8280,1064.28772234,1058.7085223400002,0.0,-5.579199999999991
8340,1064.28772234,1058.47972234,0.0,-5.808000000000005
8400,1064.28772234,1058.60292234,0.0,-5.684799999999999
8460,1064.28772234,1059.46532234,0.0,-4.8223999999999965
8520,1064.28772234,1060.20452234,0.0,-4.0832
8580,1064.28772234,1058.53252234,0.0,-5.755199999999991
8640,1064.28772234,1058.2157223400002,0.0,-6.071999999999996
8700,1064.28772234,1059.4125223400001,0.0,-4.875199999999991
8760,1064.28772234,1060.8381223400002,0.0,-3.4495999999999913
8820,1064.28772234,1059.8525223400002,0.0,-4.4352
8880,1064.28772234,1060.13412234,0.0,-4.153599999999992
8940,1064.28772234,1061.7005223400001,0.0,-2.5871999999999886
9000,1064.28772234,1062.0701223400001,0.0,-2.2175999999999902
9060,1064.28772234,1062.24612234,0.0,-2.04159999999999
9120,1064.28772234,1061.7357223400002,0.0,-2.5519999999999925
9180,1064.28772234,1060.82052234,0.0,-3.4671999999999894
9240,1064.28772234,1059.35972234,0.0,-4.928000000000004
9300,1064.28772234,1058.60292234,0.0,-5.684799999999999
9360,1064.28772234,1058.40932234,0.0,-5.878399999999997
9420,1064.28772234,1058.74372234,0.0,-5.543999999999995
9480,1064.28772234,1059.00772234,0.0,-5.280000000000005
9540,1064.28772234,1059.0781223400002,0.0,-5.209599999999993
9600,1064.28772234,1060.15172234,0.0,-4.135999999999994
9660,1064.28772234,1063.42532234,0.0,-0.8624000000000027
9720,1064.28772234,1064.74532234,0.0,0.4576000000000082
9780,1066.90785194,1065.81892234,0.0,1.5312000000000072
9840,1066.90785194,1066.90785194,0.0,0.0
9900,1066.90785194,1066.90785194,0.0,0.0
9960,1066.90785194,1066.90785194,0.0,0.0
10020,1066.90785194,1066.90785194,0.0,0.0
10080,1066.90785194,1066.90785194,0.0,0.0
10140,1066.88844346,1066.90785194,0.0,0.0
10200,1066.88844346,1066.92284346,0.0,0.03439999999999621
10260,1066.88844346,1065.09964346,0.0,-1.788800000000013
10320,1066.88844346,1065.99404346,0.0,-0.894399999999997
10380,1066.88844346,1065.27164346,0.0,-1.616800000000013
10440,1066.88844346,1065.30604346,0.0,-1.5823999999999976
10500,1066.88844346,1064.5492434599998,0.0,-2.3392000000000097
10560,1066.88844346,1065.56404346,0.0,-1.324400000000007
10620,1066.88844346,1065.58124346,0.0,-1.3072000000000088
10680,1066.88844346,1065.06524346,0.0,-1.8232000000000093
10740,1066.88844346,1063.98164346,0.0,-2.9068000000000045
10800,1066.88844346,1063.98164346,0.0,-2.9068000000000045
10860,1066.88844346,1062.98404346,0.0,-3.904400000000009
10920,1066.88844346,1063.77524346,0.0,-3.113200000000001
10980,1066.88844346,1064.6524434599999,0.0,-2.236000000000002
11040,1066.88844346,1064.51484346,0.0,-2.373600000000006
11100,1066.88844346,1064.23964346,0.0,-2.648800000000014
11160,1066.88844346,1062.51964346,0.0,-4.368800000000015
11220,1066.88844346,1062.51964346,0.0,-4.368800000000015
11280,1066.88844346,1062.67444346,0.0,-4.214000000000013
11340,1066.88844346,1063.2076434599999,0.0,-3.6808000000000147
11400,1066.88844346,1062.31324346,0.0,-4.575200000000011
11460,1066.88844346,1060.78244346,0.0,-6.106000000000015
11520,1066.88844346,1061.4704434599998,0.0,-5.418000000000014
11580,1066.88844346,1060.54164346,0.0,-6.346800000000007
11640,1066.88844346,1060.30084346,0.0,-6.5876
11700,1066.88844346,1060.57604346,0.0,-6.312400000000011
11760,1066.88844346,1059.87084346,0.0,-7.0176000000000105
11820,1066.88844346,1059.11404346,0.0,-7.7744000000000035
11880,1066.74637188,1057.22204346,0.0,-9.666400000000005
11940,1066.74637188,1047.24387188,0.0,-19.50249999999998
12000,1066.74637188,1059.50997188,0.0,-7.236400000000006
12060,1066.74637188,1061.4215718799999,0.0,-5.32480000000004
12120,1066.74637188,1059.35067188,0.0,-7.395699999999988
12180,1066.74637188,1061.5808718800001,0.0,-5.165499999999881
12240,1066.74637188,1062.05877188,0.0,-4.687599999999933
12300,1066.74637188,1064.28897188,0.0,-2.4574000000000016
12360,1066.74637188,1060.4657718800001,0.0,-6.280599999999934
12420,1066.74637188,1055.84607188,0.0,-10.900299999999957
12480,1066.74637188,1053.45657188,0.0,-13.289799999999959
12540,1066.74637188,1052.81937188,0.0,-13.926999999999977
12600,1066.74637188,1063.01457188,0.0,-3.7318000000000384
