,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,JUP,0.0,-0.01823744,999.98176256,0.0,999.98176256,1.0,137.0,0.6656,137.0,0.6656,entry_initial_normal_long
1,9,JUP,2.4933999999999994,-0.018736120000000002,1002.45642644,0.0,1002.45642644,1.0,-137.0,0.6838,0.0,0.6656,close_grid_long
2,41,JUP,0.0,-0.018234700000000003,1002.43819174,0.0,1002.43819174,1.0,137.0,0.6655,137.0,0.6655,entry_initial_normal_long
3,250,JUP,2.4933999999999994,-0.01873338,1004.91285836,0.0,1004.91285836,1.0,-137.0,0.6837,0.0,0.6655,close_grid_long
4,344,JUP,0.0,-0.018250400000000003,1004.8946079599999,0.0,1004.8946079599999,1.0,140.0,0.6518,140.0,0.6518,entry_initial_normal_long
5,380,JUP,2.49199999999999,-0.0187488,1007.3678591599999,0.0,1007.3678591599999,1.0,-140.0,0.6696,0.0,0.6518,close_grid_long
6,409,JUP,0.0,-0.0182588,1007.3496003599998,0.0,1007.3496003599998,1.0,140.0,0.6521,140.0,0.6521,entry_initial_normal_long
7,599,JUP,0.0,-0.13367978,1007.2159205799999,0.0,1007.2159205799999,1.0,1157.0,0.5777,1297.0,0.5857308404009253,entry_grid_normal_long
8,707,JUP,20.711999999999943,-0.15608098,1027.7718395999998,0.0,1027.7718395999998,1.0,-1297.0,0.6017,0.0,0.5857308404009253,close_grid_long
9,747,JUP,0.0,-0.018666600000000002,1027.7531729999998,0.0,1027.7531729999998,1.0,159.0,0.587,159.0,0.587,entry_initial_normal_long
10,982,JUP,2.5599000000000007,-0.01917858,1030.2938944199998,0.0,1030.2938944199998,1.0,-159.0,0.6031,0.0,0.587,close_grid_long
11,1107,JUP,0.0,-0.018726160000000002,1030.2751682599999,0.0,1030.2751682599999,1.0,158.0,0.5926,158.0,0.5926,entry_initial_normal_long
12,1212,JUP,2.5595999999999988,-0.01923808,1032.8155301799998,0.0,1032.8155301799998,1.0,-158.0,0.6088,0.0,0.5926,close_grid_long
13,1272,JUP,0.0,-0.018786200000000003,1032.7967439799997,0.0,1032.7967439799997,1.0,158.0,0.5945,158.0,0.5945,entry_initial_normal_long
