,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,JUP,0.0,-0.01820016,999.98179984,0.0,999.98179984,1.0,132.0,0.6894,132.0,0.6894,entry_initial_normal_long
1,5,JUP,2.481600000000005,-0.018696480000000005,1002.4447033600001,0.0,1002.4447033600001,1.0,-132.0,0.7082,0.0,0.6894,close_grid_long
2,6,JUP,0.0,-0.018290220000000003,1002.42641314,0.0,1002.42641314,1.0,131.0,0.6981,131.0,0.6981,entry_initial_normal_long
3,8,JUP,2.5020999999999862,-0.01879064,1004.9097225,0.0,1004.9097225,1.0,-131.0,0.7172,0.0,0.6981,close_grid_long
4,11,JUP,0.0,-0.0182416,1004.8914809,0.0,1004.8914809,1.0,130.0,0.7016,130.0,0.7016,entry_initial_normal_long
5,229,JUP,0.0,-0.13351968000000003,1004.7579612200001,0.0,1004.7579612200001,1.0,1074.0,0.6216,1204.0,0.6302378737541529,entry_grid_normal_long
6,294,JUP,20.783599999999918,-0.155918,1025.38564322,0.0,1025.38564322,1.0,-1204.0,0.6475,0.0,0.6302378737541529,close_grid_long
7,409,JUP,0.0,-0.018587799999999998,1025.36705542,0.0,1025.36705542,1.0,142.0,0.6545,142.0,0.6545,entry_initial_normal_long
8,466,JUP,2.541800000000004,-0.01909616,1027.8897592600001,0.0,1027.8897592600001,1.0,-142.0,0.6724,0.0,0.6545,close_grid_long
9,495,JUP,0.0,-0.01871298,1027.8710462800002,0.0,1027.8710462800002,1.0,143.0,0.6543,143.0,0.6543,entry_initial_normal_long
10,685,JUP,0.0,-0.13704107999999998,1027.7340052000002,0.0,1027.7340052000002,1.0,1182.0,0.5797,1325.0,0.5877511698113207,entry_grid_normal_long
11,793,JUP,21.264700000000083,-0.160007,1048.8386982000002,0.0,1048.8386982000002,1.0,-1325.0,0.6038,0.0,0.5877511698113207,close_grid_long
12,833,JUP,0.0,-0.01902204,1048.8196761600002,0.0,1048.8196761600002,1.0,162.0,0.5871,162.0,0.5871,entry_initial_normal_long
