,balance,equity,balance_btc,equity_btc
0,1010.4793921799996,1000.0,0.0,0.0
60,1021.5365806799998,1010.4793921799996,0.0,0.0
120,1023.1456720399998,1023.2422503799997,0.0,0.0
180,1023.1456720399998,1005.2152720399997,0.0,-17.93040000000003
240,1023.1456720399998,992.9965720399997,0.0,-30.14910000000005
300,1026.7356562399998,1005.1429720399998,0.0,-18.002700000000026
360,1028.3888731399998,1026.7356562399998,0.0,0.0
420,1028.7146489199997,1028.3888731399998,0.0,0.0
480,1039.3811934999999,1028.7146489199997,0.0,0.0
540,1039.7195996599999,1039.3811934999999,0.0,0.0
600,1042.1710610799996,1039.7195996599999,0.0,0.0
660,1063.1200307800002,1041.1505610799995,0.0,-1.0204999999999749
720,1063.1200307800002,1047.0304307800002,0.0,-16.089599999999997
780,1073.3124297800002,1046.8628307800002,0.0,-16.257199999999976
840,1076.8422637600004,1073.3124297800002,0.0,0.0
900,1076.8422637600004,1076.8422637600004,0.0,0.0
960,1076.7406126600004,1076.8422637600004,0.0,0.0
1020,1077.1698553600004,1072.0501126600002,0.0,-4.690500000000073
1080,1077.1698553600004,1077.1698553600004,0.0,0.0
1140,1077.6486613200002,1077.1698553600004,0.0,0.0
1200,1081.0396949600004,1074.6365685200003,0.0,-2.9103999999999646
1260,1081.0396949600004,1081.0396949600004,0.0,0.0
1320,1081.3332913800004,1081.0396949600004,0.0,0.0
1380,1081.8337218000004,1077.8892913800005,0.0,-3.444000000000003
1440,1081.8337218000004,1081.8337218000004,0.0,0.0
1500,1083.3809572200003,1081.8337218000004,0.0,0.0
1560,1092.0130108000003,1086.9268952200002,0.0,0.0
1620,1092.0130108000003,1092.0130108000003,0.0,0.0
1680,1092.0130108000003,1092.0130108000003,0.0,0.0
1740,1092.0130108000003,1092.0130108000003,0.0,0.0
1800,1092.0130108000003,1092.0130108000003,0.0,0.0
1860,1092.0130108000003,1092.0130108000003,0.0,0.0
1920,1092.0130108000003,1092.0130108000003,0.0,0.0
1980,1092.8554419200002,1092.0130108000003,0.0,0.0
2040,1094.1532944200003,1092.8554419200002,0.0,0.0
2100,1097.1608112600002,1094.1532944200003,0.0,0.0
