,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,816,LINK,0.0,-0.00496524,999.99503476,0.0,999.99503476,1.0,2.3,10.794,2.3,10.794,entry_initial_normal_long
1,930,LINK,0.39329999999999854,-0.0050439,1000.38329086,0.0,1000.38329086,1.0,-2.3,10.965,0.0,10.794,close_grid_long
2,2251,LINK,0.0,-0.00502278,1000.37826808,0.0,1000.37826808,1.0,2.1,11.959,2.1,11.959,entry_initial_normal_long
3,2408,LINK,0.2940000000000012,-0.0050815800000000005,1000.6671865,0.0,1000.6671865,1.0,-2.1,12.099,0.0,11.959,close_grid_long
4,3290,LINK,0.0,-0.005182760000000001,1000.6620037399999,0.0,1000.6620037399999,1.0,2.2,11.779,2.2,11.779,entry_initial_normal_long
5,3471,LINK,0.3035999999999998,-0.005243480000000001,1000.9603602599999,0.0,1000.9603602599999,1.0,-2.2,11.917,0.0,11.779,close_grid_long
6,5536,LINK,0.0,-0.0049956,1000.9553646599999,0.0,1000.9553646599999,1.0,2.0,12.489,2.0,12.489,entry_initial_normal_long
7,7407,LINK,0.0,-0.02658656,1000.9287780999998,0.0,1000.9287780999998,1.0,11.2,11.869,13.2,11.962939393939394,entry_grid_normal_long
8,7630,LINK,0.0,-0.2006472,1000.7281308999998,0.0,1000.7281308999998,1.0,88.5,11.336,101.7,11.417372664700098,entry_grid_inflated_long
9,7654,LINK,-0.46186204523106744,-0.0247975,1000.2414713547687,0.0,1000.2414713547687,1.0,-10.9,11.375,90.8,11.417372664700098,close_trailing_long
10,7674,LINK,-0.18936204523106356,-0.024852000000000003,1000.0272573095376,0.0,1000.0272573095376,1.0,-10.9,11.4,79.9,11.417372664700098,close_trailing_long
11,7819,LINK,2.19773795476893,-0.025329420000000002,1002.1996658443065,0.0,1002.1996658443065,1.0,-10.9,11.619,69.0,11.417372664700098,close_trailing_long
12,7871,LINK,3.7346379547689303,-0.0256368,1005.9086669990754,0.0,1005.9086669990754,1.0,-10.9,11.76,58.1,11.417372664700098,close_trailing_long
13,7894,LINK,2.6106795476892874,-0.0171915,1008.5021550467648,0.0,1008.5021550467648,1.0,-7.3,11.775,50.8,11.417372664700098,close_trailing_long
14,7895,LINK,17.456268633234984,-0.11949175999999999,1025.8389319199998,0.0,1025.8389319199998,1.0,-50.8,11.761,0.0,11.417372664700098,close_grid_long
15,9316,LINK,0.0,-0.005258,1025.83367392,0.0,1025.83367392,1.0,2.2,11.95,2.2,11.95,entry_initial_normal_long
16,9555,LINK,0.3080000000000013,-0.005319600000000001,1026.13635432,0.0,1026.13635432,1.0,-2.2,12.09,0.0,11.95,close_grid_long
17,9944,LINK,0.0,-0.005116760000000001,1026.13123756,0.0,1026.13123756,1.0,2.2,11.629,2.2,11.629,entry_initial_normal_long
18,9989,LINK,0.29920000000000224,-0.005176600000000001,1026.42526096,0.0,1026.42526096,1.0,-2.2,11.765,0.0,11.629,close_grid_long
19,10194,LINK,0.0,-0.00524906,1026.4200119,0.0,1026.4200119,1.0,2.3,11.411,2.3,11.411,entry_initial_normal_long
20,10218,LINK,0.30820000000000075,-0.0053107,1026.7229012,0.0,1026.7229012,1.0,-2.3,11.545,0.0,11.411,close_grid_long
21,10366,LINK,0.0,-0.00518144,1026.7177197600001,0.0,1026.7177197600001,1.0,2.3,11.264,2.3,11.264,entry_initial_normal_long
22,10384,LINK,0.3036000000000033,-0.00524216,1027.0160776000002,0.0,1027.0160776000002,1.0,-2.3,11.396,0.0,11.264,close_grid_long
23,10797,LINK,0.0,-0.005156600000000001,1027.0109210000003,0.0,1027.0109210000003,1.0,2.3,11.21,2.3,11.21,entry_initial_normal_long
24,10837,LINK,0.3012999999999964,-0.005216859999999999,1027.3070041400003,0.0,1027.3070041400003,1.0,-2.3,11.341,0.0,11.21,close_grid_long
25,11693,LINK,0.0,-0.00512348,1027.3018806600003,0.0,1027.3018806600003,1.0,2.3,11.138,2.3,11.138,entry_initial_normal_long
26,11707,LINK,0.3013000000000005,-0.00518374,1027.5979969200002,0.0,1027.5979969200002,1.0,-2.3,11.269,0.0,11.138,close_grid_long
27,12166,LINK,0.0,-0.00511428,1027.5928826400002,0.0,1027.5928826400002,1.0,2.3,11.118,2.3,11.118,entry_initial_normal_long
28,12172,LINK,0.2989999999999977,-0.005174079999999999,1027.8867085600002,0.0,1027.8867085600002,1.0,-2.3,11.248,0.0,11.118,close_grid_long
29,12750,LINK,0.0,-0.00522672,1027.88148184,0.0,1027.88148184,1.0,2.4,10.889,2.4,10.889,entry_initial_normal_long
30,12794,LINK,0.30720000000000025,-0.00528816,1028.18339368,0.0,1028.18339368,1.0,-2.4,11.017,0.0,10.889,close_grid_long
31,12940,LINK,0.0,-0.005184,1028.17820968,0.0,1028.17820968,1.0,2.4,10.8,2.4,10.8,entry_initial_normal_long
32,12982,LINK,0.30479999999999735,-0.00524496,1028.47776472,0.0,1028.47776472,1.0,-2.4,10.927,0.0,10.8,close_grid_long
33,17227,LINK,0.0,-0.00522054,1028.47254418,0.0,1028.47254418,1.0,2.3,11.349,2.3,11.349,entry_initial_normal_long
34,17476,LINK,0.0,-0.02782788,1028.4447163000002,0.0,1028.4447163000002,1.0,12.9,10.786,15.2,10.871190789473683,entry_grid_normal_long
35,17596,LINK,2.1099000000000117,-0.0334704,1030.5211459000002,0.0,1030.5211459000002,1.0,-15.2,11.01,0.0,10.871190789473683,close_grid_long
36,18157,LINK,0.0,-0.005315500000000001,1030.5158304000001,0.0,1030.5158304000001,1.0,2.5,10.631,2.5,10.631,entry_initial_normal_long
37,18343,LINK,0.0,-0.028288400000000002,1030.487542,0.0,1030.487542,1.0,14.0,10.103,16.5,10.183,entry_grid_normal_long
38,18455,LINK,2.145000000000013,-0.034032900000000005,1032.5985091,0.0,1032.5985091,1.0,-16.5,10.313,0.0,10.183,close_grid_long
39,19112,LINK,0.0,-0.005328960000000001,1032.59318014,0.0,1032.59318014,1.0,2.6,10.248,2.6,10.248,entry_initial_normal_long
40,19364,LINK,0.30940000000000406,-0.005390840000000001,1032.8971893,0.0,1032.8971893,1.0,-2.6,10.367,0.0,10.248,close_grid_long
41,20430,LINK,0.0,-0.00516204,1032.89202726,0.0,1032.89202726,1.0,2.6,9.927,2.6,9.927,entry_initial_normal_long
42,20564,LINK,0.30159999999999915,-0.00522236,1033.1884049,0.0,1033.1884049,1.0,-2.6,10.043,0.0,9.927,close_grid_long
43,24719,LINK,0.0,-0.0052136000000000005,1033.1831913,0.0,1033.1831913,1.0,2.0,13.034,2.0,13.034,entry_initial_normal_long
44,24803,LINK,0.0,-0.02774688,1033.15544442,0.0,1033.15544442,1.0,11.2,12.387,13.2,12.485030303030303,entry_grid_normal_long
45,24865,LINK,2.0852000000000075,-0.03337752,1035.2072669000001,0.0,1035.2072669000001,1.0,-13.2,12.643,0.0,12.485030303030303,close_grid_long
46,24890,LINK,0.0,-0.005239920000000001,1035.2020269800003,0.0,1035.2020269800003,1.0,2.1,12.476,2.1,12.476,entry_initial_normal_long
