,balance,equity,balance_btc,equity_btc
0,999.98395068,1000.0,0.0,0.0
60,999.98395068,1000.0,0.0,0.0
120,999.98395068,1000.0,0.0,0.0
180,999.98395068,1000.0,0.0,0.0
240,999.98395068,1000.0,0.0,0.0
300,999.98395068,1000.0,0.0,0.0
360,999.98395068,1000.0,0.0,0.0
420,999.98395068,999.90870068,0.0,-0.07524999999999572
480,1001.60802327,1000.63110068,0.0,0.6471499999999996
540,1001.60802327,1001.60802327,0.0,0.0
600,1001.60802327,1001.60802327,0.0,0.0
660,1001.60802327,1001.60802327,0.0,0.0
720,1001.60802327,1001.60802327,0.0,0.0
780,1001.60802327,1001.60802327,0.0,0.0
840,1001.60802327,1001.60802327,0.0,0.0
900,1001.5919396099999,1001.60802327,0.0,0.0
960,1001.5919396099999,1001.63636961,0.0,0.04443000000000168
1020,1003.2194371679999,1002.7323096099999,0.0,1.1403700000000048
1080,1003.2194371679999,1003.2194371679999,0.0,0.0
1140,1003.2194371679999,1003.2194371679999,0.0,0.0
1200,1003.2194371679999,1003.2194371679999,0.0,0.0
1260,1003.2194371679999,1003.2194371679999,0.0,0.0
1320,1003.2194371679999,1003.2194371679999,0.0,0.0
1380,1003.2194371679999,1003.2194371679999,0.0,0.0
1440,1003.2194371679999,1003.2194371679999,0.0,0.0
1500,1003.2194371679999,1003.2194371679999,0.0,0.0
1560,1003.2194371679999,1003.2194371679999,0.0,0.0
1620,1003.2194371679999,1003.2194371679999,0.0,0.0
1680,1003.2194371679999,1003.2194371679999,0.0,0.0
1740,1003.2033357599998,1003.2194371679999,0.0,0.0
1800,1003.2033357599998,1003.8190957599999,0.0,0.6157599999999995
1860,1003.2033357599998,1003.9479757599998,0.0,0.7446400000000044
1920,1003.2033357599998,1003.9336557599999,0.0,0.7303199999999971
1980,1003.2033357599998,1002.9885357599999,0.0,-0.21479999999999796
2040,1003.2033357599998,1003.5899757599999,0.0,0.3866400000000045
2100,1004.8193878559998,1003.0887757599999,0.0,-0.11455999999999755
2160,1004.8193878559998,1004.8193878559998,0.0,0.0
2220,1004.8193878559998,1004.8193878559998,0.0,0.0
2280,1004.8193878559998,1004.8193878559998,0.0,0.0
2340,1004.8193878559998,1004.8193878559998,0.0,0.0
2400,1004.8193878559998,1004.8193878559998,0.0,0.0
2460,1004.8193878559998,1004.8193878559998,0.0,0.0
2520,1004.8193878559998,1004.8193878559998,0.0,0.0
2580,1004.8193878559998,1004.8193878559998,0.0,0.0
2640,1004.8193878559998,1004.8193878559998,0.0,0.0
2700,1004.8193878559998,1004.8193878559998,0.0,0.0
2760,1004.8032570959998,1004.8193878559998,0.0,0.0
2820,1004.8032570959998,1004.8582170959999,0.0,0.054959999999998836
2880,1006.4218593239998,1004.7345570959998,0.0,-0.06870000000000587
2940,1006.4218593239998,1006.4218593239998,0.0,0.0
3000,1006.4218593239998,1006.4218593239998,0.0,0.0
3060,1006.4218593239998,1006.4218593239998,0.0,0.0
3120,1006.4057021959998,1006.4218593239998,0.0,0.0
3180,1006.4057021959998,1006.6618221959998,0.0,0.25611999999999696
3240,1006.4057021959998,1006.5000621959998,0.0,0.09436000000000039
3300,1006.4057021959998,1006.0687021959998,0.0,-0.337
3360,1006.4057021959998,1006.5674621959997,0.0,0.16175999999999657
3420,1006.4057021959998,1006.1226221959997,0.0,-0.28308000000000116
3480,1006.4057021959998,1005.7721421959998,0.0,-0.6335599999999985
3540,1006.4057021959998,1006.5405021959998,0.0,0.13480000000000192
3600,1006.4057021959998,1006.5809421959998,0.0,0.17524000000000345
3660,1006.4057021959998,1005.7182221959997,0.0,-0.6874799999999973
3720,1006.4057021959998,1006.0282621959998,0.0,-0.37744000000000155
3780,1006.4057021959998,1005.1385821959998,0.0,-1.267119999999997
3840,1006.4057021959998,1004.8959421959997,0.0,-1.5097599999999967
3900,1006.4057021959998,1004.1680221959998,0.0,-2.2376799999999957
3960,1006.4057021959998,1003.8040621959998,0.0,-2.6016399999999997
4020,1006.4057021959998,1003.8714621959998,0.0,-2.5342400000000036
4080,1006.4057021959998,1004.6802621959997,0.0,-1.7254400000000016
4140,1006.4057021959998,1004.8689821959998,0.0,-1.536720000000001
4200,1006.4057021959998,1005.5564621959998,0.0,-0.8492400000000035
4260,1006.4057021959998,1005.7451821959997,0.0,-0.6605200000000028
4320,1008.0337761559998,1007.5245421959997,0.0,1.1188399999999978
4380,1008.0337761559998,1008.0337761559998,0.0,0.0
4440,1008.0175947639998,1008.0337761559998,0.0,0.0
4500,1009.6456444599997,1009.5408347639998,0.0,1.523239999999994
4560,1009.6456444599997,1009.6456444599997,0.0,0.0
4620,1009.6456444599997,1009.6456444599997,0.0,0.0
4680,1009.6456444599997,1009.6456444599997,0.0,0.0
4740,1009.6456444599997,1009.6456444599997,0.0,0.0
4800,1009.6456444599997,1009.6456444599997,0.0,0.0
4860,1009.6294386339997,1009.6456444599997,0.0,0.0
4920,1009.6294386339997,1009.5762786339997,0.0,-0.05315999999999887
4980,1009.6294386339997,1010.2009086339997,0.0,0.5714699999999996
5040,1009.6294386339997,1009.2307386339997,0.0,-0.3986999999999962
5100,1009.6294386339997,1008.9383586339998,0.0,-0.6910799999999947
5160,1009.6294386339997,1009.1775786339997,0.0,-0.4518599999999951
5220,1009.6294386339997,1009.0978386339997,0.0,-0.5315999999999981
5280,1009.6294386339997,1008.1675386339997,0.0,-1.4619000000000018
5340,1009.6294386339997,1008.8453286339998,0.0,-0.7841099999999951
5400,1009.6294386339997,1008.7655886339998,0.0,-0.8638499999999981
5460,1009.6294386339997,1009.0712586339997,0.0,-0.5581800000000022
5520,1009.6294386339997,1009.1377086339998,0.0,-0.49172999999999656
5580,1009.6294386339997,1009.2440286339997,0.0,-0.38540999999999886
5640,1009.6294386339997,1008.8187486339997,0.0,-0.8106899999999992
5700,1009.6294386339997,1008.6858486339997,0.0,-0.9435900000000012
5760,1009.6294386339997,1007.8884486339997,0.0,-1.740990000000003
5820,1009.6294386339997,1007.0777586339997,0.0,-2.5516800000000024
5880,1009.6294386339997,1007.5030386339997,0.0,-2.1264000000000016
5940,1009.6294386339997,1006.9980186339997,0.0,-2.631419999999996
6000,1009.6294386339997,1007.4897486339997,0.0,-2.139689999999999
6060,1009.6294386339997,1008.3403086339997,0.0,-1.2891299999999986
6120,1009.6294386339997,1007.8485786339998,0.0,-1.780859999999995
6180,1009.6294386339997,1008.0346386339997,0.0,-1.5947999999999942
6240,1011.2608632159997,1011.0514686339997,0.0,1.4220300000000003
6300,1011.2608632159997,1011.2608632159997,0.0,0.0
6360,1011.2608632159997,1011.2608632159997,0.0,0.0
6420,1011.2608632159997,1011.2608632159997,0.0,0.0
6480,1011.2608632159997,1011.2608632159997,0.0,0.0
