,balance,equity,balance_btc,equity_btc
0,999.9843776,1000.0,0.0,0.0
60,999.9843776,1000.3683776,0.0,0.3840000000000032
120,999.9843776,1000.4163776,0.0,0.43200000000000505
180,1001.5684352000001,1000.7843776,0.0,0.8
240,1001.5684352000001,1001.5684352000001,0.0,0.0
300,1001.5684352000001,1001.5684352000001,0.0,0.0
360,1001.5684352000001,1001.5684352000001,0.0,0.0
420,1001.5684352000001,1001.5684352000001,0.0,0.0
480,1001.5684352000001,1001.5684352000001,0.0,0.0
540,1001.5684352000001,1001.5684352000001,0.0,0.0
600,1001.5684352000001,1001.5684352000001,0.0,0.0
660,1001.5684352000001,1001.5684352000001,0.0,0.0
720,1001.5684352000001,1001.5684352000001,0.0,0.0
780,1001.5684352000001,1001.5684352000001,0.0,0.0
840,1001.5684352000001,1001.5684352000001,0.0,0.0
900,1001.5684352000001,1001.5684352000001,0.0,0.0
960,1001.5684352000001,1001.5684352000001,0.0,0.0
1020,1001.5684352000001,1001.5684352000001,0.0,0.0
1080,1001.5684352000001,1001.5684352000001,0.0,0.0
1140,1001.5684352000001,1001.5684352000001,0.0,0.0
1200,1001.5684352000001,1001.5684352000001,0.0,0.0
1260,1001.5684352000001,1001.5684352000001,0.0,0.0
1320,1001.5684352000001,1001.5684352000001,0.0,0.0
1380,1001.5519682,1001.5684352000001,0.0,0.0
1440,1001.5519682,1001.9119682,0.0,0.360000000000003
1500,1001.5519682,1002.4519682,0.0,0.9000000000000021
1560,1001.5519682,1002.2719682000001,0.0,0.7199999999999953
1620,1001.5519682,1001.7469682000001,0.0,0.19500000000000384
1680,1001.5519682,1002.0469682,0.0,0.49499999999999744
1740,1001.5519682,1001.7919682,0.0,0.23999999999999488
1800,1001.5519682,1001.8219682,0.0,0.2699999999999996
1860,1001.5519682,1001.1169682000001,0.0,-0.4349999999999987
1920,1001.5519682,1002.0469682,0.0,0.49499999999999744
1980,1001.5519682,1001.5969682,0.0,0.045000000000001705
2040,1001.5519682,1001.7919682,0.0,0.23999999999999488
2100,1001.5519682,1001.6719682,0.0,0.11999999999999744
2160,1001.5519682,1001.4019682,0.0,-0.15000000000000213
2220,1001.5519682,1002.1669682,0.0,0.6149999999999949
2280,1001.5519682,1000.5769682,0.0,-0.9749999999999979
2340,1001.5519682,999.9319682,0.0,-1.6199999999999974
2400,1001.5519682,1000.3519682,0.0,-1.1999999999999957
2460,1001.5519682,1001.0869682,0.0,-0.4650000000000034
2520,1001.5519682,1001.2519682000001,0.0,-0.30000000000000426
2580,1003.2151652,1001.1169682000001,0.0,-0.4349999999999987
2640,1003.2151652,1003.2151652,0.0,0.0
2700,1003.2151652,1003.2151652,0.0,0.0
2760,1003.2151652,1003.2151652,0.0,0.0
2820,1003.2151652,1003.2151652,0.0,0.0
2880,1003.2151652,1003.2151652,0.0,0.0
2940,1003.2151652,1003.2151652,0.0,0.0
3000,1003.1995748,1003.2151652,0.0,0.0
3060,1003.1995748,1002.8355748,0.0,-0.3639999999999972
3120,1003.1995748,1003.2275748000001,0.0,0.028000000000004376
3180,1003.1995748,1002.3595748,0.0,-0.840000000000002
3240,1003.1995748,1002.5975748000001,0.0,-0.6019999999999995
3300,1003.1995748,1001.3935748,0.0,-1.8059999999999987
3360,1003.1995748,1002.4435748000001,0.0,-0.7559999999999988
3420,1003.1995748,1002.9475748000001,0.0,-0.2519999999999996
3480,1003.1995748,1003.1715748,0.0,-0.028000000000004376
3540,1003.1995748,1003.3255748,0.0,0.12600000000000477
3600,1003.1995748,1003.0455748,0.0,-0.1539999999999992
3660,1003.1995748,1003.0315748,0.0,-0.1679999999999964
3720,1003.1995748,1003.1995748,0.0,0.0
3780,1003.1995748,1002.2335748,0.0,-0.9659999999999968
3840,1003.1995748,1002.8635748,0.0,-0.33600000000000274
3900,1003.1995748,1003.3815748000001,0.0,0.18200000000000358
3960,1003.1995748,1003.1015748000001,0.0,-0.09800000000000039
4020,1003.1995748,1003.5635748000001,0.0,0.3639999999999972
4080,1003.1995748,1003.6475748,0.0,0.44800000000000034
4140,1004.765668,1003.6615748,0.0,0.4619999999999976
4200,1004.765668,1004.765668,0.0,0.0
4260,1004.765668,1004.765668,0.0,0.0
4320,1004.765668,1004.765668,0.0,0.0
4380,1004.765668,1004.765668,0.0,0.0
4440,1004.765668,1004.765668,0.0,0.0
4500,1004.765668,1004.765668,0.0,0.0
4560,1004.765668,1004.765668,0.0,0.0
4620,1004.765668,1004.765668,0.0,0.0
4680,1004.765668,1004.765668,0.0,0.0
4740,1004.765668,1004.765668,0.0,0.0
4800,1004.765668,1004.765668,0.0,0.0
4860,1004.765668,1004.765668,0.0,0.0
4920,1004.765668,1004.765668,0.0,0.0
4980,1004.765668,1004.765668,0.0,0.0
5040,1004.7492432,1004.765668,0.0,0.0
5100,1004.7492432,1005.1272432000001,0.0,0.37800000000000433
5160,1004.7492432,1005.0152432,0.0,0.26600000000000673
5220,1004.7492432,1004.7072432,0.0,-0.04199999999999164
5280,1004.7492432,1004.4692432,0.0,-0.27999999999999403
5340,1004.7492432,1004.8612432,0.0,0.11200000000000755
5400,1004.7492432,1004.0632432,0.0,-0.6859999999999928
5460,1004.7492432,1004.8752432,0.0,0.12600000000000477
5520,1004.7492432,1004.9312432,0.0,0.18200000000000358
5580,1004.7492432,1003.0972432,0.0,-1.6519999999999995
5640,1004.7492432,1002.8172432,0.0,-1.9319999999999935
5700,1004.7492432,1002.3972432,0.0,-2.3519999999999994
5760,1004.7492432,1002.7052432,0.0,-2.043999999999991
5820,1004.7492432,1002.1872432,0.0,-2.5619999999999976
5880,1004.7492432,1002.6772432,0.0,-2.0719999999999956
5940,1004.7492432,1004.2312432,0.0,-0.5179999999999964
6000,1004.7492432,1004.7492432,0.0,0.0
6060,1006.3984852,1005.1272432000001,0.0,0.37800000000000433
6120,1006.3984852,1006.3984852,0.0,0.0
6180,1006.3984852,1006.3984852,0.0,0.0
6240,1006.3984852,1006.3984852,0.0,0.0
6300,1006.3984852,1006.3984852,0.0,0.0
6360,1006.3984852,1006.3984852,0.0,0.0
6420,1006.3984852,1006.3984852,0.0,0.0
6480,1006.381996,1006.3984852,0.0,0.0
6540,1006.381996,1006.073996,0.0,-0.3079999999999984
6600,1006.381996,1006.213996,0.0,-0.1679999999999964
6660,1006.381996,1005.5559959999999,0.0,-0.8260000000000047
6720,1006.381996,1006.7879959999999,0.0,0.4059999999999988
6780,1006.381996,1006.423996,0.0,0.04200000000000159
6840,1006.381996,1006.1999959999999,0.0,-0.18200000000000358
6900,1006.381996,1005.625996,0.0,-0.7559999999999988
6960,1006.381996,1005.625996,0.0,-0.7559999999999988
7020,1006.381996,1005.093996,0.0,-1.2880000000000023
7080,1006.381996,1004.827996,0.0,-1.5539999999999992
7140,1006.381996,1003.903996,0.0,-2.478000000000004
7200,1006.381996,1005.457996,0.0,-0.9240000000000052
7260,1006.381996,1005.009996,0.0,-1.3720000000000054
7320,1006.381996,1005.6819959999999,0.0,-0.7
7380,1006.381996,1004.5619959999999,0.0,-1.8199999999999958
7440,1006.381996,1004.8839959999999,0.0,-1.4980000000000002
7500,1006.381996,1004.5619959999999,0.0,-1.8199999999999958
7560,1006.381996,1004.2679959999999,0.0,-2.113999999999997
7620,1006.381996,1002.629996,0.0,-3.7519999999999993
7680,1006.381996,1001.663996,0.0,-4.717999999999996
7740,1006.381996,1002.727996,0.0,-3.653999999999999
7800,1006.381996,1002.783996,0.0,-3.5980000000000003
