,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,1742,NEAR,0.0,-0.009211400000000002,999.9907886,0.0,999.9907886,1.0,53.0,0.869,53.0,0.869,entry_initial_normal_long
1,2363,NEAR,0.5300000000000005,-0.009317400000000002,1000.5114712,0.0,1000.5114712,1.0,-53.0,0.879,0.0,0.869,close_grid_long
2,3049,NEAR,0.0,-0.0090524,1000.5024188,0.0,1000.5024188,1.0,53.0,0.854,53.0,0.854,entry_initial_normal_long
3,3484,NEAR,0.5300000000000005,-0.0091584,1001.0232604,0.0,1001.0232604,1.0,-53.0,0.864,0.0,0.854,close_grid_long
4,3542,NEAR,0.0,-0.009072,1001.0141884000001,0.0,1001.0141884000001,1.0,54.0,0.84,54.0,0.84,entry_initial_normal_long
5,3571,NEAR,0.5400000000000005,-0.00918,1001.5450084,0.0,1001.5450084,1.0,-54.0,0.85,0.0,0.84,close_grid_long
6,3591,NEAR,0.0,-0.009218,1001.5357904,0.0,1001.5357904,1.0,55.0,0.838,55.0,0.838,entry_initial_normal_long
7,3743,NEAR,0.5500000000000005,-0.009328000000000001,1002.0764624,0.0,1002.0764624,1.0,-55.0,0.848,0.0,0.838,close_grid_long
8,3867,NEAR,0.0,-0.009130000000000001,1002.0673323999999,0.0,1002.0673323999999,1.0,55.0,0.83,55.0,0.83,entry_initial_normal_long
9,4386,NEAR,0.5500000000000005,-0.00924,1002.6080923999999,0.0,1002.6080923999999,1.0,-55.0,0.84,0.0,0.83,close_grid_long
10,5629,NEAR,0.0,-0.009234000000000001,1002.5988583999999,0.0,1002.5988583999999,1.0,54.0,0.855,54.0,0.855,entry_initial_normal_long
11,5630,NEAR,0.5400000000000005,-0.009342000000000001,1003.1295163999999,0.0,1003.1295163999999,1.0,-54.0,0.865,0.0,0.855,close_grid_long
12,6679,NEAR,0.0,-0.0092,1003.1203164,0.0,1003.1203164,1.0,50.0,0.92,50.0,0.92,entry_initial_normal_long
13,6996,NEAR,0.5500000000000005,-0.00931,1003.6610064,0.0,1003.6610064,1.0,-50.0,0.931,0.0,0.92,close_grid_long
14,7327,NEAR,0.0,-0.009210600000000001,1003.6517958000001,0.0,1003.6517958000001,1.0,51.0,0.903,51.0,0.903,entry_initial_normal_long
15,8120,NEAR,0.0,-0.0447516,1003.6070442,0.0,1003.6070442,1.0,279.0,0.802,330.0,0.817609090909091,entry_grid_normal_long
16,8578,NEAR,3.117272727272702,-0.049679999999999995,1006.6746369272727,0.0,1006.6746369272727,1.0,-300.0,0.828,30.0,0.817609090909091,close_grid_long
17,8579,NEAR,0.3117272727272702,-0.004968,1006.9813962,0.0,1006.9813962,1.0,-30.0,0.828,0.0,0.817609090909091,close_grid_long
18,9103,NEAR,0.0,-0.009251200000000001,1006.972145,0.0,1006.972145,1.0,56.0,0.826,56.0,0.826,entry_initial_normal_long
19,9391,NEAR,0.5600000000000005,-0.0093632,1007.5227818,0.0,1007.5227818,1.0,-56.0,0.836,0.0,0.826,close_grid_long
20,10020,NEAR,0.0,-0.009196,1007.5135858,0.0,1007.5135858,1.0,55.0,0.836,55.0,0.836,entry_initial_normal_long
21,10021,NEAR,0.5500000000000005,-0.009306,1008.0542798,0.0,1008.0542798,1.0,-55.0,0.846,0.0,0.836,close_grid_long
22,10028,NEAR,0.0,-0.009196,1008.0450838,0.0,1008.0450838,1.0,55.0,0.836,55.0,0.836,entry_initial_normal_long
23,10074,NEAR,0.5500000000000005,-0.009306,1008.5857778000001,0.0,1008.5857778000001,1.0,-55.0,0.846,0.0,0.836,close_grid_long
24,13032,NEAR,0.0,-0.0092414,1008.5765364000001,0.0,1008.5765364000001,1.0,41.0,1.127,41.0,1.127,entry_initial_normal_long
25,13039,NEAR,0.5329999999999959,-0.009347999999999999,1009.1001884000001,0.0,1009.1001884000001,1.0,-41.0,1.14,0.0,1.127,close_grid_long
26,13046,NEAR,0.0,-0.0092332,1009.0909552,0.0,1009.0909552,1.0,41.0,1.126,41.0,1.126,entry_initial_normal_long
27,13673,NEAR,0.0,-0.0448,1009.0461552,0.0,1009.0461552,1.0,224.0,1.0,265.0,1.0194943396226415,entry_grid_normal_long
28,13693,NEAR,3.026369811320772,-0.0499488,1012.0225762113208,0.0,1012.0225762113208,1.0,-242.0,1.032,23.0,1.0194943396226415,close_grid_long
29,13694,NEAR,0.0,-0.0014449400000000002,1012.0211312713208,0.0,1012.0211312713208,1.0,7.0,1.0321,30.0,1.0224356603773586,entry_initial_partial_long
30,13695,NEAR,0.3469301886792442,-0.006204,1012.36185746,0.0,1012.36185746,1.0,-30.0,1.034,0.0,1.0224356603773586,close_grid_long
31,13696,NEAR,0.0,-0.009297,1012.3525604600001,0.0,1012.3525604600001,1.0,45.0,1.033,45.0,1.033,entry_initial_normal_long
32,13716,NEAR,0.5400000000000005,-0.009405,1012.88315546,0.0,1012.88315546,1.0,-45.0,1.045,0.0,1.033,close_grid_long
33,14394,NEAR,0.0,-0.0092278,1012.87392766,0.0,1012.87392766,1.0,43.0,1.073,43.0,1.073,entry_initial_normal_long
34,14400,NEAR,0.5160000000000005,-0.009331,1013.38059666,0.0,1013.38059666,1.0,-43.0,1.085,0.0,1.073,close_grid_long
35,14427,NEAR,0.0,-0.0092278,1013.3713688600001,0.0,1013.3713688600001,1.0,43.0,1.073,43.0,1.073,entry_initial_normal_long
36,14476,NEAR,0.5160000000000005,-0.009331,1013.8780378600001,0.0,1013.8780378600001,1.0,-43.0,1.085,0.0,1.073,close_grid_long
37,14497,NEAR,0.0,-0.009193400000000001,1013.8688444600001,0.0,1013.8688444600001,1.0,43.0,1.069,43.0,1.069,entry_initial_normal_long
38,14504,NEAR,0.5160000000000005,-0.0092966,1014.3755478600001,0.0,1014.3755478600001,1.0,-43.0,1.081,0.0,1.069,close_grid_long
39,15534,NEAR,0.0,-0.009331599999999999,1014.3662162600001,0.0,1014.3662162600001,1.0,41.0,1.138,41.0,1.138,entry_initial_normal_long
40,15581,NEAR,0.533000000000005,-0.0094382,1014.8897780600001,0.0,1014.8897780600001,1.0,-41.0,1.151,0.0,1.138,close_grid_long
41,16209,NEAR,0.0,-0.0093054,1014.8804726600001,0.0,1014.8804726600001,1.0,39.0,1.193,39.0,1.193,entry_initial_normal_long
42,16214,NEAR,0.5069999999999961,-0.0094068,1015.3780658600001,0.0,1015.3780658600001,1.0,-39.0,1.206,0.0,1.193,close_grid_long
43,16235,NEAR,0.0,-0.0093054,1015.3687604600001,0.0,1015.3687604600001,1.0,39.0,1.193,39.0,1.193,entry_initial_normal_long
44,16240,NEAR,0.5069999999999961,-0.0094068,1015.8663536600001,0.0,1015.8663536600001,1.0,-39.0,1.206,0.0,1.193,close_grid_long
45,16244,NEAR,0.0,-0.0093054,1015.85704826,0.0,1015.85704826,1.0,39.0,1.193,39.0,1.193,entry_initial_normal_long
46,16247,NEAR,0.5069999999999961,-0.0094068,1016.35464146,0.0,1016.35464146,1.0,-39.0,1.206,0.0,1.193,close_grid_long
47,16411,NEAR,0.0,-0.009375600000000001,1016.34526586,0.0,1016.34526586,1.0,39.0,1.202,39.0,1.202,entry_initial_normal_long
48,16412,NEAR,0.5070000000000048,-0.009477000000000001,1016.84278886,0.0,1016.84278886,1.0,-39.0,1.215,0.0,1.202,close_grid_long
49,16416,NEAR,0.0,-0.0093678,1016.8334210600001,0.0,1016.8334210600001,1.0,39.0,1.201,39.0,1.201,entry_initial_normal_long
50,16423,NEAR,0.5069999999999961,-0.0094692,1017.3309518600001,0.0,1017.3309518600001,1.0,-39.0,1.214,0.0,1.201,close_grid_long
51,16440,NEAR,0.0,-0.00936,1017.3215918600001,0.0,1017.3215918600001,1.0,39.0,1.2,39.0,1.2,entry_initial_normal_long
52,16787,NEAR,0.5070000000000048,-0.0094614,1017.8191304600001,0.0,1017.8191304600001,1.0,-39.0,1.213,0.0,1.2,close_grid_long
53,17449,NEAR,0.0,-0.0092872,1017.8098432600001,0.0,1017.8098432600001,1.0,38.0,1.222,38.0,1.222,entry_initial_normal_long
54,18676,NEAR,0.0,-0.045136,1017.7647072600001,0.0,1017.7647072600001,1.0,208.0,1.085,246.0,1.1061626016260164,entry_grid_normal_long
55,18730,NEAR,3.1134146341463276,-0.05040000000000001,1020.8277218941464,0.0,1020.8277218941464,1.0,-225.0,1.12,21.0,1.1061626016260164,close_grid_long
56,18731,NEAR,0.2821853658536535,-0.004702319999999999,1021.10520494,0.0,1021.10520494,1.0,-21.0,1.1196,0.0,1.1061626016260164,close_grid_long
57,18731,NEAR,0.0,-0.00156744,1021.1036375,0.0,1021.1036375,1.0,7.0,1.1196,7.0,1.1196,entry_initial_partial_long
58,18732,NEAR,0.0,-0.0047061,1021.0989314,0.0,1021.0989314,1.0,21.0,1.1205,28.0,1.1202750000000001,entry_initial_partial_long
59,18910,NEAR,0.0,-0.030477600000000004,1021.0684537999999,0.0,1021.0684537999999,1.0,153.0,0.996,181.0,1.015224861878453,entry_grid_normal_long
60,18911,NEAR,2.963900000000028,-0.03734392,1023.99500988,0.0,1023.99500988,1.0,-181.0,1.0316,0.0,1.015224861878453,close_grid_long
61,18912,NEAR,0.0,-0.0092898,1023.98572008,0.0,1023.98572008,1.0,45.0,1.0322,45.0,1.0322,entry_initial_normal_long
62,19232,NEAR,0.0,-0.04511640000000001,1023.94060368,0.0,1023.94060368,1.0,246.0,0.917,291.0,0.9348144329896908,entry_grid_normal_long
63,19262,NEAR,3.2657319587628524,-0.050759200000000004,1027.1555764387629,0.0,1027.1555764387629,1.0,-268.0,0.947,23.0,0.9348144329896908,close_grid_long
64,19263,NEAR,0.41596804123711084,-0.00438334,1027.56716114,0.0,1027.56716114,1.0,-23.0,0.9529,0.0,0.9348144329896908,close_grid_long
65,19263,NEAR,0.0,-0.0019058,1027.56525534,0.0,1027.56525534,1.0,10.0,0.9529,10.0,0.9529,entry_initial_partial_long
66,19264,NEAR,0.0,-0.00438978,1027.56086556,0.0,1027.56086556,1.0,23.0,0.9543,33.0,0.9538757575757577,entry_initial_partial_long
67,19281,NEAR,0.36709999999999454,-0.006369,1027.92159656,0.0,1027.92159656,1.0,-33.0,0.965,0.0,0.9538757575757577,close_grid_long
68,19282,NEAR,0.0,-0.009369780000000001,1027.9122267799999,0.0,1027.9122267799999,1.0,49.0,0.9561,49.0,0.9561,entry_initial_normal_long
69,19305,NEAR,0.534100000000001,-0.0094766,1028.43685018,0.0,1028.43685018,1.0,-49.0,0.967,0.0,0.9561,close_grid_long
70,19306,NEAR,0.0,-0.009457,1028.4273931799999,0.0,1028.4273931799999,1.0,49.0,0.965,49.0,0.965,entry_initial_normal_long
71,19317,NEAR,0.5390000000000005,-0.0095648,1028.95682838,0.0,1028.95682838,1.0,-49.0,0.976,0.0,0.965,close_grid_long
72,19318,NEAR,0.0,-0.00935808,1028.9474702999998,0.0,1028.9474702999998,1.0,48.0,0.9748,48.0,0.9748,entry_initial_normal_long
73,19996,NEAR,0.5375999999999994,-0.009465600000000001,1029.4756046999998,0.0,1029.4756046999998,1.0,-48.0,0.986,0.0,0.9748,close_grid_long
74,20644,NEAR,0.0,-0.0094,1029.4662047,0.0,1029.4662047,1.0,47.0,1.0,47.0,1.0,entry_initial_normal_long
75,21699,NEAR,0.5169999999999952,-0.0095034,1029.9737013,0.0,1029.9737013,1.0,-47.0,1.011,0.0,1.0,close_grid_long
76,22137,NEAR,0.0,-0.0094178,1029.9642835,0.0,1029.9642835,1.0,49.0,0.961,49.0,0.961,entry_initial_normal_long
77,22217,NEAR,0.5390000000000005,-0.0095256,1030.4937579,0.0,1030.4937579,1.0,-49.0,0.972,0.0,0.961,close_grid_long
78,24022,NEAR,0.0,-0.0094376,1030.4843203,0.0,1030.4843203,1.0,47.0,1.004,47.0,1.004,entry_initial_normal_long
79,24315,NEAR,0.5169999999999952,-0.009541000000000001,1030.9917793,0.0,1030.9917793,1.0,-47.0,1.015,0.0,1.004,close_grid_long
80,24966,NEAR,0.0,-0.0094944,1030.9822849,0.0,1030.9822849,1.0,46.0,1.032,46.0,1.032,entry_initial_normal_long
81,25085,NEAR,0.5520000000000005,-0.0096048,1031.5246801,0.0,1031.5246801,1.0,-46.0,1.044,0.0,1.032,close_grid_long
82,25295,NEAR,0.0,-0.0094484,1031.5152317,0.0,1031.5152317,1.0,46.0,1.027,46.0,1.027,entry_initial_normal_long
83,25311,NEAR,0.5520000000000005,-0.0095588,1032.0576729,0.0,1032.0576729,1.0,-46.0,1.039,0.0,1.027,close_grid_long
84,26615,NEAR,0.0,-0.0095128,1032.0481601,0.0,1032.0481601,1.0,44.0,1.081,44.0,1.081,entry_initial_normal_long
85,26626,NEAR,0.5280000000000005,-0.009618400000000001,1032.5665417,0.0,1032.5665417,1.0,-44.0,1.093,0.0,1.081,close_grid_long
86,26633,NEAR,0.0,-0.009504,1032.5570377,0.0,1032.5570377,1.0,44.0,1.08,44.0,1.08,entry_initial_normal_long
87,26858,NEAR,0.5280000000000005,-0.009609600000000001,1033.0754281,0.0,1033.0754281,1.0,-44.0,1.092,0.0,1.08,close_grid_long
88,26901,NEAR,0.0,-0.009495,1033.0659331,0.0,1033.0659331,1.0,45.0,1.055,45.0,1.055,entry_initial_normal_long
89,26903,NEAR,0.5400000000000005,-0.009603,1033.5963301,0.0,1033.5963301,1.0,-45.0,1.067,0.0,1.055,close_grid_long
90,26944,NEAR,0.0,-0.009477,1033.5868530999999,0.0,1033.5868530999999,1.0,45.0,1.053,45.0,1.053,entry_initial_normal_long
91,26962,NEAR,0.5400000000000005,-0.009585,1034.1172680999998,0.0,1034.1172680999998,1.0,-45.0,1.065,0.0,1.053,close_grid_long
92,27056,NEAR,0.0,-0.009441,1034.1078271,0.0,1034.1078271,1.0,45.0,1.049,45.0,1.049,entry_initial_normal_long
93,27065,NEAR,0.5400000000000005,-0.009549,1034.6382781,0.0,1034.6382781,1.0,-45.0,1.061,0.0,1.049,close_grid_long
94,27362,NEAR,0.0,-0.009458999999999999,1034.6288190999999,0.0,1034.6288190999999,1.0,45.0,1.051,45.0,1.051,entry_initial_normal_long
95,27371,NEAR,0.5400000000000005,-0.009567,1035.1592520999998,0.0,1035.1592520999998,1.0,-45.0,1.063,0.0,1.051,close_grid_long
96,29142,NEAR,0.0,-0.0094874,1035.1497646999999,0.0,1035.1497646999999,1.0,41.0,1.157,41.0,1.157,entry_initial_normal_long
97,29253,NEAR,0.5329999999999959,-0.009594,1035.6731707,0.0,1035.6731707,1.0,-41.0,1.17,0.0,1.157,close_grid_long
