,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,142,NEAR,0.0,-0.01282088,999.98717912,0.0,999.98717912,1.0,8.6,7.454,8.6,7.454,entry_initial_normal_long
1,181,NEAR,0.6621999999999996,-0.01295332,1000.6364258,0.0,1000.6364258,1.0,-8.6,7.531,0.0,7.454,close_grid_long
2,402,NEAR,0.0,-0.01286044,1000.6235653599999,0.0,1000.6235653599999,1.0,8.6,7.477,8.6,7.477,entry_initial_normal_long
3,420,NEAR,0.6621999999999996,-0.01299288,1001.27277248,0.0,1001.27277248,1.0,-8.6,7.554,0.0,7.477,close_grid_long
4,586,NEAR,0.0,-0.0127796,1001.2599928799999,0.0,1001.2599928799999,1.0,8.6,7.43,8.6,7.43,entry_initial_normal_long
5,622,NEAR,0.6536000000000044,-0.01291032,1001.90068256,0.0,1001.90068256,1.0,-8.6,7.506,0.0,7.43,close_grid_long
6,850,NEAR,0.0,-0.0127977,1001.88788486,0.0,1001.88788486,1.0,8.7,7.355,8.7,7.355,entry_initial_normal_long
7,870,NEAR,0.6611999999999967,-0.01292994,1002.53615492,0.0,1002.53615492,1.0,-8.7,7.431,0.0,7.355,close_grid_long
8,913,NEAR,0.0,-0.0129096,1002.52324532,0.0,1002.52324532,1.0,8.8,7.335,8.8,7.335,entry_initial_normal_long
9,1161,NEAR,0.6600000000000016,-0.013041600000000004,1003.17020372,0.0,1003.17020372,1.0,-8.8,7.41,0.0,7.335,close_grid_long
10,1190,NEAR,0.0,-0.01288542,1003.1573183,0.0,1003.1573183,1.0,8.9,7.239,8.9,7.239,entry_initial_normal_long
11,1227,NEAR,0.6585999999999986,-0.013017140000000002,1003.80290116,0.0,1003.80290116,1.0,-8.9,7.313,0.0,7.239,close_grid_long
12,1342,NEAR,0.0,-0.01282312,1003.79007804,0.0,1003.79007804,1.0,8.9,7.204,8.9,7.204,entry_initial_normal_long
13,2402,NEAR,0.6585999999999986,-0.012954839999999999,1004.4357232,0.0,1004.4357232,1.0,-8.9,7.278,0.0,7.204,close_grid_long
14,2947,NEAR,0.0,-0.01295112,1004.42277208,0.0,1004.42277208,1.0,9.1,7.116,9.1,7.116,entry_initial_normal_long
15,3651,NEAR,0.6643000000000036,-0.01308398,1005.0739881,0.0,1005.0739881,1.0,-9.1,7.189,0.0,7.116,close_grid_long
16,5754,NEAR,0.0,-0.012820180000000002,1005.06116792,0.0,1005.06116792,1.0,8.3,7.723,8.3,7.723,entry_initial_normal_long
17,5771,NEAR,0.6556999999999978,-0.012951320000000002,1005.7039166,0.0,1005.7039166,1.0,-8.3,7.802,0.0,7.723,close_grid_long
18,5806,NEAR,0.0,-0.012956160000000001,1005.6909604399999,0.0,1005.6909604399999,1.0,8.4,7.712,8.4,7.712,entry_initial_normal_long
19,5827,NEAR,0.6636000000000053,-0.01308888,1006.34147156,0.0,1006.34147156,1.0,-8.4,7.791,0.0,7.712,close_grid_long
20,5996,NEAR,0.0,-0.01293264,1006.3285389199999,0.0,1006.3285389199999,1.0,8.4,7.698,8.4,7.698,entry_initial_normal_long
21,6013,NEAR,0.6635999999999979,-0.013065360000000002,1006.97907356,0.0,1006.97907356,1.0,-8.4,7.777,0.0,7.698,close_grid_long
22,6022,NEAR,0.0,-0.012917520000000002,1006.96615604,0.0,1006.96615604,1.0,8.4,7.689,8.4,7.689,entry_initial_normal_long
23,6082,NEAR,0.6635999999999979,-0.01305024,1007.6167058,0.0,1007.6167058,1.0,-8.4,7.768,0.0,7.689,close_grid_long
24,7688,NEAR,0.0,-0.012982239999999999,1007.6037235599999,0.0,1007.6037235599999,1.0,8.2,7.916,8.2,7.916,entry_initial_normal_long
25,8421,NEAR,0.664199999999996,-0.013115079999999998,1008.25480848,0.0,1008.25480848,1.0,-8.2,7.997,0.0,7.916,close_grid_long
26,9589,NEAR,0.0,-0.012902400000000001,1008.2419060799999,0.0,1008.2419060799999,1.0,8.4,7.68,8.4,7.68,entry_initial_normal_long
27,9699,NEAR,0.6636000000000053,-0.01303512,1008.89247096,0.0,1008.89247096,1.0,-8.4,7.759,0.0,7.68,close_grid_long
28,10427,NEAR,0.0,-0.012922560000000001,1008.8795484,0.0,1008.8795484,1.0,8.4,7.692,8.4,7.692,entry_initial_normal_long
29,10548,NEAR,0.6635999999999979,-0.013055279999999999,1009.53009312,0.0,1009.53009312,1.0,-8.4,7.771,0.0,7.692,close_grid_long
30,10594,NEAR,0.0,-0.012965899999999999,1009.5171272199999,0.0,1009.5171272199999,1.0,8.5,7.627,8.5,7.627,entry_initial_normal_long
31,10611,NEAR,0.6630000000000025,-0.013098500000000003,1010.16702872,0.0,1010.16702872,1.0,-8.5,7.705,0.0,7.627,close_grid_long
32,15863,NEAR,0.0,-0.013024240000000001,1010.1540044799999,0.0,1010.1540044799999,1.0,7.1,9.172,7.1,9.172,entry_initial_normal_long
33,16278,NEAR,0.6744999999999919,-0.01315914,1010.8153453399999,0.0,1010.8153453399999,1.0,-7.1,9.267,0.0,9.172,close_grid_long
34,16409,NEAR,0.0,-0.013043520000000001,1010.8023018199999,0.0,1010.8023018199999,1.0,7.2,9.058,7.2,9.058,entry_initial_normal_long
35,16796,NEAR,0.6695999999999999,-0.013177440000000002,1011.4587243799999,0.0,1011.4587243799999,1.0,-7.2,9.151,0.0,9.058,close_grid_long
36,17670,NEAR,0.0,-0.01296334,1011.4457610399999,0.0,1011.4457610399999,1.0,7.3,8.879,7.3,8.879,entry_initial_normal_long
37,17679,NEAR,0.6643000000000079,-0.013096200000000002,1012.0969648399998,0.0,1012.0969648399998,1.0,-7.3,8.97,0.0,8.879,close_grid_long
38,19366,NEAR,0.0,-0.0129513,1012.0840135399998,0.0,1012.0840135399998,1.0,6.9,9.385,6.9,9.385,entry_initial_normal_long
39,19770,NEAR,0.6692999999999968,-0.01308516,1012.7402283799997,0.0,1012.7402283799997,1.0,-6.9,9.482,0.0,9.385,close_grid_long
40,22642,NEAR,0.0,-0.012966980000000001,1012.7272613999997,0.0,1012.7272613999997,1.0,5.3,12.233,5.3,12.233,entry_initial_normal_long
41,22678,NEAR,0.6625,-0.01309948,1013.3766619199997,0.0,1013.3766619199997,1.0,-5.3,12.358,0.0,12.233,close_grid_long
42,22687,NEAR,0.0,-0.012937299999999999,1013.3637246199997,0.0,1013.3637246199997,1.0,5.3,12.205,5.3,12.205,entry_initial_normal_long
43,22695,NEAR,0.6625,-0.013069800000000001,1014.0131548199997,0.0,1014.0131548199997,1.0,-5.3,12.33,0.0,12.205,close_grid_long
44,22701,NEAR,0.0,-0.012928819999999999,1014.0002259999998,0.0,1014.0002259999998,1.0,5.3,12.197,5.3,12.197,entry_initial_normal_long
45,22713,NEAR,0.6625,-0.013061319999999998,1014.6496646799998,0.0,1014.6496646799998,1.0,-5.3,12.322,0.0,12.197,close_grid_long
46,22721,NEAR,0.0,-0.01291292,1014.6367517599998,0.0,1014.6367517599998,1.0,5.3,12.182,5.3,12.182,entry_initial_normal_long
47,22741,NEAR,0.6625,-0.013045419999999999,1015.2862063399998,0.0,1015.2862063399998,1.0,-5.3,12.307,0.0,12.182,close_grid_long
48,22875,NEAR,0.0,-0.013149000000000001,1015.2730573399998,0.0,1015.2730573399998,1.0,5.4,12.175,5.4,12.175,entry_initial_normal_long
49,23253,NEAR,0.0,-0.0638203,1015.2092370399998,0.0,1015.2092370399998,1.0,29.5,10.817,34.9,11.027120343839544,entry_grid_normal_long
50,23284,NEAR,3.958685100286446,-0.07070368,1019.0972184602863,0.0,1019.0972184602863,1.0,-31.7,11.152,3.2,11.027120343839544,close_grid_long
51,23285,NEAR,0.36761489971345895,-0.007130880000000001,1019.4577024799997,0.0,1019.4577024799997,1.0,-3.2,11.142,0.0,11.027120343839544,close_grid_long
52,23286,NEAR,0.0,-0.013190040000000002,1019.4445124399997,0.0,1019.4445124399997,1.0,5.9,11.178,5.9,11.178,entry_initial_normal_long
53,23678,NEAR,0.6784999999999908,-0.013325739999999999,1020.1096866999997,0.0,1020.1096866999997,1.0,-5.9,11.293,0.0,11.178,close_grid_long
54,23752,NEAR,0.0,-0.01300242,1020.0966842799996,0.0,1020.0966842799996,1.0,5.9,11.019,5.9,11.019,entry_initial_normal_long
55,23783,NEAR,0.6666999999999974,-0.01313576,1020.7502485199997,0.0,1020.7502485199997,1.0,-5.9,11.132,0.0,11.019,close_grid_long
56,23920,NEAR,0.0,-0.0131748,1020.7370737199997,0.0,1020.7370737199997,1.0,6.0,10.979,6.0,10.979,entry_initial_normal_long
57,23946,NEAR,0.6780000000000079,-0.013310400000000002,1021.4017633199996,0.0,1021.4017633199996,1.0,-6.0,11.092,0.0,10.979,close_grid_long
58,24194,NEAR,0.0,-0.013014220000000002,1021.3887490999997,0.0,1021.3887490999997,1.0,5.9,11.029,5.9,11.029,entry_initial_normal_long
59,24230,NEAR,0.6666999999999974,-0.013147560000000003,1022.0423015399997,0.0,1022.0423015399997,1.0,-5.9,11.142,0.0,11.029,close_grid_long
60,24258,NEAR,0.0,-0.0131748,1022.0291267399997,0.0,1022.0291267399997,1.0,6.0,10.979,6.0,10.979,entry_initial_normal_long
61,24323,NEAR,0.6780000000000079,-0.013310400000000002,1022.6938163399997,0.0,1022.6938163399997,1.0,-6.0,11.092,0.0,10.979,close_grid_long
62,25063,NEAR,0.0,-0.01318296,1022.6806333799997,0.0,1022.6806333799997,1.0,5.7,11.564,5.7,11.564,entry_initial_normal_long
63,25081,NEAR,0.6726000000000019,-0.013317480000000001,1023.3399158999997,0.0,1023.3399158999997,1.0,-5.7,11.682,0.0,11.564,close_grid_long
64,25219,NEAR,0.0,-0.013151040000000001,1023.3267648599997,0.0,1023.3267648599997,1.0,5.7,11.536,5.7,11.536,entry_initial_normal_long
65,28444,NEAR,0.0,-0.06374878000000002,1023.2630160799997,0.0,1023.2630160799997,1.0,31.1,10.249,36.8,10.448345108695653,entry_grid_normal_long
66,28547,NEAR,3.9986698369564952,-0.07122158,1027.1904643369562,0.0,1027.1904643369562,1.0,-33.7,10.567,3.1,10.448345108695653,close_grid_long
