,balance,equity,balance_btc,equity_btc
0,999.9853492,1000.0,0.0,0.0
60,999.9853492,1000.0,0.0,0.0
120,999.9853492,1000.0,0.0,0.0
180,999.9853492,1000.0,0.0,0.0
240,999.9853492,1000.0,0.0,0.0
300,999.9853492,1000.0,0.0,0.0
360,999.9853492,1000.0,0.0,0.0
420,999.9853492,1000.0,0.0,0.0
480,999.9853492,1000.0,0.0,0.0
540,999.9853492,1000.0,0.0,0.0
600,999.9853492,1000.0,0.0,0.0
660,999.9853492,1000.0,0.0,0.0
720,999.9853492,1000.0,0.0,0.0
780,999.9853492,1000.0,0.0,0.0
840,999.9853492,1000.0,0.0,0.0
900,999.9853492,1000.0,0.0,0.0
960,999.9853492,1000.0,0.0,0.0
1020,999.9853492,1000.0,0.0,0.0
1080,999.9853492,1000.0,0.0,0.0
1140,999.9853492,1000.0,0.0,0.0
1200,999.9853492,1000.0,0.0,0.0
1260,999.9853492,1000.0,0.0,0.0
1320,999.9853492,1000.0,0.0,0.0
1380,999.9853492,1000.0,0.0,0.0
1440,999.9853492,1000.0,0.0,0.0
1500,999.9853492,1000.0,0.0,0.0
1560,999.9853492,1000.0,0.0,0.0
1620,999.9853492,1000.0,0.0,0.0
1680,999.9853492,1000.0,0.0,0.0
1740,999.9853492,1000.0,0.0,0.0
1800,999.9853492,1000.0,0.0,0.0
1860,999.9853492,1000.0,0.0,0.0
1920,999.9853492,1000.0,0.0,0.0
1980,999.9853492,999.8983492,0.0,-0.08700000000000008
2040,999.9853492,998.2105492,0.0,-1.7747999999999977
2100,1000.5795766,998.6368492,0.0,-1.3484999999999965
2160,1000.5795766,1000.5795766,0.0,0.0
2220,1000.5795766,1000.5795766,0.0,0.0
2280,1000.5795766,1000.5795766,0.0,0.0
2340,1000.5795766,1000.5795766,0.0,0.0
2400,1000.5795766,1000.5795766,0.0,0.0
2460,1000.5795766,1000.5795766,0.0,0.0
2520,1000.5795766,1000.5795766,0.0,0.0
2580,1000.5795766,1000.5795766,0.0,0.0
2640,1000.5795766,1000.5795766,0.0,0.0
2700,1000.5795766,1000.5795766,0.0,0.0
2760,1000.5795766,1000.5795766,0.0,0.0
2820,1000.5795766,1000.5795766,0.0,0.0
2880,1000.5795766,1000.5795766,0.0,0.0
2940,1000.5795766,1000.5795766,0.0,0.0
3000,1000.5795766,1000.5795766,0.0,0.0
3060,1000.5795766,1000.5795766,0.0,0.0
3120,1000.5795766,1000.5795766,0.0,0.0
3180,1000.5795766,1000.5795766,0.0,0.0
3240,1000.5795766,1000.5795766,0.0,0.0
3300,1000.5795766,1000.5795766,0.0,0.0
3360,1000.5795766,1000.5795766,0.0,0.0
3420,1000.5795766,1000.5795766,0.0,0.0
3480,1000.5795766,1000.5795766,0.0,0.0
3540,1000.5795766,1000.5795766,0.0,0.0
3600,1000.5795766,1000.5795766,0.0,0.0
3660,1000.5795766,1000.5795766,0.0,0.0
3720,1000.5795766,1000.5795766,0.0,0.0
3780,1000.5795766,1000.5795766,0.0,0.0
3840,1001.1664134,1000.5795766,0.0,0.0
3900,1001.6623854000001,1001.1664134,0.0,0.0
3960,1001.6623854000001,1001.0863854,0.0,-0.5760000000000065
4020,1002.1876614,1001.6353854,0.0,-0.02700000000000702
4080,1002.1876614,1002.1876614,0.0,0.0
4140,1002.1876614,1002.1876614,0.0,0.0
4200,1002.1876614,1002.1876614,0.0,0.0
4260,1002.1876614,1002.1876614,0.0,0.0
4320,1002.1876614,1002.1876614,0.0,0.0
4380,1002.1876614,1002.1876614,0.0,0.0
4440,1002.1876614,1002.1876614,0.0,0.0
4500,1002.1876614,1002.1876614,0.0,0.0
4560,1002.1876614,1002.1876614,0.0,0.0
4620,1002.1876614,1002.1876614,0.0,0.0
4680,1002.1876614,1002.1876614,0.0,0.0
