,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,929,NEAR,0.0,-0.014620760000000002,999.98537924,0.0,999.98537924,1.0,10.1,7.238,10.1,7.238,entry_initial_normal_long
1,934,NEAR,0.4948999999999948,-0.01471974,1000.4655595,0.0,1000.4655595,1.0,-10.1,7.287,0.0,7.238,close_grid_long
2,940,NEAR,0.0,-0.01458238,1000.4509771200001,0.0,1000.4509771200001,1.0,10.1,7.219,10.1,7.219,entry_initial_normal_long
3,945,NEAR,0.5049999999999982,-0.014683380000000001,1000.9412937400001,0.0,1000.9412937400001,1.0,-10.1,7.269,0.0,7.219,close_grid_long
4,1355,NEAR,0.0,-0.01452684,1000.9267669000001,0.0,1000.9267669000001,1.0,10.2,7.121,10.2,7.121,entry_initial_normal_long
5,1766,NEAR,0.0,-0.0716832,1000.8550837,0.0,1000.8550837,1.0,52.4,6.84,62.6,6.885785942492013,entry_grid_normal_long
6,1890,NEAR,3.1464888178913863,-0.06811,1003.9334625178914,0.0,1003.9334625178914,1.0,-49.0,6.95,13.6,6.885785942492013,close_grid_long
7,1963,NEAR,0.9549111821086328,-0.01892032,1004.86945338,0.0,1004.86945338,1.0,-13.6,6.956,0.0,6.885785942492013,close_grid_long
8,2946,NEAR,0.0,-0.01466514,1004.85478824,0.0,1004.85478824,1.0,10.3,7.119,10.3,7.119,entry_initial_normal_long
9,3650,NEAR,0.49440000000000045,-0.01476402,1005.33442422,0.0,1005.33442422,1.0,-10.3,7.167,0.0,7.119,close_grid_long
10,5996,NEAR,0.0,-0.014591999999999999,1005.31983222,0.0,1005.31983222,1.0,9.5,7.68,9.5,7.68,entry_initial_normal_long
11,6004,NEAR,0.49400000000000466,-0.014690800000000002,1005.79914142,0.0,1005.79914142,1.0,-9.5,7.732,0.0,7.68,close_grid_long
12,7688,NEAR,0.0,-0.014727480000000003,1005.7844139399999,0.0,1005.7844139399999,1.0,9.3,7.918,9.3,7.918,entry_initial_normal_long
13,7695,NEAR,0.5022000000000025,-0.014827920000000003,1006.2717860199999,0.0,1006.2717860199999,1.0,-9.3,7.972,0.0,7.918,close_grid_long
14,7696,NEAR,0.0,-0.014721900000000003,1006.2570641199999,0.0,1006.2570641199999,1.0,9.3,7.915,9.3,7.915,entry_initial_normal_long
15,8419,NEAR,0.5022000000000025,-0.014822340000000003,1006.7444417799999,0.0,1006.7444417799999,1.0,-9.3,7.969,0.0,7.915,close_grid_long
16,9590,NEAR,0.0,-0.014626560000000002,1006.7298152199999,0.0,1006.7298152199999,1.0,9.6,7.618,9.6,7.618,entry_initial_normal_long
17,9670,NEAR,0.5087999999999994,-0.01472832,1007.2238868999999,0.0,1007.2238868999999,1.0,-9.6,7.671,0.0,7.618,close_grid_long
18,10428,NEAR,0.0,-0.01470144,1007.20918546,0.0,1007.20918546,1.0,9.6,7.657,9.6,7.657,entry_initial_normal_long
19,10437,NEAR,0.49919999999999615,-0.01480128,1007.6935841799999,0.0,1007.6935841799999,1.0,-9.6,7.709,0.0,7.657,close_grid_long
20,16409,NEAR,0.0,-0.014648040000000001,1007.6789361399999,0.0,1007.6789361399999,1.0,8.1,9.042,8.1,9.042,entry_initial_normal_long
21,16795,NEAR,0.5507999999999968,-0.0147582,1008.2149779399999,0.0,1008.2149779399999,1.0,-8.1,9.11,0.0,9.042,close_grid_long
22,19190,NEAR,0.0,-0.01465308,1008.2003248599999,0.0,1008.2003248599999,1.0,7.8,9.393,7.8,9.393,entry_initial_normal_long
23,19191,NEAR,0.4992000000000004,-0.014752920000000001,1008.6847719399999,0.0,1008.6847719399999,1.0,-7.8,9.457,0.0,9.393,close_grid_long
24,19366,NEAR,0.0,-0.014648400000000002,1008.6701235399998,0.0,1008.6701235399998,1.0,7.8,9.39,7.8,9.39,entry_initial_normal_long
25,19494,NEAR,0.4992000000000004,-0.014748240000000003,1009.1545752999998,0.0,1009.1545752999998,1.0,-7.8,9.454,0.0,9.39,close_grid_long
26,19571,NEAR,0.0,-0.014616,1009.1399592999998,0.0,1009.1399592999998,1.0,8.0,9.135,8.0,9.135,entry_initial_normal_long
27,19573,NEAR,0.519999999999996,-0.014719999999999999,1009.6452392999997,0.0,1009.6452392999997,1.0,-8.0,9.2,0.0,9.135,close_grid_long
28,22645,NEAR,0.0,-0.01479372,1009.6304455799998,0.0,1009.6304455799998,1.0,6.1,12.126,6.1,12.126,entry_initial_normal_long
29,22649,NEAR,0.49410000000000787,-0.014892540000000001,1010.1096530399998,0.0,1010.1096530399998,1.0,-6.1,12.207,0.0,12.126,close_grid_long
30,22705,NEAR,0.0,-0.014704660000000001,1010.0949483799998,0.0,1010.0949483799998,1.0,6.1,12.053,6.1,12.053,entry_initial_normal_long
31,22706,NEAR,0.49409999999999704,-0.014803479999999999,1010.5742448999998,0.0,1010.5742448999998,1.0,-6.1,12.134,0.0,12.053,close_grid_long
32,22875,NEAR,0.0,-0.0148047,1010.5594401999998,0.0,1010.5594401999998,1.0,6.1,12.135,6.1,12.135,entry_initial_normal_long
33,23103,NEAR,0.6465999999999992,-0.01493402,1011.1911061799998,0.0,1011.1911061799998,1.0,-6.1,12.241,0.0,12.135,close_grid_long
34,23113,NEAR,0.0,-0.014770880000000004,1011.1763352999998,0.0,1011.1763352999998,1.0,6.2,11.912,6.2,11.912,entry_initial_normal_long
35,23213,NEAR,0.0,-0.07277112000000001,1011.1035641799998,0.0,1011.1035641799998,1.0,31.8,11.442,38.0,11.518684210526317,entry_grid_normal_long
36,23253,NEAR,0.0,-0.24905664,1010.8545075399998,0.0,1010.8545075399998,1.0,113.6,10.962,151.6,11.101538258575198,entry_grid_cropped_long
37,23267,NEAR,0.0,-0.01662,1010.8378875399998,0.0,1010.8378875399998,1.0,7.5,11.079999999999998,159.1,11.100522941546197,entry_trailing_cropped_long
38,23292,NEAR,-0.18060188560653503,-0.019500800000000002,1010.6377848543932,0.0,1010.6377848543932,1.0,-8.8,11.08,150.3,11.100522941546197,close_trailing_long
39,23299,NEAR,-0.18060188560653503,-0.019500800000000002,1010.4376821687866,0.0,1010.4376821687866,1.0,-8.8,11.08,141.5,11.100522941546197,close_trailing_long
40,23317,NEAR,0.14442199874293174,-0.007577240000000001,1010.5745269275295,0.0,1010.5745269275295,1.0,-3.4,11.143,138.1,11.100522941546197,close_trailing_long
41,23356,NEAR,-0.002052294154619716,-0.00022160000000000002,1010.5722530333749,0.0,1010.5722530333749,1.0,-0.1,11.08,138.0,11.100522941546197,close_trailing_long
42,23678,NEAR,5.9397456945317595,-0.06934516,1016.4426535679066,0.0,1016.4426535679066,1.0,-30.7,11.294,107.3,11.100522941546197,close_grid_long
43,23679,NEAR,11.954847265870507,-0.17200696000000001,1028.2254938737772,0.0,1028.2254938737772,1.0,-76.4,11.257,30.9,11.100522941546197,close_grid_long
44,23679,NEAR,5.082341106222523,-0.0696177,1033.2382172799996,0.0,1033.2382172799996,1.0,-30.9,11.265,0.0,11.100522941546197,close_grid_long
45,23758,NEAR,0.0,-0.0150696,1033.2231476799996,0.0,1033.2231476799996,1.0,6.9,10.92,6.9,10.92,entry_initial_normal_long
46,23761,NEAR,0.5037000000000028,-0.015170340000000003,1033.7116773399996,0.0,1033.7116773399996,1.0,-6.9,10.993,0.0,10.92,close_grid_long
47,24194,NEAR,0.0,-0.0149668,1033.6967105399997,0.0,1033.6967105399997,1.0,6.8,11.005,6.8,11.005,entry_initial_normal_long
48,24226,NEAR,0.5031999999999989,-0.01506744,1034.1848430999996,0.0,1034.1848430999996,1.0,-6.8,11.079,0.0,11.005,close_grid_long
49,24268,NEAR,0.0,-0.0151774,1034.1696656999995,0.0,1034.1696656999995,1.0,7.0,10.841,7.0,10.841,entry_initial_normal_long
50,24286,NEAR,0.5110000000000028,-0.0152796,1034.6653860999995,0.0,1034.6653860999995,1.0,-7.0,10.914,0.0,10.841,close_grid_long
51,25219,NEAR,0.0,-0.01511928,1034.6502668199996,0.0,1034.6502668199996,1.0,6.6,11.454,6.6,11.454,entry_initial_normal_long
