,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2292,ONDO,0.0,-0.04507256,999.95492744,0.0,999.95492744,1.0,988.0,0.2281,988.0,0.2281,entry_initial_normal_long
1,2512,ONDO,5.038799999999993,-0.04608032,1004.94764712,0.0,1004.94764712,1.0,-988.0,0.2332,0.0,0.2281,close_grid_long
2,3020,ONDO,0.0,-0.045298272,1004.9023488480001,0.0,1004.9023488480001,1.0,970.4,0.2334,970.4,0.2334,entry_initial_normal_long
3,3913,ONDO,5.143119999999999,-0.046326896,1009.9991419520001,0.0,1009.9991419520001,1.0,-970.4,0.2387,0.0,0.2334,close_grid_long
4,5137,ONDO,0.0,-0.045524844,1009.953617108,0.0,1009.953617108,1.0,917.1,0.2482,917.1,0.2482,entry_initial_normal_long
5,5138,ONDO,5.13576000000002,-0.04655199600000001,1015.0428251120001,0.0,1015.0428251120001,1.0,-917.1,0.2538,0.0,0.2482,close_grid_long
6,5182,ONDO,0.0,-0.045749706,1014.997075406,0.0,1014.997075406,1.0,918.3,0.2491,918.3,0.2491,entry_initial_normal_long
7,5188,ONDO,5.142479999999994,-0.046778202,1020.0927772040001,0.0,1020.0927772040001,1.0,-918.3,0.2547,0.0,0.2491,close_grid_long
8,5208,ONDO,0.0,-0.045980339999999995,1020.046796864,0.0,1020.046796864,1.0,923.3,0.249,923.3,0.249,entry_initial_normal_long
9,5247,ONDO,5.170479999999994,-0.047014436,1025.1702624280001,0.0,1025.1702624280001,1.0,-923.3,0.2546,0.0,0.249,close_grid_long
10,5326,ONDO,0.0,-0.046209528,1025.1240529000002,0.0,1025.1240529000002,1.0,939.6,0.2459,939.6,0.2459,entry_initial_normal_long
11,5457,ONDO,5.167800000000005,-0.04724308800000001,1030.2446098120001,0.0,1030.2446098120001,1.0,-939.6,0.2514,0.0,0.2459,close_grid_long
12,6522,ONDO,0.0,-0.046438280000000005,1030.198171532,0.0,1030.198171532,1.0,872.9,0.266,872.9,0.266,entry_initial_normal_long
13,6548,ONDO,5.2374000000000045,-0.04748576000000001,1035.388085772,0.0,1035.388085772,1.0,-872.9,0.272,0.0,0.266,close_grid_long
14,7498,ONDO,0.0,-0.046668416,1035.341417356,0.0,1035.341417356,1.0,847.9,0.2752,847.9,0.2752,entry_initial_normal_long
15,8173,ONDO,0.0,-0.32273365600000004,1035.0186836999999,0.0,1035.0186836999999,1.0,6318.2,0.2554,7166.1,0.25774275547368863,entry_grid_normal_long
16,8181,ONDO,0.8369755678821077,-0.02471997,1035.830939297882,0.0,1035.830939297882,1.0,-476.3,0.2595,6689.8,0.25774275547368863,close_trailing_long
17,8193,ONDO,20.039182066395824,-0.174545908,1055.6955754562778,0.0,1055.6955754562778,1.0,-3308.3,0.2638,3381.5,0.25774275547368863,close_grid_long
18,8195,ONDO,21.49702236572189,-0.17861083000000003,1077.0139869919997,0.0,1077.0139869919997,1.0,-3381.5,0.2641,0.0,0.25774275547368863,close_grid_long
