,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2292,ONDO,0.0,-0.04507256,999.95492744,0.0,999.95492744,1.0,988.0,0.2281,988.0,0.2281,entry_initial_normal_long
1,2511,ONDO,5.038799999999993,-0.04608032,1004.94764712,0.0,1004.94764712,1.0,-988.0,0.2332,0.0,0.2281,close_grid_long
2,3020,ONDO,0.0,-0.045299000000000006,1004.90234812,0.0,1004.90234812,1.0,970.0,0.2335,970.0,0.2335,entry_initial_normal_long
3,3914,ONDO,5.140999999999999,-0.046327200000000006,1009.9970209200001,0.0,1009.9970209200001,1.0,-970.0,0.2388,0.0,0.2335,close_grid_long
4,5182,ONDO,0.0,-0.045535479999999996,1009.95148544,0.0,1009.95148544,1.0,914.0,0.2491,914.0,0.2491,entry_initial_normal_long
5,5188,ONDO,5.118399999999994,-0.04655916,1015.0233262800001,0.0,1015.0233262800001,1.0,-914.0,0.2547,0.0,0.2491,close_grid_long
6,5208,ONDO,0.0,-0.0457662,1014.9775600800001,0.0,1014.9775600800001,1.0,919.0,0.249,919.0,0.249,entry_initial_normal_long
7,5247,ONDO,5.1463999999999945,-0.04679548,1020.0771646000001,0.0,1020.0771646000001,1.0,-919.0,0.2546,0.0,0.249,close_grid_long
8,5326,ONDO,0.0,-0.045983300000000005,1020.0311813000001,0.0,1020.0311813000001,1.0,935.0,0.2459,935.0,0.2459,entry_initial_normal_long
9,5457,ONDO,5.1425000000000045,-0.0470118,1025.1266695000002,0.0,1025.1266695000002,1.0,-935.0,0.2514,0.0,0.2459,close_grid_long
10,6522,ONDO,0.0,-0.04619496000000001,1025.08047454,0.0,1025.08047454,1.0,868.0,0.2661,868.0,0.2661,entry_initial_normal_long
11,6548,ONDO,5.208000000000005,-0.047236560000000004,1030.24123798,0.0,1030.24123798,1.0,-868.0,0.2721,0.0,0.2661,close_grid_long
12,7498,ONDO,0.0,-0.046415580000000005,1030.1948224,0.0,1030.1948224,1.0,843.0,0.2753,843.0,0.2753,entry_initial_normal_long
13,8146,ONDO,0.0,-0.3210102,1029.8738122,0.0,1029.8738122,1.0,6282.0,0.2555,7125.0,0.25784265263157896,entry_grid_normal_long
14,8149,ONDO,0.1683106105263022,-0.024322439999999997,1030.0178003705262,0.0,1030.0178003705262,1.0,-471.0,0.2582,6654.0,0.25784265263157896,close_trailing_long
15,8193,ONDO,19.922615494736874,-0.17359342000000003,1049.766822445263,0.0,1049.766822445263,1.0,-3289.0,0.2639,3365.0,0.25784265263157896,close_grid_long
16,8194,ONDO,20.719473894736836,-0.17767200000000002,1070.3086243399998,0.0,1070.3086243399998,1.0,-3365.0,0.264,0.0,0.25784265263157896,close_grid_long
17,8502,ONDO,0.0,-0.04824582000000001,1070.26037852,0.0,1070.26037852,1.0,939.0,0.2569,939.0,0.2569,entry_initial_normal_long
18,8607,ONDO,5.4461999999999735,-0.04933506,1075.6572434599998,0.0,1075.6572434599998,1.0,-939.0,0.2627,0.0,0.2569,close_grid_long
19,9109,ONDO,0.0,-0.04850510000000001,1075.6087383599997,0.0,1075.6087383599997,1.0,931.0,0.2605,931.0,0.2605,entry_initial_normal_long
20,10895,ONDO,0.0,-0.33533458000000005,1075.2734037799996,0.0,1075.2734037799996,1.0,6937.0,0.2417,7868.0,0.24392455516014236,entry_grid_normal_long
21,11014,ONDO,0.9303330960854048,-0.025749360000000002,1076.177987516085,0.0,1076.177987516085,1.0,-524.0,0.2457,7344.0,0.24392455516014236,close_trailing_long
22,11142,ONDO,20.97641565836297,-0.18138208,1096.973021094448,0.0,1096.973021094448,1.0,-3632.0,0.2497,3712.0,0.24392455516014236,close_grid_long
23,11143,ONDO,23.665651245551647,-0.18582272000000002,1120.4528496199998,0.0,1120.4528496199998,1.0,-3712.0,0.2503,0.0,0.24392455516014236,close_grid_long
24,13968,ONDO,0.0,-0.050496,1120.4023536199998,0.0,1120.4023536199998,1.0,800.0,0.3156,800.0,0.3156,entry_initial_normal_long
25,14022,ONDO,5.679999999999996,-0.051632,1126.0307216199997,0.0,1126.0307216199997,1.0,-800.0,0.3227,0.0,0.3156,close_grid_long
26,14458,ONDO,0.0,-0.05076,1125.9799616199996,0.0,1125.9799616199996,1.0,750.0,0.3384,750.0,0.3384,entry_initial_normal_long
27,14741,ONDO,5.699999999999997,-0.0519,1131.6280616199995,0.0,1131.6280616199995,1.0,-750.0,0.346,0.0,0.3384,close_grid_long
28,14957,ONDO,0.0,-0.05098308,1131.5770785399995,0.0,1131.5770785399995,1.0,758.0,0.3363,758.0,0.3363,entry_initial_normal_long
29,15049,ONDO,5.685000000000005,-0.05212008,1137.2099584599996,0.0,1137.2099584599996,1.0,-758.0,0.3438,0.0,0.3363,close_grid_long
30,15275,ONDO,0.0,-0.05124128000000001,1137.1587171799995,0.0,1137.1587171799995,1.0,752.0,0.3407,752.0,0.3407,entry_initial_normal_long
31,15329,ONDO,0.0,-0.35439696,1136.8043202199995,0.0,1136.8043202199995,1.0,5604.0,0.3162,6356.0,0.3190986784140969,entry_grid_normal_long
32,15335,ONDO,0.2110563876652063,-0.02691032,1136.9884662876646,0.0,1136.9884662876646,1.0,-421.0,0.3196,5935.0,0.3190986784140969,close_trailing_long
33,15361,ONDO,22.008877533039723,-0.19164888000000002,1158.8056949407044,0.0,1158.8056949407044,1.0,-2934.0,0.3266,3001.0,0.3190986784140969,close_grid_long
34,15489,ONDO,24.222951541850264,-0.1956656,1182.8329808825547,0.0,1182.8329808825547,1.0,-2990.0,0.3272,11.0,0.3190986784140969,close_grid_long
35,15492,ONDO,0.08691453744493433,-0.0007194,1182.9191760199997,0.0,1182.9191760199997,1.0,-11.0,0.327,0.0,0.3190986784140969,close_grid_long
