,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,481,PEPE,0.0,-0.04831096,999.95168904,0.0,999.95168904,1.0,161900.0,0.001492,161900.0,0.001492,entry_initial_normal_long
1,486,PEPE,5.0512799999999825,-0.049321216,1004.953647824,0.0,1004.953647824,1.0,-161900.0,0.0015232,0.0,0.001492,close_trailing_long
2,839,PEPE,0.0,-0.048549680000000005,1004.905098144,0.0,1004.905098144,1.0,162700.0,0.001492,162700.0,0.001492,entry_initial_normal_long
3,846,PEPE,0.683339999999999,-0.048686348000000004,1005.539751796,0.0,1005.539751796,1.0,-162700.0,0.0014962,0.0,0.001492,close_trailing_long
4,2583,PEPE,0.0,-0.04857732,1005.491174476,0.0,1005.491174476,1.0,136300.0,0.001782,136300.0,0.001782,entry_initial_normal_long
5,2585,PEPE,0.6406100000000082,-0.048705442,1006.083079034,0.0,1006.083079034,1.0,-136300.0,0.0017867,0.0,0.001782,close_trailing_long
6,2586,PEPE,0.0,-0.048629658000000006,1006.034449376,0.0,1006.034449376,1.0,136700.0,0.0017787,136700.0,0.0017787,entry_initial_normal_long
7,2642,PEPE,1.0525900000000032,-0.048840176000000006,1007.0381992,0.0,1007.0381992,1.0,-136700.0,0.0017864,0.0,0.0017787,close_trailing_long
8,2801,PEPE,0.0,-0.048654060000000006,1006.98954514,0.0,1006.98954514,1.0,140700.0,0.001729,140700.0,0.001729,entry_initial_normal_long
9,2922,PEPE,0.6331499999999926,-0.04878069,1007.57391445,0.0,1007.57391445,1.0,-140700.0,0.0017335,0.0,0.001729,close_trailing_long
10,3002,PEPE,0.0,-0.0486752,1007.5252392499999,0.0,1007.5252392499999,1.0,143500.0,0.001696,143500.0,0.001696,entry_initial_normal_long
11,3080,PEPE,1.19104999999999,-0.048913410000000004,1008.6673758399999,0.0,1008.6673758399999,1.0,-143500.0,0.0017043,0.0,0.001696,close_trailing_long
