,balance,equity,balance_btc,equity_btc
0,1022.3042176,1000.0,0.0,0.0
60,1022.3042176,1000.0,0.0,0.0
120,1022.3042176,1000.0,0.0,0.0
180,1022.3042176,1000.0,0.0,0.0
240,1022.3042176,1000.0,0.0,0.0
300,1022.3042176,1000.0,0.0,0.0
360,1022.3042176,1000.0,0.0,0.0
420,1022.3042176,1000.0,0.0,0.0
480,1022.3042176,1000.0,0.0,0.0
540,1022.3042176,1000.0,0.0,0.0
600,1022.3042176,1000.0,0.0,0.0
660,1022.3042176,1000.0,0.0,0.0
720,1022.3042176,1000.0,0.0,0.0
780,1022.3042176,1000.0,0.0,0.0
840,1022.3042176,1000.0,0.0,0.0
900,1022.3042176,1000.0,0.0,0.0
960,1022.3042176,1000.0,0.0,0.0
1020,1022.3042176,1000.0,0.0,0.0
1080,1022.3042176,1000.0,0.0,0.0
1140,1022.3042176,1000.0,0.0,0.0
1200,1022.3042176,1000.0,0.0,0.0
1260,1022.3042176,1000.0,0.0,0.0
1320,1022.3042176,1000.0,0.0,0.0
1380,1022.3042176,1000.0,0.0,0.0
1440,1022.3042176,1000.0,0.0,0.0
1500,1022.3042176,1000.0,0.0,0.0
1560,1022.3042176,1000.0,0.0,0.0
1620,1022.3042176,1000.0,0.0,0.0
1680,1022.3042176,1000.0,0.0,0.0
1740,1022.3042176,1000.0,0.0,0.0
1800,1022.3042176,1000.0,0.0,0.0
1860,1022.3042176,1000.0,0.0,0.0
1920,1022.3042176,1000.0,0.0,0.0
1980,1022.3042176,1000.0,0.0,0.0
2040,1022.3042176,1000.0,0.0,0.0
2100,1022.3042176,1000.0,0.0,0.0
2160,1022.3042176,1000.0,0.0,0.0
2220,1022.3042176,1000.0,0.0,0.0
2280,1022.3042176,1000.0,0.0,0.0
2340,1022.3042176,1000.0,0.0,0.0
2400,1022.3042176,1000.0,0.0,0.0
2460,1022.3042176,1000.0,0.0,0.0
2520,1022.3042176,1000.0,0.0,0.0
2580,1022.3042176,1000.0,0.0,0.0
2640,1022.3042176,1000.0,0.0,0.0
2700,1022.3042176,1000.0,0.0,0.0
2760,1022.3042176,1000.0,0.0,0.0
2820,1022.3042176,1000.0,0.0,0.0
2880,1022.3042176,1000.0,0.0,0.0
2940,1022.3042176,1000.0,0.0,0.0
3000,1022.3042176,1000.0,0.0,0.0
3060,1022.3042176,1022.3042176,0.0,0.0
3120,1022.3042176,1022.3042176,0.0,0.0
3180,1022.3042176,1022.3042176,0.0,0.0
3240,1022.3042176,1022.3042176,0.0,0.0
3300,1022.3042176,1022.3042176,0.0,0.0
3360,1022.3042176,1022.3042176,0.0,0.0
3420,1022.3042176,1022.3042176,0.0,0.0
3480,1022.3042176,1022.3042176,0.0,0.0
3540,1022.3042176,1022.3042176,0.0,0.0
3600,1022.3042176,1022.3042176,0.0,0.0
3660,1022.3042176,1022.3042176,0.0,0.0
3720,1022.0285893,1022.3042176,0.0,0.0
3780,1044.22510216,1034.6720893000002,0.0,12.643500000000033
3840,1067.5664694400002,1067.5664694400002,0.0,0.0
3900,1090.8800290400004,1067.5664694400002,0.0,0.0
3960,1090.8800290400004,1090.8800290400004,0.0,0.0
4020,1090.8800290400004,1090.8800290400004,0.0,0.0
4080,1090.8800290400004,1090.8800290400004,0.0,0.0
4140,1090.8800290400004,1090.8800290400004,0.0,0.0
4200,1090.8800290400004,1090.8800290400004,0.0,0.0
4260,1090.8800290400004,1090.8800290400004,0.0,0.0
4320,1090.8800290400004,1090.8800290400004,0.0,0.0
4380,1090.8800290400004,1090.8800290400004,0.0,0.0
4440,1090.8800290400004,1090.8800290400004,0.0,0.0
4500,1090.8800290400004,1090.8800290400004,0.0,0.0
4560,1090.8800290400004,1090.8800290400004,0.0,0.0
4620,1090.8800290400004,1090.8800290400004,0.0,0.0
4680,1090.8800290400004,1090.8800290400004,0.0,0.0
4740,1090.8800290400004,1090.8800290400004,0.0,0.0
4800,1090.8800290400004,1090.8800290400004,0.0,0.0
4860,1090.8800290400004,1090.8800290400004,0.0,0.0
4920,1090.8800290400004,1090.8800290400004,0.0,0.0
4980,1090.8800290400004,1090.8800290400004,0.0,0.0
5040,1090.8800290400004,1090.8800290400004,0.0,0.0
5100,1090.8800290400004,1090.8800290400004,0.0,0.0
5160,1090.8800290400004,1090.8800290400004,0.0,0.0
5220,1090.8800290400004,1090.8800290400004,0.0,0.0
5280,1090.8800290400004,1090.8800290400004,0.0,0.0
5340,1090.8800290400004,1090.8800290400004,0.0,0.0
5400,1090.8800290400004,1090.8800290400004,0.0,0.0
5460,1090.8800290400004,1090.8800290400004,0.0,0.0
5520,1090.8800290400004,1090.8800290400004,0.0,0.0
5580,1090.8800290400004,1090.8800290400004,0.0,0.0
5640,1090.8800290400004,1090.8800290400004,0.0,0.0
5700,1090.8800290400004,1090.8800290400004,0.0,0.0
5760,1090.8800290400004,1090.8800290400004,0.0,0.0
5820,1090.8800290400004,1090.8800290400004,0.0,0.0
5880,1090.8800290400004,1090.8800290400004,0.0,0.0
5940,1090.8800290400004,1090.8800290400004,0.0,0.0
6000,1090.8800290400004,1090.8800290400004,0.0,0.0
6060,1090.8800290400004,1090.8800290400004,0.0,0.0
6120,1090.8800290400004,1090.8800290400004,0.0,0.0
6180,1090.8800290400004,1090.8800290400004,0.0,0.0
6240,1090.8800290400004,1090.8800290400004,0.0,0.0
6300,1090.8800290400004,1090.8800290400004,0.0,0.0
6360,1090.8800290400004,1090.8800290400004,0.0,0.0
6420,1090.8800290400004,1090.8800290400004,0.0,0.0
6480,1090.8800290400004,1090.8800290400004,0.0,0.0
6540,1090.8800290400004,1090.8800290400004,0.0,0.0
6600,1090.8800290400004,1090.8800290400004,0.0,0.0
6660,1090.8800290400004,1090.8800290400004,0.0,0.0
6720,1090.8800290400004,1090.8800290400004,0.0,0.0
6780,1090.8800290400004,1090.8800290400004,0.0,0.0
6840,1090.8800290400004,1090.8800290400004,0.0,0.0
