,balance,equity,balance_btc,equity_btc
0,1000.8035168221,1000.0,0.0,0.0
60,1000.8035168221,1000.0,0.0,0.0
120,1000.8035168221,1000.0,0.0,0.0
180,1000.8035168221,1000.8035168221,0.0,0.0
240,1000.8035168221,1000.8035168221,0.0,0.0
300,1000.8035168221,1000.8035168221,0.0,0.0
360,1000.8035168221,1000.8035168221,0.0,0.0
420,1000.8035168221,1000.8035168221,0.0,0.0
480,1000.8035168221,1000.8035168221,0.0,0.0
540,1000.8035168221,1000.8035168221,0.0,0.0
600,1000.8035168221,1000.8035168221,0.0,0.0
660,1000.8035168221,1000.8035168221,0.0,0.0
720,1000.8035168221,1000.8035168221,0.0,0.0
780,1002.08514586246,1000.8035168221,0.0,0.0
840,1002.91486593036,1001.18451036246,0.0,-0.9006355000000055
900,1002.91486593036,1002.91486593036,0.0,0.0
960,1002.91486593036,1002.91486593036,0.0,0.0
1020,1002.91486593036,1002.91486593036,0.0,0.0
1080,1002.91486593036,1002.91486593036,0.0,0.0
1140,1002.91486593036,1002.91486593036,0.0,0.0
1200,1002.91486593036,1002.91486593036,0.0,0.0
1260,1002.91486593036,1002.91486593036,0.0,0.0
1320,1002.91486593036,1002.91486593036,0.0,0.0
1380,1002.91486593036,1002.91486593036,0.0,0.0
1440,1002.91486593036,1002.91486593036,0.0,0.0
1500,1002.91486593036,1002.91486593036,0.0,0.0
1560,1002.91486593036,1002.91486593036,0.0,0.0
1620,1002.91486593036,1002.91486593036,0.0,0.0
1680,1002.91486593036,1002.91486593036,0.0,0.0
1740,1002.91486593036,1002.91486593036,0.0,0.0
1800,1002.91486593036,1002.91486593036,0.0,0.0
1860,1002.91486593036,1002.91486593036,0.0,0.0
1920,1002.91486593036,1002.91486593036,0.0,0.0
1980,1002.91486593036,1002.91486593036,0.0,0.0
2040,1002.91486593036,1002.91486593036,0.0,0.0
2100,1002.91486593036,1002.91486593036,0.0,0.0
2160,1002.91486593036,1002.91486593036,0.0,0.0
2220,1002.91486593036,1002.91486593036,0.0,0.0
2280,1002.91486593036,1002.91486593036,0.0,0.0
2340,1002.91486593036,1002.91486593036,0.0,0.0
2400,1002.91486593036,1002.91486593036,0.0,0.0
2460,1002.91486593036,1002.91486593036,0.0,0.0
2520,1002.91486593036,1002.91486593036,0.0,0.0
2580,1005.2857963081399,1002.91486593036,0.0,0.0
2640,1006.1159481437799,1006.0856259081398,0.0,0.7998296000000006
2700,1006.1159481437799,1006.1159481437799,0.0,0.0
2760,1006.0855616614799,1006.1159481437799,0.0,0.0
2820,1006.0855616614799,1004.73567466148,0.0,-1.3498869999999854
2880,1006.92278612228,1004.3236961614799,0.0,-1.7618654999999905
2940,1006.92278612228,1006.92278612228,0.0,0.0
3000,1006.89237556172,1006.92278612228,0.0,0.0
3060,1007.730562047,1006.23855836172,0.0,-0.6538171999999819
3120,1007.730562047,1007.730562047,0.0,0.0
3180,1007.730562047,1007.730562047,0.0,0.0
3240,1007.730562047,1007.730562047,0.0,0.0
3300,1007.730562047,1007.730562047,0.0,0.0
3360,1007.730562047,1007.730562047,0.0,0.0
3420,1007.730562047,1007.730562047,0.0,0.0
3480,1007.730562047,1007.730562047,0.0,0.0
3540,1007.730562047,1007.730562047,0.0,0.0
3600,1007.730562047,1007.730562047,0.0,0.0
3660,1007.730562047,1007.730562047,0.0,0.0
3720,1007.70012693034,1007.730562047,0.0,0.0
3780,1007.70012693034,1004.36076593034,0.0,-3.3393610000000127
3840,1007.70012693034,1003.21455283034,0.0,-4.4855740999999965
3900,1007.6166084709,1001.9058843303401,0.0,-5.794242600000014
3960,1007.6166084709,1006.5969599709,0.0,-1.0196485000000046
4020,1007.6166084709,1004.6428649709,0.0,-2.9737435000000327
4080,1011.6694068777,1008.3023519709,0.0,0.6857434999999596
4140,1011.6694068777,1011.6694068777,0.0,0.0
4200,1011.6694068777,1011.6694068777,0.0,0.0
4260,1011.6694068777,1011.6694068777,0.0,0.0
4320,1012.53852815064,1012.59985570974,0.0,0.961002899999997
4380,1012.53852815064,1011.15414175064,0.0,-1.384386400000002
4440,1012.53852815064,1010.1889709506399,0.0,-2.349557199999999
4500,1012.53852815064,1010.03298375064,0.0,-2.505544400000003
4560,1012.53852815064,1009.63326655064,0.0,-2.9052615999999967
4620,1012.53852815064,1010.29621215064,0.0,-2.2423160000000015
4680,1012.53852815064,1009.87699655064,0.0,-2.6615316000000067
4740,1012.53852815064,1011.70984615064,0.0,-0.8286820000000042
4800,1012.53852815064,1011.84633495064,0.0,-0.6921931999999904
4860,1013.37545212432,1011.71959535064,0.0,-0.8189327999999988
4920,1013.37545212432,1013.37545212432,0.0,0.0
4980,1013.37545212432,1013.37545212432,0.0,0.0
5040,1013.37545212432,1013.37545212432,0.0,0.0
5100,1013.37545212432,1013.37545212432,0.0,0.0
5160,1013.37545212432,1013.37545212432,0.0,0.0
5220,1014.16095398734,1013.37545212432,0.0,0.0
5280,1014.16095398734,1013.99119708734,0.0,-0.16975690000000954
5340,1014.16095398734,1013.74155458734,0.0,-0.41939939999999937
5400,1015.00888970284,1013.90132578734,0.0,-0.2596281999999955
5460,1015.00888970284,1015.00888970284,0.0,0.0
5520,1015.00888970284,1015.00888970284,0.0,0.0
5580,1015.00888970284,1015.00888970284,0.0,0.0
5640,1015.00888970284,1015.00888970284,0.0,0.0
5700,1015.00888970284,1015.00888970284,0.0,0.0
5760,1015.00888970284,1015.00888970284,0.0,0.0
5820,1015.00888970284,1015.00888970284,0.0,0.0
5880,1015.00888970284,1015.00888970284,0.0,0.0
5940,1015.00888970284,1015.00888970284,0.0,0.0
6000,1015.00888970284,1015.00888970284,0.0,0.0
6060,1015.00888970284,1015.00888970284,0.0,0.0
6120,1014.9782349265199,1015.00888970284,0.0,0.0
6180,1015.8166159082799,1014.93916932652,0.0,-0.03906560000000095
6240,1015.8166159082799,1015.8166159082799,0.0,0.0
6300,1015.8166159082799,1015.8166159082799,0.0,0.0
6360,1015.8166159082799,1015.8166159082799,0.0,0.0
6420,1015.8166159082799,1015.8166159082799,0.0,0.0
6480,1015.8166159082799,1015.8166159082799,0.0,0.0
6540,1015.8166159082799,1015.8166159082799,0.0,0.0
6600,1015.8166159082799,1015.8166159082799,0.0,0.0
6660,1015.8166159082799,1015.8166159082799,0.0,0.0
6720,1015.8166159082799,1015.8166159082799,0.0,0.0
6780,1015.8166159082799,1015.8166159082799,0.0,0.0
6840,1015.8166159082799,1015.8166159082799,0.0,0.0
6900,1015.8166159082799,1015.8166159082799,0.0,0.0
6960,1015.8166159082799,1015.8166159082799,0.0,0.0
7020,1015.8166159082799,1015.8166159082799,0.0,0.0
7080,1015.8166159082799,1015.8166159082799,0.0,0.0
7140,1015.8166159082799,1015.8166159082799,0.0,0.0
7200,1016.62726516408,1015.8166159082799,0.0,0.0
7260,1016.62726516408,1016.62726516408,0.0,0.0
7320,1016.62726516408,1016.62726516408,0.0,0.0
7380,1016.59656138244,1016.62726516408,0.0,0.0
7440,1016.59656138244,1015.72446378244,0.0,-0.8720975999999997
7500,1016.59656138244,1015.32805578244,0.0,-1.2685056000000094
7560,1016.59656138244,1015.0703905824399,0.0,-1.526170800000005
7620,1016.59656138244,1009.22337258244,0.0,-7.373188800000007
7680,1016.59656138244,1009.00534818244,0.0,-7.591213200000002
7740,1016.59656138244,1009.53058878244,0.0,-7.065972600000006
7800,1016.59656138244,1010.39277618244,0.0,-6.203785200000011
7860,1016.59656138244,1010.8783759824399,0.0,-5.718185400000015
7920,1016.59656138244,1010.0260987824399,0.0,-6.5704626000000035
7980,1044.533406926949,1009.4612173824399,0.0,-7.135344000000002
8040,1172.7096661713006,1216.5107979941808,0.0,171.97739106723176
8100,1172.7096661713006,1171.1429167713006,0.0,-1.566749399999976
8160,1172.7096661713006,1172.0473005713006,0.0,-0.6623655999999885
8220,1173.6803323873805,1171.9836115713006,0.0,-0.7260545999999969
8280,1173.6803323873805,1173.6803323873805,0.0,0.0
8340,1173.6803323873805,1173.6803323873805,0.0,0.0
8400,1173.6803323873805,1173.6803323873805,0.0,0.0
8460,1173.6803323873805,1173.6803323873805,0.0,0.0
8520,1173.6803323873805,1173.6803323873805,0.0,0.0
8580,1173.6803323873805,1173.6803323873805,0.0,0.0
8640,1173.6448853110205,1173.6803323873805,0.0,0.0
8700,1173.6448853110205,1173.5822048110206,0.0,-0.06268050000000831
8760,1173.6448853110205,1169.5330445110205,0.0,-4.1118407999999915
8820,1174.6246592498405,1170.4231076110204,0.0,-3.2217777000000036
8880,1174.6246592498405,1174.6246592498405,0.0,0.0
8940,1174.6246592498405,1174.6246592498405,0.0,0.0
9000,1174.6246592498405,1174.6246592498405,0.0,0.0
9060,1175.5734338201405,1174.6246592498405,0.0,0.0
9120,1175.5734338201405,1175.5734338201405,0.0,0.0
9180,1175.5734338201405,1175.5734338201405,0.0,0.0
9240,1175.5734338201405,1175.5734338201405,0.0,0.0
9300,1175.5734338201405,1175.5734338201405,0.0,0.0
9360,1175.5734338201405,1175.5734338201405,0.0,0.0
9420,1176.5097200028604,1175.5734338201405,0.0,0.0
9480,1176.5097200028604,1176.5097200028604,0.0,0.0
9540,1176.5097200028604,1176.5097200028604,0.0,0.0
9600,1176.5097200028604,1176.5097200028604,0.0,0.0
9660,1176.5097200028604,1176.5097200028604,0.0,0.0
9720,1176.5097200028604,1176.5097200028604,0.0,0.0
9780,1176.5097200028604,1176.5097200028604,0.0,0.0
9840,1176.5097200028604,1176.5097200028604,0.0,0.0
9900,1176.5097200028604,1176.5097200028604,0.0,0.0
9960,1176.5097200028604,1176.5097200028604,0.0,0.0
10020,1176.5097200028604,1176.5097200028604,0.0,0.0
10080,1176.5097200028604,1176.5097200028604,0.0,0.0
10140,1176.5097200028604,1176.5097200028604,0.0,0.0
10200,1176.5097200028604,1176.5097200028604,0.0,0.0
10260,1176.5097200028604,1176.5097200028604,0.0,0.0
10320,1176.5097200028604,1176.5097200028604,0.0,0.0
10380,1177.5899588969405,1176.5097200028604,0.0,0.0
10440,1177.5899588969405,1175.7275276969406,0.0,-1.862431200000011
10500,1178.5677580822205,1177.7039852969406,0.0,0.11402639999998217
10560,1178.5677580822205,1178.5677580822205,0.0,0.0
10620,1178.5677580822205,1178.5677580822205,0.0,0.0
10680,1178.5677580822205,1178.5677580822205,0.0,0.0
10740,1178.5677580822205,1178.5677580822205,0.0,0.0
10800,1178.5677580822205,1178.5677580822205,0.0,0.0
10860,1178.5677580822205,1178.5677580822205,0.0,0.0
10920,1178.5677580822205,1178.5677580822205,0.0,0.0
10980,1178.5677580822205,1178.5677580822205,0.0,0.0
