,balance,equity,balance_btc,equity_btc
0,999.95411439608,1000.0,0.0,0.0
60,999.95411439608,1000.0,0.0,0.0
120,999.95411439608,1000.0,0.0,0.0
180,999.95411439608,1000.0,0.0,0.0
240,999.95411439608,1000.0,0.0,0.0
300,999.95411439608,1000.0,0.0,0.0
360,999.95411439608,1000.0,0.0,0.0
420,999.95411439608,1000.0,0.0,0.0
480,999.95411439608,1000.0,0.0,0.0
540,999.95411439608,1000.0,0.0,0.0
600,999.95411439608,1000.0,0.0,0.0
660,999.95411439608,1000.0,0.0,0.0
720,999.95411439608,1000.0,0.0,0.0
780,999.95411439608,1000.0,0.0,0.0
840,1000.1078116676,998.78708879608,0.0,-1.167025599999995
900,1000.1078116676,1000.1078116676,0.0,0.0
960,1000.1078116676,1000.1078116676,0.0,0.0
1020,1000.1078116676,1000.1078116676,0.0,0.0
1080,1000.1078116676,1000.1078116676,0.0,0.0
1140,1000.1078116676,1000.1078116676,0.0,0.0
1200,1000.1078116676,1000.1078116676,0.0,0.0
1260,1000.1078116676,1000.1078116676,0.0,0.0
1320,1000.1078116676,1000.1078116676,0.0,0.0
1380,1000.1078116676,1000.1078116676,0.0,0.0
1440,1000.1078116676,1000.1078116676,0.0,0.0
1500,1000.1078116676,1000.1078116676,0.0,0.0
1560,1000.1078116676,1000.1078116676,0.0,0.0
1620,1000.1078116676,1000.1078116676,0.0,0.0
1680,1000.1078116676,1000.1078116676,0.0,0.0
1740,1000.1078116676,1000.1078116676,0.0,0.0
1800,1000.1078116676,1000.1078116676,0.0,0.0
1860,1000.1078116676,1000.1078116676,0.0,0.0
1920,1000.1078116676,1000.1078116676,0.0,0.0
1980,1000.1078116676,1000.1078116676,0.0,0.0
2040,1000.1078116676,1000.1078116676,0.0,0.0
2100,1000.1078116676,1000.1078116676,0.0,0.0
2160,1000.1078116676,1000.1078116676,0.0,0.0
2220,1000.1078116676,1000.1078116676,0.0,0.0
2280,1000.1078116676,1000.1078116676,0.0,0.0
2340,1000.1078116676,1000.1078116676,0.0,0.0
2400,1000.1078116676,1000.1078116676,0.0,0.0
2460,1000.1078116676,1000.1078116676,0.0,0.0
2520,1000.1078116676,1000.1078116676,0.0,0.0
2580,1002.4662538172599,1000.1078116676,0.0,0.0
2640,1002.4662538172599,1002.4662538172599,0.0,0.0
2700,1002.4662538172599,1002.4662538172599,0.0,0.0
2760,1002.4202551310999,1002.4662538172599,0.0,0.0
2820,1002.4202551310999,1000.5742517310999,0.0,-1.84600339999998
2880,1002.50703588374,999.9500635310999,0.0,-2.470191599999988
2940,1002.50703588374,1002.50703588374,0.0,0.0
3000,1002.4610352771999,1002.50703588374,0.0,0.0
3060,1002.8760062578999,1001.6880753771999,0.0,-0.7729598999999967
3120,1002.8760062578999,1002.8760062578999,0.0,0.0
3180,1002.8760062578999,1002.8760062578999,0.0,0.0
3240,1002.8760062578999,1002.8760062578999,0.0,0.0
3300,1002.8760062578999,1002.8760062578999,0.0,0.0
3360,1002.8760062578999,1002.8760062578999,0.0,0.0
3420,1002.8760062578999,1002.8760062578999,0.0,0.0
3480,1002.8760062578999,1002.8760062578999,0.0,0.0
3540,1002.8760062578999,1002.8760062578999,0.0,0.0
3600,1002.8760062578999,1002.8760062578999,0.0,0.0
3660,1002.8760062578999,1002.8760062578999,0.0,0.0
3720,1002.8299887562999,1002.8760062578999,0.0,0.0
3780,1002.8299887562999,998.3294661563,0.0,-4.500522599999998
3840,1002.8299887562999,996.5921823563,0.0,-6.2378063999999736
3900,1002.8299887562999,994.6086693563,0.0,-8.2213194
3960,1002.8299887562999,991.7223159563,0.0,-11.107672799999973
4020,1002.8299887562999,990.9699489563,0.0,-11.860039799999985
4080,1002.8299887562999,992.3789271562999,0.0,-10.451061599999987
4140,1002.8299887562999,992.0506215562999,0.0,-10.779367199999996
4200,1002.8299887562999,991.2024987563,0.0,-11.627490000000002
4260,1002.8299887562999,992.0232627562999,0.0,-10.806725999999982
4320,1002.8299887562999,989.3831385563,0.0,-13.446850199999993
4380,1002.8299887562999,985.3477155562999,0.0,-17.482273199999995
4440,1002.8299887562999,983.9934549563,0.0,-18.83653379999999
4500,1002.8299887562999,983.7745845562999,0.0,-19.055404199999995
4560,1002.8299887562999,983.2137291562999,0.0,-19.61625959999999
4620,1002.8299887562999,984.1439283563,0.0,-18.686060399999995
4680,1002.8299887562999,983.5557141562999,0.0,-19.274274600000002
4740,1002.8299887562999,986.1274413563,0.0,-16.702547399999997
4800,1002.8299887562999,986.3189529563,0.0,-16.511035799999977
4860,1002.8299887562999,986.1411207563,0.0,-16.68886799999999
4920,1002.8299887562999,987.8510457563,0.0,-14.978943000000001
4980,1002.8299887562999,987.7963281563,0.0,-15.033660599999973
5040,1002.8299887562999,988.7949243562999,0.0,-14.0350644
