,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,481,PEPE,0.0,-0.04589568000000001,999.95410432,0.0,999.95410432,1.0,153600.0,0.001494,153600.0,0.001494,entry_initial_normal_long
1,522,PEPE,5.422079999999974,-0.046980096,1005.329204224,0.0,1005.329204224,1.0,-153600.0,0.0015293,0.0,0.001494,close_trailing_long
2,839,PEPE,0.0,-0.046134720000000004,1005.283069504,0.0,1005.283069504,1.0,154400.0,0.001494,154400.0,0.001494,entry_initial_normal_long
3,846,PEPE,0.33967999999999154,-0.046202656,1005.5765468479999,0.0,1005.5765468479999,1.0,-154400.0,0.0014962,0.0,0.001494,close_trailing_long
4,2801,PEPE,0.0,-0.04614846,1005.5303983879999,0.0,1005.5303983879999,1.0,133300.0,0.001731,133300.0,0.001731,entry_initial_normal_long
5,2923,PEPE,0.7998000000000195,-0.04630842,1006.2838899679999,0.0,1006.2838899679999,1.0,-133300.0,0.001737,0.0,0.001731,close_trailing_long
6,3002,PEPE,0.0,-0.046165120000000004,1006.237724848,0.0,1006.237724848,1.0,136100.0,0.001696,136100.0,0.001696,entry_initial_normal_long
7,3081,PEPE,0.5035699999999901,-0.046265834000000006,1006.6950290139999,0.0,1006.6950290139999,1.0,-136100.0,0.0016997,0.0,0.001696,close_trailing_long
8,3435,PEPE,0.0,-0.04619792,1006.6488310939999,0.0,1006.6488310939999,1.0,138400.0,0.001669,138400.0,0.001669,entry_initial_normal_long
9,3483,PEPE,4.331920000000022,-0.04706430400000001,1010.9336867899999,0.0,1010.9336867899999,1.0,-138400.0,0.0017003,0.0,0.001669,close_trailing_long
10,3772,PEPE,0.0,-0.046389559999999996,1010.88729723,0.0,1010.88729723,1.0,137900.0,0.001682,137900.0,0.001682,entry_initial_normal_long
11,7608,PEPE,0.0,-0.07502660000000001,1010.81227063,0.0,1010.81227063,1.0,254500.0,0.001474,392400.0,0.0015470968399592254,entry_grid_normal_long
12,8031,PEPE,0.0,-0.28741614,1010.5248544899999,0.0,1010.5248544899999,1.0,1079700.0,0.001331,1472100.0,0.001388602336797772,entry_grid_inflated_long
13,8058,PEPE,0.0,-1.136813904,1009.388040586,0.0,1009.388040586,1.0,4105800.0,0.0013844,5577900.0,0.0013855090661360008,entry_trailing_normal_long
14,8242,PEPE,132.59672644256895,-0.9120813200000001,1141.072685708569,0.0,1141.072685708569,1.0,-3195800.0,0.001427,2382100.0,0.0013855090661360008,close_grid_long
