,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,3484,RENDER,0.0,-0.03647814,999.96352186,0.0,999.96352186,1.0,41.9,4.353,41.9,4.353,entry_initial_normal_long
1,3489,RENDER,0.3352000000000003,-0.036545180000000003,1000.26217668,0.0,1000.26217668,1.0,-41.9,4.361,0.0,4.353,close_trailing_long
2,5196,RENDER,0.0,-0.036564599999999996,1000.22561208,0.0,1000.22561208,1.0,40.9,4.47,40.9,4.47,entry_initial_normal_long
3,5200,RENDER,0.16360000000001831,-0.03659732,1000.35261476,0.0,1000.35261476,1.0,-40.9,4.474,0.0,4.47,close_trailing_long
4,5202,RENDER,0.0,-0.036499159999999996,1000.3161156000001,0.0,1000.3161156000001,1.0,40.9,4.462,40.9,4.462,entry_initial_normal_long
5,5207,RENDER,0.24540000000000928,-0.03654824,1000.5249673600001,0.0,1000.5249673600001,1.0,-40.9,4.468,0.0,4.462,close_trailing_long
6,5212,RENDER,0.0,-0.036570780000000004,1000.4883965800001,0.0,1000.4883965800001,1.0,41.1,4.449,41.1,4.449,entry_initial_normal_long
7,5217,RENDER,-0.20549999999999563,-0.03652968,1000.2463669000001,0.0,1000.2463669000001,1.0,-41.1,4.444,0.0,4.449,close_trailing_long
8,5218,RENDER,0.0,-0.03648036,1000.2098865400001,0.0,1000.2098865400001,1.0,41.1,4.438,41.1,4.438,entry_initial_normal_long
9,5221,RENDER,-0.20549999999999563,-0.03643926,999.9679472800001,0.0,999.9679472800001,1.0,-41.1,4.433,0.0,4.438,close_trailing_long
10,5222,RENDER,0.0,-0.03647024,999.9314770400001,0.0,999.9314770400001,1.0,41.2,4.426,41.2,4.426,entry_initial_normal_long
11,5247,RENDER,0.6592000000000007,-0.03660208000000001,1000.5540749600001,0.0,1000.5540749600001,1.0,-41.2,4.442,0.0,4.426,close_trailing_long
12,6581,RENDER,0.0,-0.03652307999999999,1000.51755188,0.0,1000.51755188,1.0,41.4,4.411,41.4,4.411,entry_initial_normal_long
13,6584,RENDER,-0.28979999999998646,-0.03646512,1000.19128676,0.0,1000.19128676,1.0,-41.4,4.404,0.0,4.411,close_trailing_long
14,6585,RENDER,0.0,-0.036561500000000004,1000.1547252600001,0.0,1000.1547252600001,1.0,41.5,4.405,41.5,4.405,entry_initial_normal_long
15,6598,RENDER,3.6104999999999894,-0.0372836,1003.72794166,0.0,1003.72794166,1.0,-41.5,4.492,0.0,4.405,close_trailing_long
16,13871,RENDER,0.0,-0.03670496,1003.6912367000001,0.0,1003.6912367000001,1.0,30.4,6.037,30.4,6.037,entry_initial_normal_long
17,13917,RENDER,-0.15199999999999675,-0.03667456,1003.5025621400001,0.0,1003.5025621400001,1.0,-30.4,6.032,0.0,6.037,close_trailing_long
18,14796,RENDER,0.0,-0.03659744000000001,1003.4659647000001,0.0,1003.4659647000001,1.0,29.6,6.182,29.6,6.182,entry_initial_normal_long
19,14799,RENDER,-0.29600000000001997,-0.03653824000000001,1003.13342646,0.0,1003.13342646,1.0,-29.6,6.172,0.0,6.182,close_trailing_long
20,14800,RENDER,0.0,-0.0365856,1003.09684086,0.0,1003.09684086,1.0,29.6,6.18,29.6,6.18,entry_initial_normal_long
21,14807,RENDER,-0.2959999999999937,-0.0365264,1002.76431446,0.0,1002.76431446,1.0,-29.6,6.17,0.0,6.18,close_trailing_long
22,14810,RENDER,0.0,-0.036561920000000005,1002.72775254,0.0,1002.72775254,1.0,29.6,6.176,29.6,6.176,entry_initial_normal_long
23,14812,RENDER,-0.26640000000001013,-0.03650864,1002.4248438999999,0.0,1002.4248438999999,1.0,-29.6,6.167,0.0,6.176,close_trailing_long
24,14813,RENDER,0.0,-0.03655476,1002.38828914,0.0,1002.38828914,1.0,29.7,6.154,29.7,6.154,entry_initial_normal_long
25,14816,RENDER,0.2078999999999903,-0.03659634,1002.5595928,0.0,1002.5595928,1.0,-29.7,6.161,0.0,6.154,close_trailing_long
26,14817,RENDER,0.0,-0.0365904,1002.5230024,0.0,1002.5230024,1.0,29.7,6.16,29.7,6.16,entry_initial_normal_long
