,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,RENDER,0.0,-0.024707520000000004,999.97529248,0.0,999.97529248,1.0,27.6,4.476,27.6,4.476,entry_initial_normal_long
1,2227,RENDER,3.6156000000000064,-0.025430640000000004,1003.56546184,0.0,1003.56546184,1.0,-27.6,4.607,0.0,4.476,close_grid_long
2,2485,RENDER,0.0,-0.024741120000000002,1003.54072072,0.0,1003.54072072,1.0,27.2,4.548,27.2,4.548,entry_initial_normal_long
3,4353,RENDER,3.6176,-0.02546464,1007.13285608,0.0,1007.13285608,1.0,-27.2,4.681,0.0,4.548,close_grid_long
4,4945,RENDER,0.0,-0.024867000000000004,1007.10798908,0.0,1007.10798908,1.0,27.0,4.605,27.0,4.605,entry_initial_normal_long
5,7092,RENDER,3.6449999999999942,-0.025596,1010.7273930800001,0.0,1010.7273930800001,1.0,-27.0,4.74,0.0,4.605,close_grid_long
6,8275,RENDER,0.0,-0.024963120000000002,1010.70242996,0.0,1010.70242996,1.0,25.2,4.953,25.2,4.953,entry_initial_normal_long
7,8655,RENDER,3.6539999999999893,-0.02569392,1014.33073604,0.0,1014.33073604,1.0,-25.2,5.098,0.0,4.953,close_grid_long
8,9322,RENDER,0.0,-0.025053300000000004,1014.3056827400001,0.0,1014.3056827400001,1.0,24.3,5.155,24.3,5.155,entry_initial_normal_long
9,9482,RENDER,3.6692999999999953,-0.02578716,1017.94919558,0.0,1017.94919558,1.0,-24.3,5.306,0.0,5.155,close_grid_long
10,10158,RENDER,0.0,-0.025148399999999998,1017.92404718,0.0,1017.92404718,1.0,22.8,5.515,22.8,5.515,entry_initial_normal_long
11,10555,RENDER,3.693599999999998,-0.02588712,1021.59176006,0.0,1021.59176006,1.0,-22.8,5.677,0.0,5.515,close_grid_long
12,11396,RENDER,0.0,-0.025177320000000003,1021.56658274,0.0,1021.56658274,1.0,20.6,6.111,20.6,6.111,entry_initial_normal_long
13,11675,RENDER,3.687400000000006,-0.025914800000000005,1025.2280679399998,0.0,1025.2280679399998,1.0,-20.6,6.29,0.0,6.111,close_grid_long
14,11767,RENDER,0.0,-0.0252519,1025.2028160399998,0.0,1025.2028160399998,1.0,20.5,6.159,20.5,6.159,entry_initial_normal_long
15,11858,RENDER,3.710500000000001,-0.025994,1028.8873220399998,0.0,1028.8873220399998,1.0,-20.5,6.34,0.0,6.159,close_grid_long
