,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,3484,RENDER,0.0,-0.06111612,999.93888388,0.0,999.93888388,1.0,70.2,4.353,70.2,4.353,entry_initial_normal_long
1,3491,RENDER,0.2808000000000314,-0.06117228,1000.1585116000001,0.0,1000.1585116000001,1.0,-70.2,4.357,0.0,4.353,close_trailing_long
2,5196,RENDER,0.0,-0.06107386000000001,1000.0974377400001,0.0,1000.0974377400001,1.0,68.3,4.471,68.3,4.471,entry_initial_normal_long
3,5200,RENDER,0.47809999999997765,-0.06116948,1000.5143682600001,0.0,1000.5143682600001,1.0,-68.3,4.478,0.0,4.471,close_trailing_long
4,5203,RENDER,0.0,-0.0611294,1000.45323886,0.0,1000.45323886,1.0,68.5,4.462,68.5,4.462,entry_initial_normal_long
5,5207,RENDER,0.5480000000000005,-0.061239,1000.9399998600001,0.0,1000.9399998600001,1.0,-68.5,4.47,0.0,4.462,close_trailing_long
6,5211,RENDER,0.0,-0.06117048,1000.8788293800001,0.0,1000.8788293800001,1.0,68.7,4.452,68.7,4.452,entry_initial_normal_long
7,5216,RENDER,0.6183000000000235,-0.061294140000000004,1001.4358352400001,0.0,1001.4358352400001,1.0,-68.7,4.461,0.0,4.452,close_trailing_long
8,5217,RENDER,0.0,-0.06114943999999999,1001.3746858000001,0.0,1001.3746858000001,1.0,68.8,4.444,68.8,4.444,entry_initial_normal_long
9,5221,RENDER,-0.4815999999999775,-0.06105312,1000.8320326800001,0.0,1000.8320326800001,1.0,-68.8,4.437,0.0,4.444,close_trailing_long
10,5222,RENDER,0.0,-0.0611535,1000.7708791800001,0.0,1000.7708791800001,1.0,69.1,4.425,69.1,4.425,entry_initial_normal_long
11,5247,RENDER,1.4510999999999934,-0.06144372,1002.16053546,0.0,1002.16053546,1.0,-69.1,4.446,0.0,4.425,close_trailing_long
12,6582,RENDER,0.0,-0.061224680000000004,1002.09931078,0.0,1002.09931078,1.0,69.4,4.411,69.4,4.411,entry_initial_normal_long
13,6586,RENDER,-0.2775999999999694,-0.061169160000000014,1001.76054162,0.0,1001.76054162,1.0,-69.4,4.407,0.0,4.411,close_trailing_long
14,13871,RENDER,0.0,-0.061235460000000005,1001.69930616,0.0,1001.69930616,1.0,50.7,6.039,50.7,6.039,entry_initial_normal_long
15,13917,RENDER,-0.10139999999998883,-0.06121518,1001.53669098,0.0,1001.53669098,1.0,-50.7,6.037,0.0,6.039,close_trailing_long
16,14795,RENDER,0.0,-0.06120180000000001,1001.47548918,0.0,1001.47548918,1.0,49.5,6.182,49.5,6.182,entry_initial_normal_long
17,14797,RENDER,-0.09900000000003306,-0.06118199999999999,1001.3153071799999,0.0,1001.3153071799999,1.0,-49.5,6.18,0.0,6.182,close_trailing_long
18,14798,RENDER,0.0,-0.06117664,1001.2541305399999,0.0,1001.2541305399999,1.0,49.6,6.167,49.6,6.167,entry_initial_normal_long
19,14801,RENDER,1.0415999999999954,-0.06138496,1002.2343455799999,0.0,1002.2343455799999,1.0,-49.6,6.188,0.0,6.167,close_trailing_long
20,14802,RENDER,0.0,-0.0611721,1002.1731734799998,0.0,1002.1731734799998,1.0,49.5,6.179,49.5,6.179,entry_initial_normal_long
21,14807,RENDER,-0.4455000000000169,-0.061083000000000005,1001.6665904799999,0.0,1001.6665904799999,1.0,-49.5,6.17,0.0,6.179,close_trailing_long
22,14810,RENDER,0.0,-0.0611424,1001.6054480799999,0.0,1001.6054480799999,1.0,49.5,6.176,49.5,6.176,entry_initial_normal_long
23,14813,RENDER,-0.4455000000000169,-0.061053300000000005,1001.0988947799998,0.0,1001.0988947799998,1.0,-49.5,6.167,0.0,6.176,close_trailing_long
24,14815,RENDER,0.0,-0.061122600000000006,1001.0377721799998,0.0,1001.0377721799998,1.0,49.5,6.174,49.5,6.174,entry_initial_normal_long
25,14822,RENDER,-0.4455000000000169,-0.061033500000000004,1000.5312386799998,0.0,1000.5312386799998,1.0,-49.5,6.165,0.0,6.174,close_trailing_long
26,14823,RENDER,0.0,-0.061077440000000004,1000.4701612399998,0.0,1000.4701612399998,1.0,49.6,6.157,49.6,6.157,entry_initial_normal_long
27,14826,RENDER,0.9919999999999789,-0.06127584,1001.4008853999998,0.0,1001.4008853999998,1.0,-49.6,6.177,0.0,6.157,close_trailing_long
28,14864,RENDER,0.0,-0.061234079999999996,1001.3396513199998,0.0,1001.3396513199998,1.0,49.8,6.148,49.8,6.148,entry_initial_normal_long
29,14873,RENDER,-0.049799999999972394,-0.06122411999999999,1001.2286271999998,0.0,1001.2286271999998,1.0,-49.8,6.147,0.0,6.148,close_trailing_long
30,14891,RENDER,0.0,-0.06114204000000001,1001.1674851599997,0.0,1001.1674851599997,1.0,50.1,6.102,50.1,6.102,entry_initial_normal_long
31,14896,RENDER,-0.4509000000000171,-0.06105186,1000.6555332999997,0.0,1000.6555332999997,1.0,-50.1,6.093,0.0,6.102,close_trailing_long
32,14897,RENDER,0.0,-0.061103440000000016,1000.5944298599997,0.0,1000.5944298599997,1.0,50.2,6.086,50.2,6.086,entry_initial_normal_long
33,14902,RENDER,0.6023999999999783,-0.06122392,1001.1356059399997,0.0,1001.1356059399997,1.0,-50.2,6.098,0.0,6.086,close_trailing_long
34,14920,RENDER,0.0,-0.06119564,1001.0744102999996,0.0,1001.0744102999996,1.0,50.6,6.047,50.6,6.047,entry_initial_normal_long
35,14923,RENDER,-0.4553999999999723,-0.06110456000000001,1000.5579057399997,0.0,1000.5579057399997,1.0,-50.6,6.038,0.0,6.047,close_trailing_long
36,14924,RENDER,0.0,-0.061114680000000005,1000.4967910599997,0.0,1000.4967910599997,1.0,50.6,6.039,50.6,6.039,entry_initial_normal_long
37,14929,RENDER,2.2769999999999966,-0.06157008,1002.7122209799998,0.0,1002.7122209799998,1.0,-50.6,6.084,0.0,6.039,close_trailing_long
38,15253,RENDER,0.0,-0.06129048000000001,1002.6509304999997,0.0,1002.6509304999997,1.0,51.6,5.939,51.6,5.939,entry_initial_normal_long
39,15257,RENDER,0.8256000000000008,-0.061455600000000006,1003.4150748999997,0.0,1003.4150748999997,1.0,-51.6,5.955,0.0,5.939,close_trailing_long
40,15417,RENDER,0.0,-0.06126192000000001,1003.3538129799997,0.0,1003.3538129799997,1.0,52.2,5.868,52.2,5.868,entry_initial_normal_long
41,15437,RENDER,-0.4698000000000178,-0.06116796000000001,1002.8228450199997,0.0,1002.8228450199997,1.0,-52.2,5.859,0.0,5.868,close_trailing_long
42,15691,RENDER,0.0,-0.06121368,1002.7616313399997,0.0,1002.7616313399997,1.0,52.4,5.841,52.4,5.841,entry_initial_normal_long
43,15699,RENDER,-0.47160000000001784,-0.06111936,1002.2289119799997,0.0,1002.2289119799997,1.0,-52.4,5.832,0.0,5.841,close_trailing_long
44,15706,RENDER,0.0,-0.06120536,1002.1677066199996,0.0,1002.1677066199996,1.0,52.6,5.818,52.6,5.818,entry_initial_normal_long
45,15707,RENDER,0.0,-0.08727148,1002.0804351399996,0.0,1002.0804351399996,1.0,76.1,5.734,128.7,5.768331002331003,entry_grid_normal_long
46,15714,RENDER,2.016599999999912,-0.14888015999999998,1003.9481549799996,0.0,1003.9481549799996,1.0,-128.7,5.784,0.0,5.768331002331003,close_trailing_long
47,15715,RENDER,0.0,-0.061297040000000004,1003.8868579399996,0.0,1003.8868579399996,1.0,53.2,5.761,53.2,5.761,entry_initial_normal_long
48,15721,RENDER,0.21279999999997656,-0.0613396,1004.0383183399996,0.0,1004.0383183399996,1.0,-53.2,5.765,0.0,5.761,close_trailing_long
49,15723,RENDER,0.0,-0.06135174000000001,1003.9769665999996,0.0,1003.9769665999996,1.0,53.1,5.777,53.1,5.777,entry_initial_normal_long
50,15732,RENDER,0.0,-0.08755834,1003.8894082599996,0.0,1003.8894082599996,1.0,76.9,5.693,130.0,5.727310769230769,entry_grid_normal_long
51,15734,RENDER,0.0,-0.21232724,1003.6770810199996,0.0,1003.6770810199996,1.0,188.2,5.641,318.2,5.676262099308611,entry_grid_normal_long
52,15734,RENDER,0.0,-0.51432548,1003.1627555399996,0.0,1003.1627555399996,1.0,460.7,5.582,778.9,5.62050840929516,entry_grid_normal_long
53,15741,RENDER,30.279061163178806,-0.35879892,1033.0830177831783,0.0,1033.0830177831783,1.0,-313.8,5.717,465.1,5.62050840929516,close_trailing_long
54,15743,RENDER,32.79193295673407,-0.36975564000000005,1065.5051950999125,0.0,1065.5051950999125,1.0,-323.1,5.722,142.0,5.62050840929516,close_trailing_long
55,15745,RENDER,7.169805880087374,-0.16105640000000002,1072.5139445799998,0.0,1072.5139445799998,1.0,-142.0,5.671,0.0,5.62050840929516,close_trailing_long
56,15746,RENDER,0.0,-0.06557028000000001,1072.4483742999998,0.0,1072.4483742999998,1.0,57.7,5.682,57.7,5.682,entry_initial_normal_long
57,15752,RENDER,0.0,-0.09351999999999999,1072.3548543,0.0,1072.3548543,1.0,83.5,5.6,141.2,5.63350849858357,entry_grid_normal_long
58,15755,RENDER,-1.2014000000000762,-0.15885,1070.9946042999998,0.0,1070.9946042999998,1.0,-141.2,5.625,0.0,5.63350849858357,close_trailing_long
59,15756,RENDER,0.0,-0.065475,1070.9291292999997,0.0,1070.9291292999997,1.0,58.2,5.625,58.2,5.625,entry_initial_normal_long
60,15762,RENDER,4.423199999999978,-0.06635964000000001,1075.2859696599996,0.0,1075.2859696599996,1.0,-58.2,5.701,0.0,5.625,close_trailing_long
61,15763,RENDER,0.0,-0.0656586,1075.2203110599996,0.0,1075.2203110599996,1.0,57.9,5.67,57.9,5.67,entry_initial_normal_long
62,15772,RENDER,1.1580000000000268,-0.06589020000000001,1076.3124208599997,0.0,1076.3124208599997,1.0,-57.9,5.69,0.0,5.67,close_trailing_long
63,15910,RENDER,0.0,-0.0657732,1076.2466476599998,0.0,1076.2466476599998,1.0,59.0,5.574,59.0,5.574,entry_initial_normal_long
64,15914,RENDER,0.5310000000000201,-0.0658794,1076.7117682599999,0.0,1076.7117682599999,1.0,-59.0,5.583,0.0,5.574,close_trailing_long
65,16311,RENDER,0.0,-0.06577800000000002,1076.64599026,0.0,1076.64599026,1.0,57.7,5.7,57.7,5.7,entry_initial_normal_long
66,16323,RENDER,0.0,-0.09380390000000001,1076.55218636,0.0,1076.55218636,1.0,83.5,5.617,141.2,5.650917138810199,entry_grid_normal_long
67,16335,RENDER,11.73129999999995,-0.16192816,1088.1215582,0.0,1088.1215582,1.0,-141.2,5.734,0.0,5.650917138810199,close_trailing_long
68,16729,RENDER,0.0,-0.06642064,1088.05513756,0.0,1088.05513756,1.0,57.2,5.806,57.2,5.806,entry_initial_normal_long
69,16734,RENDER,0.8579999999999818,-0.06659224000000001,1088.8465453200001,0.0,1088.8465453200001,1.0,-57.2,5.821,0.0,5.806,close_trailing_long
70,16741,RENDER,0.0,-0.06649092,1088.7800544000002,0.0,1088.7800544000002,1.0,57.3,5.802,57.3,5.802,entry_initial_normal_long
71,16750,RENDER,0.0,-0.0949188,1088.6851356000002,0.0,1088.6851356000002,1.0,83.0,5.718,140.3,5.75230648610121,entry_grid_normal_long
72,16771,RENDER,0.0,-0.23011230000000002,1088.4550233000002,0.0,1088.4550233000002,1.0,203.1,5.665,343.4,5.70067006406523,entry_grid_normal_long
73,16785,RENDER,2.7963594933021194,-0.38330226,1090.8680805333024,0.0,1090.8680805333024,1.0,-335.7,5.709,7.7,5.70067006406523,close_trailing_long
74,16793,RENDER,0.0025405066977250536,-0.00877954,1090.8618415,0.0,1090.8618415,1.0,-7.7,5.701,0.0,5.70067006406523,close_trailing_long
75,16806,RENDER,0.0,-0.06659688,1090.7952446200002,0.0,1090.7952446200002,1.0,58.8,5.663,58.8,5.663,entry_initial_normal_long
76,16825,RENDER,0.0,-0.09498862000000001,1090.700256,0.0,1090.700256,1.0,85.1,5.581,143.9,5.614506601806809,entry_grid_normal_long
77,16832,RENDER,1.3661000000000978,-0.16185872,1091.9044972800002,0.0,1091.9044972800002,1.0,-143.9,5.624,0.0,5.614506601806809,close_trailing_long
78,16833,RENDER,0.0,-0.0666757,1091.8378215800003,0.0,1091.8378215800003,1.0,59.5,5.603,59.5,5.603,entry_initial_normal_long
79,16835,RENDER,0.833000000000014,-0.06684230000000001,1092.6039792800004,0.0,1092.6039792800004,1.0,-59.5,5.617,0.0,5.603,close_trailing_long
80,16836,RENDER,0.0,-0.06679236000000001,1092.5371869200005,0.0,1092.5371869200005,1.0,59.7,5.594,59.7,5.594,entry_initial_normal_long
81,16842,RENDER,2.0894999999999557,-0.06721026,1094.5594766600004,0.0,1094.5594766600004,1.0,-59.7,5.629,0.0,5.594,close_trailing_long
82,17063,RENDER,0.0,-0.06685844,1094.4926182200004,0.0,1094.4926182200004,1.0,58.3,5.734,58.3,5.734,entry_initial_normal_long
83,17064,RENDER,0.0,-0.09538888000000001,1094.3972293400004,0.0,1094.3972293400004,1.0,84.4,5.651,142.7,5.6849096005606174,entry_grid_normal_long
84,17064,RENDER,0.0,-0.23135068000000003,1094.1658786600003,0.0,1094.1658786600003,1.0,206.6,5.599,349.3,5.634096764958489,entry_grid_normal_long
85,17065,RENDER,0.0,-0.5603156,1093.6055630600003,0.0,1093.6055630600003,1.0,505.7,5.54,855.0,5.578442105263158,entry_grid_normal_long
