,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2891,RENDER,0.0,-0.036302839999999996,999.96369716,0.0,999.96369716,1.0,40.9,4.438,40.9,4.438,entry_initial_normal_long
1,2898,RENDER,1.3906000000000285,-0.03658096000000001,1001.3177162000001,0.0,1001.3177162000001,1.0,-40.9,4.472,0.0,4.438,close_trailing_long
2,3484,RENDER,0.0,-0.03639107999999999,1001.28132512,0.0,1001.28132512,1.0,41.8,4.353,41.8,4.353,entry_initial_normal_long
3,3489,RENDER,0.33440000000000025,-0.03645796,1001.57926716,0.0,1001.57926716,1.0,-41.8,4.361,0.0,4.353,close_trailing_long
4,5196,RENDER,0.0,-0.0363858,1001.54288136,0.0,1001.54288136,1.0,40.7,4.47,40.7,4.47,entry_initial_normal_long
5,5200,RENDER,0.16280000000001824,-0.03641836000000001,1001.669263,0.0,1001.669263,1.0,-40.7,4.474,0.0,4.47,close_trailing_long
6,5202,RENDER,0.0,-0.03640992,1001.63285308,0.0,1001.63285308,1.0,40.8,4.462,40.8,4.462,entry_initial_normal_long
7,5207,RENDER,0.24480000000000926,-0.03645888,1001.8411942,0.0,1001.8411942,1.0,-40.8,4.468,0.0,4.462,close_trailing_long
8,5211,RENDER,0.0,-0.03640918,1001.80478502,0.0,1001.80478502,1.0,40.9,4.451,40.9,4.451,entry_initial_normal_long
9,5217,RENDER,-0.2862999999999866,-0.036351919999999996,1001.4821331,0.0,1001.4821331,1.0,-40.9,4.444,0.0,4.451,close_trailing_long
10,5218,RENDER,0.0,-0.0363916,1001.4457415,0.0,1001.4457415,1.0,41.0,4.438,41.0,4.438,entry_initial_normal_long
11,5221,RENDER,-0.20499999999999563,-0.0363506,1001.2043909,0.0,1001.2043909,1.0,-41.0,4.433,0.0,4.438,close_trailing_long
12,5222,RENDER,0.0,-0.036381720000000006,1001.16800918,0.0,1001.16800918,1.0,41.1,4.426,41.1,4.426,entry_initial_normal_long
13,5247,RENDER,0.6576000000000006,-0.03651324,1001.78909594,0.0,1001.78909594,1.0,-41.1,4.442,0.0,4.426,close_trailing_long
14,6581,RENDER,0.0,-0.03643485999999999,1001.75266108,0.0,1001.75266108,1.0,41.3,4.411,41.3,4.411,entry_initial_normal_long
15,6584,RENDER,-0.24779999999997268,-0.0363853,1001.4684757800001,0.0,1001.4684757800001,1.0,-41.3,4.405,0.0,4.411,close_trailing_long
16,6585,RENDER,0.0,-0.03639356,1001.4320822200001,0.0,1001.4320822200001,1.0,41.3,4.406,41.3,4.406,entry_initial_normal_long
17,6598,RENDER,3.551800000000012,-0.03710392,1004.9467783000001,0.0,1004.9467783000001,1.0,-41.3,4.492,0.0,4.406,close_trailing_long
