,balance,equity,balance_btc,equity_btc
0,999.9982018899999,1000.0,0.0,0.0
60,999.9982018899999,1000.0,0.0,0.0
120,999.9982018899999,1000.0,0.0,0.0
180,1000.5739601159999,999.7561218899999,0.0,-0.24208000000000002
240,1000.5739601159999,1000.5739601159999,0.0,0.0
300,1000.5561262999998,1000.5739601159999,0.0,0.0
360,1000.79251599,1000.5206362999999,0.0,-0.03549000000000013
420,1001.167248888,1000.73671599,0.0,-0.05579999999999902
480,1001.167248888,1001.167248888,0.0,0.0
540,1001.167248888,1001.167248888,0.0,0.0
600,1001.167248888,1001.167248888,0.0,0.0
660,1001.167248888,1001.167248888,0.0,0.0
720,1001.167248888,1001.167248888,0.0,0.0
780,1001.159791308,1001.167248888,0.0,0.0
840,1001.542352688,1001.205423108,0.0,0.0
900,1001.82067343,1001.542352688,0.0,0.0
960,1001.82067343,1001.82067343,0.0,0.0
1020,1001.82067343,1001.82067343,0.0,0.0
1080,1001.82067343,1001.82067343,0.0,0.0
1140,1001.82067343,1001.82067343,0.0,0.0
1200,1001.9176084220001,1001.82067343,0.0,0.0
1260,1001.9176084220001,1001.9176084220001,0.0,0.0
1320,1001.9176084220001,1001.9176084220001,0.0,0.0
1380,1001.910151646,1001.9176084220001,0.0,0.0
1440,1004.7752458880002,1001.659171646,0.0,-0.25097999999999904
1500,1005.0405551140003,1004.6660458880002,0.0,-0.10920000000000313
1560,1005.0330705460003,1005.0405551140003,0.0,0.0
1620,1005.0124047700004,1004.8518305460003,0.0,-0.1812400000000025
1680,1005.1888079460005,1004.7446847700004,0.0,-0.2677200000000022
1740,1005.1888079460005,1005.1888079460005,0.0,0.0
1800,1005.1888079460005,1005.1888079460005,0.0,0.0
1860,1006.3304511780005,1005.1888079460005,0.0,0.0
1920,1006.5702499880006,1005.4155111780005,0.0,-0.9149399999999942
1980,1006.5702499880006,1006.5702499880006,0.0,0.0
2040,1006.5702499880006,1006.5702499880006,0.0,0.0
2100,1006.5702499880006,1006.5702499880006,0.0,0.0
2160,1006.5627431720005,1006.5702499880006,0.0,0.0
2220,1007.1747122600005,1007.1982631720006,0.0,0.6355200000000014
2280,1007.2204574660005,1007.1747122600005,0.0,0.0
2340,1007.8572044660008,1007.1610574660006,0.0,-0.059399999999998954
2400,1007.8572044660008,1007.8572044660008,0.0,0.0
2460,1007.8572044660008,1007.8572044660008,0.0,0.0
2520,1007.8561281580008,1007.8572044660008,0.0,0.0
2580,1008.6071880580007,1007.5571781580009,0.0,-0.2989499999999885
2640,1012.6594677700007,1008.6661880580007,0.0,0.059000000000003494
2700,1013.8736657560006,1012.5049677700007,0.0,-0.15450000000000014
2760,1014.1368152920006,1013.8736657560006,0.0,0.0
2820,1014.1368152920006,1014.1368152920006,0.0,0.0
2880,1014.1971447220005,1014.1368152920006,0.0,0.0
2940,1014.2819396820006,1014.1698447220006,0.0,-0.02729999999999816
3000,1014.2819396820006,1014.2819396820006,0.0,0.0
3060,1014.2819396820006,1014.2819396820006,0.0,0.0
3120,1014.2819396820006,1014.2819396820006,0.0,0.0
3180,1014.2819396820006,1014.2819396820006,0.0,0.0
3240,1014.2819396820006,1014.2819396820006,0.0,0.0
3300,1014.2819396820006,1014.2819396820006,0.0,0.0
3360,1014.2819396820006,1014.2819396820006,0.0,0.0
3420,1014.2819396820006,1014.2819396820006,0.0,0.0
3480,1014.2819396820006,1014.2819396820006,0.0,0.0
3540,1014.2819396820006,1014.2819396820006,0.0,0.0
3600,1014.3028628820006,1014.2819396820006,0.0,0.0
3660,1014.7653889480006,1014.3028628820006,0.0,0.0
