,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4263,SOL,0.0,-0.029725899999999996,999.9702741,0.0,999.9702741,1.0,69.13,2.15,69.13,2.15,entry_initial_normal_long
1,4340,SOL,0.6913000000000159,-0.02986416,1000.63170994,0.0,1000.63170994,1.0,-69.13,2.16,0.0,2.15,close_trailing_long
2,7254,SOL,0.0,-0.0297474,1000.6019625399999,0.0,1000.6019625399999,1.0,69.18,2.15,69.18,2.15,entry_initial_normal_long
3,7299,SOL,1.6257300000000208,-0.030072546000000006,1002.197619994,0.0,1002.197619994,1.0,-69.18,2.1735,0.0,2.15,close_trailing_long
4,7487,SOL,0.0,-0.029795040000000002,1002.167824954,0.0,1002.167824954,1.0,71.28,2.09,71.28,2.09,entry_initial_normal_long
5,7500,SOL,0.7128000000000164,-0.029937600000000005,1002.850687354,0.0,1002.850687354,1.0,-71.28,2.1,0.0,2.09,close_trailing_long
6,7710,SOL,0.0,-0.02981214,1002.820875214,0.0,1002.820875214,1.0,72.01,2.07,72.01,2.07,entry_initial_normal_long
7,7839,SOL,0.7561049999999967,-0.029963360999999997,1003.5470168530001,0.0,1003.5470168530001,1.0,-72.01,2.0805,0.0,2.07,close_trailing_long
8,9115,SOL,0.0,-0.029832,1003.517184853,0.0,1003.517184853,1.0,74.58,2.0,74.58,2.0,entry_initial_normal_long
9,10984,SOL,1.8346679999999966,-0.0301989336,1005.3216539194,0.0,1005.3216539194,1.0,-74.58,2.0246,0.0,2.0,close_trailing_long
10,11003,SOL,0.0,-0.029887920000000005,1005.2917659994,0.0,1005.2917659994,1.0,73.98,2.02,73.98,2.02,entry_initial_normal_long
11,12040,SOL,0.0,-0.029883732,1005.2618822674,0.0,1005.2618822674,1.0,74.19,2.014,148.17,2.0169957481271514,entry_trailing_normal_long
12,12201,SOL,0.7593734826887607,-0.0432712098,1005.9779845402887,0.0,1005.9779845402887,1.0,-106.89,2.0241,41.28,2.0169957481271514,close_trailing_long
13,12212,SOL,0.28087951731119065,-0.016708492800000002,1006.2421555647999,0.0,1006.2421555647999,1.0,-41.28,2.0238,0.0,2.0169957481271514,close_trailing_long
14,12825,SOL,0.0,-0.02991368,1006.2122418847998,0.0,1006.2122418847998,1.0,75.16,1.99,75.16,1.99,entry_initial_normal_long
15,19634,SOL,0.0,-0.029913053800000002,1006.1823288309998,0.0,1006.1823288309998,1.0,86.17,1.7357,161.33,1.8541726213351515,entry_trailing_normal_long
16,20666,SOL,0.0,-0.031019985000000003,1006.1513088459999,0.0,1006.1513088459999,1.0,97.75,1.5867,259.08,1.75325611394164,entry_trailing_normal_long
17,24182,SOL,0.0,-0.030460060799999997,1006.1208487851999,0.0,1006.1208487851999,1.0,103.86,1.4664,362.94,1.6711685071912714,entry_trailing_normal_long
18,25925,SOL,0.0,-0.030485106000000005,1006.0903636791999,0.0,1006.0903636791999,1.0,97.74,1.5595,460.68,1.647476400104194,entry_trailing_normal_long
19,31310,SOL,0.0,-0.03158932,1006.0587743591999,0.0,1006.0587743591999,1.0,113.5,1.3916,574.18,1.5968964923891464,entry_trailing_normal_long
20,32564,SOL,0.0,-0.04023688240000001,1006.0185374767999,0.0,1006.0185374767999,1.0,141.46,1.4222,715.64,1.5623643731485106,entry_trailing_normal_long
21,33232,SOL,0.0,-0.053513611200000005,1005.9650238656,0.0,1005.9650238656,1.0,176.31,1.5176,891.95,1.5535158876618644,entry_trailing_normal_long
22,33375,SOL,6.344609521520261,-0.0444193792,1012.2652140079202,0.0,1012.2652140079202,1.0,-138.88,1.5992,753.07,1.5535158876618644,close_trailing_long
23,33378,SOL,6.6498796992544404,-0.044750745,1018.8703429621747,0.0,1018.8703429621747,1.0,-139.75,1.6011,613.32,1.5535158876618644,close_trailing_long
24,33382,SOL,6.974501241482144,-0.0450984092,1025.7997457944568,0.0,1025.7997457944568,1.0,-140.66,1.6031,472.66,1.5535158876618644,close_trailing_long
25,33389,SOL,7.375631148203366,-0.0454738032,1033.12990313946,0.0,1033.12990313946,1.0,-141.61,1.6056,331.05,1.5535158876618644,close_trailing_long
26,33391,SOL,4.3336859427882874,-0.0451823314,1037.4184067508484,0.0,1037.4184067508484,1.0,-142.63,1.5839,188.42,1.5535158876618644,close_trailing_long
27,33395,SOL,3.8789865690677763,-0.0452747064,1041.2521186135161,0.0,1041.2521186135161,1.0,-143.22,1.5806,45.2,1.5535158876618644,close_trailing_long
28,33397,SOL,0.984641877683724,-0.014240711999999999,1042.2225197792,0.0,1042.2225197792,1.0,-45.2,1.5753,0.0,1.5535158876618644,close_trailing_long
