,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,3837,SUI,0.0,-0.03638989,999.96361011,0.0,999.96361011,1.0,173.5,1.0487,173.5,1.0487,entry_initial_normal_long
1,3842,SUI,0.29495000000000604,-0.03644888,1000.22211123,0.0,1000.22211123,1.0,-173.5,1.0504,0.0,1.0487,close_trailing_long
2,5200,SUI,0.0,-0.036395831999999996,1000.185715398,0.0,1000.185715398,1.0,181.2,1.0043,181.2,1.0043,entry_initial_normal_long
3,5243,SUI,-0.4892399999999863,-0.036297984,999.6601774139999,0.0,999.6601774139999,1.0,-181.2,1.0016,0.0,1.0043,close_trailing_long
4,5889,SUI,0.0,-0.036364944,999.62381247,0.0,999.62381247,1.0,184.8,0.9839,184.8,0.9839,entry_initial_normal_long
5,5927,SUI,0.3511200000000024,-0.036435168000000004,999.938497302,0.0,999.938497302,1.0,-184.8,0.9858,0.0,0.9839,close_trailing_long
6,6047,SUI,0.0,-0.036386896,999.902110406,0.0,999.902110406,1.0,187.6,0.9698,187.6,0.9698,entry_initial_normal_long
7,6058,SUI,-0.16884000000000224,-0.036353128,999.696917278,0.0,999.696917278,1.0,-187.6,0.9689,0.0,0.9698,close_trailing_long
8,6061,SUI,0.0,-0.03637250400000001,999.660544774,0.0,999.660544774,1.0,188.4,0.9653,188.4,0.9653,entry_initial_normal_long
9,6096,SUI,1.168079999999997,-0.036606120000000006,1000.792018654,0.0,1000.792018654,1.0,-188.4,0.9715,0.0,0.9653,close_trailing_long
10,7384,SUI,0.0,-0.03641715,1000.755601504,0.0,1000.755601504,1.0,192.5,0.9459,192.5,0.9459,entry_initial_normal_long
11,7436,SUI,1.7132500000000037,-0.0367598,1002.432091704,0.0,1002.432091704,1.0,-192.5,0.9548,0.0,0.9459,close_trailing_long
12,8653,SUI,0.0,-0.036484416000000006,1002.395607288,0.0,1002.395607288,1.0,195.9,0.9312,195.9,0.9312,entry_initial_normal_long
13,8973,SUI,0.6856499999999898,-0.036621546000000005,1003.044635742,0.0,1003.044635742,1.0,-195.9,0.9347,0.0,0.9312,close_trailing_long
14,10427,SUI,0.0,-0.036493392,1003.00814235,0.0,1003.00814235,1.0,200.8,0.9087,200.8,0.9087,entry_initial_normal_long
15,10438,SUI,1.4056000000000013,-0.036774512,1004.3769678379999,0.0,1004.3769678379999,1.0,-200.8,0.9157,0.0,0.9087,close_trailing_long
16,13007,SUI,0.0,-0.03655168,1004.3404161579999,0.0,1004.3404161579999,1.0,193.6,0.944,193.6,0.944,entry_initial_normal_long
17,13016,SUI,0.42592000000001756,-0.036636864000000005,1004.7296992939999,0.0,1004.7296992939999,1.0,-193.6,0.9462,0.0,0.944,close_trailing_long
18,13033,SUI,0.0,-0.036556872,1004.6931424219999,0.0,1004.6931424219999,1.0,194.7,0.9388,194.7,0.9388,entry_initial_normal_long
19,13038,SUI,0.19470000000000015,-0.036595812,1004.85124661,0.0,1004.85124661,1.0,-194.7,0.9398,0.0,0.9388,close_trailing_long
20,13134,SUI,0.0,-0.036556936,1004.814689674,0.0,1004.814689674,1.0,197.2,0.9269,197.2,0.9269,entry_initial_normal_long
21,13142,SUI,0.09860000000001103,-0.036576656,1004.876713018,0.0,1004.876713018,1.0,-197.2,0.9274,0.0,0.9269,close_trailing_long
22,13742,SUI,0.0,-0.036557928,1004.84015509,0.0,1004.84015509,1.0,204.6,0.8934,204.6,0.8934,entry_initial_normal_long
23,13742,SUI,0.0,-0.31016505200000005,1004.529990038,0.0,1004.529990038,1.0,1801.4,0.8609,2006.0,0.8642148055832503,entry_grid_cropped_long
24,13779,SUI,5.472654935194431,-0.05882408000000001,1009.9438208931945,0.0,1009.9438208931945,1.0,-334.0,0.8806,1672.0,0.8642148055832503,close_trailing_long
25,13794,SUI,5.468568285144547,-0.05913438,1015.353254798339,0.0,1015.353254798339,1.0,-335.8,0.8805,1336.2,0.8642148055832503,close_trailing_long
26,13864,SUI,3.8098816350946954,-0.05911376000000001,1019.1040226734336,0.0,1019.1040226734336,1.0,-337.6,0.8755,998.6,0.8642148055832503,close_trailing_long
27,13867,SUI,2.1300523878365056,-0.059002490000000005,1021.1750725712701,0.0,1021.1750725712701,1.0,-338.9,0.8705,659.7,0.8642148055832503,close_trailing_long
28,13876,SUI,1.896173504486544,-0.05905942,1023.0121866557566,0.0,1023.0121866557566,1.0,-339.5,0.8698,320.2,0.8642148055832503,close_trailing_long
29,13879,SUI,-0.8052407477567252,-0.055183268,1022.1517626399999,0.0,1022.1517626399999,1.0,-320.2,0.8617,0.0,0.8642148055832503,close_trailing_long
30,13880,SUI,0.0,-0.03719916,1022.1145634799999,0.0,1022.1145634799999,1.0,216.4,0.8595,216.4,0.8595,entry_initial_normal_long
31,13886,SUI,-0.6708399999999982,-0.037064992000000005,1021.406658488,0.0,1021.406658488,1.0,-216.4,0.8564,0.0,0.8595,close_trailing_long
