,balance,equity,balance_btc,equity_btc
0,999.964351,1000.0,0.0,0.0
60,999.964351,1000.0,0.0,0.0
120,999.964351,1000.0,0.0,0.0
180,999.964351,1000.0,0.0,0.0
240,999.964351,1000.0,0.0,0.0
300,999.964351,1000.0,0.0,0.0
360,999.964351,1000.0,0.0,0.0
420,999.964351,1000.0,0.0,0.0
480,999.964351,1000.0,0.0,0.0
540,999.964351,1000.0,0.0,0.0
600,999.964351,1000.0,0.0,0.0
660,999.964351,1000.0,0.0,0.0
720,999.964351,1000.0,0.0,0.0
780,999.964351,1000.0,0.0,0.0
840,999.964351,1000.0,0.0,0.0
900,999.964351,1000.0,0.0,0.0
960,999.964351,1000.0,0.0,0.0
1020,999.964351,1000.0,0.0,0.0
1080,999.964351,1000.0,0.0,0.0
1140,999.964351,1000.0,0.0,0.0
1200,999.964351,1000.0,0.0,0.0
1260,999.964351,1000.0,0.0,0.0
1320,999.964351,1000.0,0.0,0.0
1380,999.964351,1000.0,0.0,0.0
1440,999.964351,1000.0,0.0,0.0
1500,999.964351,1000.0,0.0,0.0
1560,999.964351,1000.0,0.0,0.0
1620,999.964351,1000.0,0.0,0.0
1680,999.964351,1000.0,0.0,0.0
1740,999.964351,1000.0,0.0,0.0
1800,999.964351,1000.0,0.0,0.0
1860,999.964351,1000.0,0.0,0.0
1920,999.964351,1000.0,0.0,0.0
1980,999.964351,1000.0,0.0,0.0
2040,999.964351,1000.0,0.0,0.0
2100,999.964351,1000.0,0.0,0.0
2160,999.964351,1000.0,0.0,0.0
2220,999.964351,1000.0,0.0,0.0
2280,999.964351,1000.0,0.0,0.0
2340,999.964351,1000.0,0.0,0.0
2400,999.964351,1000.0,0.0,0.0
2460,999.964351,1000.0,0.0,0.0
2520,999.964351,1000.0,0.0,0.0
2580,999.964351,1000.0,0.0,0.0
2640,999.964351,1000.0,0.0,0.0
2700,999.964351,1000.0,0.0,0.0
2760,999.964351,1000.0,0.0,0.0
2820,999.964351,1000.0,0.0,0.0
2880,999.964351,1000.0,0.0,0.0
2940,999.964351,1000.0,0.0,0.0
3000,999.964351,1000.0,0.0,0.0
3060,999.964351,1000.0,0.0,0.0
3120,999.964351,1000.0,0.0,0.0
3180,999.964351,1000.0,0.0,0.0
3240,999.964351,1000.0,0.0,0.0
3300,999.964351,1000.0,0.0,0.0
3360,999.964351,1000.0,0.0,0.0
3420,999.964351,1000.0,0.0,0.0
3480,999.964351,1000.0,0.0,0.0
3540,999.964351,1000.0,0.0,0.0
3600,999.964351,1000.0,0.0,0.0
3660,999.964351,1000.0,0.0,0.0
3720,999.964351,1000.0,0.0,0.0
3780,999.964351,1000.0,0.0,0.0
3840,1000.30942584,1000.2941509999999,0.0,0.329800000000009
3900,1000.30942584,1000.30942584,0.0,0.0
3960,1000.30942584,1000.30942584,0.0,0.0
4020,1000.30942584,1000.30942584,0.0,0.0
4080,1000.30942584,1000.30942584,0.0,0.0
4140,1000.30942584,1000.30942584,0.0,0.0
4200,1000.30942584,1000.30942584,0.0,0.0
4260,1000.30942584,1000.30942584,0.0,0.0
4320,1000.30942584,1000.30942584,0.0,0.0
4380,1000.30942584,1000.30942584,0.0,0.0
4440,1000.30942584,1000.30942584,0.0,0.0
4500,1000.30942584,1000.30942584,0.0,0.0
4560,1000.30942584,1000.30942584,0.0,0.0
4620,1000.30942584,1000.30942584,0.0,0.0
4680,1000.30942584,1000.30942584,0.0,0.0
4740,1000.30942584,1000.30942584,0.0,0.0
4800,1000.30942584,1000.30942584,0.0,0.0
4860,1000.30942584,1000.30942584,0.0,0.0
4920,1000.30942584,1000.30942584,0.0,0.0
4980,1000.30942584,1000.30942584,0.0,0.0
5040,1000.30942584,1000.30942584,0.0,0.0
5100,1000.30942584,1000.30942584,0.0,0.0
5160,999.6036307200001,1000.30942584,0.0,0.0
5220,999.8195752800001,1000.2624307200001,0.0,0.6587999999999994
5280,999.8195752800001,999.8195752800001,0.0,0.0
5340,999.8195752800001,999.8195752800001,0.0,0.0
5400,999.8195752800001,999.8195752800001,0.0,0.0
5460,999.8195752800001,999.8195752800001,0.0,0.0
5520,999.8195752800001,999.8195752800001,0.0,0.0
5580,999.8195752800001,999.8195752800001,0.0,0.0
5640,999.8195752800001,999.8195752800001,0.0,0.0
5700,999.8195752800001,999.8195752800001,0.0,0.0
5760,999.8195752800001,999.8195752800001,0.0,0.0
5820,999.8195752800001,999.8195752800001,0.0,0.0
5880,1000.1392563600001,999.8195752800001,0.0,0.0
5940,1000.1392563600001,1000.1392563600001,0.0,0.0
6000,999.8604078000001,1000.1392563600001,0.0,0.0
6060,1001.0028246000002,999.8604078000001,0.0,0.0
6120,1001.0028246000002,1001.0028246000002,0.0,0.0
6180,1001.0028246000002,1001.0028246000002,0.0,0.0
6240,1001.0028246000002,1001.0028246000002,0.0,0.0
6300,1001.0028246000002,1001.0028246000002,0.0,0.0
6360,1001.0028246000002,1001.0028246000002,0.0,0.0
6420,1001.0028246000002,1001.0028246000002,0.0,0.0
6480,1001.0028246000002,1001.0028246000002,0.0,0.0
6540,1001.0028246000002,1001.0028246000002,0.0,0.0
6600,1001.0028246000002,1001.0028246000002,0.0,0.0
6660,1001.0028246000002,1001.0028246000002,0.0,0.0
6720,1001.0028246000002,1001.0028246000002,0.0,0.0
6780,1001.0028246000002,1001.0028246000002,0.0,0.0
6840,1001.0028246000002,1001.0028246000002,0.0,0.0
6900,1001.0028246000002,1001.0028246000002,0.0,0.0
6960,1001.0028246000002,1001.0028246000002,0.0,0.0
7020,1001.0028246000002,1001.0028246000002,0.0,0.0
7080,1001.0028246000002,1001.0028246000002,0.0,0.0
7140,1001.0028246000002,1001.0028246000002,0.0,0.0
7200,1001.0028246000002,1001.0028246000002,0.0,0.0
7260,1001.0028246000002,1001.0028246000002,0.0,0.0
7320,1001.0028246000002,1001.0028246000002,0.0,0.0
7380,1002.6406094000001,1001.0028246000002,0.0,0.0
7440,1002.6406094000001,1002.6406094000001,0.0,0.0
7500,1002.6406094000001,1002.6406094000001,0.0,0.0
7560,1002.6406094000001,1002.6406094000001,0.0,0.0
7620,1002.6406094000001,1002.6406094000001,0.0,0.0
7680,1002.6406094000001,1002.6406094000001,0.0,0.0
7740,1002.6406094000001,1002.6406094000001,0.0,0.0
7800,1002.6406094000001,1002.6406094000001,0.0,0.0
7860,1002.6406094000001,1002.6406094000001,0.0,0.0
7920,1002.6406094000001,1002.6406094000001,0.0,0.0
7980,1002.6406094000001,1002.6406094000001,0.0,0.0
8040,1002.6406094000001,1002.6406094000001,0.0,0.0
8100,1002.6406094000001,1002.6406094000001,0.0,0.0
8160,1002.6406094000001,1002.6406094000001,0.0,0.0
8220,1002.6406094000001,1002.6406094000001,0.0,0.0
8280,1002.6406094000001,1002.6406094000001,0.0,0.0
8340,1002.6406094000001,1002.6406094000001,0.0,0.0
8400,1002.6406094000001,1002.6406094000001,0.0,0.0
8460,1002.6406094000001,1002.6406094000001,0.0,0.0
8520,1002.6406094000001,1002.6406094000001,0.0,0.0
8580,1002.6406094000001,1002.6406094000001,0.0,0.0
8640,1002.6033614000002,1002.6406094000001,0.0,0.0
8700,1002.6033614000002,1000.3073614000001,0.0,-2.296000000000009
8760,1002.6033614000002,999.8853614000002,0.0,-2.717999999999998
8820,1002.6033614000002,1001.8333614000002,0.0,-0.770000000000004
8880,1002.6033614000002,1001.9373614000001,0.0,-0.666000000000011
8940,1002.6033614000002,1001.8093614000002,0.0,-0.7940000000000058
9000,1002.7620742000001,1003.3333614000002,0.0,0.7299999999999862
9060,1002.7620742000001,1002.7620742000001,0.0,0.0
9120,1002.7620742000001,1002.7620742000001,0.0,0.0
9180,1002.7620742000001,1002.7620742000001,0.0,0.0
9240,1002.7620742000001,1002.7620742000001,0.0,0.0
9300,1002.7620742000001,1002.7620742000001,0.0,0.0
9360,1002.7620742000001,1002.7620742000001,0.0,0.0
9420,1002.7620742000001,1002.7620742000001,0.0,0.0
9480,1002.7620742000001,1002.7620742000001,0.0,0.0
9540,1002.7620742000001,1002.7620742000001,0.0,0.0
9600,1002.7620742000001,1002.7620742000001,0.0,0.0
9660,1002.7252182000002,1002.7620742000001,0.0,0.0
9720,1002.7252182000002,1005.1332182000002,0.0,2.40800000000001
9780,1008.2992398000002,1006.3252182000002,0.0,3.600000000000003
9840,1008.2992398000002,1008.2992398000002,0.0,0.0
9900,1008.2992398000002,1008.2992398000002,0.0,0.0
9960,1008.2992398000002,1008.2992398000002,0.0,0.0
10020,1008.2992398000002,1008.2992398000002,0.0,0.0
10080,1008.2992398000002,1008.2992398000002,0.0,0.0
10140,1008.2992398000002,1008.2992398000002,0.0,0.0
10200,1008.2992398000002,1008.2992398000002,0.0,0.0
10260,1008.2992398000002,1008.2992398000002,0.0,0.0
10320,1008.2992398000002,1008.2992398000002,0.0,0.0
10380,1009.6043002000002,1008.2992398000002,0.0,0.0
10440,1009.6043002000002,1009.6043002000002,0.0,0.0
10500,1009.6043002000002,1009.6043002000002,0.0,0.0
10560,1009.6043002000002,1009.6043002000002,0.0,0.0
10620,1009.6043002000002,1009.6043002000002,0.0,0.0
10680,1009.6043002000002,1009.6043002000002,0.0,0.0
10740,1009.6043002000002,1009.6043002000002,0.0,0.0
10800,1009.6043002000002,1009.6043002000002,0.0,0.0
10860,1009.6043002000002,1009.6043002000002,0.0,0.0
10920,1009.6043002000002,1009.6043002000002,0.0,0.0
10980,1009.6043002000002,1009.6043002000002,0.0,0.0
11040,1009.6043002000002,1009.6043002000002,0.0,0.0
11100,1009.6043002000002,1009.6043002000002,0.0,0.0
11160,1009.6043002000002,1009.6043002000002,0.0,0.0
11220,1009.6043002000002,1009.6043002000002,0.0,0.0
11280,1009.6043002000002,1009.6043002000002,0.0,0.0
