,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,957,UNI,0.0,-0.028988400000000004,999.9710116,0.0,999.9710116,1.0,34.0,4.263,34.0,4.263,entry_initial_normal_long
1,2266,UNI,0.0,-0.023252400000000003,999.9477592,0.0,999.9477592,1.0,30.0,3.8754,64.0,4.0813125,entry_trailing_normal_long
2,4001,UNI,0.0,-0.0457744,999.9019847999999,0.0,999.9019847999999,1.0,56.0,4.087,120.0,4.083966666666667,entry_trailing_normal_long
3,8146,UNI,0.0,-0.06586840000000001,999.8361163999999,0.0,999.8361163999999,1.0,106.0,3.107,226.0,3.6257433628318587,entry_trailing_normal_long
4,8929,UNI,0.0,-0.10766696,999.72844944,0.0,999.72844944,1.0,199.0,2.7052,425.0,3.1947124705882355,entry_trailing_normal_long
5,9737,UNI,0.0,-0.12411288,999.60433656,0.0,999.60433656,1.0,223.0,2.7828,648.0,3.0529586419753088,entry_trailing_cropped_long
6,10483,UNI,0.0,-0.6852272,998.91910936,0.0,998.91910936,1.0,1268.0,2.702,1916.0,2.8206958246346554,entry_grid_cropped_long
7,10484,UNI,-1.1319582463465538,-0.0054150000000000005,997.7817361136534,0.0,997.7817361136534,1.0,-10.0,2.7075,1906.0,2.8206958246346554,close_unstuck_long
8,10485,UNI,-1.1639582463465548,-0.0054086,996.6123692673069,0.0,996.6123692673069,1.0,-10.0,2.7043,1896.0,2.8206958246346554,close_unstuck_long
9,10486,UNI,-1.0729582463465537,-0.005426800000000001,995.5339842209604,0.0,995.5339842209604,1.0,-10.0,2.7134,1886.0,2.8206958246346554,close_unstuck_long
10,10487,UNI,-0.9809582463465549,-0.0054452,994.5475807746138,0.0,994.5475807746138,1.0,-10.0,2.7226,1876.0,2.8206958246346554,close_unstuck_long
11,10488,UNI,-1.1139582463465558,-0.005418599999999999,993.4282039282673,0.0,993.4282039282673,1.0,-10.0,2.7093,1866.0,2.8206958246346554,close_unstuck_long
12,10489,UNI,-1.0269582463465543,-0.005436,992.3958096819207,0.0,992.3958096819207,1.0,-10.0,2.718,1856.0,2.8206958246346554,close_unstuck_long
13,10490,UNI,-1.0839582463465547,-0.0054246,991.3064268355741,0.0,991.3064268355741,1.0,-10.0,2.7123,1846.0,2.8206958246346554,close_unstuck_long
14,10491,UNI,-0.9369582463465553,-0.0054540000000000005,990.3640145892276,0.0,990.3640145892276,1.0,-10.0,2.727,1836.0,2.8206958246346554,close_unstuck_long
15,10492,UNI,-0.9559582463465555,-0.0054502,989.402606142881,0.0,989.402606142881,1.0,-10.0,2.7251,1826.0,2.8206958246346554,close_unstuck_long
16,10493,UNI,-0.9189582463465529,-0.0054576,988.4781902965345,0.0,988.4781902965345,1.0,-10.0,2.7288,1816.0,2.8206958246346554,close_unstuck_long
17,10494,UNI,-0.9589582463465529,-0.005449600000000001,987.5137824501879,0.0,987.5137824501879,1.0,-10.0,2.7248,1806.0,2.8206958246346554,close_unstuck_long
