,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,3997,UNI,0.0,-0.02906372,999.97093628,0.0,999.97093628,1.0,4.6,31.591,4.6,31.591,entry_initial_normal_long
1,4092,UNI,2.944000000000002,-0.029652519999999998,1002.88528376,0.0,1002.88528376,1.0,-4.6,32.231,0.0,31.591,close_grid_long
2,5333,UNI,0.0,-0.028790100000000002,1002.85649366,0.0,1002.85649366,1.0,4.5,31.989,4.5,31.989,entry_initial_normal_long
3,5419,UNI,2.9159999999999986,-0.0293733,1005.7431203599999,0.0,1005.7431203599999,1.0,-4.5,32.637,0.0,31.989,close_grid_long
4,6540,UNI,0.0,-0.0286552,1005.7144651599999,0.0,1005.7144651599999,1.0,4.3,33.32,4.3,33.32,entry_initial_normal_long
5,6835,UNI,2.902499999999988,-0.0292357,1008.5877294599999,0.0,1008.5877294599999,1.0,-4.3,33.995,0.0,33.32,close_grid_long
6,7093,UNI,0.0,-0.029287280000000006,1008.5584421799999,0.0,1008.5584421799999,1.0,4.4,33.281,4.4,33.281,entry_initial_normal_long
7,7199,UNI,2.965599999999998,-0.029880400000000005,1011.4941617799999,0.0,1011.4941617799999,1.0,-4.4,33.955,0.0,33.281,close_grid_long
8,7865,UNI,0.0,-0.028994240000000004,1011.4651675399999,0.0,1011.4651675399999,1.0,4.4,32.948,4.4,32.948,entry_initial_normal_long
9,9584,UNI,0.0,-0.02159742,1011.4435701199999,0.0,1011.4435701199999,1.0,3.9,27.689,8.3,30.476903614457832,entry_trailing_normal_long
10,10232,UNI,0.0,-0.04089752,1011.4026725999998,0.0,1011.4026725999998,1.0,7.3,28.012,15.6,29.323455128205133,entry_trailing_normal_long
11,11702,UNI,0.0,-0.07638024,1011.3262923599998,0.0,1011.3262923599998,1.0,13.7,27.876,29.3,28.646658703071672,entry_trailing_normal_long
12,12488,UNI,17.384899999999952,-0.1713464,1028.5398459599996,0.0,1028.5398459599996,1.0,-29.3,29.24,0.0,28.646658703071672,close_grid_long
13,13144,UNI,0.0,-0.029824160000000002,1028.5100217999995,0.0,1028.5100217999995,1.0,5.3,28.136,5.3,28.136,entry_initial_normal_long
14,14156,UNI,3.0210000000000012,-0.030428359999999998,1031.5005934399996,0.0,1031.5005934399996,1.0,-5.3,28.706,0.0,28.136,close_grid_long
15,15076,UNI,0.0,-0.029757240000000004,1031.4708361999997,0.0,1031.4708361999997,1.0,5.4,27.553,5.4,27.553,entry_initial_normal_long
16,15510,UNI,3.0131999999999994,-0.030359880000000006,1034.4536763199997,0.0,1034.4536763199997,1.0,-5.4,28.111,0.0,27.553,close_grid_long
17,18714,UNI,0.0,-0.02958778,1034.4240885399997,0.0,1034.4240885399997,1.0,5.3,27.913,5.3,27.913,entry_initial_normal_long
18,19702,UNI,2.9945000000000066,-0.030186680000000004,1037.3884018599997,0.0,1037.3884018599997,1.0,-5.3,28.478,0.0,27.913,close_grid_long
19,20756,UNI,0.0,-0.02985528,1037.3585465799997,0.0,1037.3585465799997,1.0,5.2,28.707,5.2,28.707,entry_initial_normal_long
20,20835,UNI,3.0211999999999977,-0.030459520000000004,1040.3492870599996,0.0,1040.3492870599996,1.0,-5.2,29.288,0.0,28.707,close_grid_long
21,23518,UNI,0.0,-0.030182040000000004,1040.3191050199996,0.0,1040.3191050199996,1.0,4.9,30.798,4.9,30.798,entry_initial_normal_long
22,23538,UNI,3.0576000000000114,-0.030793560000000005,1043.3459114599996,0.0,1043.3459114599996,1.0,-4.9,31.422,0.0,30.798,close_grid_long
23,23589,UNI,0.0,-0.029984080000000003,1043.3159273799995,0.0,1043.3159273799995,1.0,4.9,30.596,4.9,30.596,entry_initial_normal_long
