,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,VET,0.0,-0.014449431199999998,999.9855505688,0.0,999.9855505688,1.0,28922.0,0.002498,28922.0,0.002498,entry_initial_normal_long
1,8,VET,0.7808940000000033,-0.01460561,1000.7518389588,0.0,1000.7518389588,1.0,-28922.0,0.002525,0.0,0.002498,close_trailing_long
2,114,VET,0.0,-0.014460530000000001,1000.7373784288001,0.0,1000.7373784288001,1.0,29225.0,0.002474,29225.0,0.002474,entry_initial_normal_long
3,120,VET,0.14612499999999404,-0.014489755,1000.8690136738,0.0,1000.8690136738,1.0,-29225.0,0.002479,0.0,0.002474,close_trailing_long
4,860,VET,0.0,-0.0144619102,1000.8545517636,0.0,1000.8545517636,1.0,28547.0,0.002533,28547.0,0.002533,entry_initial_normal_long
5,862,VET,0.0,-0.0144619102,1000.8400898534001,0.0,1000.8400898534001,1.0,-28547.0,0.002533,0.0,0.002533,close_trailing_long
6,1248,VET,0.0,-0.014461397200000002,1000.8256284562001,0.0,1000.8256284562001,1.0,29417.0,0.002458,29417.0,0.002458,entry_initial_normal_long
7,1251,VET,0.0,-0.014461397200000002,1000.8111670590001,0.0,1000.8111670590001,1.0,-29417.0,0.002458,0.0,0.002458,close_trailing_long
8,1252,VET,0.0,-0.014461405600000001,1000.7967056534002,0.0,1000.7967056534002,1.0,29489.0,0.002452,29489.0,0.002452,entry_initial_normal_long
9,1262,VET,0.29489000000000076,-0.014520383600000002,1001.0770752698002,0.0,1001.0770752698002,1.0,-29489.0,0.002462,0.0,0.002452,close_trailing_long
10,1346,VET,0.0,-0.014464866600000003,1001.0626104032002,0.0,1001.0626104032002,1.0,28803.0,0.002511,28803.0,0.002511,entry_initial_normal_long
11,1348,VET,0.7200749999999957,-0.014608881600000002,1001.7680765216002,0.0,1001.7680765216002,1.0,-28803.0,0.002536,0.0,0.002511,close_trailing_long
12,1367,VET,0.0,-0.01447517,1001.7536013516002,0.0,1001.7536013516002,1.0,28835.0,0.00251,28835.0,0.00251,entry_initial_normal_long
13,1370,VET,0.2306799999999931,-0.014521306,1001.9697600456002,0.0,1001.9697600456002,1.0,-28835.0,0.002518,0.0,0.00251,close_trailing_long
14,1376,VET,0.0,-0.014477933600000001,1001.9552821120002,0.0,1001.9552821120002,1.0,28852.0,0.002509,28852.0,0.002509,entry_initial_normal_long
15,1380,VET,0.14426000000000663,-0.0145067856,1002.0850353264002,0.0,1002.0850353264002,1.0,-28852.0,0.002514,0.0,0.002509,close_trailing_long
16,1441,VET,0.0,-0.0144795168,1002.0705558096003,0.0,1002.0705558096003,1.0,29052.0,0.002492,29052.0,0.002492,entry_initial_normal_long
17,1469,VET,0.0,-0.0144795168,1002.0560762928003,0.0,1002.0560762928003,1.0,-29052.0,0.002492,0.0,0.002492,close_trailing_long
18,1774,VET,0.0,-0.014479257800000003,1002.0415970350003,0.0,1002.0415970350003,1.0,30457.0,0.002377,30457.0,0.002377,entry_initial_normal_long
19,1792,VET,0.0,-0.024296910400000003,1002.0173001246003,0.0,1002.0173001246003,1.0,53236.0,0.002282,83693.0,0.002316571768248241,entry_grid_normal_long
20,1794,VET,0.0,-0.06492217060000001,1001.9523779540003,0.0,1001.9523779540003,1.0,146287.0,0.002219,229980.0,0.002254507757196278,entry_grid_normal_long
