,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,VET,0.0,-0.029632793400000003,999.9703672066,0.0,999.9703672066,1.0,58959.0,0.002513,58959.0,0.002513,entry_initial_normal_long
1,369,VET,4.480884000000007,-0.030528970200000005,1004.4207222364,0.0,1004.4207222364,1.0,-58959.0,0.002589,0.0,0.002513,close_grid_long
2,753,VET,0.0,-0.029763949400000003,1004.390958287,0.0,1004.390958287,1.0,57839.0,0.002573,57839.0,0.002573,entry_initial_normal_long
3,1303,VET,4.511441999999997,-0.0306662378,1008.8717340492,0.0,1008.8717340492,1.0,-57839.0,0.002651,0.0,0.002573,close_grid_long
4,1345,VET,0.0,-0.0298958896,1008.8418381596,0.0,1008.8418381596,1.0,58943.0,0.002536,58943.0,0.002536,entry_initial_normal_long
5,1789,VET,0.0,-0.0181361256,1008.823702034,0.0,1008.823702034,1.0,39036.0,0.002323,97979.0,0.0024511382643219465,entry_grid_normal_long
6,1794,VET,0.0,-0.029005383000000003,1008.794696651,0.0,1008.794696651,1.0,64889.0,0.002235,162868.0,0.0023650256096961956,entry_grid_normal_long
7,1806,VET,0.0,-0.046186936600000006,1008.7485097144,0.0,1008.7485097144,1.0,107863.0,0.002141,270731.0,0.0022757706875090036,entry_grid_normal_long
8,1942,VET,0.0,-0.07300973840000001,1008.6754999760001,0.0,1008.6754999760001,1.0,179297.0,0.002036,450028.0,0.002180242931550926,entry_grid_normal_long
9,2311,VET,29.592521999999942,-0.20215257760000002,1038.0658693984,0.0,1038.0658693984,1.0,-450028.0,0.002246,0.0,0.002180242931550926,close_grid_long
10,2617,VET,0.0,-0.030760987,1038.0351084114002,0.0,1038.0351084114002,1.0,68755.0,0.002237,68755.0,0.002237,entry_initial_normal_long
11,2624,VET,4.675340000000024,-0.031696055,1042.6787523564003,0.0,1042.6787523564003,1.0,-68755.0,0.002305,0.0,0.002237,close_grid_long
12,2637,VET,0.0,-0.030897304400000002,1042.6478550520003,0.0,1042.6478550520003,1.0,68998.0,0.002239,68998.0,0.002239,entry_initial_normal_long
