,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,652,VET,0.0,-0.020774264,999.979225736,0.0,999.979225736,1.0,749.0,0.13868,749.0,0.13868,entry_initial_normal_long
1,997,VET,3.093369999999996,-0.021392938,1003.051202798,0.0,1003.051202798,1.0,-749.0,0.14281,0.0,0.13868,close_grid_long
2,1285,VET,0.0,-0.020812916,1003.030389882,0.0,1003.030389882,1.0,743.0,0.14006,743.0,0.14006,entry_initial_normal_long
3,1534,VET,3.098310000000005,-0.021432578,1006.1072673040001,0.0,1006.1072673040001,1.0,-743.0,0.14423,0.0,0.14006,close_grid_long
4,1846,VET,0.0,-0.02089605,1006.086371254,0.0,1006.086371254,1.0,735.0,0.14215,735.0,0.14215,entry_initial_normal_long
5,2120,VET,3.1090500000000083,-0.021517860000000003,1009.173903394,0.0,1009.173903394,1.0,-735.0,0.14638,0.0,0.14215,close_grid_long
6,2320,VET,0.0,-0.020955048,1009.152948346,0.0,1009.152948346,1.0,727.0,0.14412,727.0,0.14412,entry_initial_normal_long
7,2926,VET,0.0,-0.012753132,1009.1401952140001,0.0,1009.1401952140001,1.0,483.0,0.13202,1210.0,0.13929,entry_grid_normal_long
8,2927,VET,0.0,-0.020418384,1009.1197768300001,0.0,1009.1197768300001,1.0,804.0,0.12698,2014.0,0.13437577954319763,entry_grid_normal_long
9,2932,VET,0.0,-0.032529456,1009.0872473740001,0.0,1009.0872473740001,1.0,1338.0,0.12156,3352.0,0.12926017303102627,entry_grid_normal_long
10,2934,VET,0.0,-0.051416148,1009.035831226,0.0,1009.035831226,1.0,2226.0,0.11549,5578.0,0.1237649408390104,entry_grid_normal_long
11,2950,VET,18.476926543563973,-0.129861366,1027.382896403564,0.0,1027.382896403564,1.0,-5097.0,0.12739,481.0,0.1237649408390104,close_grid_long
12,2951,VET,1.7773234564359897,-0.012261652,1029.147958208,0.0,1029.147958208,1.0,-481.0,0.12746,0.0,0.1237649408390104,close_grid_long
13,2952,VET,0.0,-0.02136024,1029.1265979680002,0.0,1029.1265979680002,1.0,837.0,0.1276,837.0,0.1276,entry_initial_normal_long
14,4394,VET,3.1805999999999983,-0.02199636,1032.285201608,0.0,1032.285201608,1.0,-837.0,0.1314,0.0,0.1276,close_grid_long
15,5002,VET,0.0,-0.021429758,1032.26377185,0.0,1032.26377185,1.0,833.0,0.12863,833.0,0.12863,entry_initial_normal_long
16,5089,VET,3.19039,-0.022067836,1035.432094014,0.0,1035.432094014,1.0,-833.0,0.13246,0.0,0.12863,close_grid_long
17,5777,VET,0.0,-0.02148564,1035.410608374,0.0,1035.410608374,1.0,820.0,0.13101,820.0,0.13101,entry_initial_normal_long
18,6166,VET,3.198000000000012,-0.02212524,1038.586483134,0.0,1038.586483134,1.0,-820.0,0.13491,0.0,0.13101,close_grid_long
19,6900,VET,0.0,-0.02156517,1038.564917964,0.0,1038.564917964,1.0,795.0,0.13563,795.0,0.13563,entry_initial_normal_long
