,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,13,WIF,0.0,-0.009807499999999999,999.9901925,0.0,999.9901925,1.0,125.0,0.3923,125.0,0.3923,entry_initial_normal_long
1,23,WIF,1.7749999999999988,-0.0101625,1001.75503,0.0,1001.75503,1.0,-125.0,0.4065,0.0,0.3923,close_trailing_long
2,25,WIF,0.0,-0.009825696000000002,1001.745204304,0.0,1001.745204304,1.0,125.2,0.3924,125.2,0.3924,entry_initial_normal_long
3,32,WIF,1.740279999999996,-0.010173752000000001,1003.475310552,0.0,1003.475310552,1.0,-125.2,0.4063,0.0,0.3924,close_trailing_long
4,41,WIF,0.0,-0.009843900000000001,1003.465466652,0.0,1003.465466652,1.0,125.4,0.3925,125.4,0.3925,entry_initial_normal_long
5,47,WIF,0.451439999999999,-0.009934188,1003.906972464,0.0,1003.906972464,1.0,-125.4,0.3961,0.0,0.3925,close_trailing_long
6,59,WIF,0.0,-0.00984924,1003.897123224,0.0,1003.897123224,1.0,125.5,0.3924,125.5,0.3924,entry_initial_normal_long
7,66,WIF,-0.08785000000000426,-0.00983167,1003.7994415539999,0.0,1003.7994415539999,1.0,-125.5,0.3917,0.0,0.3924,close_trailing_long
8,132,WIF,0.0,-0.009842310000000002,1003.789599244,0.0,1003.789599244,1.0,125.7,0.3915,125.7,0.3915,entry_initial_normal_long
9,258,WIF,0.0,-0.06090083200000001,1003.728698412,0.0,1003.728698412,1.0,814.4,0.3739,940.1,0.37625328156579085,entry_grid_normal_long
10,334,WIF,-0.6758229975534467,-0.043961719999999996,1003.0089136944465,0.0,1003.0089136944465,1.0,-586.0,0.3751,354.1,0.37625328156579085,close_trailing_long
11,489,WIF,0.0,-0.164547196,1002.8443664984466,0.0,1002.8443664984466,1.0,2294.3,0.3586,2648.4,0.36096030320285705,entry_grid_normal_long
12,862,WIF,0.0,-0.444538044,1002.3998284544466,0.0,1002.3998284544466,1.0,6579.9,0.3378,9228.3,0.344446700584338,entry_grid_cropped_long
13,940,WIF,0.0,-0.007849968000000002,1002.3919784864466,0.0,1002.3919784864466,1.0,114.9,0.3416,9343.2,0.3444116926751484,entry_trailing_cropped_long
14,1072,WIF,-0.8004889046147377,-0.019450704,1001.5720388778319,0.0,1001.5720388778319,1.0,-284.7,0.3416,9058.5,0.3444116926751484,close_unstuck_long
15,1073,WIF,-0.003299672926875441,-0.019437936,1001.5493012689051,0.0,1001.5493012689051,1.0,-282.2,0.3444,8776.3,0.3444116926751484,close_unstuck_long
16,1074,WIF,-0.7140742275446877,-0.019440434,1000.8157866073605,0.0,1000.8157866073605,1.0,-284.3,0.3419,8492.0,0.3444116926751484,close_unstuck_long
