,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,13,WIF,0.0,-0.009810000000000001,999.99019,0.0,999.99019,1.0,125.0,0.3924,125.0,0.3924,entry_initial_normal_long
1,21,WIF,1.1749999999999954,-0.010045,1001.155145,0.0,1001.155145,1.0,-125.0,0.4018,0.0,0.3924,close_trailing_long
2,25,WIF,0.0,-0.0098125,1001.1453325,0.0,1001.1453325,1.0,125.0,0.3925,125.0,0.3925,entry_initial_normal_long
3,33,WIF,1.5499999999999958,-0.0101225,1002.68521,0.0,1002.68521,1.0,-125.0,0.4049,0.0,0.3925,close_trailing_long
4,41,WIF,0.0,-0.0098175,1002.6753924999999,0.0,1002.6753924999999,1.0,125.0,0.3927,125.0,0.3927,entry_initial_normal_long
5,47,WIF,0.46249999999999764,-0.00991,1003.1279824999999,0.0,1003.1279824999999,1.0,-125.0,0.3964,0.0,0.3927,close_trailing_long
6,59,WIF,0.0,-0.0098125,1003.11817,0.0,1003.11817,1.0,125.0,0.3925,125.0,0.3925,entry_initial_normal_long
7,64,WIF,0.09999999999999593,-0.0098325,1003.2083375,0.0,1003.2083375,1.0,-125.0,0.3933,0.0,0.3925,close_trailing_long
8,65,WIF,0.0,-0.009805,1003.1985324999999,0.0,1003.1985324999999,1.0,125.0,0.3922,125.0,0.3922,entry_initial_normal_long
9,79,WIF,0.5249999999999977,-0.00991,1003.7136224999999,0.0,1003.7136224999999,1.0,-125.0,0.3964,0.0,0.3922,close_trailing_long
10,131,WIF,0.0,-0.009875880000000002,1003.70374662,0.0,1003.70374662,1.0,126.0,0.3919,126.0,0.3919,entry_initial_normal_long
11,277,WIF,0.0,-0.06106944,1003.64267718,0.0,1003.64267718,1.0,816.0,0.3742,942.0,0.37656751592356685,entry_grid_normal_long
12,339,WIF,-0.6841643312101694,-0.04399688,1002.9145159687898,0.0,1002.9145159687898,1.0,-586.0,0.3754,356.0,0.37656751592356685,close_trailing_long
13,489,WIF,0.0,-0.16559646,1002.7489195087899,0.0,1002.7489195087899,1.0,2307.0,0.3589,2663.0,0.36126186093458124,entry_grid_normal_long
14,862,WIF,0.0,-0.4432532,1002.3056663087899,0.0,1002.3056663087899,1.0,6557.0,0.338,9220.0,0.34471869150420714,entry_grid_cropped_long
15,940,WIF,0.0,-0.007861400000000001,1002.2978049087899,0.0,1002.2978049087899,1.0,115.0,0.3418,9335.0,0.34468273547603534,entry_trailing_cropped_long
16,1072,WIF,-0.7618968751940292,-0.019425600000000005,1001.5164824335959,0.0,1001.5164824335959,1.0,-284.0,0.342,9051.0,0.34468273547603534,close_unstuck_long
17,1073,WIF,0.08915133123406194,-0.019389,1001.58624476483,0.0,1001.58624476483,1.0,-281.0,0.345,8770.0,0.34468273547603534,close_unstuck_long
18,1074,WIF,-0.6743141397180032,-0.019374179999999998,1000.892556445112,0.0,1000.892556445112,1.0,-283.0,0.3423,8487.0,0.34468273547603534,close_unstuck_long
19,1075,WIF,-0.7618968751940292,-0.019425600000000005,1000.111233969918,0.0,1000.111233969918,1.0,-284.0,0.342,8203.0,0.34468273547603534,close_unstuck_long
20,1076,WIF,-0.0794486687659351,-0.01935528,1000.012430021152,0.0,1000.012430021152,1.0,-281.0,0.3444,7922.0,0.34468273547603534,close_unstuck_long
21,1077,WIF,-0.24893140424196747,-0.01939032,999.74410829691,0.0,999.74410829691,1.0,-282.0,0.3438,7640.0,0.34468273547603534,close_unstuck_long
22,1078,WIF,-0.19253140424197368,-0.0194016,999.5321752926681,0.0,999.5321752926681,1.0,-282.0,0.344,7358.0,0.34468273547603534,close_unstuck_long
23,1079,WIF,-0.19253140424197368,-0.0194016,999.3202422884261,0.0,999.3202422884261,1.0,-282.0,0.344,7076.0,0.34468273547603534,close_unstuck_long
24,1080,WIF,0.9777995376621781,-0.01935992,1000.2786819060883,0.0,1000.2786819060883,1.0,-278.0,0.3482,6798.0,0.34468273547603534,close_unstuck_long
25,1081,WIF,0.8139168021861457,-0.019396080000000003,1001.0732026282744,0.0,1001.0732026282744,1.0,-279.0,0.3476,6519.0,0.34468273547603534,close_unstuck_long
26,1830,WIF,0.0,-0.18522996,1000.8879726682744,0.0,1000.8879726682744,1.0,2958.0,0.3131,9477.0,0.3348250029089664,entry_grid_cropped_long
27,1900,WIF,0.0,-0.007960000000000002,1000.8800126682744,0.0,1000.8800126682744,1.0,125.0,0.3184,9602.0,0.33461118022998065,entry_trailing_cropped_long
28,1935,WIF,-2.223309348074273,-0.01936432,998.6373390002001,0.0,998.6373390002001,1.0,-296.0,0.3271,9306.0,0.33461118022998065,close_unstuck_long
29,1951,WIF,-2.2825093480742664,-0.019352480000000005,996.3354771721258,0.0,996.3354771721258,1.0,-296.0,0.3269,9010.0,0.33461118022998065,close_unstuck_long
30,1952,WIF,-2.1567981678442987,-0.0193107,994.1593683042815,0.0,994.1593683042815,1.0,-295.0,0.3273,8715.0,0.33461118022998065,close_unstuck_long
31,1957,WIF,-2.304298167844299,-0.0192812,991.8357889364372,0.0,991.8357889364372,1.0,-295.0,0.3268,8420.0,0.33461118022998065,close_unstuck_long
32,1958,WIF,-2.120086987614305,-0.01925112,989.6964508288229,0.0,989.6964508288229,1.0,-294.0,0.3274,8126.0,0.33461118022998065,close_unstuck_long
33,1959,WIF,-2.024975807384334,-0.01920322,987.6522718014386,0.0,987.6522718014386,1.0,-293.0,0.3277,7833.0,0.33461118022998065,close_unstuck_long
34,1962,WIF,-2.200775807384331,-0.01916806,985.4323279340542,0.0,985.4323279340542,1.0,-293.0,0.3271,7540.0,0.33461118022998065,close_unstuck_long
35,1963,WIF,-2.0402534469243694,-0.01906632,983.3730081671299,0.0,983.3730081671299,1.0,-291.0,0.3276,7249.0,0.33461118022998065,close_unstuck_long
36,1964,WIF,-1.952953446924363,-0.01908378,981.4009709402055,0.0,981.4009709402055,1.0,-291.0,0.3279,6958.0,0.33461118022998065,close_unstuck_long
37,1965,WIF,-1.9752422666943952,-0.0190124,979.4067162735112,0.0,979.4067162735112,1.0,-290.0,0.3278,6668.0,0.33461118022998065,close_unstuck_long
38,2031,WIF,0.6948807328622858,-0.008035800000000001,980.0935612063735,0.0,980.0935612063735,1.0,-118.0,0.3405,6550.0,0.33461118022998065,close_grid_long
39,2034,WIF,3.4059999318924463,-0.04377912,983.455782018266,0.0,983.455782018266,1.0,-644.0,0.3399,5906.0,0.33461118022998065,close_trailing_long
40,2037,WIF,3.868777571432507,-0.044005520000000006,987.2805540696985,0.0,987.2805540696985,1.0,-646.0,0.3406,5260.0,0.33461118022998065,close_trailing_long
41,2042,WIF,5.249644030742559,-0.04448246000000001,992.4857156404411,0.0,992.4857156404411,1.0,-649.0,0.3427,4611.0,0.33461118022998065,close_trailing_long
42,2046,WIF,4.817510490052631,-0.044596800000000006,997.2586293304937,0.0,997.2586293304937,1.0,-652.0,0.342,3959.0,0.33461118022998065,close_trailing_long
43,2048,WIF,2.874676949362687,-0.044409000000000004,1000.0888972798564,0.0,1000.0888972798564,1.0,-655.0,0.339,3304.0,0.33461118022998065,close_trailing_long
44,2053,WIF,4.525954588902727,-0.044873100000000006,1004.5699787687591,0.0,1004.5699787687591,1.0,-657.0,0.3415,2647.0,0.33461118022998065,close_trailing_long
45,2057,WIF,3.0286210482127696,-0.044774400000000006,1007.5538254169719,0.0,1007.5538254169719,1.0,-660.0,0.3392,1987.0,0.33461118022998065,close_trailing_long
46,2064,WIF,4.957598687752817,-0.04529404,1012.4661300647247,0.0,1012.4661300647247,1.0,-662.0,0.3421,1325.0,0.33461118022998065,close_trailing_long
47,2071,WIF,6.509565147062855,-0.0458052,1018.9298900117875,0.0,1018.9298900117875,1.0,-665.0,0.3444,660.0,0.33461118022998065,close_trailing_long
48,2075,WIF,5.93262104821278,-0.045355200000000005,1024.8171558600002,0.0,1024.8171558600002,1.0,-660.0,0.3436,0.0,0.33461118022998065,close_trailing_long
49,2220,WIF,0.0,-0.01005024,1024.8071056200001,0.0,1024.8071056200001,1.0,152.0,0.3306,152.0,0.3306,entry_initial_normal_long
50,2225,WIF,0.015199999999998326,-0.01005328,1024.8122523400002,0.0,1024.8122523400002,1.0,-152.0,0.3307,0.0,0.3306,close_trailing_long
51,2232,WIF,0.0,-0.010044160000000002,1024.8022081800002,0.0,1024.8022081800002,1.0,152.0,0.3304,152.0,0.3304,entry_initial_normal_long
52,2316,WIF,0.0,-0.0621535,1024.7400546800002,0.0,1024.7400546800002,1.0,985.0,0.3155,1137.0,0.3174919085312225,entry_grid_normal_long
53,2322,WIF,-0.7032631486367498,-0.0448797,1023.9919118313634,0.0,1023.9919118313634,1.0,-709.0,0.3165,428.0,0.3174919085312225,close_trailing_long
54,2331,WIF,1.2874631486367731,-0.027434800000000002,1025.2519401800002,0.0,1025.2519401800002,1.0,-428.0,0.3205,0.0,0.3174919085312225,close_trailing_long
55,2332,WIF,0.0,-0.010030800000000001,1025.2419093800002,0.0,1025.2419093800002,1.0,156.0,0.3215,156.0,0.3215,entry_initial_normal_long
56,2339,WIF,-0.15600000000000014,-0.0099996,1025.07590978,0.0,1025.07590978,1.0,-156.0,0.3205,0.0,0.3215,close_trailing_long
57,2340,WIF,0.0,-0.010033920000000002,1025.06587586,0.0,1025.06587586,1.0,156.0,0.3216,156.0,0.3216,entry_initial_normal_long
58,2361,WIF,0.0,-0.010033920000000002,1025.05584194,0.0,1025.05584194,1.0,-156.0,0.3216,0.0,0.3216,close_trailing_long
59,2362,WIF,0.0,-0.01005428,1025.0457876599999,0.0,1025.0457876599999,1.0,157.0,0.3202,157.0,0.3202,entry_initial_normal_long
60,2400,WIF,0.0,-0.06219972000000001,1024.9835879399998,0.0,1024.9835879399998,1.0,1017.0,0.3058,1174.0,0.3077257240204429,entry_grid_normal_long
61,2452,WIF,-0.6776299829641927,-0.04491552000000001,1024.2610424370355,0.0,1024.2610424370355,1.0,-732.0,0.3068,442.0,0.3077257240204429,close_trailing_long
62,2457,WIF,-0.40917001703575573,-0.027121120000000002,1023.8247512999998,0.0,1023.8247512999998,1.0,-442.0,0.3068,0.0,0.3077257240204429,close_trailing_long
63,2458,WIF,0.0,-0.010017980000000001,1023.8147333199997,0.0,1023.8147333199997,1.0,163.0,0.3073,163.0,0.3073,entry_initial_normal_long
64,2478,WIF,0.09779999999999828,-0.010037540000000001,1023.9024957799998,0.0,1023.9024957799998,1.0,-163.0,0.3079,0.0,0.3073,close_trailing_long
65,2481,WIF,0.0,-0.01001146,1023.8924843199998,0.0,1023.8924843199998,1.0,163.0,0.3071,163.0,0.3071,entry_initial_normal_long
66,2486,WIF,0.2934000000000039,-0.010070140000000002,1024.1758141799999,0.0,1024.1758141799999,1.0,-163.0,0.3089,0.0,0.3071,close_trailing_long
67,2488,WIF,0.0,-0.01006632,1024.1657478599998,0.0,1024.1657478599998,1.0,164.0,0.3069,164.0,0.3069,entry_initial_normal_long
68,2494,WIF,0.49200000000000044,-0.01016472,1024.6475831399998,0.0,1024.6475831399998,1.0,-164.0,0.3099,0.0,0.3069,close_trailing_long
69,2500,WIF,0.0,-0.01005976,1024.6375233799997,0.0,1024.6375233799997,1.0,164.0,0.3067,164.0,0.3067,entry_initial_normal_long
70,2507,WIF,0.5084000000000077,-0.01016144,1025.1357619399998,0.0,1025.1357619399998,1.0,-164.0,0.3098,0.0,0.3067,close_trailing_long
71,2785,WIF,0.0,-0.01004732,1025.1257146199998,0.0,1025.1257146199998,1.0,163.0,0.3082,163.0,0.3082,entry_initial_normal_long
72,2791,WIF,0.48900000000000043,-0.010145119999999999,1025.6045694999998,0.0,1025.6045694999998,1.0,-163.0,0.3112,0.0,0.3082,close_trailing_long
73,2812,WIF,0.0,-0.01002776,1025.5945417399998,0.0,1025.5945417399998,1.0,163.0,0.3076,163.0,0.3076,entry_initial_normal_long
74,2816,WIF,-0.16300000000000014,-0.009995160000000001,1025.4215465799998,0.0,1025.4215465799998,1.0,-163.0,0.3066,0.0,0.3076,close_trailing_long
75,2820,WIF,0.0,-0.010076159999999999,1025.41147042,0.0,1025.41147042,1.0,164.0,0.3072,164.0,0.3072,entry_initial_normal_long
76,2823,WIF,0.5084000000000077,-0.01017784,1025.90969258,0.0,1025.90969258,1.0,-164.0,0.3103,0.0,0.3072,close_trailing_long
