,balance,equity,balance_btc,equity_btc
0,1000.09290074,1000.0,0.0,0.0
60,1000.1524685200001,999.69900074,0.0,-0.39390000000000147
120,1000.7932064600001,1000.8190685200001,0.0,0.6665999999999939
180,1000.7932064600001,1000.7932064600001,0.0,0.0
240,1000.7932064600001,1000.7932064600001,0.0,0.0
300,1000.7932064600001,1000.7932064600001,0.0,0.0
360,1001.30606408,1000.7932064600001,0.0,0.0
420,1001.28035774,1001.30606408,0.0,0.0
480,1001.28035774,995.32055774,0.0,-5.959800000000003
540,1001.28035774,998.72615774,0.0,-2.5542000000000042
600,1001.28035774,999.20135774,0.0,-2.078999999999991
660,1001.97720686,1001.57735774,0.0,0.2969999999999893
720,1001.97720686,1001.97720686,0.0,0.0
780,1001.97720686,1001.97720686,0.0,0.0
840,1001.97720686,1001.97720686,0.0,0.0
900,1001.97720686,1001.97720686,0.0,0.0
960,1001.97720686,1001.97720686,0.0,0.0
1020,1001.97720686,1001.97720686,0.0,0.0
1080,1001.97720686,1001.97720686,0.0,0.0
1140,1001.97720686,1001.97720686,0.0,0.0
1200,1001.97720686,1001.97720686,0.0,0.0
1260,1001.97720686,1001.97720686,0.0,0.0
1320,1001.97720686,1001.97720686,0.0,0.0
1380,1001.97720686,1001.97720686,0.0,0.0
1440,1001.97720686,1001.97720686,0.0,0.0
1500,1001.97720686,1001.97720686,0.0,0.0
1560,1001.97720686,1001.97720686,0.0,0.0
1620,1001.97720686,1001.97720686,0.0,0.0
1680,1001.97720686,1001.97720686,0.0,0.0
1740,1001.97720686,1001.97720686,0.0,0.0
1800,1001.97720686,1001.97720686,0.0,0.0
1860,1001.97720686,1001.97720686,0.0,0.0
1920,1001.97720686,1001.97720686,0.0,0.0
1980,1001.95145144,1001.97720686,0.0,0.0
2040,1001.95145144,1002.0165514400001,0.0,0.06509999999999283
2100,1001.95145144,999.53345144,0.0,-2.418000000000002
2160,1001.95145144,1000.59365144,0.0,-1.357799999999995
2220,1001.95145144,1001.78405144,0.0,-0.1674000000000022
2280,1003.65515006,1003.54175144,0.0,1.59029999999999
2340,1003.65515006,1003.65515006,0.0,0.0
2400,1003.65515006,1003.65515006,0.0,0.0
2460,1003.65515006,1003.65515006,0.0,0.0
2520,1003.65515006,1003.65515006,0.0,0.0
2580,1003.65515006,1003.65515006,0.0,0.0
2640,1003.6292587,1003.65515006,0.0,0.0
2700,1004.08501018,1004.7666587,0.0,1.1374
2760,1004.08501018,1003.04161018,0.0,-1.0433999999999894
2820,1004.08501018,1002.93821018,0.0,-1.146799999999999
2880,1004.08501018,1001.3778101800001,0.0,-2.707199999999994
2940,1004.08501018,1000.77621018,0.0,-3.3087999999999904
3000,1004.08501018,1001.5658101800001,0.0,-2.519199999999994
3060,1004.08501018,1002.81601018,0.0,-1.2690000000000063
3120,1004.0403583000001,1002.3648101800001,0.0,-1.7201999999999984
3180,1004.0403583000001,1004.0403583000001,0.0,0.0
3240,1004.0403583000001,1004.0403583000001,0.0,0.0
3300,1004.0403583000001,1004.0403583000001,0.0,0.0
3360,1004.0403583000001,1004.0403583000001,0.0,0.0
3420,1003.7168533,1004.0403583000001,0.0,0.0
3480,1004.3369091000001,1002.9524533,0.0,-0.7643999999999966
3540,1004.3369091000001,1004.3369091000001,0.0,0.0
3600,1004.3369091000001,1004.3369091000001,0.0,0.0
3660,1004.3369091000001,1004.3369091000001,0.0,0.0
3720,1005.0167793,1004.3369091000001,0.0,0.0
3780,1005.0167793,1005.0167793,0.0,0.0
3840,1005.0167793,1005.0167793,0.0,0.0
3900,1005.0167793,1005.0167793,0.0,0.0
3960,1005.0167793,1005.0167793,0.0,0.0
4020,1005.0167793,1005.0167793,0.0,0.0
4080,1005.0167793,1005.0167793,0.0,0.0
4140,1005.0167793,1005.0167793,0.0,0.0
4200,1005.0167793,1005.0167793,0.0,0.0
4260,1005.0167793,1005.0167793,0.0,0.0
4320,1005.0167793,1005.0167793,0.0,0.0
4380,1005.0167793,1005.0167793,0.0,0.0
4440,1004.9487126600001,1005.0167793,0.0,0.0
4500,1004.9227701000001,1005.0655701000001,0.0,0.14280000000000292
4560,1004.9227701000001,1004.4607701000001,0.0,-0.4620000000000051
4620,1004.9227701000001,1002.6043701000001,0.0,-2.318400000000006
4680,1004.9227701000001,1000.1599701000001,0.0,-4.762799999999998
4740,1004.9227701000001,999.2023701,0.0,-5.720400000000004
4800,1004.9227701000001,996.5227701000001,0.0,-8.400000000000007
4860,1004.7843745000001,995.3215701000001,0.0,-9.601200000000006
4920,1004.7843745000001,1006.4965745000003,0.0,1.7122000000001099
4980,1004.7843745000001,984.2253745000002,0.0,-20.558999999999987
5040,1003.2829579146344,971.6547745000001,0.0,-33.1296
5100,1003.1273349400002,1002.2900945000002,0.0,-0.9928634146341464
5160,1003.1273349400002,1003.1273349400002,0.0,0.0
5220,1003.1014406200002,1003.1273349400002,0.0,0.0
5280,1003.6421217600002,1003.3682406200002,0.0,0.26679999999999104
5340,1003.3713150600003,1002.9911217600002,0.0,-0.6510000000000109
5400,1003.3713150600003,1000.3395150600003,0.0,-3.0317999999999965
5460,1003.1967429000002,1003.2225150600002,0.0,-0.14880000000000426
5520,1004.2354729800002,1003.1967429000002,0.0,0.0
5580,1004.2354729800002,1004.2354729800002,0.0,0.0
5640,1004.2354729800002,1004.2354729800002,0.0,0.0
5700,1004.2354729800002,1004.2354729800002,0.0,0.0
5760,1004.2354729800002,1004.2354729800002,0.0,0.0
5820,1004.2354729800002,1004.2354729800002,0.0,0.0
5880,1004.2354729800002,1004.2354729800002,0.0,0.0
5940,1004.2354729800002,1004.2354729800002,0.0,0.0
6000,1004.2097262000002,1004.2354729800002,0.0,0.0
6060,1004.3667689600002,1003.3484262000002,0.0,-0.8613000000000017
6120,1004.8330778000002,1004.7979689600002,0.0,0.4311999999999916
6180,1004.5349514000002,1004.8330778000002,0.0,0.0
6240,1005.3454701200002,1004.5349514000002,0.0,0.0
6300,1005.3454701200002,1005.3454701200002,0.0,0.0
6360,1005.3454701200002,1005.3454701200002,0.0,0.0
6420,1005.3454701200002,1005.3454701200002,0.0,0.0
6480,1005.6330086000002,1005.3454701200002,0.0,0.0
6540,1005.3635661200002,1004.6847086000001,0.0,-0.9482999999999921
6600,1006.4905891600002,1005.3635661200002,0.0,0.0
6660,1006.4905891600002,1006.4905891600002,0.0,0.0
6720,1006.4905891600002,1006.4905891600002,0.0,0.0
6780,1006.4905891600002,1006.4905891600002,0.0,0.0
6840,1006.4905891600002,1006.4905891600002,0.0,0.0
6900,1006.4905891600002,1006.4905891600002,0.0,0.0
6960,1006.4905891600002,1006.4905891600002,0.0,0.0
7020,1006.4905891600002,1006.4905891600002,0.0,0.0
7080,1006.4905891600002,1006.4905891600002,0.0,0.0
7140,1006.4905891600002,1006.4905891600002,0.0,0.0
7200,1006.4905891600002,1006.4905891600002,0.0,0.0
7260,1006.4905891600002,1006.4905891600002,0.0,0.0
7320,1006.4905891600002,1006.4905891600002,0.0,0.0
7380,1007.5670064400001,1006.4905891600002,0.0,0.0
7440,1007.6940310000001,1007.5670064400001,0.0,0.0
7500,1007.6940310000001,1004.8978310000001,0.0,-2.7962000000000016
7560,1007.6940310000001,1006.6444310000002,0.0,-1.0495999999999936
7620,1007.4221140800001,1005.5538310000001,0.0,-2.140200000000001
7680,1007.3962263800001,1007.4221140800001,0.0,0.0
7740,1008.0410672600002,1008.3092263800002,0.0,0.9129999999999916
7800,1008.0410672600002,1008.0410672600002,0.0,0.0
7860,1008.0410672600002,1008.0410672600002,0.0,0.0
7920,1008.0410672600002,1008.0410672600002,0.0,0.0
7980,1008.0150799600002,1008.0410672600002,0.0,0.0
8040,1008.4206063400002,1009.2351799600002,0.0,1.220100000000013
8100,1008.4502290400002,1008.4206063400002,0.0,0.0
8160,1008.4502290400002,1005.6199290400002,0.0,-2.8303000000000016
8220,1008.4502290400002,1003.2627290400002,0.0,-5.1875
8280,1008.3111758400001,1002.8145290400001,0.0,-5.635700000000006
8340,1008.3111758400001,997.4477758400002,0.0,-10.863399999999963
8400,1008.5806678000001,993.2519758400001,0.0,-15.059200000000004
8460,1008.2856028000001,1008.3116290000002,0.0,0.0
8520,1010.0682148000001,1006.9446028000001,0.0,-1.3409999999999922
8580,1010.0682148000001,1010.0682148000001,0.0,0.0
8640,1010.0421524000001,1010.0682148000001,0.0,0.0
8700,1008.8570075200001,1007.5032524000001,0.0,-2.5389000000000035
