,balance,equity,balance_btc,equity_btc
0,999.9973376,1000.0,0.0,0.0
60,999.9973376,1000.0,0.0,0.0
120,999.9973376,1000.0,0.0,0.0
180,999.9973376,1000.0,0.0,0.0
240,999.9973376,1000.0,0.0,0.0
300,999.9973376,1000.0,0.0,0.0
360,999.9973376,1000.0,0.0,0.0
420,999.9973376,1000.0,0.0,0.0
480,999.9973376,1000.0,0.0,0.0
540,999.9973376,1000.0,0.0,0.0
600,999.9973376,1000.0,0.0,0.0
660,999.9973376,1000.0,0.0,0.0
720,999.9973376,1000.0,0.0,0.0
780,999.9973376,1000.0,0.0,0.0
840,999.9973376,1000.0,0.0,0.0
900,999.9973376,1000.0,0.0,0.0
960,999.9973376,1000.0,0.0,0.0
1020,999.9973376,1000.0,0.0,0.0
1080,999.9973376,1000.0,0.0,0.0
1140,999.9973376,1000.0,0.0,0.0
1200,999.9973376,1000.0,0.0,0.0
1260,999.9973376,1000.0,0.0,0.0
1320,999.9973376,1000.0,0.0,0.0
1380,999.9973376,1000.0,0.0,0.0
1440,999.9973376,1000.0,0.0,0.0
1500,999.9973376,1000.0,0.0,0.0
1560,999.9973376,1000.0,0.0,0.0
1620,999.9973376,1000.0,0.0,0.0
1680,999.9973376,1000.0,0.0,0.0
1740,999.9973376,1000.0,0.0,0.0
1800,999.9973376,1000.0,0.0,0.0
1860,999.9973376,1000.0,0.0,0.0
1920,999.9973376,1000.0,0.0,0.0
1980,999.9973376,1000.0,0.0,0.0
2040,999.9973376,1000.0,0.0,0.0
2100,999.9973376,1000.0,0.0,0.0
2160,999.9973376,1000.0,0.0,0.0
2220,999.9973376,1000.0,0.0,0.0
2280,999.9973376,1000.0,0.0,0.0
2340,999.9973376,1000.0,0.0,0.0
2400,999.9973376,1000.0,0.0,0.0
2460,999.9973376,1000.0,0.0,0.0
2520,999.9973376,1000.0,0.0,0.0
2580,999.9973376,1000.0183376,0.0,0.021
2640,1000.0226696000001,1000.0613376,0.0,0.064
2700,1000.0226696000001,1000.0226696000001,0.0,0.0
2760,1000.0226696000001,1000.0226696000001,0.0,0.0
2820,1000.0226696000001,1000.0226696000001,0.0,0.0
2880,1000.0226696000001,1000.0226696000001,0.0,0.0
2940,1000.0226696000001,1000.0226696000001,0.0,0.0
3000,1000.0226696000001,1000.0226696000001,0.0,0.0
3060,1000.0226696000001,1000.0226696000001,0.0,0.0
3120,1000.0226696000001,1000.0226696000001,0.0,0.0
3180,1000.0226696000001,1000.0226696000001,0.0,0.0
3240,1000.0226696000001,1000.0226696000001,0.0,0.0
3300,1000.0226696000001,1000.0226696000001,0.0,0.0
3360,1000.0226696000001,1000.0226696000001,0.0,0.0
3420,1000.0226696000001,1000.0226696000001,0.0,0.0
3480,1000.0226696000001,1000.0226696000001,0.0,0.0
3540,1000.0226696000001,1000.0226696000001,0.0,0.0
3600,1000.0226696000001,1000.0226696000001,0.0,0.0
3660,1000.4688027600001,1000.0226696000001,0.0,0.0
3720,1000.4688027600001,999.1521027600002,0.0,-1.3166999999999824
3780,1000.4688027600001,999.7521027600002,0.0,-0.7166999999999825
3840,1000.4688027600001,999.4221027600001,0.0,-1.0466999999999824
3900,1000.4688027600001,997.8246027600002,0.0,-2.6441999999999823
3960,1000.4688027600001,997.6896027600002,0.0,-2.7791999999999826
4020,1000.4688027600001,998.1246027600001,0.0,-2.3441999999999825
4080,1000.4688027600001,997.6146027600001,0.0,-2.8541999999999823
4140,1000.4688027600001,998.1246027600001,0.0,-2.3441999999999825
4200,1000.4688027600001,999.0321027600002,0.0,-1.4366999999999825
4260,1000.4688027600001,999.4521027600001,0.0,-1.0166999999999824
4320,1000.4688027600001,999.0321027600002,0.0,-1.4366999999999825
4380,1000.4688027600001,999.0396027600001,0.0,-1.4291999999999825
4440,1000.4688027600001,999.2196027600002,0.0,-1.2491999999999825
4500,1000.4688027600001,998.6646027600001,0.0,-1.8041999999999825
4560,1000.4688027600001,999.0021027600002,0.0,-1.4666999999999826
4620,1000.4688027600001,998.8896027600001,0.0,-1.5791999999999824
4680,1000.289625565366,998.9121027600002,0.0,-1.5566999999999824
