,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2447,BTC,0.0,-0.03805812,999.96194188,0.0,999.96194188,1.0,0.027,7047.8,0.027,7047.8,entry_initial_normal_long
1,2448,BTC,0.8596800000000039,-0.038230056000000005,1000.7833918240001,0.0,1000.7833918240001,1.0,-0.027,7079.64,0.0,7047.8,close_grid_long
2,2461,BTC,0.0,-0.03773412,1000.7456577040001,0.0,1000.7456577040001,1.0,0.027,6987.8,0.027,6987.8,entry_initial_normal_long
3,2462,BTC,0.6776999999999852,-0.03786966,1001.3854880440001,0.0,1001.3854880440001,1.0,-0.027,7012.9,0.0,6987.8,close_grid_long
4,2463,BTC,0.0,-0.0376056,1001.3478824440001,0.0,1001.3478824440001,1.0,0.027,6964.0,0.027,6964.0,entry_initial_normal_long
5,2464,BTC,0.6777000000000099,-0.037741140000000006,1001.9878413040001,0.0,1001.9878413040001,1.0,-0.027,6989.1,0.0,6964.0,close_grid_long
6,10931,BTC,0.0,-0.038024520000000006,1001.9498167840001,0.0,1001.9498167840001,1.0,0.023,8266.2,0.023,8266.2,entry_initial_normal_long
7,10936,BTC,0.6853999999999832,-0.0381616,1002.597055184,0.0,1002.597055184,1.0,-0.023,8296.0,0.0,8266.2,close_grid_long
8,11069,BTC,0.0,-0.03781246,1002.559242724,0.0,1002.559242724,1.0,0.023,8220.1,0.023,8220.1,entry_initial_normal_long
9,11072,BTC,0.6808000000000084,-0.03794862000000001,1003.202094104,0.0,1003.202094104,1.0,-0.023,8249.7,0.0,8220.1,close_grid_long
10,11078,BTC,0.0,-0.0374578,1003.164636304,0.0,1003.164636304,1.0,0.023,8143.0,0.023,8143.0,entry_initial_normal_long
11,12554,BTC,0.0,-0.0655536,1003.099082704,0.0,1003.099082704,1.0,0.042,7804.0,0.065,7923.953846153847,entry_grid_normal_long
12,12711,BTC,2.34949999999998,-0.10348130000000001,1005.345101404,0.0,1005.345101404,1.0,-0.065,7960.1,0.0,7923.953846153847,close_grid_long
13,12771,BTC,0.0,-0.0376368,1005.3074646040001,0.0,1005.3074646040001,1.0,0.024,7841.0,0.024,7841.0,entry_initial_normal_long
14,12886,BTC,0.6767999999999956,-0.037772160000000006,1005.9464924440001,0.0,1005.9464924440001,1.0,-0.024,7869.2,0.0,7841.0,close_grid_long
15,14265,BTC,0.0,-0.03845712,1005.9080353240001,0.0,1005.9080353240001,1.0,0.024,8011.9,0.024,8011.9,entry_initial_normal_long
16,14266,BTC,1.3159199999999982,-0.038720304000000004,1007.1852350200002,0.0,1007.1852350200002,1.0,-0.024,8066.73,0.0,8011.9,close_grid_long
17,15714,BTC,0.0,-0.03724068,1007.1479943400002,0.0,1007.1479943400002,1.0,0.023,8095.8,0.023,8095.8,entry_initial_normal_long
18,15716,BTC,0.6692999999999875,-0.03737454,1007.7799198000001,0.0,1007.7799198000001,1.0,-0.023,8124.9,0.0,8095.8,close_grid_long
19,19681,BTC,0.0,-0.037818880000000006,1007.7421009200001,0.0,1007.7421009200001,1.0,0.022,8595.2,0.022,8595.2,entry_initial_normal_long
20,19682,BTC,0.679799999999992,-0.037954840000000004,1008.3839460800001,0.0,1008.3839460800001,1.0,-0.022,8626.1,0.0,8595.2,close_grid_long
21,19683,BTC,0.0,-0.03781272,1008.3461333600001,0.0,1008.3461333600001,1.0,0.022,8593.8,0.022,8593.8,entry_initial_normal_long
22,19689,BTC,0.6798000000000319,-0.037948680000000005,1008.9879846800001,0.0,1008.9879846800001,1.0,-0.022,8624.7,0.0,8593.8,close_grid_long
23,20161,BTC,0.0,-0.03836184,1008.9496228400001,0.0,1008.9496228400001,1.0,0.022,8718.6,0.022,8718.6,entry_initial_normal_long
24,20162,BTC,0.9191599999999743,-0.038545671999999996,1009.830237168,0.0,1009.830237168,1.0,-0.022,8760.38,0.0,8718.6,close_grid_long
25,20406,BTC,0.0,-0.038027,1009.792210168,0.0,1009.792210168,1.0,0.022,8642.5,0.022,8642.5,entry_initial_normal_long
26,20412,BTC,0.686400000000016,-0.03816428,1010.440445888,0.0,1010.440445888,1.0,-0.022,8673.7,0.0,8642.5,close_grid_long
27,21125,BTC,0.0,-0.038215759999999994,1010.402230128,0.0,1010.402230128,1.0,0.022,8685.4,0.022,8685.4,entry_initial_normal_long
28,21126,BTC,0.688600000000024,-0.03835348,1011.052476648,0.0,1011.052476648,1.0,-0.022,8716.7,0.0,8685.4,close_grid_long
29,21681,BTC,0.0,-0.038063519999999997,1011.014413128,0.0,1011.014413128,1.0,0.022,8650.8,0.022,8650.8,entry_initial_normal_long
30,21682,BTC,0.686400000000016,-0.0382008,1011.662612328,0.0,1011.662612328,1.0,-0.022,8682.0,0.0,8650.8,close_grid_long
31,26581,BTC,0.0,-0.03765384000000001,1011.6249584880001,0.0,1011.6249584880001,1.0,0.021,8965.2,0.021,8965.2,entry_initial_normal_long
32,26583,BTC,0.0,-0.06701760000000001,1011.5579408880001,0.0,1011.5579408880001,1.0,0.039,8592.0,0.06,8722.62,entry_grid_normal_long
33,30060,BTC,2.392799999999952,-0.10515000000000001,1013.8455908880001,0.0,1013.8455908880001,1.0,-0.06,8762.5,0.0,8722.62,close_grid_long
34,30756,BTC,0.0,-0.038083759999999994,1013.8075071280001,0.0,1013.8075071280001,1.0,0.022,8655.4,0.022,8655.4,entry_initial_normal_long
35,30757,BTC,0.686400000000016,-0.03822104,1014.4556860880001,0.0,1014.4556860880001,1.0,-0.022,8686.6,0.0,8655.4,close_grid_long
36,40988,BTC,0.0,-0.03899574000000001,1014.4166903480001,0.0,1014.4166903480001,1.0,0.021,9284.7,0.021,9284.7,entry_initial_normal_long
37,40989,BTC,0.7035,-0.03913644000000001,1015.0810539080001,0.0,1015.0810539080001,1.0,-0.021,9318.2,0.0,9284.7,close_grid_long
38,42605,BTC,0.0,-0.0390684,1015.041985508,0.0,1015.041985508,1.0,0.021,9302.0,0.021,9302.0,entry_initial_normal_long
39,42606,BTC,0.7056000000000077,-0.039209520000000005,1015.7083759880001,0.0,1015.7083759880001,1.0,-0.021,9335.6,0.0,9302.0,close_grid_long
40,42752,BTC,0.0,-0.03907596,1015.6693000280001,0.0,1015.6693000280001,1.0,0.021,9303.8,0.021,9303.8,entry_initial_normal_long
41,42762,BTC,0.7056000000000077,-0.03921708,1016.3356829480001,0.0,1016.3356829480001,1.0,-0.021,9337.4,0.0,9303.8,close_grid_long
42,46328,BTC,0.0,-0.038546340000000005,1016.2971366080001,0.0,1016.2971366080001,1.0,0.021,9177.7,0.021,9177.7,entry_initial_normal_long
43,46329,BTC,0.6950999999999695,-0.03868536,1016.953551248,0.0,1016.953551248,1.0,-0.021,9210.8,0.0,9177.7,close_grid_long
44,47640,BTC,0.0,-0.037508,1016.916043248,0.0,1016.916043248,1.0,0.02,9377.0,0.02,9377.0,entry_initial_normal_long
