,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2461,BTC,0.0,-0.02654946,999.97345054,0.0,999.97345054,1.0,0.019,6986.7,0.019,6986.7,entry_initial_normal_long
1,2462,BTC,0.45486000000000965,-0.026640432,1000.4016701080001,0.0,1000.4016701080001,1.0,-0.019,7010.64,0.0,6986.7,close_grid_long
2,2463,BTC,0.0,-0.026491472,1000.3751786360001,0.0,1000.3751786360001,1.0,0.019,6971.44,0.019,6971.44,entry_initial_normal_long
3,2464,BTC,0.25384000000001106,-0.026542239999999998,1000.6024763960002,0.0,1000.6024763960002,1.0,-0.019,6984.8,0.0,6971.44,close_grid_long
4,2465,BTC,0.0,-0.0265202,1000.5759561960001,0.0,1000.5759561960001,1.0,0.019,6979.0,0.019,6979.0,entry_initial_normal_long
5,3137,BTC,0.25459999999999305,-0.026571119999999997,1000.8039850760001,0.0,1000.8039850760001,1.0,-0.019,6992.4,0.0,6979.0,close_grid_long
6,11078,BTC,0.0,-0.026079680000000004,1000.7779053960002,0.0,1000.7779053960002,1.0,0.016,8149.9,0.016,8149.9,entry_initial_normal_long
7,11079,BTC,0.24960000000000582,-0.0261296,1001.0013757960002,0.0,1001.0013757960002,1.0,-0.016,8165.5,0.0,8149.9,close_grid_long
8,11080,BTC,0.0,-0.026065280000000003,1000.9753105160001,0.0,1000.9753105160001,1.0,0.016,8145.4,0.016,8145.4,entry_initial_normal_long
9,11081,BTC,0.28896000000000643,-0.026123072000000004,1001.2381474440001,0.0,1001.2381474440001,1.0,-0.016,8163.46,0.0,8145.4,close_grid_long
10,11082,BTC,0.0,-0.025970368000000004,1001.2121770760001,0.0,1001.2121770760001,1.0,0.016,8115.74,0.016,8115.74,entry_initial_normal_long
11,11083,BTC,0.3166399999999994,-0.026033696,1001.5027833800001,0.0,1001.5027833800001,1.0,-0.016,8135.53,0.0,8115.74,close_grid_long
12,11084,BTC,0.0,-0.02592,1001.47686338,0.0,1001.47686338,1.0,0.016,8100.0,0.016,8100.0,entry_initial_normal_long
13,11086,BTC,0.248,-0.025969600000000002,1001.69889378,0.0,1001.69889378,1.0,-0.016,8115.5,0.0,8100.0,close_grid_long
14,11087,BTC,0.0,-0.02589296,1001.6730008200001,0.0,1001.6730008200001,1.0,0.016,8091.55,0.016,8091.55,entry_initial_normal_long
15,11088,BTC,0.6203199999999924,-0.026017024,1002.2673037960001,0.0,1002.2673037960001,1.0,-0.016,8130.32,0.0,8091.55,close_grid_long
16,11089,BTC,0.0,-0.0259904,1002.2413133960001,0.0,1002.2413133960001,1.0,0.016,8122.0,0.016,8122.0,entry_initial_normal_long
17,12123,BTC,0.0,-0.0502784,1002.1910349960001,0.0,1002.1910349960001,1.0,0.032,7856.0,0.048,7944.666666666666,entry_grid_normal_long
18,12724,BTC,0.9376000000000204,-0.07645632000000001,1003.0521786760002,0.0,1003.0521786760002,1.0,-0.048,7964.2,0.0,7944.666666666666,close_grid_long
