,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,10932,BTC,0.0,-0.08366244,999.91633756,0.0,999.91633756,1.0,0.051,8202.2,0.051,8202.2,entry_initial_normal_long
1,11010,BTC,4.029,-0.08446824000000001,1003.86086932,0.0,1003.86086932,1.0,-0.051,8281.2,0.0,8202.2,close_trailing_long
2,26581,BTC,0.0,-0.08386116,1003.77700816,0.0,1003.77700816,1.0,0.047,8921.4,0.047,8921.4,entry_initial_normal_long
3,26582,BTC,0.0,-0.16437968000000003,1003.61262848,0.0,1003.61262848,1.0,0.094,8743.6,0.141,8802.866666666669,entry_grid_normal_long
4,26583,BTC,0.0,-0.62788032,1002.98474816,0.0,1002.98474816,1.0,0.366,8577.6,0.507,8640.248126232742,entry_grid_inflated_long
5,26586,BTC,-7.1662068244573645,-0.8038378840000001,995.0147034515426,0.0,995.0147034515426,1.0,-0.466,8624.87,0.041,8640.248126232742,close_trailing_long
6,26591,BTC,0.43631682445755726,-0.070937298,995.3800829780001,0.0,995.3800829780001,1.0,-0.041,8650.89,0.0,8640.248126232742,close_trailing_long
7,27255,BTC,0.0,-0.08235648000000001,995.2977264980001,0.0,995.2977264980001,1.0,0.048,8578.8,0.048,8578.8,entry_initial_normal_long
8,27281,BTC,4.477440000000032,-0.08325196800000001,999.6919145300001,0.0,999.6919145300001,1.0,-0.048,8672.08,0.0,8578.8,close_trailing_long
9,29981,BTC,0.0,-0.08324708000000001,999.6086674500001,0.0,999.6086674500001,1.0,0.049,8494.6,0.049,8494.6,entry_initial_normal_long
10,30077,BTC,11.846730000000022,-0.08561642600000002,1011.3697810240001,0.0,1011.3697810240001,1.0,-0.049,8736.37,0.0,8494.6,close_trailing_long
11,42752,BTC,0.0,-0.08335890000000001,1011.2864221240001,0.0,1011.2864221240001,1.0,0.045,9262.1,0.045,9262.1,entry_initial_normal_long
12,42795,BTC,8.005499999999984,-0.08496000000000001,1019.206962124,0.0,1019.206962124,1.0,-0.045,9440.0,0.0,9262.1,close_trailing_long
13,47640,BTC,0.0,-0.08385930000000001,1019.1231028240001,0.0,1019.1231028240001,1.0,0.045,9317.7,0.045,9317.7,entry_initial_normal_long
14,47643,BTC,3.2525999999999473,-0.08450982,1022.291193004,0.0,1022.291193004,1.0,-0.045,9389.98,0.0,9317.7,close_trailing_long
