,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2447,BTC,0.0,-0.046565640000000005,999.95343436,0.0,999.95343436,1.0,0.033,7055.4,0.033,7055.4,entry_initial_normal_long
1,2448,BTC,0.7999200000000228,-0.04672562400000001,1000.706628736,0.0,1000.706628736,1.0,-0.033,7079.64,0.0,7055.4,close_grid_long
2,2451,BTC,0.0,-0.046546500000000005,1000.660082236,0.0,1000.660082236,1.0,0.033,7052.5,0.033,7052.5,entry_initial_normal_long
3,3162,BTC,0.686400000000006,-0.04668378,1001.299798456,0.0,1001.299798456,1.0,-0.033,7073.3,0.0,7052.5,close_grid_long
4,7101,BTC,0.0,-0.04693568000000001,1001.2528627759999,0.0,1001.2528627759999,1.0,0.032,7333.7,0.032,7333.7,entry_initial_normal_long
5,7129,BTC,0.6880000000000001,-0.04707328,1001.893789496,0.0,1001.893789496,1.0,-0.032,7355.2,0.0,7333.7,close_grid_long
6,7155,BTC,0.0,-0.04674496,1001.847044536,0.0,1001.847044536,1.0,0.032,7303.9,0.032,7303.9,entry_initial_normal_long
7,7156,BTC,0.6848000000000175,-0.04688192000000001,1002.484962616,0.0,1002.484962616,1.0,-0.032,7325.3,0.0,7303.9,close_grid_long
8,9576,BTC,0.0,-0.0466674,1002.4382952159999,0.0,1002.4382952159999,1.0,0.03,7777.9,0.03,7777.9,entry_initial_normal_long
9,9582,BTC,0.6840000000000054,-0.0468042,1003.0754910159999,0.0,1003.0754910159999,1.0,-0.03,7800.7,0.0,7777.9,close_grid_long
10,9592,BTC,0.0,-0.0465978,1003.0288932159999,0.0,1003.0288932159999,1.0,0.03,7766.3,0.03,7766.3,entry_initial_normal_long
11,9603,BTC,0.6840000000000054,-0.0467346,1003.666158616,0.0,1003.666158616,1.0,-0.03,7789.1,0.0,7766.3,close_grid_long
12,10870,BTC,0.0,-0.04609864,1003.620059976,0.0,1003.620059976,1.0,0.028,8231.9,0.028,8231.9,entry_initial_normal_long
13,10871,BTC,0.6748000000000102,-0.04623360000000001,1004.248626376,0.0,1004.248626376,1.0,-0.028,8256.0,0.0,8231.9,close_grid_long
14,10877,BTC,0.0,-0.046090240000000005,1004.2025361359999,0.0,1004.2025361359999,1.0,0.028,8230.4,0.028,8230.4,entry_initial_normal_long
15,10882,BTC,0.6748000000000102,-0.0462252,1004.831110936,0.0,1004.831110936,1.0,-0.028,8254.5,0.0,8230.4,close_grid_long
16,10931,BTC,0.0,-0.046132240000000005,1004.7849786959999,0.0,1004.7849786959999,1.0,0.028,8237.9,0.028,8237.9,entry_initial_normal_long
17,10932,BTC,0.6748000000000102,-0.0462672,1005.413511496,0.0,1005.413511496,1.0,-0.028,8262.0,0.0,8237.9,close_grid_long
18,10933,BTC,0.0,-0.046130000000000004,1005.367381496,0.0,1005.367381496,1.0,0.028,8237.5,0.028,8237.5,entry_initial_normal_long
19,10934,BTC,0.6748000000000102,-0.04626496000000001,1005.995916536,0.0,1005.995916536,1.0,-0.028,8261.6,0.0,8237.5,close_grid_long
20,11069,BTC,0.0,-0.04606448,1005.9498520559999,0.0,1005.9498520559999,1.0,0.028,8225.8,0.028,8225.8,entry_initial_normal_long
21,11072,BTC,0.6748000000000102,-0.04619944,1006.5784526159999,0.0,1006.5784526159999,1.0,-0.028,8249.9,0.0,8225.8,close_grid_long
22,11075,BTC,0.0,-0.04603592000000001,1006.5324166959999,0.0,1006.5324166959999,1.0,0.028,8220.7,0.028,8220.7,entry_initial_normal_long
23,12501,BTC,0.0,-0.06111768000000001,1006.4712990159999,0.0,1006.4712990159999,1.0,0.039,7835.6,0.067,7996.5373134328365,entry_grid_normal_long
24,13873,BTC,1.7394999999999528,-0.10750150000000001,1008.1032975159999,0.0,1008.1032975159999,1.0,-0.067,8022.5,0.0,7996.5373134328365,close_grid_long
25,15721,BTC,0.0,-0.046770620000000006,1008.0565268959999,0.0,1008.0565268959999,1.0,0.029,8063.9,0.029,8063.9,entry_initial_normal_long
26,15723,BTC,0.6873000000000211,-0.04690808000000001,1008.696918816,0.0,1008.696918816,1.0,-0.029,8087.6,0.0,8063.9,close_grid_long
27,15726,BTC,0.0,-0.046763080000000005,1008.650155736,0.0,1008.650155736,1.0,0.029,8062.6,0.029,8062.6,entry_initial_normal_long
28,15743,BTC,0.6872999999999948,-0.046900540000000004,1009.290555196,0.0,1009.290555196,1.0,-0.029,8086.3,0.0,8062.6,close_grid_long
29,15750,BTC,0.0,-0.04672248000000001,1009.243832716,0.0,1009.243832716,1.0,0.029,8055.6,0.029,8055.6,entry_initial_normal_long
30,15753,BTC,0.6843999999999842,-0.04685936,1009.881373356,0.0,1009.881373356,1.0,-0.029,8079.2,0.0,8055.6,close_grid_long
31,15789,BTC,0.0,-0.046588500000000005,1009.834784856,0.0,1009.834784856,1.0,0.029,8032.5,0.029,8032.5,entry_initial_normal_long
32,15794,BTC,0.6844000000000106,-0.04672538000000001,1010.472459476,0.0,1010.472459476,1.0,-0.029,8056.1,0.0,8032.5,close_grid_long
33,15832,BTC,0.0,-0.04643422,1010.426025256,0.0,1010.426025256,1.0,0.029,8005.9,0.029,8005.9,entry_initial_normal_long
34,15835,BTC,0.6815,-0.046570520000000004,1011.060954736,0.0,1011.060954736,1.0,-0.029,8029.4,0.0,8005.9,close_grid_long
35,15841,BTC,0.0,-0.046395940000000004,1011.014558796,0.0,1011.014558796,1.0,0.029,7999.3,0.029,7999.3,entry_initial_normal_long
36,15858,BTC,0.6815,-0.04653224,1011.649526556,0.0,1011.649526556,1.0,-0.029,8022.8,0.0,7999.3,close_grid_long
37,20406,BTC,0.0,-0.0468801,1011.602646456,0.0,1011.602646456,1.0,0.027,8681.5,0.027,8681.5,entry_initial_normal_long
38,20748,BTC,0.6857999999999902,-0.04701726,1012.241429196,0.0,1012.241429196,1.0,-0.027,8706.9,0.0,8681.5,close_grid_long
39,21125,BTC,0.0,-0.046932480000000006,1012.194496716,0.0,1012.194496716,1.0,0.027,8691.2,0.027,8691.2,entry_initial_normal_long
40,21126,BTC,0.6857999999999902,-0.04706964,1012.833227076,0.0,1012.833227076,1.0,-0.027,8716.6,0.0,8691.2,close_grid_long
41,21636,BTC,0.0,-0.04708314,1012.7861439359999,0.0,1012.7861439359999,1.0,0.027,8719.1,0.027,8719.1,entry_initial_normal_long
42,21637,BTC,0.6912000000000098,-0.04722138000000001,1013.4301225559999,0.0,1013.4301225559999,1.0,-0.027,8744.7,0.0,8719.1,close_grid_long
43,21680,BTC,0.0,-0.047005380000000006,1013.3831171759999,0.0,1013.3831171759999,1.0,0.027,8704.7,0.027,8704.7,entry_initial_normal_long
44,21955,BTC,0.6911999999999607,-0.04714362,1014.0271735559999,0.0,1014.0271735559999,1.0,-0.027,8730.3,0.0,8704.7,close_grid_long
45,23782,BTC,0.0,-0.047584259999999996,1013.9795892959999,0.0,1013.9795892959999,1.0,0.027,8811.9,0.027,8811.9,entry_initial_normal_long
46,23784,BTC,0.6992999999999902,-0.047724119999999995,1014.6311651759999,0.0,1014.6311651759999,1.0,-0.027,8837.8,0.0,8811.9,close_grid_long
47,26581,BTC,0.0,-0.04677816,1014.5843870159998,0.0,1014.5843870159998,1.0,0.026,8995.8,0.026,8995.8,entry_initial_normal_long
48,26583,BTC,0.0,-0.061735679999999994,1014.5226513359999,0.0,1014.5226513359999,1.0,0.036,8574.4,0.062,8751.116129032256,entry_grid_normal_long
49,30062,BTC,1.7598000000001193,-0.1088658,1016.173585536,0.0,1016.173585536,1.0,-0.062,8779.5,0.0,8751.116129032256,close_grid_long
50,30756,BTC,0.0,-0.04669542,1016.126890116,0.0,1016.126890116,1.0,0.027,8647.3,0.027,8647.3,entry_initial_normal_long
51,30757,BTC,0.8294400000000314,-0.046861308000000004,1016.909468808,0.0,1016.909468808,1.0,-0.027,8678.02,0.0,8647.3,close_grid_long
52,32221,BTC,0.0,-0.047506480000000004,1016.861962328,0.0,1016.861962328,1.0,0.028,8483.3,0.028,8483.3,entry_initial_normal_long
53,32229,BTC,0.6972000000000408,-0.04764592000000001,1017.511516408,0.0,1017.511516408,1.0,-0.028,8508.2,0.0,8483.3,close_grid_long
54,32249,BTC,0.0,-0.04737824,1017.4641381680001,0.0,1017.4641381680001,1.0,0.028,8460.4,0.028,8460.4,entry_initial_normal_long
55,32255,BTC,0.6944000000000305,-0.04751712000000001,1018.1110210480001,0.0,1018.1110210480001,1.0,-0.028,8485.2,0.0,8460.4,close_grid_long
56,32269,BTC,0.0,-0.047298160000000006,1018.0637228880001,0.0,1018.0637228880001,1.0,0.028,8446.1,0.028,8446.1,entry_initial_normal_long
57,32270,BTC,0.6943999999999796,-0.04743704000000001,1018.7106858480001,0.0,1018.7106858480001,1.0,-0.028,8470.9,0.0,8446.1,close_grid_long
58,32280,BTC,0.0,-0.04725336000000001,1018.6634324880001,0.0,1018.6634324880001,1.0,0.028,8438.1,0.028,8438.1,entry_initial_normal_long
59,32290,BTC,0.6943999999999796,-0.04739224,1019.3104402480001,0.0,1019.3104402480001,1.0,-0.028,8462.9,0.0,8438.1,close_grid_long
60,34593,BTC,0.0,-0.0468468,1019.263593448,0.0,1019.263593448,1.0,0.028,8365.5,0.028,8365.5,entry_initial_normal_long
61,35822,BTC,0.6888000000000102,-0.04698456000000001,1019.905408888,0.0,1019.905408888,1.0,-0.028,8390.1,0.0,8365.5,close_grid_long
62,39782,BTC,0.0,-0.04666792,1019.858740968,0.0,1019.858740968,1.0,0.026,8974.6,0.026,8974.6,entry_initial_normal_long
