,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2447,BTC,0.0,-0.0212238,999.9787762,0.0,999.9787762,1.0,0.015,7074.6,0.015,7074.6,entry_initial_normal_long
1,2976,BTC,0.0,-0.020676,999.9581002,0.0,999.9581002,1.0,0.015,6892.0,0.03,6983.3,entry_grid_normal_long
2,3137,BTC,0.551999999999989,-0.0420102,1000.46809,0.0,1000.46809,1.0,-0.03,7001.7,0.0,6983.3,close_grid_long
3,3726,BTC,0.0,-0.020320440000000002,1000.44776956,0.0,1000.44776956,1.0,0.014,7257.3,0.014,7257.3,entry_initial_normal_long
4,3731,BTC,0.26739999999999237,-0.02037392,1000.6947956399999,0.0,1000.6947956399999,1.0,-0.014,7276.4,0.0,7257.3,close_grid_long
5,3739,BTC,0.0,-0.020312320000000002,1000.6744833199999,0.0,1000.6744833199999,1.0,0.014,7254.4,0.014,7254.4,entry_initial_normal_long
6,3764,BTC,0.2674000000000051,-0.020365800000000003,1000.92151752,0.0,1000.92151752,1.0,-0.014,7273.5,0.0,7254.4,close_grid_long
7,4030,BTC,0.0,-0.02039716,1000.9011203599999,0.0,1000.9011203599999,1.0,0.014,7284.7,0.014,7284.7,entry_initial_normal_long
8,4031,BTC,0.2687999999999975,-0.02045092,1001.14946944,0.0,1001.14946944,1.0,-0.014,7303.9,0.0,7284.7,close_grid_long
9,4192,BTC,0.0,-0.020359640000000002,1001.1291097999999,0.0,1001.1291097999999,1.0,0.014,7271.3,0.014,7271.3,entry_initial_normal_long
10,4201,BTC,0.26739999999999237,-0.020413120000000003,1001.3760966799999,0.0,1001.3760966799999,1.0,-0.014,7290.4,0.0,7271.3,close_grid_long
11,4981,BTC,0.0,-0.0204316,1001.3556650799999,0.0,1001.3556650799999,1.0,0.014,7297.0,0.014,7297.0,entry_initial_normal_long
12,4985,BTC,0.2687999999999975,-0.02048536,1001.6039797199999,0.0,1001.6039797199999,1.0,-0.014,7316.2,0.0,7297.0,close_grid_long
13,5450,BTC,0.0,-0.020380640000000002,1001.5835990799999,0.0,1001.5835990799999,1.0,0.014,7278.8,0.014,7278.8,entry_initial_normal_long
14,5452,BTC,0.26739999999999237,-0.02043412,1001.8305649599998,0.0,1001.8305649599998,1.0,-0.014,7297.9,0.0,7278.8,close_grid_long
15,6302,BTC,0.0,-0.02071552,1001.8098494399999,0.0,1001.8098494399999,1.0,0.014,7398.4,0.014,7398.4,entry_initial_normal_long
16,6303,BTC,0.273,-0.02077012,1002.0620793199998,0.0,1002.0620793199998,1.0,-0.014,7417.9,0.0,7398.4,close_grid_long
17,7052,BTC,0.0,-0.020646640000000004,1002.0414326799998,0.0,1002.0414326799998,1.0,0.014,7373.8,0.014,7373.8,entry_initial_normal_long
18,7053,BTC,0.2715999999999949,-0.02070096,1002.2923317199999,0.0,1002.2923317199999,1.0,-0.014,7393.2,0.0,7373.8,close_grid_long
19,7101,BTC,0.0,-0.02055676,1002.2717749599999,0.0,1002.2717749599999,1.0,0.014,7341.7,0.014,7341.7,entry_initial_normal_long
20,7211,BTC,0.27020000000000255,-0.020610800000000002,1002.5213641599998,0.0,1002.5213641599998,1.0,-0.014,7361.0,0.0,7341.7,close_grid_long
21,8037,BTC,0.0,-0.02098712,1002.5003770399999,0.0,1002.5003770399999,1.0,0.014,7495.4,0.014,7495.4,entry_initial_normal_long
22,8038,BTC,0.4075400000000082,-0.021068628000000002,1002.8868484119998,0.0,1002.8868484119998,1.0,-0.014,7524.51,0.0,7495.4,close_grid_long
23,9425,BTC,0.0,-0.02036762,1002.8664807919998,0.0,1002.8664807919998,1.0,0.013,7833.7,0.013,7833.7,entry_initial_normal_long
24,9431,BTC,0.2678000000000047,-0.02042118,1003.1138596119998,0.0,1003.1138596119998,1.0,-0.013,7854.3,0.0,7833.7,close_grid_long
25,9575,BTC,0.0,-0.020269339999999997,1003.0935902719998,0.0,1003.0935902719998,1.0,0.013,7795.9,0.013,7795.9,entry_initial_normal_long
26,9605,BTC,0.2665,-0.02032264,1003.3397676319998,0.0,1003.3397676319998,1.0,-0.013,7816.4,0.0,7795.9,close_grid_long
27,9979,BTC,0.0,-0.02079194,1003.3189756919999,0.0,1003.3189756919999,1.0,0.013,7996.9,0.013,7996.9,entry_initial_normal_long
28,9986,BTC,0.27299999999999996,-0.02084654,1003.5711291519999,0.0,1003.5711291519999,1.0,-0.013,8017.9,0.0,7996.9,close_grid_long
29,10869,BTC,0.0,-0.02148354,1003.549645612,0.0,1003.549645612,1.0,0.013,8262.9,0.013,8262.9,entry_initial_normal_long
30,10888,BTC,0.28210000000000945,-0.02153996,1003.8102056519999,0.0,1003.8102056519999,1.0,-0.013,8284.6,0.0,8262.9,close_grid_long
31,10931,BTC,0.0,-0.021524879999999996,1003.7886807719999,0.0,1003.7886807719999,1.0,0.013,8278.8,0.013,8278.8,entry_initial_normal_long
32,10944,BTC,0.2834000000000142,-0.02158156,1004.050499212,0.0,1004.050499212,1.0,-0.013,8300.6,0.0,8278.8,close_grid_long
33,11013,BTC,0.0,-0.02145078,1004.029048432,0.0,1004.029048432,1.0,0.013,8250.3,0.013,8250.3,entry_initial_normal_long
34,11014,BTC,0.28210000000000945,-0.0215072,1004.289641232,0.0,1004.289641232,1.0,-0.013,8272.0,0.0,8250.3,close_grid_long
35,11069,BTC,0.0,-0.021445060000000002,1004.268196172,0.0,1004.268196172,1.0,0.013,8248.1,0.013,8248.1,entry_initial_normal_long
36,11072,BTC,0.2820999999999858,-0.02150148,1004.528794692,0.0,1004.528794692,1.0,-0.013,8269.8,0.0,8248.1,close_grid_long
