,balance,equity,balance_btc,equity_btc
0,999.9893195,1000.0,0.0,0.0
60,999.9893195,1000.0,0.0,0.0
120,999.9893195,1000.0,0.0,0.0
180,999.9893195,1000.0,0.0,0.0
240,999.9893195,1000.0,0.0,0.0
300,999.9893195,1000.0,0.0,0.0
360,999.9893195,1000.0,0.0,0.0
420,999.9893195,1000.0,0.0,0.0
480,999.9893195,1000.0,0.0,0.0
540,999.9893195,1000.0,0.0,0.0
600,999.9893195,1000.0,0.0,0.0
660,999.9893195,1000.0,0.0,0.0
720,999.9893195,1000.0,0.0,0.0
780,999.9893195,1000.0,0.0,0.0
840,999.9893195,1000.0,0.0,0.0
900,999.9893195,1000.0,0.0,0.0
960,999.9893195,1000.0,0.0,0.0
1020,999.9893195,1000.0,0.0,0.0
1080,999.9893195,1000.0,0.0,0.0
1140,999.9893195,1000.0,0.0,0.0
1200,999.9893195,1000.0,0.0,0.0
1260,999.9893195,1000.0,0.0,0.0
1320,999.9893195,1000.0,0.0,0.0
1380,999.9893195,999.9114195,0.0,-0.07789999999999907
1440,999.9893195,1000.0549195,0.0,0.0655999999999986
1500,999.9893195,1000.0467195,0.0,0.0573999999999944
1560,999.9893195,999.8786195,0.0,-0.11070000000000418
1620,999.9893195,999.7105194999999,0.0,-0.27880000000000277
1680,999.9893195,999.4153195,0.0,-0.5740000000000023
1740,999.9893195,999.7146195,0.0,-0.27469999999999484
1800,999.9893195,999.6777195,0.0,-0.31159999999999627
1860,999.9893195,999.6572195,0.0,-0.3321000000000009
1920,999.9893195,999.5670195,0.0,-0.42230000000000045
1980,999.9893195,999.8663194999999,0.0,-0.12300000000000465
2040,999.9893195,999.8417195,0.0,-0.1476000000000056
2100,999.9893195,999.7843194999999,0.0,-0.205
2160,999.9893195,999.6941194999999,0.0,-0.2951999999999995
2220,999.9893195,999.8335195,0.0,-0.15579999999999813
2280,999.9893195,999.6572195,0.0,-0.3321000000000009
2340,999.9893195,999.6449195,0.0,-0.34440000000000137
2400,999.9893195,999.6736195,0.0,-0.3157000000000042
2460,999.9893195,998.6814195,0.0,-1.307899999999999
2520,999.9893195,998.7183195,0.0,-1.2709999999999977
2580,999.9893195,998.8454194999999,0.0,-1.1439000000000026
2640,999.9893195,998.8700195,0.0,-1.1193000000000015
2700,999.9893195,998.7101195,0.0,-1.279200000000002
2760,999.9893195,998.8659195,0.0,-1.1233999999999977
2820,999.9893195,998.7675194999999,0.0,-1.2218000000000016
2880,999.9893195,998.6732195,0.0,-1.3160999999999974
2940,999.9893195,998.6568195,0.0,-1.3325
3000,999.9893195,998.1894195,0.0,-1.7999
3060,999.9893195,998.5912195,0.0,-1.3980999999999986
3120,999.978332812,998.5871195,0.0,-1.4022000000000006
3180,999.978332812,999.687092812,0.0,-0.29123999999999994
3240,999.978332812,999.328472812,0.0,-0.6498600000000057
3300,999.978332812,999.453572812,0.0,-0.5247600000000009
3360,1001.4415485879999,998.9948728119999,0.0,-0.9834600000000103
3420,1001.4415485879999,1001.4415485879999,0.0,0.0
3480,1001.4415485879999,1001.4415485879999,0.0,0.0
3540,1001.4415485879999,1001.4415485879999,0.0,0.0
3600,1001.4415485879999,1001.4415485879999,0.0,0.0
3660,1001.4415485879999,1001.4415485879999,0.0,0.0
3720,1001.4415485879999,1001.4415485879999,0.0,0.0
3780,1001.4415485879999,1001.4415485879999,0.0,0.0
3840,1001.4415485879999,1001.4415485879999,0.0,0.0
3900,1001.4415485879999,1001.4415485879999,0.0,0.0
3960,1001.4415485879999,1001.4415485879999,0.0,0.0
4020,1001.4415485879999,1001.4415485879999,0.0,0.0
4080,1001.4415485879999,1001.4415485879999,0.0,0.0
4140,1001.4415485879999,1001.4415485879999,0.0,0.0
4200,1001.4415485879999,1001.4415485879999,0.0,0.0
4260,1001.4415485879999,1001.4415485879999,0.0,0.0
4320,1001.4415485879999,1001.4415485879999,0.0,0.0
4380,1001.4415485879999,1001.4415485879999,0.0,0.0
4440,1001.4415485879999,1001.4415485879999,0.0,0.0
4500,1001.4415485879999,1001.4415485879999,0.0,0.0
4560,1001.4415485879999,1001.4415485879999,0.0,0.0
4620,1001.4415485879999,1001.4415485879999,0.0,0.0
4680,1001.4415485879999,1001.4415485879999,0.0,0.0
4740,1001.4415485879999,1001.4415485879999,0.0,0.0
4800,1001.4415485879999,1001.4415485879999,0.0,0.0
4860,1001.4415485879999,1001.4415485879999,0.0,0.0
4920,1001.4415485879999,1001.4415485879999,0.0,0.0
4980,1001.4415485879999,1001.4415485879999,0.0,0.0
5040,1001.4415485879999,1001.4415485879999,0.0,0.0
5100,1001.4415485879999,1001.4415485879999,0.0,0.0
5160,1001.4415485879999,1001.4415485879999,0.0,0.0
5220,1001.4415485879999,1001.4415485879999,0.0,0.0
5280,1001.4415485879999,1001.4415485879999,0.0,0.0
5340,1001.4415485879999,1001.4415485879999,0.0,0.0
5400,1001.4415485879999,1001.4415485879999,0.0,0.0
5460,1001.4415485879999,1001.4415485879999,0.0,0.0
5520,1001.4415485879999,1001.4415485879999,0.0,0.0
5580,1001.4415485879999,1001.4415485879999,0.0,0.0
5640,1001.4415485879999,1001.4415485879999,0.0,0.0
5700,1001.4415485879999,1001.4415485879999,0.0,0.0
5760,1001.4415485879999,1001.4415485879999,0.0,0.0
5820,1001.4415485879999,1001.4415485879999,0.0,0.0
5880,1001.4415485879999,1001.4415485879999,0.0,0.0
5940,1001.4415485879999,1001.4415485879999,0.0,0.0
6000,1001.4415485879999,1001.4415485879999,0.0,0.0
6060,1001.4415485879999,1001.4415485879999,0.0,0.0
6120,1001.4415485879999,1001.4415485879999,0.0,0.0
6180,1001.4415485879999,1001.4415485879999,0.0,0.0
6240,1001.4415485879999,1001.4415485879999,0.0,0.0
6300,1001.4415485879999,1001.4415485879999,0.0,0.0
6360,1001.4415485879999,1001.4415485879999,0.0,0.0
6420,1001.4415485879999,1001.4415485879999,0.0,0.0
6480,1001.4415485879999,1001.4415485879999,0.0,0.0
6540,1001.4415485879999,1001.4415485879999,0.0,0.0
6600,1001.4415485879999,1001.4415485879999,0.0,0.0
6660,1001.4415485879999,1001.4415485879999,0.0,0.0
