,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,5,ETH,0.0,-0.010633097999999999,999.989366902,0.0,999.989366902,1.0,0.413,128.73,0.413,128.73,entry_initial_normal_long
1,109,ETH,0.49560000000000703,-0.010732218,1000.4742346840001,0.0,1000.4742346840001,1.0,-0.413,129.93,0.0,128.73,close_trailing_long
2,1320,ETH,0.0,-0.010635300000000002,1000.4635993840001,0.0,1000.4635993840001,1.0,0.405,131.3,0.405,131.3,entry_initial_normal_long
3,3164,ETH,0.0,-0.010831216,1000.452768168,0.0,1000.452768168,1.0,0.418,129.56,0.823,130.4162575941677,entry_trailing_normal_long
4,3400,ETH,0.3981199999999965,-0.021546140000000002,1000.829342028,0.0,1000.829342028,1.0,-0.823,130.9,0.0,130.4162575941677,close_trailing_long
5,4981,ETH,0.0,-0.010631754,1000.8187102740001,0.0,1000.8187102740001,1.0,0.399,133.23,0.399,133.23,entry_initial_normal_long
6,5383,ETH,0.37107000000000273,-0.010705968,1001.1790743060001,0.0,1001.1790743060001,1.0,-0.399,134.16,0.0,133.23,close_trailing_long
7,5450,ETH,0.0,-0.010634946000000001,1001.1684393600001,0.0,1001.1684393600001,1.0,0.399,133.27,0.399,133.27,entry_initial_normal_long
8,5520,ETH,0.1516199999999982,-0.010665270000000001,1001.3093940900001,0.0,1001.3093940900001,1.0,-0.399,133.65,0.0,133.27,close_trailing_long
9,6293,ETH,0.0,-0.010639576000000001,1001.298754514,0.0,1001.298754514,1.0,0.394,135.02,0.394,135.02,entry_initial_normal_long
10,6568,ETH,0.11032000000000046,-0.010661640000000002,1001.3984128740001,0.0,1001.3984128740001,1.0,-0.394,135.3,0.0,135.02,close_trailing_long
11,7051,ETH,0.0,-0.010639200000000001,1001.3877736740001,0.0,1001.3877736740001,1.0,0.39,136.4,0.39,136.4,entry_initial_normal_long
12,7327,ETH,0.6629999999999956,-0.010771800000000002,1002.040001874,0.0,1002.040001874,1.0,-0.39,138.1,0.0,136.4,close_trailing_long
13,8035,ETH,0.0,-0.010645139999999999,1002.0293567340001,0.0,1002.0293567340001,1.0,0.381,139.7,0.381,139.7,entry_initial_normal_long
14,8037,ETH,0.11430000000000433,-0.010668,1002.132988734,0.0,1002.132988734,1.0,-0.381,140.0,0.0,139.7,close_trailing_long
15,8041,ETH,0.0,-0.010645902000000002,1002.1223428320001,0.0,1002.1223428320001,1.0,0.381,139.71,0.381,139.71,entry_initial_normal_long
16,8118,ETH,0.37718999999999264,-0.01072134,1002.4888114920001,0.0,1002.4888114920001,1.0,-0.381,140.7,0.0,139.71,close_trailing_long
17,8900,ETH,0.0,-0.010658252,1002.4781532400001,0.0,1002.4781532400001,1.0,0.374,142.49,0.374,142.49,entry_initial_normal_long
18,9038,ETH,0.03366000000000127,-0.010664984000000002,1002.5011482560001,0.0,1002.5011482560001,1.0,-0.374,142.58,0.0,142.49,close_trailing_long
19,9077,ETH,0.0,-0.010657504,1002.490490752,0.0,1002.490490752,1.0,0.374,142.48,0.374,142.48,entry_initial_normal_long
20,9212,ETH,0.12716000000000127,-0.010682936,1002.6069678160001,0.0,1002.6069678160001,1.0,-0.374,142.82,0.0,142.48,close_trailing_long
21,9232,ETH,0.0,-0.010663488,1002.5963043280001,0.0,1002.5963043280001,1.0,0.374,142.56,0.374,142.56,entry_initial_normal_long
22,9356,ETH,0.20570000000000424,-0.010704628,1002.7912997000001,0.0,1002.7912997000001,1.0,-0.374,143.11,0.0,142.56,close_trailing_long
23,9359,ETH,0.0,-0.01066648,1002.78063322,0.0,1002.78063322,1.0,0.374,142.6,0.374,142.6,entry_initial_normal_long
24,9753,ETH,0.05983999999999873,-0.010678448,1002.829794772,0.0,1002.829794772,1.0,-0.374,142.76,0.0,142.6,close_trailing_long
25,9950,ETH,0.0,-0.0106695,1002.8191252720001,0.0,1002.8191252720001,1.0,0.375,142.26,0.375,142.26,entry_initial_normal_long
26,10020,ETH,0.03375000000000128,-0.01067625,1002.842199022,0.0,1002.842199022,1.0,-0.375,142.35,0.0,142.26,close_trailing_long
27,10535,ETH,0.0,-0.01065674,1002.8315422820001,0.0,1002.8315422820001,1.0,0.37,144.01,0.37,144.01,entry_initial_normal_long
28,11491,ETH,0.0,-0.01074716,1002.820795122,0.0,1002.820795122,1.0,0.38,141.41,0.75,142.69266666666667,entry_trailing_normal_long
29,13728,ETH,0.0,-0.016307616,1002.8044875060001,0.0,1002.8044875060001,1.0,0.584,139.62,1.334,141.3475112443778,entry_trailing_normal_long
30,13883,ETH,1.1505600000000082,-0.037941628000000005,1003.9171058780001,0.0,1003.9171058780001,1.0,-1.334,142.21,0.0,141.3475112443778,close_trailing_long
31,14711,ETH,0.0,-0.010657504,1003.9064483740001,0.0,1003.9064483740001,1.0,0.374,142.48,0.374,142.48,entry_initial_normal_long
32,14815,ETH,0.1795200000000068,-0.010693408000000001,1004.075274966,0.0,1004.075274966,1.0,-0.374,142.96,0.0,142.48,close_trailing_long
33,14883,ETH,0.0,-0.010660496,1004.06461447,0.0,1004.06461447,1.0,0.374,142.52,0.374,142.52,entry_initial_normal_long
34,14939,ETH,0.06731999999999193,-0.01067396,1004.1212605100001,0.0,1004.1212605100001,1.0,-0.374,142.7,0.0,142.52,close_trailing_long
35,15061,ETH,0.0,-0.010674708000000002,1004.1105858020001,0.0,1004.1105858020001,1.0,0.374,142.71,0.374,142.71,entry_initial_normal_long
36,15280,ETH,0.11594000000000085,-0.010697896,1004.2158279060001,0.0,1004.2158279060001,1.0,-0.374,143.02,0.0,142.71,close_trailing_long
37,15290,ETH,0.0,-0.010673212,1004.205154694,0.0,1004.205154694,1.0,0.374,142.69,0.374,142.69,entry_initial_normal_long
38,15363,ETH,0.08601999999999617,-0.010690416,1004.280484278,0.0,1004.280484278,1.0,-0.374,142.92,0.0,142.69,close_trailing_long
39,15714,ETH,0.0,-0.010674432,1004.269809846,0.0,1004.269809846,1.0,0.369,144.64,0.369,144.64,entry_initial_normal_long
40,16228,ETH,0.20664000000000082,-0.01071576,1004.465734086,0.0,1004.465734086,1.0,-0.369,145.2,0.0,144.64,close_trailing_long
41,16443,ETH,0.0,-0.010662660000000001,1004.455071426,0.0,1004.455071426,1.0,0.37,144.09,0.37,144.09,entry_initial_normal_long
42,16688,ETH,0.24789999999999537,-0.01071224,1004.692259186,0.0,1004.692259186,1.0,-0.37,144.76,0.0,144.09,close_trailing_long
43,16728,ETH,0.0,-0.010675154000000001,1004.681584032,0.0,1004.681584032,1.0,0.371,143.87,0.371,143.87,entry_initial_normal_long
44,16808,ETH,0.3635799999999962,-0.01074787,1005.0344161620001,0.0,1005.0344161620001,1.0,-0.371,144.85,0.0,143.87,close_trailing_long
45,16845,ETH,0.0,-0.010684058000000001,1005.023732104,0.0,1005.023732104,1.0,0.371,143.99,0.371,143.99,entry_initial_normal_long
46,16884,ETH,0.27453999999999285,-0.010738965999999999,1005.2875331380001,0.0,1005.2875331380001,1.0,-0.371,144.73,0.0,143.99,close_trailing_long
47,16890,ETH,0.0,-0.010684058000000001,1005.27684908,0.0,1005.27684908,1.0,0.371,143.99,0.371,143.99,entry_initial_normal_long
48,16920,ETH,0.0779099999999924,-0.01069964,1005.34405944,0.0,1005.34405944,1.0,-0.371,144.2,0.0,143.99,close_trailing_long
49,17429,ETH,0.0,-0.010698920000000002,1005.33336052,0.0,1005.33336052,1.0,0.37,144.58,0.37,144.58,entry_initial_normal_long
