,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4099,ETH,0.0,-0.01038882,999.98961118,0.0,999.98961118,1.0,0.39,133.19,0.39,133.19,entry_initial_normal_long
1,4288,ETH,0.5147999999999974,-0.010491780000000001,1000.4939194,0.0,1000.4939194,1.0,-0.39,134.51,0.0,133.19,close_trailing_long
2,4351,ETH,0.0,-0.010392524000000002,1000.4835268759999,0.0,1000.4835268759999,1.0,0.389,133.58,0.389,133.58,entry_initial_normal_long
3,5443,ETH,0.5718299999999996,-0.010506890000000001,1001.0448499859999,0.0,1001.0448499859999,1.0,-0.389,135.05,0.0,133.58,close_trailing_long
4,5444,ETH,0.0,-0.010409264,1001.0344407219999,0.0,1001.0344407219999,1.0,0.388,134.14,0.388,134.14,entry_initial_normal_long
5,5903,ETH,0.3918800000000075,-0.010487640000000001,1001.415833082,0.0,1001.415833082,1.0,-0.388,135.15,0.0,134.14,close_trailing_long
6,6103,ETH,0.0,-0.010392321999999999,1001.4054407599999,0.0,1001.4054407599999,1.0,0.383,135.67,0.383,135.67,entry_initial_normal_long
7,6252,ETH,-0.0038299999999965167,-0.010391556,1001.3912192039999,0.0,1001.3912192039999,1.0,-0.383,135.66,0.0,135.67,close_trailing_long
8,6287,ETH,0.0,-0.010405632000000001,1001.3808135719999,0.0,1001.3808135719999,1.0,0.384,135.49,0.384,135.49,entry_initial_normal_long
9,6702,ETH,0.5030400000000009,-0.010506240000000002,1001.8733473319999,0.0,1001.8733473319999,1.0,-0.384,136.8,0.0,135.49,close_trailing_long
10,6774,ETH,0.0,-0.01040516,1001.8629421719999,0.0,1001.8629421719999,1.0,0.38,136.91,0.38,136.91,entry_initial_normal_long
11,6858,ETH,0.1634000000000026,-0.01043784,1002.0159043319999,0.0,1002.0159043319999,1.0,-0.38,137.34,0.0,136.91,close_trailing_long
12,6869,ETH,0.0,-0.010402034,1002.0055022979999,0.0,1002.0055022979999,1.0,0.379,137.23,0.379,137.23,entry_initial_normal_long
13,7023,ETH,-0.04547999999999095,-0.010392938000000001,1001.9496293599999,0.0,1001.9496293599999,1.0,-0.379,137.11,0.0,137.23,close_trailing_long
14,7024,ETH,0.0,-0.010397486,1001.9392318739999,0.0,1001.9392318739999,1.0,0.379,137.17,0.379,137.17,entry_initial_normal_long
15,7332,ETH,0.5647100000000035,-0.010510428,1002.4934314459999,0.0,1002.4934314459999,1.0,-0.379,138.66,0.0,137.17,close_trailing_long
16,7524,ETH,0.0,-0.010415250000000001,1002.4830161959999,0.0,1002.4830161959999,1.0,0.375,138.87,0.375,138.87,entry_initial_normal_long
17,7744,ETH,0.4387499999999953,-0.010503,1002.9112631959998,0.0,1002.9112631959998,1.0,-0.375,140.04,0.0,138.87,close_trailing_long
18,7895,ETH,0.0,-0.010427202,1002.9008359939999,0.0,1002.9008359939999,1.0,0.369,141.29,0.369,141.29,entry_initial_normal_long
19,7990,ETH,0.3062700000000046,-0.010488456000000002,1003.1966175379998,0.0,1003.1966175379998,1.0,-0.369,142.12,0.0,141.29,close_trailing_long
20,7998,ETH,0.0,-0.010431328,1003.1861862099998,0.0,1003.1861862099998,1.0,0.368,141.73,0.368,141.73,entry_initial_normal_long
21,8271,ETH,-0.04783999999999833,-0.010421759999999999,1003.1279244499998,0.0,1003.1279244499998,1.0,-0.368,141.6,0.0,141.73,close_trailing_long
22,8324,ETH,0.0,-0.010435480000000002,1003.1174889699998,0.0,1003.1174889699998,1.0,0.37,141.02,0.37,141.02,entry_initial_normal_long
23,8518,ETH,0.19979999999999706,-0.01047544,1003.3068135299999,0.0,1003.3068135299999,1.0,-0.37,141.56,0.0,141.02,close_trailing_long
24,8519,ETH,0.0,-0.010413664000000001,1003.2963998659999,0.0,1003.2963998659999,1.0,0.368,141.49,0.368,141.49,entry_initial_normal_long
25,8564,ETH,0.4305599999999954,-0.010499776,1003.7164600899998,0.0,1003.7164600899998,1.0,-0.368,142.66,0.0,141.49,close_trailing_long
26,8597,ETH,0.0,-0.010439784,1003.7060203059998,0.0,1003.7060203059998,1.0,0.366,142.62,0.366,142.62,entry_initial_normal_long
27,8661,ETH,0.5014200000000016,-0.010540068000000001,1004.1969002379998,0.0,1004.1969002379998,1.0,-0.366,143.99,0.0,142.62,close_trailing_long
28,8689,ETH,0.0,-0.010419808,1004.1864804299997,0.0,1004.1864804299997,1.0,0.362,143.92,0.362,143.92,entry_initial_normal_long
29,8816,ETH,-0.021719999999990535,-0.010415464000000001,1004.1543449659997,0.0,1004.1543449659997,1.0,-0.362,143.86,0.0,143.92,close_trailing_long
30,8843,ETH,0.0,-0.01044351,1004.1439014559998,0.0,1004.1439014559998,1.0,0.363,143.85,0.363,143.85,entry_initial_normal_long
31,9917,ETH,0.03629999999999794,-0.01045077,1004.1697506859997,0.0,1004.1697506859997,1.0,-0.363,143.95,0.0,143.85,close_trailing_long
32,9920,ETH,0.0,-0.010434798,1004.1593158879997,0.0,1004.1593158879997,1.0,0.363,143.73,0.363,143.73,entry_initial_normal_long
33,10095,ETH,-0.04718999999999835,-0.01042536,1004.1017005279997,0.0,1004.1017005279997,1.0,-0.363,143.6,0.0,143.73,close_trailing_long
34,10187,ETH,0.0,-0.010436848,1004.0912636799997,0.0,1004.0912636799997,1.0,0.359,145.36,0.359,145.36,entry_initial_normal_long
35,10219,ETH,0.0502599999999951,-0.0104469,1004.1310767799996,0.0,1004.1310767799996,1.0,-0.359,145.5,0.0,145.36,close_trailing_long
36,10220,ETH,0.0,-0.010433976,1004.1206428039997,0.0,1004.1206428039997,1.0,0.359,145.32,0.359,145.32,entry_initial_normal_long
37,13861,ETH,0.0,-0.014599462000000004,1004.1060433419997,0.0,1004.1060433419997,1.0,0.521,140.11,0.88,142.2354431818182,entry_trailing_normal_long
38,13884,ETH,-0.11039000000000215,-0.025011360000000003,1003.9706419819997,0.0,1003.9706419819997,1.0,-0.88,142.11,0.0,142.2354431818182,close_trailing_long
39,13942,ETH,0.0,-0.010419084000000002,1003.9602228979998,0.0,1003.9602228979998,1.0,0.369,141.18,0.369,141.18,entry_initial_normal_long
40,13977,ETH,0.025829999999997483,-0.01042425,1003.9756286479998,0.0,1003.9756286479998,1.0,-0.369,141.25,0.0,141.18,close_trailing_long
41,13978,ETH,0.0,-0.01042808,1003.9652005679998,0.0,1003.9652005679998,1.0,0.37,140.92,0.37,140.92,entry_initial_normal_long
42,14063,ETH,1.4319000000000017,-0.01071446,1005.3863861079998,0.0,1005.3863861079998,1.0,-0.37,144.79,0.0,140.92,close_trailing_long
43,14093,ETH,0.0,-0.01044198,1005.3759441279998,0.0,1005.3759441279998,1.0,0.366,142.65,0.366,142.65,entry_initial_normal_long
