,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,5444,ETH,0.0,-0.017770130000000006,999.98222987,0.0,999.98222987,1.0,0.665,133.61,0.665,133.61,entry_initial_normal_long
1,5445,ETH,0.2593499999999909,-0.017822,1000.22375787,0.0,1000.22375787,1.0,-0.665,134.0,0.0,133.61,close_grid_long
2,7052,ETH,0.0,-0.017766594,1000.205991276,0.0,1000.205991276,1.0,0.657,135.21,0.657,135.21,entry_initial_normal_long
3,7053,ETH,0.26280000000000375,-0.017819154000000004,1000.4509721219999,0.0,1000.4509721219999,1.0,-0.657,135.61,0.0,135.21,close_grid_long
4,8034,ETH,0.0,-0.0177723,1000.4331998219999,0.0,1000.4331998219999,1.0,0.63,141.05,0.63,141.05,entry_initial_normal_long
5,8271,ETH,0.25829999999999786,-0.017823960000000003,1000.6736758619999,0.0,1000.6736758619999,1.0,-0.63,141.46,0.0,141.05,close_grid_long
6,10536,ETH,0.0,-0.017776760000000003,1000.6558991019999,0.0,1000.6558991019999,1.0,0.622,142.9,0.622,142.9,entry_initial_normal_long
7,10538,ETH,0.2612399999999922,-0.017829008,1000.8993100939999,0.0,1000.8993100939999,1.0,-0.622,143.32,0.0,142.9,close_grid_long
8,12488,ETH,0.0,-0.017774824,1000.88153527,0.0,1000.88153527,1.0,0.652,136.31,0.652,136.31,entry_initial_normal_long
9,12489,ETH,0.2608000000000037,-0.017826984000000004,1001.1245082859999,0.0,1001.1245082859999,1.0,-0.652,136.71,0.0,136.31,close_grid_long
10,15714,ETH,0.0,-0.017780706,1001.1067275799999,0.0,1001.1067275799999,1.0,0.617,144.09,0.617,144.09,entry_initial_normal_long
11,16206,ETH,0.25913999999999227,-0.017832534,1001.3480350459998,0.0,1001.3480350459998,1.0,-0.617,144.51,0.0,144.09,close_grid_long
12,19681,ETH,0.0,-0.0177813,1001.3302537459998,0.0,1001.3302537459998,1.0,0.575,154.62,0.575,154.62,entry_initial_normal_long
13,19690,ETH,0.25874999999999343,-0.01783305,1001.5711706959999,0.0,1001.5711706959999,1.0,-0.575,155.07,0.0,154.62,close_grid_long
14,19833,ETH,0.0,-0.017790584,1001.5533801119999,0.0,1001.5533801119999,1.0,0.538,165.34,0.538,165.34,entry_initial_normal_long
15,19835,ETH,0.2636200000000049,-0.017843308000000002,1001.799156804,0.0,1001.799156804,1.0,-0.538,165.83,0.0,165.34,close_grid_long
16,19837,ETH,0.0,-0.017801784000000005,1001.78135502,0.0,1001.78135502,1.0,0.546,163.02,0.546,163.02,entry_initial_normal_long
17,19838,ETH,0.2566199999999994,-0.017853108000000003,1002.0201219119999,0.0,1002.0201219119999,1.0,-0.546,163.49,0.0,163.02,close_grid_long
18,19985,ETH,0.0,-0.017812728000000003,1002.002309184,0.0,1002.002309184,1.0,0.551,161.64,0.551,161.64,entry_initial_normal_long
19,19986,ETH,0.2589700000000151,-0.017864522000000004,1002.243414662,0.0,1002.243414662,1.0,-0.551,162.11,0.0,161.64,close_grid_long
20,20160,ETH,0.0,-0.017794572,1002.22562009,0.0,1002.22562009,1.0,0.541,164.46,0.541,164.46,entry_initial_normal_long
21,20161,ETH,0.2542699999999994,-0.017845426000000005,1002.462044664,0.0,1002.462044664,1.0,-0.541,164.93,0.0,164.46,close_grid_long
22,20218,ETH,0.0,-0.017797824,1002.44424684,0.0,1002.44424684,1.0,0.528,168.54,0.528,168.54,entry_initial_normal_long
23,20219,ETH,0.264,-0.017850624,1002.690396216,0.0,1002.690396216,1.0,-0.528,169.04,0.0,168.54,close_grid_long
24,20225,ETH,0.0,-0.017817174000000005,1002.6725790419999,0.0,1002.6725790419999,1.0,0.531,167.77,0.531,167.77,entry_initial_normal_long
25,20232,ETH,0.26018999999998976,-0.017869212,1002.91489983,0.0,1002.91489983,1.0,-0.531,168.26,0.0,167.77,close_grid_long
26,21009,ETH,0.0,-0.017808876,1002.897090954,0.0,1002.897090954,1.0,0.538,165.51,0.538,165.51,entry_initial_normal_long
27,21012,ETH,0.2636200000000049,-0.017861600000000002,1003.142849354,0.0,1003.142849354,1.0,-0.538,166.0,0.0,165.51,close_grid_long
28,21123,ETH,0.0,-0.017820768,1003.125028586,0.0,1003.125028586,1.0,0.552,161.42,0.552,161.42,entry_initial_normal_long
29,21124,ETH,0.2594399999999994,-0.017872656,1003.36659593,0.0,1003.36659593,1.0,-0.552,161.89,0.0,161.42,close_grid_long
30,21622,ETH,0.0,-0.017838636,1003.348757294,0.0,1003.348757294,1.0,0.543,164.26,0.543,164.26,entry_initial_normal_long
31,21623,ETH,0.40182000000000495,-0.017919000000000004,1003.7326582940001,0.0,1003.7326582940001,1.0,-0.543,165.0,0.0,164.26,close_grid_long
32,21681,ETH,0.0,-0.017836584,1003.7148217100001,0.0,1003.7148217100001,1.0,0.554,160.98,0.554,160.98,entry_initial_normal_long
33,21682,ETH,0.2603799999999994,-0.017888660000000004,1003.9573130500002,0.0,1003.9573130500002,1.0,-0.554,161.45,0.0,160.98,close_grid_long
34,21694,ETH,0.0,-0.017824000000000003,1003.9394890500001,0.0,1003.9394890500001,1.0,0.557,160.0,0.557,160.0,entry_initial_normal_long
35,21696,ETH,0.25622000000000444,-0.017875244000000005,1004.1778338060002,0.0,1004.1778338060002,1.0,-0.557,160.46,0.0,160.0,close_grid_long
36,22874,ETH,0.0,-0.017836576,1004.1599972300002,0.0,1004.1599972300002,1.0,0.547,163.04,0.547,163.04,entry_initial_normal_long
37,22875,ETH,0.2570899999999994,-0.017887994,1004.3991992360002,0.0,1004.3991992360002,1.0,-0.547,163.51,0.0,163.04,close_grid_long
38,24227,ETH,0.0,-0.017860128,1004.3813391080001,0.0,1004.3813391080001,1.0,0.528,169.13,0.528,169.13,entry_initial_normal_long
39,24230,ETH,0.264,-0.017912928,1004.6274261800002,0.0,1004.6274261800002,1.0,-0.528,169.63,0.0,169.13,close_grid_long
40,25871,ETH,0.0,-0.017865738,1004.6095604420002,0.0,1004.6095604420002,1.0,0.513,174.13,0.513,174.13,entry_initial_normal_long
41,25872,ETH,0.661769999999996,-0.017998092,1005.2533323500002,0.0,1005.2533323500002,1.0,-0.513,175.42,0.0,174.13,close_grid_long
42,26581,ETH,0.0,-0.017843280000000003,1005.2354890700002,0.0,1005.2354890700002,1.0,0.516,172.9,0.516,172.9,entry_initial_normal_long
43,26582,ETH,0.0,-0.017467464000000002,1005.2180216060002,0.0,1005.2180216060002,1.0,0.519,168.28,1.035,170.5833043478261,entry_grid_normal_long
44,26583,ETH,0.0,-0.03303798000000001,1005.1849836260002,0.0,1005.1849836260002,1.0,0.995,166.02,2.03,168.34661083743845,entry_grid_normal_long
45,26665,ETH,0.0,-0.063887446,1005.1210961800002,0.0,1005.1210961800002,1.0,1.951,163.73,3.981,166.08411203215275,entry_grid_normal_long
46,27245,ETH,2.9295699999998925,-0.132822084,1007.9178440960001,0.0,1007.9178440960001,1.0,-3.981,166.82,0.0,166.08411203215275,close_grid_long
47,27255,ETH,0.0,-0.017900864000000002,1007.899943232,0.0,1007.899943232,1.0,0.544,164.53,0.544,164.53,entry_initial_normal_long
48,27257,ETH,0.26111999999999447,-0.017953088,1008.143110144,0.0,1008.143110144,1.0,-0.544,165.01,0.0,164.53,close_grid_long
49,28077,ETH,0.0,-0.017924500000000003,1008.125185644,0.0,1008.125185644,1.0,0.55,162.95,0.55,162.95,entry_initial_normal_long
50,28078,ETH,0.26400000000001,-0.0179773,1008.371208344,0.0,1008.371208344,1.0,-0.55,163.43,0.0,162.95,close_grid_long
51,29980,ETH,0.0,-0.017916838,1008.353291506,0.0,1008.353291506,1.0,0.541,165.59,0.541,165.59,entry_initial_normal_long
