,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,7052,ETH,0.0,-0.01769286,999.98230714,0.0,999.98230714,1.0,0.655,135.06,0.655,135.06,entry_initial_normal_long
1,7056,ETH,0.4715999999999993,-0.017787180000000003,1000.43611996,0.0,1000.43611996,1.0,-0.655,135.78,0.0,135.06,close_trailing_long
2,8035,ETH,0.0,-0.017689868,1000.418430092,0.0,1000.418430092,1.0,0.634,139.51,0.634,139.51,entry_initial_normal_long
3,8037,ETH,0.31066000000000576,-0.017752,1000.711338092,0.0,1000.711338092,1.0,-0.634,140.0,0.0,139.51,close_trailing_long
4,10536,ETH,0.0,-0.017697280000000003,1000.693640812,0.0,1000.693640812,1.0,0.62,142.72,0.62,142.72,entry_initial_normal_long
5,10547,ETH,0.5269999999999965,-0.017802679999999998,1001.202838132,0.0,1001.202838132,1.0,-0.62,143.57,0.0,142.72,close_trailing_long
6,15714,ETH,0.0,-0.017719856000000003,1001.185118276,0.0,1001.185118276,1.0,0.616,143.83,0.616,143.83,entry_initial_normal_long
7,15718,ETH,0.1909599999999839,-0.017758048000000002,1001.358320228,0.0,1001.358320228,1.0,-0.616,144.14,0.0,143.83,close_trailing_long
8,21010,ETH,0.0,-0.017722078,1001.34059815,0.0,1001.34059815,1.0,0.541,163.79,0.541,163.79,entry_initial_normal_long
9,21012,ETH,0.6492000000000092,-0.017851918000000005,1001.971946232,0.0,1001.971946232,1.0,-0.541,164.99,0.0,163.79,close_trailing_long
10,21123,ETH,0.0,-0.017712936000000002,1001.9542332960001,0.0,1001.9542332960001,1.0,0.549,161.32,0.549,161.32,entry_initial_normal_long
11,21125,ETH,0.08235000000000313,-0.017729406,1002.0188538900001,0.0,1002.0188538900001,1.0,-0.549,161.47,0.0,161.32,close_trailing_long
12,21694,ETH,0.0,-0.017741130000000004,1002.0011127600001,0.0,1002.0011127600001,1.0,0.555,159.83,0.555,159.83,entry_initial_normal_long
13,21696,ETH,0.03884999999999622,-0.017748900000000005,1002.0222138600001,0.0,1002.0222138600001,1.0,-0.555,159.9,0.0,159.83,close_trailing_long
14,24228,ETH,0.0,-0.017727226000000002,1002.004486634,0.0,1002.004486634,1.0,0.527,168.19,0.527,168.19,entry_initial_normal_long
15,24231,ETH,0.6113199999999982,-0.017849490000000003,1002.597957144,0.0,1002.597957144,1.0,-0.527,169.35,0.0,168.19,close_trailing_long
16,26581,ETH,0.0,-0.017752532,1002.580204612,0.0,1002.580204612,1.0,0.514,172.69,0.514,172.69,entry_initial_normal_long
17,26584,ETH,0.0,-0.017755368,1002.5624492439999,0.0,1002.5624492439999,1.0,0.537,165.32,1.051,168.92435775451952,entry_trailing_normal_long
18,26588,ETH,0.0,-0.01788941,1002.544559834,0.0,1002.544559834,1.0,0.539,165.95,1.59,167.91606918238992,entry_trailing_normal_long
19,26591,ETH,0.0,-0.01861664,1002.525943194,0.0,1002.525943194,1.0,0.56,166.22,2.15,167.4743023255814,entry_trailing_normal_long
20,26600,ETH,0.14124999999999233,-0.0720422,1002.5951509939999,0.0,1002.5951509939999,1.0,-2.15,167.54,0.0,167.4743023255814,close_trailing_long
21,26665,ETH,0.0,-0.017736576000000004,1002.577414418,0.0,1002.577414418,1.0,0.544,163.02,0.544,163.02,entry_initial_normal_long
22,26667,ETH,0.3971199999999945,-0.017816000000000002,1002.956718418,0.0,1002.956718418,1.0,-0.544,163.75,0.0,163.02,close_trailing_long
23,27256,ETH,0.0,-0.017748332,1002.938970086,0.0,1002.938970086,1.0,0.542,163.73,0.542,163.73,entry_initial_normal_long
24,27259,ETH,0.49321999999999816,-0.017846976,1003.41434311,0.0,1003.41434311,1.0,-0.542,164.64,0.0,163.73,close_trailing_long
25,28077,ETH,0.0,-0.017747380000000004,1003.3965957300001,0.0,1003.3965957300001,1.0,0.545,162.82,0.545,162.82,entry_initial_normal_long
26,28080,ETH,0.22890000000000868,-0.017793160000000002,1003.60770257,0.0,1003.60770257,1.0,-0.545,163.24,0.0,162.82,close_trailing_long
27,29980,ETH,0.0,-0.0177416,1003.58996097,0.0,1003.58996097,1.0,0.536,165.5,0.536,165.5,entry_initial_normal_long
28,29985,ETH,0.27335999999999516,-0.017796272,1003.845524698,0.0,1003.845524698,1.0,-0.536,166.01,0.0,165.5,close_trailing_long
29,30757,ETH,0.0,-0.017766660000000004,1003.827758038,0.0,1003.827758038,1.0,0.53,167.61,0.53,167.61,entry_initial_normal_long
30,30760,ETH,0.7631999999999989,-0.017919300000000003,1004.5730387379999,0.0,1004.5730387379999,1.0,-0.53,169.05,0.0,167.61,close_trailing_long
31,32767,ETH,0.0,-0.01778644,1004.5552522979999,0.0,1004.5552522979999,1.0,0.556,159.95,0.556,159.95,entry_initial_normal_long
32,32769,ETH,0.21684000000000825,-0.017829808000000003,1004.75426249,0.0,1004.75426249,1.0,-0.556,160.34,0.0,159.95,close_trailing_long
33,40922,ETH,0.0,-0.017782424,1004.736480066,0.0,1004.736480066,1.0,0.509,174.68,0.509,174.68,entry_initial_normal_long
34,40929,ETH,0.5497199999999919,-0.017892368,1005.2683076980001,0.0,1005.2683076980001,1.0,-0.509,175.76,0.0,174.68,close_trailing_long
35,43961,ETH,0.0,-0.017791884,1005.2505158140001,0.0,1005.2505158140001,1.0,0.502,177.21,0.502,177.21,entry_initial_normal_long
36,43966,ETH,0.22087999999999886,-0.01783606,1005.4535597540001,0.0,1005.4535597540001,1.0,-0.502,177.65,0.0,177.21,close_trailing_long
