,balance,equity,balance_btc,equity_btc
0,1001.35509244,1000.0,0.0,0.0
60,1001.35509244,1001.35509244,0.0,0.0
120,1001.35509244,1001.35509244,0.0,0.0
180,1001.35509244,1001.35509244,0.0,0.0
240,1001.35509244,1001.35509244,0.0,0.0
300,1001.35509244,1001.35509244,0.0,0.0
360,1001.35509244,1001.35509244,0.0,0.0
420,1001.35509244,1001.35509244,0.0,0.0
480,1001.35509244,1001.35509244,0.0,0.0
540,1001.35509244,1001.35509244,0.0,0.0
600,1001.35509244,1001.35509244,0.0,0.0
660,1001.35509244,1001.35509244,0.0,0.0
720,1001.35509244,1001.35509244,0.0,0.0
780,1001.35509244,1001.35509244,0.0,0.0
840,1001.35509244,1001.35509244,0.0,0.0
900,1001.35509244,1001.35509244,0.0,0.0
960,1001.35509244,1001.35509244,0.0,0.0
1020,1001.35509244,1001.35509244,0.0,0.0
1080,1001.35509244,1001.35509244,0.0,0.0
1140,1001.35509244,1001.35509244,0.0,0.0
1200,1001.35509244,1001.35509244,0.0,0.0
1260,1001.35509244,1001.35509244,0.0,0.0
1320,1000.9059717599999,1001.35509244,0.0,0.0
1380,1000.9059717599999,1000.9059717599999,0.0,0.0
1440,1000.9059717599999,1000.9059717599999,0.0,0.0
1500,1000.9059717599999,1000.9059717599999,0.0,0.0
1560,1000.9059717599999,1000.9059717599999,0.0,0.0
1620,1000.9059717599999,1000.9059717599999,0.0,0.0
1680,1000.9059717599999,1000.9059717599999,0.0,0.0
1740,1000.9059717599999,1000.9059717599999,0.0,0.0
1800,1000.9059717599999,1000.9059717599999,0.0,0.0
1860,1000.9059717599999,1000.9059717599999,0.0,0.0
1920,1000.9059717599999,1000.9059717599999,0.0,0.0
1980,1000.9059717599999,1000.9059717599999,0.0,0.0
2040,1000.9059717599999,1000.9059717599999,0.0,0.0
2100,1000.9059717599999,1000.9059717599999,0.0,0.0
2160,1000.9059717599999,1000.9059717599999,0.0,0.0
2220,1000.9059717599999,1000.9059717599999,0.0,0.0
