,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,672,SOL,0.0,-0.076032,999.923968,0.0,999.923968,1.0,11.0,34.56,11.0,34.56,entry_initial_normal_long
1,681,SOL,2.859999999999978,-0.076604,1002.7073639999999,0.0,1002.7073639999999,1.0,-11.0,34.82,0.0,34.56,close_grid_long
2,822,SOL,0.0,-0.0758574,1002.6315065999999,0.0,1002.6315065999999,1.0,11.1,34.17,11.1,34.17,entry_initial_normal_long
3,863,SOL,2.885999999999978,-0.0764346,1005.4410719999998,0.0,1005.4410719999998,1.0,-11.1,34.43,0.0,34.17,close_grid_long
4,918,SOL,0.0,-0.0759136,1005.3651583999998,0.0,1005.3651583999998,1.0,11.2,33.89,11.2,33.89,entry_initial_normal_long
5,933,SOL,2.9119999999999777,-0.076496,1008.2006623999998,0.0,1008.2006623999998,1.0,-11.2,34.15,0.0,33.89,close_grid_long
6,1006,SOL,0.0,-0.07625240000000001,1008.1244099999998,0.0,1008.1244099999998,1.0,11.3,33.74,11.3,33.74,entry_initial_normal_long
7,1007,SOL,2.9379999999999775,-0.07684000000000002,1010.9855699999997,0.0,1010.9855699999997,1.0,-11.3,34.0,0.0,33.74,close_grid_long
8,1014,SOL,0.0,-0.07679040000000001,1010.9087795999997,0.0,1010.9087795999997,1.0,11.4,33.68,11.4,33.68,entry_initial_normal_long
9,1037,SOL,2.9639999999999773,-0.0773832,1013.7953963999996,0.0,1013.7953963999996,1.0,-11.4,33.94,0.0,33.68,close_grid_long
10,1086,SOL,0.0,-0.07668200000000001,1013.7187143999996,0.0,1013.7187143999996,1.0,11.5,33.34,11.5,33.34,entry_initial_normal_long
11,1107,SOL,2.875,-0.077257,1016.5164573999996,0.0,1016.5164573999996,1.0,-11.5,33.59,0.0,33.34,close_grid_long
12,1229,SOL,0.0,-0.076986,1016.4394713999995,0.0,1016.4394713999995,1.0,11.7,32.9,11.7,32.9,entry_initial_normal_long
13,1467,SOL,2.925,-0.077571,1019.2869003999996,0.0,1019.2869003999996,1.0,-11.7,33.15,0.0,32.9,close_grid_long
14,1546,SOL,0.0,-0.07735,1019.2095503999996,0.0,1019.2095503999996,1.0,11.9,32.5,11.9,32.5,entry_initial_normal_long
15,1560,SOL,2.975,-0.07794500000000001,1022.1066053999996,0.0,1022.1066053999996,1.0,-11.9,32.75,0.0,32.5,close_grid_long
16,1597,SOL,0.0,-0.077424,1022.0291813999996,0.0,1022.0291813999996,1.0,12.0,32.26,12.0,32.26,entry_initial_normal_long
17,1601,SOL,3.0,-0.07802400000000001,1024.9511573999996,0.0,1024.9511573999996,1.0,-12.0,32.51,0.0,32.26,close_grid_long
18,1802,SOL,0.0,-0.0778272,1024.8733301999996,0.0,1024.8733301999996,1.0,12.1,32.16,12.1,32.16,entry_initial_normal_long
19,1812,SOL,3.025,-0.0784322,1027.8198979999995,0.0,1027.8198979999995,1.0,-12.1,32.41,0.0,32.16,close_grid_long
20,1916,SOL,0.0,-0.07766519999999999,1027.7422327999996,0.0,1027.7422327999996,1.0,12.2,31.83,12.2,31.83,entry_initial_normal_long
21,1942,SOL,2.928000000000024,-0.0782508,1030.5919819999997,0.0,1030.5919819999997,1.0,-12.2,32.07,0.0,31.83,close_grid_long
22,1956,SOL,0.0,-0.0783432,1030.5136387999996,0.0,1030.5136387999996,1.0,12.4,31.59,12.4,31.59,entry_initial_normal_long
23,1957,SOL,2.975999999999981,-0.0789384,1033.4107003999995,0.0,1033.4107003999995,1.0,-12.4,31.83,0.0,31.59,close_grid_long
24,2583,SOL,0.0,-0.078432,1033.3322683999995,0.0,1033.3322683999995,1.0,11.4,34.4,11.4,34.4,entry_initial_normal_long
25,2814,SOL,2.9639999999999773,-0.07902479999999999,1036.2172435999994,0.0,1036.2172435999994,1.0,-11.4,34.66,0.0,34.4,close_grid_long
26,2857,SOL,0.0,-0.07885800000000001,1036.1383855999993,0.0,1036.1383855999993,1.0,11.7,33.7,11.7,33.7,entry_initial_normal_long
27,3163,SOL,3.0419999999999767,-0.0794664,1039.1009191999992,0.0,1039.1009191999992,1.0,-11.7,33.96,0.0,33.7,close_grid_long
28,3309,SOL,0.0,-0.0784924,1039.0224267999993,0.0,1039.0224267999993,1.0,11.9,32.98,11.9,32.98,entry_initial_normal_long
29,3316,SOL,2.975,-0.07908739999999999,1041.9183393999992,0.0,1041.9183393999992,1.0,-11.9,33.23,0.0,32.98,close_grid_long
30,3321,SOL,0.0,-0.07895999999999999,1041.8393793999992,0.0,1041.8393793999992,1.0,12.0,32.9,12.0,32.9,entry_initial_normal_long
31,3327,SOL,3.0,-0.07955999999999999,1044.7598193999993,0.0,1044.7598193999993,1.0,-12.0,33.15,0.0,32.9,close_grid_long
32,4018,SOL,0.0,-0.07944860000000001,1044.6803707999993,0.0,1044.6803707999993,1.0,12.1,32.83,12.1,32.83,entry_initial_normal_long
33,4768,SOL,3.025,-0.0800536,1047.6253171999992,0.0,1047.6253171999992,1.0,-12.1,33.08,0.0,32.83,close_grid_long
34,6684,SOL,0.0,-0.0793494,1047.5459677999993,0.0,1047.5459677999993,1.0,11.7,33.91,11.7,33.91,entry_initial_normal_long
35,6689,SOL,3.0420000000000598,-0.0799578,1050.5080099999993,0.0,1050.5080099999993,1.0,-11.7,34.17,0.0,33.91,close_grid_long
36,8148,SOL,0.0,-0.0795296,1050.4284803999994,0.0,1050.4284803999994,1.0,11.6,34.28,11.6,34.28,entry_initial_normal_long
37,8165,SOL,3.015999999999977,-0.0801328,1053.3643475999995,0.0,1053.3643475999995,1.0,-11.6,34.54,0.0,34.28,close_grid_long
38,8213,SOL,0.0,-0.08009840000000001,1053.2842491999995,0.0,1053.2842491999995,1.0,11.8,33.94,11.8,33.94,entry_initial_normal_long
39,8216,SOL,3.0680000000000605,-0.08071200000000002,1056.2715371999996,0.0,1056.2715371999996,1.0,-11.8,34.2,0.0,33.94,close_grid_long
