,balance,equity,balance_btc,equity_btc
0,999.98804764,1000.0,0.0,0.0
60,999.98804764,1000.0,0.0,0.0
120,999.98804764,1000.0,0.0,0.0
180,999.98804764,1000.0,0.0,0.0
240,999.98804764,1000.0,0.0,0.0
300,1000.0363472271999,999.96042664,0.0,-0.027621000000002532
360,1000.0363472271999,1000.0363472271999,0.0,0.0
420,1000.0363472271999,1000.0363472271999,0.0,0.0
480,1000.0363472271999,1000.0363472271999,0.0,0.0
540,1000.0363472271999,1000.0363472271999,0.0,0.0
600,1000.0243951271999,1000.0363472271999,0.0,0.0
660,1000.2768621327999,999.9379331271999,0.0,-0.08646200000000177
720,1000.2649094128,999.6340714127999,0.0,-0.6308379999999929
780,1000.6436405403999,1000.8242354128,0.0,0.5593260000000008
840,1000.6197257403999,1000.6436405403999,0.0,0.0
900,1000.6077681803998,1000.6197257403999,0.0,0.0
960,1000.5922071803998,998.4791671803998,0.0,-2.1130399999999883
1020,1000.5922071803998,998.6538631803998,0.0,-1.9383439999999943
1080,1000.5922071803998,998.4972391803998,0.0,-2.0949680000000037
1140,1000.5922071803998,999.0092791803997,0.0,-1.5829279999999932
1200,1000.5922071803998,998.7020551803998,0.0,-1.8901519999999996
1260,1000.5922071803998,1000.2622711803998,0.0,-0.32993599999999745
1320,1000.5922071803998,999.6658951803997,0.0,-0.9263119999999987
1380,1000.5922071803998,1000.3345591803998,0.0,-0.25764800000000543
1440,1002.0357019627997,1002.0513991803998,0.0,1.4591920000000063
1500,1002.0357019627997,1002.1046019627997,0.0,0.06890000000000418
1560,1002.0357019627997,1001.8687519627997,0.0,-0.16694999999999927
1620,1002.0357019627997,1001.4235519627997,0.0,-0.6121499999999973
1680,1002.0357019627997,1001.8528519627997,0.0,-0.18284999999999751
1740,1002.0357019627997,1001.9111519627997,0.0,-0.12454999999999217
1800,1002.0237239627997,1002.0913519627998,0.0,0.055650000000011524
1860,1002.0237239627997,1002.0237239627997,0.0,0.0
1920,1002.0237239627997,1002.0237239627997,0.0,0.0
1980,1002.0117504827997,1002.0237239627997,0.0,0.0
2040,1002.0117504827997,1001.5614204827997,0.0,-0.45032999999999745
2100,1002.0117504827997,1001.8263204827997,0.0,-0.18542999999999132
2160,1002.0117504827997,1001.5614204827997,0.0,-0.45032999999999745
2220,1002.4076414135997,1002.4038024827997,0.0,0.39205200000000384
2280,1002.4076414135997,1002.4076414135997,0.0,0.0
2340,1002.4076414135997,1002.4076414135997,0.0,0.0
2400,1002.3956624135997,1002.4076414135997,0.0,0.0
2460,1002.3956624135997,1002.5607064135996,0.0,0.16504400000000546
2520,1003.2300301103996,1003.4205324135996,0.0,1.0248699999999995
2580,1003.2300301103996,1003.2300301103996,0.0,0.0
2640,1003.2300301103996,1003.2300301103996,0.0,0.0
2700,1003.2300301103996,1003.2300301103996,0.0,0.0
2760,1003.2300301103996,1003.2300301103996,0.0,0.0
2820,1003.2300301103996,1003.2300301103996,0.0,0.0
2880,1003.2180421103997,1003.2300301103996,0.0,0.0
2940,1003.2180421103997,1002.9649621103997,0.0,-0.2530800000000017
3000,1003.2180421103997,1003.1914021103996,0.0,-0.026639999999997065
3060,1003.2180421103997,1003.0928341103996,0.0,-0.12520800000000396
3120,1003.1663178703997,1002.4641301103997,0.0,-0.7539120000000057
3180,1006.2527594735997,1001.2518118703997,0.0,-1.9145060000000063
3240,1006.3502838251997,1006.2527594735997,0.0,0.0
3300,1006.3502838251997,1006.4589378251997,0.0,0.10865399999999421
3360,1006.3502838251997,1005.8348738251997,0.0,-0.5154099999999989
3420,1006.3800383051996,1006.3753578251997,0.0,0.025074000000003423
3480,1006.3800383051996,1006.3800383051996,0.0,0.0
3540,1006.3800383051996,1006.3800383051996,0.0,0.0
3600,1006.3800383051996,1006.3800383051996,0.0,0.0
3660,1006.3800383051996,1006.3800383051996,0.0,0.0
3720,1006.3800383051996,1006.3800383051996,0.0,0.0
3780,1006.3800383051996,1006.3800383051996,0.0,0.0
3840,1006.3800383051996,1006.3800383051996,0.0,0.0
3900,1006.3800383051996,1006.3800383051996,0.0,0.0
3960,1006.3800383051996,1006.3800383051996,0.0,0.0
4020,1006.3680114251996,1006.3800383051996,0.0,0.0
4080,1006.3680114251996,1006.3401714251996,0.0,-0.0278400000000093
4140,1006.3680114251996,1006.3067634251996,0.0,-0.06124800000000562
4200,1007.2188519371996,1006.2844914251996,0.0,-0.08352000000000316
4260,1007.2068122971996,1007.2188519371996,0.0,0.0
4320,1007.1947726571996,1006.8101792971996,0.0,-0.396633
4380,1007.1947726571996,1007.1947726571996,0.0,0.0
4440,1007.1947726571996,1007.1947726571996,0.0,0.0
4500,1007.1947726571996,1007.1947726571996,0.0,0.0
4560,1007.1947726571996,1007.1947726571996,0.0,0.0
4620,1007.1947726571996,1007.1947726571996,0.0,0.0
4680,1007.1947726571996,1007.1947726571996,0.0,0.0
4740,1007.1947726571996,1007.1947726571996,0.0,0.0
4800,1007.1947726571996,1007.1947726571996,0.0,0.0
4860,1007.1947726571996,1007.1947726571996,0.0,0.0
4920,1007.1947726571996,1007.1947726571996,0.0,0.0
4980,1007.1947726571996,1007.1947726571996,0.0,0.0
5040,1007.1947726571996,1007.1947726571996,0.0,0.0
5100,1007.1827364171995,1007.1947726571996,0.0,0.0
5160,1007.1827364171995,1006.9793844171995,0.0,-0.203352000000002
5220,1007.5432997331995,1007.4383004171996,0.0,0.25556400000000234
5280,1007.6172640281995,1007.7014747331996,0.0,0.15817500000000106
5340,1007.6172640281995,1007.6172640281995,0.0,0.0
5400,1007.6172640281995,1007.6172640281995,0.0,0.0
5460,1007.6172640281995,1007.6172640281995,0.0,0.0
5520,1007.6172640281995,1007.6172640281995,0.0,0.0
5580,1007.6172640281995,1007.6172640281995,0.0,0.0
