,balance,equity,balance_btc,equity_btc
0,999.9218804,1000.0,0.0,0.0
60,1001.4902056,1000.1038804,0.0,0.18200000000000074
120,1001.4902056,1001.4902056,0.0,0.0
180,1001.4902056,1001.4902056,0.0,0.0
240,1001.4902056,1001.4902056,0.0,0.0
300,1001.4902056,1001.4902056,0.0,0.0
360,1001.4902056,1001.4902056,0.0,0.0
420,1001.4902056,1001.4902056,0.0,0.0
480,1001.4902056,1001.4902056,0.0,0.0
540,1001.4902056,1001.4902056,0.0,0.0
600,1001.4902056,1001.4902056,0.0,0.0
660,1001.4727706,1001.4902056,0.0,0.0
720,1001.4727706,1001.6227706,0.0,0.15000000000000568
780,1001.4727706,1001.2102706,0.0,-0.2624999999999922
840,1001.4727706,999.9227706,0.0,-1.5499999999999936
900,1001.4497729999999,1000.7727706000001,0.0,-0.6999999999999851
960,1001.9236641,1003.751273,0.0,2.3015000000000527
1020,1001.9236641,1000.1486641,0.0,-1.7750000000000021
1080,1001.9236641,1000.2111641,0.0,-1.7125000000000057
1140,1001.9236641,1000.5236641,0.0,-1.4000000000000057
1200,1001.8491173,999.9486641,0.0,-1.9749999999999979
1260,1001.7296617,991.5536173,0.0,-10.295499999999988
1320,1001.4011457,1000.8146617000001,0.0,-0.9149999999998301
1380,1002.5309526,1002.5621457,0.0,1.1609999999999994
1440,1002.5309526,1002.5309526,0.0,0.0
1500,1002.513273,1002.5309526,0.0,0.0
1560,1002.4022139,1002.688773,0.0,0.17549999999999388
1620,1002.5195721,1002.2672139,0.0,-0.13499999999999235
1680,1002.5195721,1002.5195721,0.0,0.0
1740,1002.5019681,1002.5195721,0.0,0.0
1800,1002.5019681,1001.6244681,0.0,-0.8775000000000077
1860,1002.5019681,1002.7584681,0.0,0.25649999999999695
1920,1002.4792089,1000.7469681,0.0,-1.7550000000000059
1980,1003.1819892000001,1001.8852089,0.0,-0.5940000000000001
2040,1004.5415094000001,1003.6949892000001,0.0,0.5129999999999939
2100,1004.5415094000001,1004.5415094000001,0.0,0.0
2160,1004.5415094000001,1004.5415094000001,0.0,0.0
2220,1004.5415094000001,1004.5415094000001,0.0,0.0
2280,1004.5415094000001,1004.5415094000001,0.0,0.0
2340,1004.5415094000001,1004.5415094000001,0.0,0.0
2400,1004.5415094000001,1004.5415094000001,0.0,0.0
2460,1004.5415094000001,1004.5415094000001,0.0,0.0
2520,1004.5241094000002,1004.5415094000001,0.0,0.0
2580,1004.5241094000002,1004.0741094000001,0.0,-0.4499999999999993
2640,1004.5011594000001,1003.6241094000002,0.0,-0.8999999999999986
2700,1004.9037208000001,1003.8821594000001,0.0,-0.6189999999999742
2760,1004.9037208000001,1004.9037208000001,0.0,0.0
2820,1004.8860252000001,1004.9037208000001,0.0,0.0
2880,1004.8097564000001,1002.9620252000001,0.0,-1.9240000000000053
2940,1004.8097564000001,1005.1717564000002,0.0,0.3620000000000694
3000,1005.2035986000001,1008.3177564000001,0.0,3.5080000000000533
3060,1005.2254984000001,1004.8915986000001,0.0,-0.31199999999999334
3120,1005.2254984000001,1005.2254984000001,0.0,0.0
3180,1005.2254984000001,1005.2254984000001,0.0,0.0
3240,1005.1648924000001,1005.2254984000001,0.0,0.0
3300,1006.0011486000001,1005.1648924000001,0.0,0.0
3360,1006.0011486000001,1006.0011486000001,0.0,0.0
3420,1006.0011486000001,1006.0011486000001,0.0,0.0
3480,1006.0011486000001,1006.0011486000001,0.0,0.0
3540,1006.0011486000001,1006.0011486000001,0.0,0.0
3600,1005.983817,1006.0011486000001,0.0,0.0
3660,1006.99328,1007.166817,0.0,1.1829999999999956
3720,1006.99328,1006.99328,0.0,0.0
3780,1006.99328,1006.99328,0.0,0.0
3840,1006.9540122000001,1006.99328,0.0,0.0
3900,1007.222561,1007.3440122000001,0.0,0.3899999999999963
3960,1007.1445350000001,1007.222561,0.0,0.0
4020,1007.1445350000001,1006.1565350000001,0.0,-0.9880000000000067
4080,1007.1219040000001,1006.1435350000002,0.0,-1.0010000000000134
4140,1007.1219040000001,1004.648404,0.0,-2.4735000000000267
4200,1007.0698176000001,1003.7639040000001,0.0,-3.3580000000000023
4260,1007.0698176000001,1001.4673176000001,0.0,-5.602499999999907
4320,1009.5257537000002,1006.2578176000002,0.0,-0.8119999999998946
4380,1009.5257537000002,1009.5257537000002,0.0,0.0
4440,1009.5085169000002,1009.5257537000002,0.0,0.0
4500,1009.4642855000002,1008.7390169000003,0.0,-0.7695000000000004
4560,1009.4642855000002,1009.4642855000002,0.0,0.0
4620,1009.4642855000002,1009.4642855000002,0.0,0.0
4680,1009.4642855000002,1009.4642855000002,0.0,0.0
4740,1009.4642855000002,1009.4642855000002,0.0,0.0
4800,1009.4642855000002,1009.4642855000002,0.0,0.0
4860,1009.4642855000002,1009.4642855000002,0.0,0.0
4920,1009.4642855000002,1009.4642855000002,0.0,0.0
4980,1009.4642855000002,1009.4642855000002,0.0,0.0
5040,1009.4642855000002,1009.4642855000002,0.0,0.0
5100,1009.4642855000002,1009.4642855000002,0.0,0.0
5160,1009.4642855000002,1009.4642855000002,0.0,0.0
5220,1009.4642855000002,1009.4642855000002,0.0,0.0
5280,1009.4642855000002,1009.4642855000002,0.0,0.0
5340,1009.4642855000002,1009.4642855000002,0.0,0.0
5400,1009.4642855000002,1009.4642855000002,0.0,0.0
5460,1009.4642855000002,1009.4642855000002,0.0,0.0
5520,1009.4036379000001,1009.4642855000002,0.0,0.0
5580,1009.4036379000001,1009.4036379000001,0.0,0.0
5640,1009.4036379000001,1009.4036379000001,0.0,0.0
5700,1009.4036379000001,1009.4036379000001,0.0,0.0
5760,1009.4036379000001,1009.4036379000001,0.0,0.0
5820,1009.4036379000001,1009.4036379000001,0.0,0.0
5880,1009.4036379000001,1009.4036379000001,0.0,0.0
5940,1009.4036379000001,1009.4036379000001,0.0,0.0
6000,1009.4036379000001,1009.4036379000001,0.0,0.0
6060,1009.3863479000001,1009.4036379000001,0.0,0.0
6120,1009.6065104000002,1009.4988479000001,0.0,0.11250000000000426
6180,1009.6065104000002,1009.6065104000002,0.0,0.0
6240,1009.6065104000002,1009.6065104000002,0.0,0.0
6300,1009.6065104000002,1009.6065104000002,0.0,0.0
6360,1009.6065104000002,1009.6065104000002,0.0,0.0
6420,1009.6065104000002,1009.6065104000002,0.0,0.0
6480,1009.6065104000002,1009.6065104000002,0.0,0.0
6540,1009.6065104000002,1009.6065104000002,0.0,0.0
