,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2461,BTC,0.0,-1.56629302,99998.43370698,0.0,99998.43370698,1.0,1.123,6973.7,1.123,6973.7,entry_initial_normal_long
1,2464,BTC,2.6390500000004087,-1.5668208300000002,99999.50593615,0.0,99999.50593615,1.0,-1.123,6976.05,0.0,6973.7,close_trailing_long
2,2471,BTC,0.0,-1.5658425000000002,99997.94009365,0.0,99997.94009365,1.0,1.125,6959.3,1.125,6959.3,entry_initial_normal_long
3,2925,BTC,-39.712500000000205,-1.5579,99956.66969365001,0.0,99956.66969365001,1.0,-1.125,6924.0,0.0,6959.3,close_trailing_long
4,11078,BTC,0.0,-1.5649815999999999,99955.10471205002,0.0,99955.10471205002,1.0,0.962,8134.0,0.962,8134.0,entry_initial_normal_long
5,11083,BTC,1.471859999999755,-1.5652759719999998,99955.01129607801,0.0,99955.01129607801,1.0,-0.962,8135.53,0.0,8134.0,close_trailing_long
6,11084,BTC,0.0,-1.5649199999999999,99953.446376078,0.0,99953.446376078,1.0,0.966,8100.0,0.966,8100.0,entry_initial_normal_long
7,11271,BTC,0.0,-3.3257547099999996,99950.12062136801,0.0,99950.12062136801,1.0,2.077,8006.15,3.043,8035.942671705552,entry_trailing_normal_long
8,11292,BTC,0.0,-10.391121504000001,99939.72949986401,0.0,99939.72949986401,1.0,6.543,7940.64,9.586,7970.893080534112,entry_trailing_normal_long
9,11354,BTC,155.2568954089285,-11.2269678,100083.75942747295,0.0,100083.75942747295,1.0,-7.023,7993.0,2.563,7970.893080534112,close_trailing_long
10,11506,BTC,218.02651459107,-4.129485096000001,100297.65645696802,0.0,100297.65645696802,1.0,-2.563,8055.96,0.0,7970.893080534112,close_trailing_long
11,20426,BTC,0.0,-1.5703596000000002,100296.08609736802,0.0,100296.08609736802,1.0,0.915,8581.2,0.915,8581.2,entry_initial_normal_long
12,20462,BTC,17.201999999999334,-1.5738,100311.71429736803,0.0,100311.71429736803,1.0,-0.915,8600.0,0.0,8581.2,close_trailing_long
13,26581,BTC,0.0,-1.57089492,100310.14340244803,0.0,100310.14340244803,1.0,0.882,8905.3,0.882,8905.3,entry_initial_normal_long
14,26585,BTC,0.0,-3.2984011619999998,100306.84500128603,0.0,100306.84500128603,1.0,1.897,8693.73,2.779,8760.878161209068,entry_trailing_normal_long
15,26587,BTC,0.0,-10.299373056000002,100296.54562823003,0.0,100296.54562823003,1.0,5.976,8617.28,8.755,8662.860729868647,entry_trailing_normal_long
16,26614,BTC,-93.45358319817412,-11.217039650000002,100191.87500538185,0.0,100191.87500538185,1.0,-6.485,8648.45,2.27,8662.860729868647,close_trailing_long
17,26659,BTC,-25.993156801830082,-3.9277401400000005,100161.95410844003,0.0,100161.95410844003,1.0,-2.27,8651.41,0.0,8662.860729868647,close_trailing_long
18,26660,BTC,0.0,-1.5682745000000002,100160.38583394003,0.0,100160.38583394003,1.0,0.905,8664.5,0.905,8664.5,entry_initial_normal_long
