,balance,equity,balance_btc,equity_btc
0,99998.44676218,100000.0,0.0,0.0
60,99998.44676218,100000.0,0.0,0.0
120,99998.44676218,100000.0,0.0,0.0
180,99998.44676218,100000.0,0.0,0.0
240,99998.44676218,100000.0,0.0,0.0
300,99998.44676218,100000.0,0.0,0.0
360,99998.44676218,100000.0,0.0,0.0
420,99998.44676218,100000.0,0.0,0.0
480,99998.44676218,100000.0,0.0,0.0
540,99998.44676218,100000.0,0.0,0.0
600,99998.44676218,100000.0,0.0,0.0
660,99998.44676218,100000.0,0.0,0.0
720,99998.44676218,100000.0,0.0,0.0
780,99998.44676218,100000.0,0.0,0.0
840,99998.44676218,100000.0,0.0,0.0
900,99998.44676218,100000.0,0.0,0.0
960,99998.44676218,100000.0,0.0,0.0
1020,99998.44676218,100000.0,0.0,0.0
1080,99998.44676218,100000.0,0.0,0.0
1140,99998.44676218,100000.0,0.0,0.0
1200,99998.44676218,100000.0,0.0,0.0
1260,99998.44676218,100000.0,0.0,0.0
1320,99998.44676218,100000.0,0.0,0.0
1380,99998.44676218,100000.0,0.0,0.0
1440,99998.44676218,100000.0,0.0,0.0
1500,99998.44676218,100000.0,0.0,0.0
1560,99998.44676218,100000.0,0.0,0.0
1620,99998.44676218,100000.0,0.0,0.0
1680,99998.44676218,100000.0,0.0,0.0
1740,99998.44676218,100000.0,0.0,0.0
1800,99998.44676218,100000.0,0.0,0.0
1860,99998.44676218,100000.0,0.0,0.0
1920,99998.44676218,100000.0,0.0,0.0
1980,99998.44676218,100000.0,0.0,0.0
2040,99998.44676218,100000.0,0.0,0.0
2100,99998.44676218,100000.0,0.0,0.0
2160,99998.44676218,100000.0,0.0,0.0
2220,99998.44676218,100000.0,0.0,0.0
2280,99998.44676218,100000.0,0.0,0.0
2340,99998.44676218,100000.0,0.0,0.0
2400,99998.44676218,100000.0,0.0,0.0
2460,99998.44676218,100000.0,0.0,0.0
2520,99998.44676218,100000.0,0.0,0.0
2580,99998.44676218,100038.72916218,0.0,40.282399999999576
2640,99998.44676218,100063.90566218,0.0,65.45889999999957
2700,99998.44676218,100079.12866218,0.0,80.68189999999957
2760,99998.44676218,100048.09716218,0.0,49.65039999999958
2820,100020.19176377999,100051.02466218,0.0,52.57789999999957
2880,100020.19176377999,100020.19176377999,0.0,0.0
2940,100020.19176377999,100020.19176377999,0.0,0.0
3000,100020.19176377999,100020.19176377999,0.0,0.0
3060,100020.19176377999,100020.19176377999,0.0,0.0
3120,100020.19176377999,100020.19176377999,0.0,0.0
3180,100020.19176377999,100020.19176377999,0.0,0.0
3240,100020.19176377999,100020.19176377999,0.0,0.0
3300,100020.19176377999,100020.19176377999,0.0,0.0
3360,100020.19176377999,100020.19176377999,0.0,0.0
3420,100020.19176377999,100020.19176377999,0.0,0.0
3480,100020.19176377999,100020.19176377999,0.0,0.0
3540,100020.19176377999,100020.19176377999,0.0,0.0
3600,100020.19176377999,100020.19176377999,0.0,0.0
3660,99920.21909983997,100020.19176377999,0.0,0.0
3720,99920.21909983997,97765.53939983988,0.0,-2154.6797000000897
3780,99709.13979329017,100955.97939983988,0.0,1035.76029999991
3840,99697.51996689018,99075.62173463988,0.0,-633.5180586502968
3900,99697.51996689018,91236.4834082399,0.0,-8461.036558650267
3960,99697.51996689018,90519.46240823991,0.0,-9178.057558650265
4020,99697.51996689018,92829.86340823991,0.0,-6867.656558650267
4080,99697.51996689018,90121.11740823991,0.0,-9576.402558650267
4140,99439.86069434654,92829.86340823991,0.0,-6867.656558650267
4200,99268.20390505443,97562.06072987993,0.0,-1865.7863912128953
4260,99268.20390505443,99401.74449977995,0.0,133.5405947255251
4320,99268.20390505443,97774.35649977995,0.0,-1493.847405274475
4380,99019.79612471985,97803.41699977995,0.0,-1464.786905274475
4440,98922.39521284895,98376.45787177996,0.0,-643.3382529398993
4500,98631.68546872253,96586.3233184799,0.0,-2322.6718803513177
4560,98541.9662227001,98151.11883457993,0.0,-480.5666341425897
4620,98286.72107184997,97670.72346407993,0.0,-871.2427586201709
4680,98248.99504584997,97629.03873217992,0.0,-657.6823396700438
4740,98138.69999998745,88979.40270617997,0.0,-9269.592339669993
4800,97799.61732938534,96895.87055679999,0.0,-1242.829443187469
4860,97676.56329874233,95468.81144978003,0.0,-2330.8058796053137
4920,97416.03410502373,101292.28572118001,0.0,3615.7224224376896
4980,97416.03410502373,97185.31315308002,0.0,-230.7209519437156
5040,97416.03410502373,96339.34565308002,0.0,-1076.6884519437156
5100,97416.03410502373,96629.39165308002,0.0,-786.6424519437156
5160,97184.02761770201,97402.84765308001,0.0,-13.186451943715593
5220,97184.02761770201,96099.08397188001,0.0,-1084.9436458219989
5280,97184.02761770201,96782.72147188001,0.0,-401.3061458219989
5340,97184.02761770201,95903.75897188002,0.0,-1280.268645821999
5400,97184.02761770201,96372.53897188001,0.0,-811.4886458219988
5460,97135.41861050202,95610.77147188001,0.0,-1573.2561458219989
5520,96969.64431256293,94309.79446468009,0.0,-2825.624145821934
5580,96946.40876010896,93437.59684280006,0.0,-3532.047469762865
5640,96946.40876010896,91030.52133710003,0.0,-5915.887423008931
5700,96886.03381508331,91265.71533710003,0.0,-5680.693423008932
5760,96468.4540526978,89907.59212208002,0.0,-6978.4416930032885
5820,96091.11768044774,93960.79334463998,0.0,-2492.079647982285
5880,95321.94695521603,90698.93216823999,0.0,-5392.185512207753
5940,94924.4410807327,91696.56980571995,0.0,-3601.2973269830977
6000,94924.4410807327,93028.16829185994,0.0,-1896.2727888727559
6060,94924.4410807327,92407.15229185994,0.0,-2517.288788872756
6120,94874.94051270321,90967.52429185994,0.0,-3956.916788872756
6180,94239.3586583537,90357.65306665994,0.0,-4492.978407773786
6240,94003.06020158181,90307.12568425994,0.0,-3932.232974093753
6300,94003.06020158181,80602.52956327997,0.0,-13400.530638301845
6360,94003.06020158181,76764.72956327997,0.0,-17238.330638301846
6420,94003.06020158181,78184.71556327997,0.0,-15818.344638301845
6480,94003.06020158181,78990.65356327996,0.0,-15012.406638301845
6540,94003.06020158181,77225.26556327997,0.0,-16777.794638301846
6600,93146.33065171851,76534.46156327997,0.0,-17468.598638301846
6660,90569.4808562912,78974.88622595997,0.0,-14171.444425758542
6720,89782.963892831,83214.42513225996,0.0,-7303.853640704129
6780,88670.30234744141,81932.24384855994,0.0,-7850.720044271063
6840,88949.39684321647,84425.1330269599,0.0,-4216.467338232578
6900,89714.89325862324,93461.08630295988,0.0,4511.689459743419
6960,92465.56446062832,92920.07411095989,0.0,3205.180852336646
7020,92465.56446062832,95164.6080295599,0.0,2699.0435689315746
7080,92465.56446062832,95302.06802955989,0.0,2836.5035689315746
7140,92465.56446062832,95824.41602955988,0.0,3358.8515689315745
7200,92465.56446062832,95751.1040295599,0.0,3285.5395689315746
7260,94609.41757634492,97528.92002955989,0.0,5063.355568931574
7320,94609.41757634492,96773.85595555989,0.0,2164.4383792149706
7380,96310.9370588634,96783.19495555988,0.0,2173.7773792149706
7440,96310.9370588634,96343.49246145989,0.0,32.555402596479894
7500,96349.63072385988,96354.92346145988,0.0,43.9864025964799
7560,96349.63072385988,96349.63072385988,0.0,0.0
7620,96349.63072385988,96349.63072385988,0.0,0.0
7680,96349.63072385988,96349.63072385988,0.0,0.0
7740,96349.63072385988,96349.63072385988,0.0,0.0
7800,96349.63072385988,96349.63072385988,0.0,0.0
7860,96349.63072385988,96349.63072385988,0.0,0.0
7920,96349.63072385988,96349.63072385988,0.0,0.0
7980,96349.63072385988,96349.63072385988,0.0,0.0
8040,96349.63072385988,96349.63072385988,0.0,0.0
8100,96349.63072385988,96349.63072385988,0.0,0.0
8160,96349.63072385988,96349.63072385988,0.0,0.0
8220,96349.63072385988,96349.63072385988,0.0,0.0
8280,96349.63072385988,96349.63072385988,0.0,0.0
8340,96349.63072385988,96349.63072385988,0.0,0.0
8400,96349.63072385988,96349.63072385988,0.0,0.0
8460,96349.63072385988,96349.63072385988,0.0,0.0
8520,96349.63072385988,96349.63072385988,0.0,0.0
8580,96349.63072385988,96349.63072385988,0.0,0.0
8640,96349.63072385988,96349.63072385988,0.0,0.0
8700,96349.63072385988,96349.63072385988,0.0,0.0
8760,96349.63072385988,96349.63072385988,0.0,0.0
8820,96349.63072385988,96349.63072385988,0.0,0.0
8880,96349.63072385988,96349.63072385988,0.0,0.0
8940,96349.63072385988,96349.63072385988,0.0,0.0
9000,96349.63072385988,96349.63072385988,0.0,0.0
9060,96349.63072385988,96349.63072385988,0.0,0.0
9120,96349.63072385988,96349.63072385988,0.0,0.0
9180,96349.63072385988,96349.63072385988,0.0,0.0
9240,96349.63072385988,96349.63072385988,0.0,0.0
9300,96349.63072385988,96349.63072385988,0.0,0.0
9360,96349.63072385988,96349.63072385988,0.0,0.0
9420,96348.13384419988,96349.63072385988,0.0,0.0
9480,96348.13384419988,96331.84454419988,0.0,-16.289299999999784
9540,96348.13384419988,96349.67954419988,0.0,1.5457000000002163
9600,96348.13384419988,96356.81354419987,0.0,8.679700000000217
9660,96348.13384419988,96394.86154419988,0.0,46.72770000000022
9720,96364.23064509989,96404.37354419989,0.0,56.23970000000022
9780,96364.23064509989,96364.23064509989,0.0,0.0
9840,96364.23064509989,96364.23064509989,0.0,0.0
9900,96364.23064509989,96364.23064509989,0.0,0.0
9960,96364.23064509989,96364.23064509989,0.0,0.0
10020,96364.23064509989,96364.23064509989,0.0,0.0
10080,96364.23064509989,96364.23064509989,0.0,0.0
10140,96364.23064509989,96364.23064509989,0.0,0.0
10200,96364.23064509989,96364.23064509989,0.0,0.0
10260,96364.23064509989,96364.23064509989,0.0,0.0
10320,96364.23064509989,96364.23064509989,0.0,0.0
10380,96364.23064509989,96364.23064509989,0.0,0.0
10440,96364.23064509989,96364.23064509989,0.0,0.0
10500,96364.23064509989,96364.23064509989,0.0,0.0
10560,96364.23064509989,96364.23064509989,0.0,0.0
10620,96364.23064509989,96364.23064509989,0.0,0.0
10680,96364.23064509989,96364.23064509989,0.0,0.0
10740,96364.23064509989,96364.23064509989,0.0,0.0
10800,96364.23064509989,96364.23064509989,0.0,0.0
10860,96364.23064509989,96364.23064509989,0.0,0.0
10920,96364.23064509989,96364.23064509989,0.0,0.0
10980,96364.23064509989,96364.23064509989,0.0,0.0
11040,96364.23064509989,96364.23064509989,0.0,0.0
11100,96364.23064509989,96364.23064509989,0.0,0.0
11160,96364.23064509989,96364.23064509989,0.0,0.0
11220,96364.23064509989,96364.23064509989,0.0,0.0
11280,96364.23064509989,96364.23064509989,0.0,0.0
11340,96364.23064509989,96364.23064509989,0.0,0.0
11400,96364.23064509989,96364.23064509989,0.0,0.0
11460,96364.23064509989,96364.23064509989,0.0,0.0
11520,96364.23064509989,96364.23064509989,0.0,0.0
11580,96364.23064509989,96364.23064509989,0.0,0.0
11640,96364.23064509989,96364.23064509989,0.0,0.0
11700,96364.23064509989,96364.23064509989,0.0,0.0
11760,96364.23064509989,96364.23064509989,0.0,0.0
11820,96364.23064509989,96364.23064509989,0.0,0.0
11880,96364.23064509989,96364.23064509989,0.0,0.0
11940,96364.23064509989,96364.23064509989,0.0,0.0
12000,96364.23064509989,96364.23064509989,0.0,0.0
12060,96362.73324989989,96364.23064509989,0.0,0.0
12120,96362.73324989989,96395.99724989988,0.0,33.2639999999998
12180,96362.73324989989,96514.71724989988,0.0,151.9839999999998
12240,96485.19505789988,96541.03724989989,0.0,178.3039999999998
12300,96485.19505789988,96485.19505789988,0.0,0.0
12360,96485.19505789988,96485.19505789988,0.0,0.0
12420,96485.19505789988,96485.19505789988,0.0,0.0
12480,96485.19505789988,96485.19505789988,0.0,0.0
12540,96485.19505789988,96485.19505789988,0.0,0.0
12600,96485.19505789988,96485.19505789988,0.0,0.0
12660,96485.19505789988,96485.19505789988,0.0,0.0
12720,96485.19505789988,96485.19505789988,0.0,0.0
12780,96485.19505789988,96485.19505789988,0.0,0.0
12840,96485.19505789988,96485.19505789988,0.0,0.0
