,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2547,BTC,0.0,-0.68842236,99999.31157764,0.0,99999.31157764,1.0,0.519,6632.2,0.519,6632.2,entry_initial_normal_long
1,2830,BTC,10.276200000000095,-0.6904776,100008.89730004,0.0,100008.89730004,1.0,-0.519,6652.0,0.0,6632.2,close_trailing_long
2,3667,BTC,0.0,-0.6878889600000001,100008.20941108,0.0,100008.20941108,1.0,0.528,6514.1,0.528,6514.1,entry_initial_normal_long
3,3669,BTC,0.0,-1.46188,100006.74753108,0.0,100006.74753108,1.0,1.135,6440.0,1.663,6463.526638604931,entry_trailing_normal_long
4,3672,BTC,0.0,-4.5282888,100002.21924228,0.0,100002.21924228,1.0,3.576,6331.5,5.239,6373.408818476808,entry_trailing_normal_long
5,3687,BTC,0.0,-14.119551000000001,99988.09969128,0.0,99988.09969128,1.0,11.265,6267.0,16.504,6300.7782234609795,entry_trailing_normal_long
6,3717,BTC,0.0,-23.133033,99964.96665828,0.0,99964.96665828,1.0,18.545,6237.0,35.049,6267.0321207452425,entry_trailing_cropped_long
7,3809,BTC,-82.74036301178414,-4.9143528000000005,99877.31194246821,0.0,99877.31194246821,1.0,-3.934,6246.0,31.115,6267.0321207452425,close_trailing_long
8,3890,BTC,0.0,-4.882332,99872.42961046821,0.0,99872.42961046821,1.0,3.945,6188.0,35.06,6258.13931651421,entry_trailing_cropped_long
9,4156,BTC,-14.664581252384684,-0.25114754,99857.51388167583,0.0,99857.51388167583,1.0,-0.203,6185.9,34.857,6258.13931651421,close_unstuck_long
10,4157,BTC,-14.684881252384573,-0.25114348000000003,99842.57785694345,0.0,99842.57785694345,1.0,-0.203,6185.8,34.654,6258.13931651421,close_unstuck_long
11,4158,BTC,-14.542781252384609,-0.2511719,99827.78390379106,0.0,99827.78390379106,1.0,-0.203,6186.5,34.451,6258.13931651421,close_unstuck_long
12,4175,BTC,-15.415681252384646,-0.25099732,99812.11722521868,0.0,99812.11722521868,1.0,-0.203,6182.2,34.248,6258.13931651421,close_unstuck_long
13,4176,BTC,-15.435981252384536,-0.25099326,99796.4302507063,0.0,99796.4302507063,1.0,-0.203,6182.1,34.045,6258.13931651421,close_unstuck_long
14,4178,BTC,-5.153502619356189,-0.2505465,99791.02620158694,0.0,99791.02620158694,1.0,-0.201,6232.5,33.844,6258.13931651421,close_unstuck_long
15,4179,BTC,-5.857002619356189,-0.2504058,99784.91879316758,0.0,99784.91879316758,1.0,-0.201,6229.0,33.643,6258.13931651421,close_unstuck_long
16,4182,BTC,-5.75650261935619,-0.25042590000000003,99778.91186464822,0.0,99778.91186464822,1.0,-0.201,6229.5,33.442,6258.13931651421,close_unstuck_long
17,4185,BTC,-6.560502619356189,-0.2502651,99772.10109692886,0.0,99772.10109692886,1.0,-0.201,6225.5,33.241,6258.13931651421,close_unstuck_long
18,4186,BTC,-5.75650261935619,-0.25042590000000003,99766.0941684095,0.0,99766.0941684095,1.0,-0.201,6229.5,33.04,6258.13931651421,close_unstuck_long
19,4187,BTC,-5.3545026193561895,-0.2505063,99760.48915949014,0.0,99760.48915949014,1.0,-0.201,6231.5,32.839,6258.13931651421,close_unstuck_long
20,4188,BTC,-5.75650261935619,-0.25042590000000003,99754.48223097078,0.0,99754.48223097078,1.0,-0.201,6229.5,32.638,6258.13931651421,close_unstuck_long
21,4189,BTC,-3.8470026193561893,-0.2508078,99750.38442055143,0.0,99750.38442055143,1.0,-0.201,6239.0,32.437,6258.13931651421,close_unstuck_long
22,4191,BTC,-5.555502619356189,-0.2504661,99744.57845183207,0.0,99744.57845183207,1.0,-0.201,6230.5,32.236,6258.13931651421,close_unstuck_long
23,4192,BTC,-7.300141935870399,-0.2513688,99737.0269410962,0.0,99737.0269410962,1.0,-0.202,6222.0,32.034,6258.13931651421,close_unstuck_long
24,4196,BTC,-6.359502619356189,-0.25030530000000006,99730.41713317684,0.0,99730.41713317684,1.0,-0.201,6226.5,31.833,6258.13931651421,close_unstuck_long
25,4198,BTC,-6.76150261935619,-0.25022490000000003,99723.40540565748,0.0,99723.40540565748,1.0,-0.201,6224.5,31.632,6258.13931651421,close_unstuck_long
26,4199,BTC,-7.16350261935619,-0.25014450000000005,99715.99175853812,0.0,99715.99175853812,1.0,-0.201,6222.5,31.431,6258.13931651421,close_unstuck_long
27,4200,BTC,-5.656002619356189,-0.250446,99710.08530991877,0.0,99710.08530991877,1.0,-0.201,6230.0,31.23,6258.13931651421,close_unstuck_long
28,4201,BTC,-5.254002619356189,-0.25052640000000004,99704.58078089941,0.0,99704.58078089941,1.0,-0.201,6232.0,31.029,6258.13931651421,close_unstuck_long
29,4204,BTC,-4.349502619356189,-0.2507073,99699.98057098006,0.0,99699.98057098006,1.0,-0.201,6236.5,30.828,6258.13931651421,close_unstuck_long
30,4205,BTC,-2.942502619356189,-0.2509887,99696.7870796607,0.0,99696.7870796607,1.0,-0.201,6243.5,30.627,6258.13931651421,close_unstuck_long
31,4206,BTC,-2.942502619356189,-0.2509887,99693.59358834135,0.0,99693.59358834135,1.0,-0.201,6243.5,30.426,6258.13931651421,close_unstuck_long
32,4207,BTC,-2.842002619356189,-0.25100880000000003,99690.50057692199,0.0,99690.50057692199,1.0,-0.201,6244.0,30.225,6258.13931651421,close_unstuck_long
33,4208,BTC,-3.244002619356189,-0.2509284,99687.00564590262,0.0,99687.00564590262,1.0,-0.201,6242.0,30.024,6258.13931651421,close_unstuck_long
