,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,3667,BTC,0.0,-5.470091360000001,99994.52990864,0.0,99994.52990864,1.0,4.216,6487.3,4.216,6487.3,entry_initial_normal_long
1,3668,BTC,0.0,-5.645112,99988.88479664,0.0,99988.88479664,1.0,4.4,6414.9,8.616,6450.3269266480975,entry_grid_normal_long
2,3668,BTC,0.0,-11.466958080000001,99977.41783856001,0.0,99977.41783856001,1.0,8.992,6376.2,17.608,6412.4720127214905,entry_grid_normal_long
3,3668,BTC,0.0,-15.889710640000002,99961.52812792001,0.0,99961.52812792001,1.0,12.542,6334.6,30.15,6380.078288557215,entry_grid_cropped_long
4,3733,BTC,-57.00680453731421,-0.9992030400000002,99903.5221203427,0.0,99903.5221203427,1.0,-0.792,6308.1,29.358,6380.078288557215,close_unstuck_long
5,3734,BTC,-57.88402624875757,-0.99775158,99844.64034251394,0.0,99844.64034251394,1.0,-0.791,6306.9,28.567,6380.078288557215,close_unstuck_long
6,3735,BTC,-58.83322624875743,-0.9975617400000002,99784.80955452519,0.0,99784.80955452519,1.0,-0.791,6305.7,27.776,6380.078288557215,close_unstuck_long
7,3735,BTC,0.0,-1.9623010000000003,99782.84725352518,0.0,99782.84725352518,1.0,1.558,6297.5,29.334,6375.692355047562,entry_grid_cropped_long
8,3736,BTC,0.0,-0.9854524800000002,99781.86180104518,0.0,99781.86180104518,1.0,0.783,6292.8,30.117,6373.537269414788,entry_grid_cropped_long
9,3743,BTC,-61.64711737651238,-0.9972388800000002,99719.21744478866,0.0,99719.21744478866,1.0,-0.792,6295.7,29.325,6373.537269414788,close_unstuck_long
10,3744,BTC,0.0,-0.9851079600000001,99718.23233682866,0.0,99718.23233682866,1.0,0.783,6290.6,30.108,6371.380371515499,entry_grid_cropped_long
11,3747,BTC,-63.898854240275405,-0.9964468800000001,99653.33703570839,0.0,99653.33703570839,1.0,-0.792,6290.7,29.316,6371.380371515499,close_unstuck_long
12,3748,BTC,-64.84925424027526,-0.9962568000000002,99587.49152466812,0.0,99587.49152466812,1.0,-0.792,6289.5,28.524,6371.380371515499,close_unstuck_long
13,3748,BTC,0.0,-0.9835214,99586.50800326811,0.0,99586.50800326811,1.0,0.782,6288.5,29.306,6369.168795369826,entry_grid_cropped_long
14,3750,BTC,-64.20451713753205,-0.9947616,99521.30872453058,0.0,99521.30872453058,1.0,-0.791,6288.0,28.515,6369.168795369826,close_unstuck_long
15,3750,BTC,0.0,-0.9844345800000002,99520.32428995059,0.0,99520.32428995059,1.0,0.783,6286.3,29.298,6366.954095841716,entry_grid_cropped_long
16,3751,BTC,0.0,-0.9815764200000002,99519.34271353058,0.0,99519.34271353058,1.0,0.781,6284.1,30.079,6364.802792645054,entry_grid_cropped_long
17,3767,BTC,-78.60821736017279,-0.9950090400000001,99439.73948713041,0.0,99439.73948713041,1.0,-0.794,6265.8,29.285,6364.802792645054,close_unstuck_long
18,3768,BTC,-77.55761456752788,-0.9939462000000002,99361.18792636288,0.0,99361.18792636288,1.0,-0.793,6267.0,28.492,6364.802792645054,close_unstuck_long
19,3769,BTC,0.0,-1.9588920000000003,99359.22903436288,0.0,99359.22903436288,1.0,1.56,6278.5,30.052,6360.322812726038,entry_grid_cropped_long
20,3771,BTC,-71.13966767902221,-0.9932472,99287.09611948386,0.0,99287.09611948386,1.0,-0.792,6270.5,29.26,6360.322812726038,close_unstuck_long
21,3772,BTC,-69.46784486629618,-0.9923095000000002,99216.63596511756,0.0,99216.63596511756,1.0,-0.791,6272.5,28.469,6360.322812726038,close_unstuck_long
22,3772,BTC,0.0,-0.9785100000000001,99215.65745511756,0.0,99215.65745511756,1.0,0.78,6272.5,29.249,6357.980790984225,entry_grid_cropped_long
23,3773,BTC,-68.71482487753757,-0.9908180000000001,99145.95181224002,0.0,99145.95181224002,1.0,-0.79,6271.0,28.459,6357.980790984225,close_unstuck_long
24,3774,BTC,0.0,-1.957332,99143.99448024001,0.0,99143.99448024001,1.0,1.56,6273.5,30.019,6353.590570326129,entry_grid_cropped_long
25,3775,BTC,-69.67964112796783,-0.9912021000000001,99073.32363701204,0.0,99073.32363701204,1.0,-0.791,6265.5,29.228,6353.590570326129,close_unstuck_long
26,3776,BTC,-65.55845998731557,-0.9894849000000001,99006.77569212473,0.0,99006.77569212473,1.0,-0.789,6270.5,28.439,6353.590570326129,close_unstuck_long
27,3777,BTC,-63.58595998731557,-0.9898794000000001,98942.19985273742,0.0,98942.19985273742,1.0,-0.789,6273.0,27.65,6353.590570326129,close_unstuck_long
28,3777,BTC,0.0,-1.9541370800000002,98940.24571565742,0.0,98940.24571565742,1.0,1.558,6271.3,29.208,6349.201063733137,entry_grid_cropped_long
29,3778,BTC,-61.622438221711825,-0.9883096,98877.63496783571,0.0,98877.63496783571,1.0,-0.788,6271.0,28.42,6349.201063733137,close_unstuck_long
30,3780,BTC,-57.60923715797869,-0.9878424000000001,98819.03788827773,0.0,98819.03788827773,1.0,-0.787,6276.0,27.633,6349.201063733137,close_unstuck_long
31,3782,BTC,-59.970237157978694,-0.9873702000000002,98758.08028091975,0.0,98758.08028091975,1.0,-0.787,6273.0,26.846,6349.201063733137,close_unstuck_long
32,3782,BTC,0.0,-2.9305894800000005,98755.14969143974,0.0,98755.14969143974,1.0,2.338,6267.3,29.184,6342.639773745195,entry_grid_cropped_long
33,3783,BTC,-57.16750193746868,-0.986898,98696.99529150227,0.0,98696.99529150227,1.0,-0.787,6270.0,28.397,6342.639773745195,close_unstuck_long
34,3784,BTC,-54.73686216372349,-0.9861156000000001,98641.27231373855,0.0,98641.27231373855,1.0,-0.786,6273.0,27.611,6342.639773745195,close_unstuck_long
35,3785,BTC,-49.56472238997829,-0.9858815000000001,98590.72170984857,0.0,98590.72170984857,1.0,-0.785,6279.5,26.826,6342.639773745195,close_unstuck_long
36,3786,BTC,-47.933582616233096,-0.9849392,98541.80318803234,0.0,98541.80318803234,1.0,-0.784,6281.5,26.042,6342.639773745195,close_unstuck_long
37,3789,BTC,-46.757582616233094,-0.9851744000000001,98494.0604310161,0.0,98494.0604310161,1.0,-0.784,6283.0,25.258,6342.639773745195,close_unstuck_long
38,3793,BTC,-57.41472238997829,-0.9843115,98435.66139712612,0.0,98435.66139712612,1.0,-0.785,6269.5,24.473,6342.639773745195,close_unstuck_long
39,3797,BTC,-57.3415826162331,-0.9830576000000001,98377.33675690989,0.0,98377.33675690989,1.0,-0.784,6269.5,23.689,6342.639773745195,close_unstuck_long
40,3799,BTC,0.0,-7.7995665800000005,98369.5371903299,0.0,98369.5371903299,1.0,6.227,6262.7,29.916,6326.000350991106,entry_grid_cropped_long
41,3800,BTC,-50.632775528018,-0.9830555000000001,98317.92135930188,0.0,98317.92135930188,1.0,-0.785,6261.5,29.131,6326.000350991106,close_unstuck_long
42,3802,BTC,-46.648275177026896,-0.9825872000000002,98270.29049692485,0.0,98270.29049692485,1.0,-0.784,6266.5,28.347,6326.000350991106,close_unstuck_long
43,3803,BTC,-44.63127482603579,-0.9817254000000001,98224.67749669882,0.0,98224.67749669882,1.0,-0.783,6269.0,27.564,6326.000350991106,close_unstuck_long
44,3804,BTC,-42.228274475044685,-0.9809408,98181.46828142377,0.0,98181.46828142377,1.0,-0.782,6272.0,26.782,6326.000350991106,close_unstuck_long
