,balance,equity,balance_btc,equity_btc
0,99998.577345,100000.0,0.0,0.0
60,99998.577345,100000.0,0.0,0.0
120,99998.577345,100000.0,0.0,0.0
180,99998.577345,100000.0,0.0,0.0
240,99998.577345,100000.0,0.0,0.0
300,99998.577345,100000.0,0.0,0.0
360,99998.577345,100000.0,0.0,0.0
420,99998.577345,100000.0,0.0,0.0
480,99998.577345,100000.0,0.0,0.0
540,99998.577345,100000.0,0.0,0.0
600,99998.577345,100000.0,0.0,0.0
660,99998.577345,100000.0,0.0,0.0
720,99998.577345,100000.0,0.0,0.0
780,99998.577345,100000.0,0.0,0.0
840,99998.577345,100000.0,0.0,0.0
900,99998.577345,100000.0,0.0,0.0
960,99998.577345,100000.0,0.0,0.0
1020,99998.577345,100000.0,0.0,0.0
1080,99998.577345,100000.0,0.0,0.0
1140,99998.577345,100000.0,0.0,0.0
1200,99998.577345,100000.0,0.0,0.0
1260,99998.577345,100000.0,0.0,0.0
1320,99998.577345,100000.0,0.0,0.0
1380,99998.577345,100000.0,0.0,0.0
1440,99998.577345,100000.0,0.0,0.0
1500,99998.577345,100000.0,0.0,0.0
1560,99998.577345,100000.0,0.0,0.0
1620,99998.577345,100000.0,0.0,0.0
1680,99998.577345,100000.0,0.0,0.0
1740,99998.577345,100000.0,0.0,0.0
1800,99998.577345,100000.0,0.0,0.0
1860,99998.577345,100000.0,0.0,0.0
1920,99998.577345,100000.0,0.0,0.0
1980,99998.577345,100000.0,0.0,0.0
2040,99998.577345,100000.0,0.0,0.0
2100,99998.577345,100000.0,0.0,0.0
2160,99998.577345,100000.0,0.0,0.0
2220,99998.577345,100000.0,0.0,0.0
2280,99998.577345,100000.0,0.0,0.0
2340,99998.577345,100000.0,0.0,0.0
2400,99998.577345,100000.0,0.0,0.0
2460,99998.577345,100000.0,0.0,0.0
2520,99998.577345,99962.407805,0.0,-36.16953999999974
2580,99998.577345,99982.777985,0.0,-15.799360000000444
2640,99998.577345,99989.62912499999,0.0,-8.948219999999964
2700,99998.577345,99959.221465,0.0,-39.35587999999985
2760,99998.577345,99981.515665,0.0,-17.061680000000223
2820,99998.577345,99979.754525,0.0,-18.82281999999978
2880,99998.577345,99971.081165,0.0,-27.496180000000223
2940,99998.577345,99946.72042499999,0.0,-51.85691999999959
3000,99998.577345,99887.666245,0.0,-110.91109999999982
3060,99998.577345,99956.564485,0.0,-42.012860000000444
3120,100009.77536536,99957.277085,0.0,-41.3002599999997
3180,100009.77536536,100009.77536536,0.0,0.0
3240,100009.77536536,100009.77536536,0.0,0.0
3300,100009.77536536,100009.77536536,0.0,0.0
3360,100009.77536536,100009.77536536,0.0,0.0
3420,100009.77536536,100009.77536536,0.0,0.0
3480,100009.77536536,100009.77536536,0.0,0.0
3540,100009.77536536,100009.77536536,0.0,0.0
3600,100009.77536536,100009.77536536,0.0,0.0
3660,100009.77536536,100009.77536536,0.0,0.0
3720,100009.77536536,100009.77536536,0.0,0.0
3780,100009.77536536,100009.77536536,0.0,0.0
3840,100009.77536536,100009.77536536,0.0,0.0
3900,100009.77536536,100009.77536536,0.0,0.0
3960,100009.77536536,100009.77536536,0.0,0.0
4020,100009.77536536,100009.77536536,0.0,0.0
4080,100009.77536536,100009.77536536,0.0,0.0
4140,100009.77536536,100009.77536536,0.0,0.0
4200,100009.77536536,100009.77536536,0.0,0.0
4260,100009.77536536,100009.77536536,0.0,0.0
4320,100009.77536536,100009.77536536,0.0,0.0
4380,100009.77536536,100009.77536536,0.0,0.0
4440,100009.77536536,100009.77536536,0.0,0.0
4500,100009.77536536,100009.77536536,0.0,0.0
4560,100009.77536536,100009.77536536,0.0,0.0
4620,100009.77536536,100009.77536536,0.0,0.0
4680,100009.77536536,100009.77536536,0.0,0.0
4740,100009.77536536,100009.77536536,0.0,0.0
4800,100009.77536536,100009.77536536,0.0,0.0
4860,100009.77536536,100009.77536536,0.0,0.0
4920,100009.77536536,100009.77536536,0.0,0.0
4980,100009.77536536,100009.77536536,0.0,0.0
5040,100009.77536536,100009.77536536,0.0,0.0
5100,100009.77536536,100009.77536536,0.0,0.0
5160,100009.77536536,100009.77536536,0.0,0.0
5220,100009.77536536,100009.77536536,0.0,0.0
5280,100009.77536536,100009.77536536,0.0,0.0
5340,100009.77536536,100009.77536536,0.0,0.0
5400,100009.77536536,100009.77536536,0.0,0.0
5460,100009.77536536,100009.77536536,0.0,0.0
5520,100009.77536536,100009.77536536,0.0,0.0
5580,100009.77536536,100009.77536536,0.0,0.0
5640,100009.77536536,100009.77536536,0.0,0.0
5700,100009.77536536,100009.77536536,0.0,0.0
5760,100009.77536536,100009.77536536,0.0,0.0
5820,100009.77536536,100009.77536536,0.0,0.0
5880,100009.77536536,100009.77536536,0.0,0.0
5940,100009.77536536,100009.77536536,0.0,0.0
6000,100009.77536536,100009.77536536,0.0,0.0
6060,100009.77536536,100009.77536536,0.0,0.0
6120,100009.77536536,100009.77536536,0.0,0.0
6180,100009.77536536,100009.77536536,0.0,0.0
6240,100009.77536536,100009.77536536,0.0,0.0
6300,100009.77536536,100009.77536536,0.0,0.0
6360,100009.77536536,100009.77536536,0.0,0.0
6420,100009.77536536,100009.77536536,0.0,0.0
6480,100009.77536536,100009.77536536,0.0,0.0
6540,100009.77536536,100009.77536536,0.0,0.0
6600,100009.77536536,100009.77536536,0.0,0.0
6660,100009.77536536,100009.77536536,0.0,0.0
6720,100009.77536536,100009.77536536,0.0,0.0
6780,100009.77536536,100009.77536536,0.0,0.0
6840,100009.77536536,100009.77536536,0.0,0.0
6900,100009.77536536,100009.77536536,0.0,0.0
6960,100009.77536536,100009.77536536,0.0,0.0
7020,100009.77536536,100009.77536536,0.0,0.0
7080,100009.77536536,100009.77536536,0.0,0.0
7140,100009.77536536,100009.77536536,0.0,0.0
7200,100009.77536536,100009.77536536,0.0,0.0
7260,100009.77536536,100009.77536536,0.0,0.0
7320,100009.77536536,100009.77536536,0.0,0.0
7380,100009.77536536,100009.77536536,0.0,0.0
