,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2461,BTC,0.0,-1.4226550000000002,99998.577345,0.0,99998.577345,1.0,1.018,6987.5,1.018,6987.5,entry_initial_normal_long
1,3144,BTC,12.62319999999963,-1.42517964,100009.77536536,0.0,100009.77536536,1.0,-1.018,6999.9,0.0,6987.5,close_trailing_long
2,11078,BTC,0.0,-1.4228154000000002,100008.35254996,0.0,100008.35254996,1.0,0.873,8149.0,0.873,8149.0,entry_initial_normal_long
3,11282,BTC,0.0,-3.30591936,100005.04663059999,0.0,100005.04663059999,1.0,2.077,7958.4,2.95,8014.804677966101,entry_grid_normal_long
4,11343,BTC,16.91920000000246,-4.732118600000001,100017.23371199999,0.0,100017.23371199999,1.0,-2.95,8020.54,0.0,8014.804677966101,close_trailing_long
5,20406,BTC,0.0,-1.4220194999999998,100015.81169249999,0.0,100015.81169249999,1.0,0.825,8618.3,0.825,8618.3,entry_initial_normal_long
6,20424,BTC,16.49175000000132,-1.42531785,100030.87812465,0.0,100030.87812465,1.0,-0.825,8638.29,0.0,8618.3,close_trailing_long
7,20426,BTC,0.0,-1.42244,100029.45568465,0.0,100029.45568465,1.0,0.827,8600.0,0.827,8600.0,entry_initial_normal_long
8,20448,BTC,31.95527999999952,-1.428831056,100059.982133594,0.0,100059.982133594,1.0,-0.827,8638.64,0.0,8600.0,close_trailing_long
9,26581,BTC,0.0,-1.42375968,100058.55837391401,0.0,100058.55837391401,1.0,0.798,8920.8,0.798,8920.8,entry_initial_normal_long
10,26582,BTC,0.0,-3.30711316,100055.25126075401,0.0,100055.25126075401,1.0,1.898,8712.1,2.696,8773.873961424331,entry_grid_normal_long
11,26583,BTC,0.0,-10.979312520000002,100044.27194823402,0.0,100044.27194823402,1.0,6.413,8560.2,9.109,8623.441299813372,entry_grid_normal_long
12,26586,BTC,13.014030000000854,-15.712788166000003,100041.57319006803,0.0,100041.57319006803,1.0,-9.109,8624.87,0.0,8623.441299813372,close_trailing_long
13,26587,BTC,0.0,-1.423574656,100040.14961541203,0.0,100040.14961541203,1.0,0.826,8617.28,0.826,8617.28,entry_initial_normal_long
14,26590,BTC,7.334879999999338,-1.425041632,100046.05945378002,0.0,100046.05945378002,1.0,-0.826,8626.16,0.0,8617.28,close_trailing_long
15,26591,BTC,0.0,-1.4222063159999998,100044.63724746402,0.0,100044.63724746402,1.0,0.822,8650.89,0.822,8650.89,entry_initial_normal_long
16,26600,BTC,27.11777999999982,-1.4276298719999998,100070.32739759202,0.0,100070.32739759202,1.0,-0.822,8683.88,0.0,8650.89,close_trailing_long
17,26601,BTC,0.0,-1.42276232,100068.90463527202,0.0,100068.90463527202,1.0,0.82,8675.38,0.82,8675.38,entry_initial_normal_long
18,26641,BTC,-0.6805999999999403,-1.4226261999999998,100066.80140907202,0.0,100066.80140907202,1.0,-0.82,8674.55,0.0,8675.38,close_trailing_long
19,26642,BTC,0.0,-1.42294776,100065.37846131202,0.0,100065.37846131202,1.0,0.822,8655.4,0.822,8655.4,entry_initial_normal_long
20,27232,BTC,56.21658000000102,-1.434191076,100120.16085023602,0.0,100120.16085023602,1.0,-0.822,8723.79,0.0,8655.4,close_trailing_long
21,27256,BTC,0.0,-1.4232408,100118.73760943602,0.0,100118.73760943602,1.0,0.835,8522.4,0.835,8522.4,entry_initial_normal_long
22,27259,BTC,38.685549999999935,-1.43097791,100155.99218152602,0.0,100155.99218152602,1.0,-0.835,8568.73,0.0,8522.4,close_trailing_long
23,29981,BTC,0.0,-1.4249424,100154.56723912602,0.0,100154.56723912602,1.0,0.84,8481.8,0.84,8481.8,entry_initial_normal_long
