,balance,equity,balance_btc,equity_btc
0,99999.4746579,100000.0,0.0,0.0
60,99999.4746579,100000.0,0.0,0.0
120,99999.4746579,100000.0,0.0,0.0
180,99999.4746579,100000.0,0.0,0.0
240,99999.4746579,100000.0,0.0,0.0
300,99999.4746579,100000.0,0.0,0.0
360,99999.4746579,100000.0,0.0,0.0
420,99999.4746579,100000.0,0.0,0.0
480,99999.4746579,100000.0,0.0,0.0
540,99999.4746579,100000.0,0.0,0.0
600,99999.4746579,100000.0,0.0,0.0
660,99999.4746579,100000.0,0.0,0.0
720,99999.4746579,100000.0,0.0,0.0
780,99999.4746579,100000.0,0.0,0.0
840,99999.4746579,100000.0,0.0,0.0
900,99999.4746579,100000.0,0.0,0.0
960,99999.4746579,100000.0,0.0,0.0
1020,99999.4746579,100000.0,0.0,0.0
1080,99999.4746579,100000.0,0.0,0.0
1140,99999.4746579,100000.0,0.0,0.0
1200,99999.4746579,100000.0,0.0,0.0
1260,99999.4746579,100000.0,0.0,0.0
1320,99999.4746579,100000.0,0.0,0.0
1380,99999.4746579,100000.0,0.0,0.0
1440,99999.4746579,100000.0,0.0,0.0
1500,99999.4746579,100000.0,0.0,0.0
1560,99999.4746579,100000.0,0.0,0.0
1620,99999.4746579,100000.0,0.0,0.0
1680,99999.4746579,100000.0,0.0,0.0
1740,99999.4746579,100000.0,0.0,0.0
1800,99999.4746579,100000.0,0.0,0.0
1860,99999.4746579,100000.0,0.0,0.0
1920,99999.4746579,100000.0,0.0,0.0
1980,99999.4746579,100000.0,0.0,0.0
2040,99999.4746579,100000.0,0.0,0.0
2100,99999.4746579,100000.0,0.0,0.0
2160,99999.4746579,100000.0,0.0,0.0
2220,99999.4746579,100000.0,0.0,0.0
2280,99999.4746579,100000.0,0.0,0.0
2340,99999.4746579,100000.0,0.0,0.0
2400,99999.4746579,100000.0,0.0,0.0
2460,99999.4746579,100000.0,0.0,0.0
2520,99999.4746579,100000.0,0.0,0.0
2580,99999.4746579,100006.0316579,0.0,6.557000000000144
2640,100006.8872279,100014.5241579,0.0,15.049500000000144
2700,100006.8872279,100006.8872279,0.0,0.0
2760,100006.8872279,100006.8872279,0.0,0.0
2820,100006.8872279,100006.8872279,0.0,0.0
2880,100006.8872279,100006.8872279,0.0,0.0
2940,100006.8872279,100006.8872279,0.0,0.0
3000,100006.8872279,100006.8872279,0.0,0.0
3060,100006.8872279,100006.8872279,0.0,0.0
3120,100006.8872279,100006.8872279,0.0,0.0
3180,100006.8872279,100006.8872279,0.0,0.0
3240,100006.8872279,100006.8872279,0.0,0.0
3300,100006.8872279,100006.8872279,0.0,0.0
3360,100006.8872279,100006.8872279,0.0,0.0
3420,100006.8872279,100006.8872279,0.0,0.0
3480,100006.8872279,100006.8872279,0.0,0.0
3540,100006.8872279,100006.8872279,0.0,0.0
3600,100006.8872279,100006.8872279,0.0,0.0
3660,99999.79930162,100006.8872279,0.0,0.0
3720,100052.29069532001,99987.10300162001,0.0,-12.696299999999276
3780,100052.29069532001,100045.60269532002,0.0,-6.688
3840,100051.07694194002,100036.40669532001,0.0,-15.883999999999999
3900,100051.07694194002,99993.43954194002,0.0,-57.63739999999885
3960,100051.07694194002,99980.79454194002,0.0,-70.28239999999884
4020,100051.07694194002,100021.53954194002,0.0,-29.537399999998847
4080,100051.07694194002,99973.76954194001,0.0,-77.30739999999885
4140,100049.86633704002,100021.53954194002,0.0,-29.537399999998847
