,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2546,BTC,0.0,-0.5253421,99999.4746579,0.0,99999.4746579,1.0,0.395,6649.9,0.395,6649.9,entry_initial_normal_long
1,2661,BTC,7.939500000000144,-0.52693,100006.8872279,0.0,100006.8872279,1.0,-0.395,6670.0,0.0,6649.9,close_trailing_long
2,3667,BTC,0.0,-0.52566514,100006.36156276001,0.0,100006.36156276001,1.0,0.403,6521.9,0.403,6521.9,entry_initial_normal_long
3,3668,BTC,0.0,-1.2114408600000002,100005.1501219,0.0,100005.1501219,1.0,0.951,6369.3,1.354,6414.719350073855,entry_grid_normal_long
4,3669,BTC,0.0,-4.00162096,100001.14850094,0.0,100001.14850094,1.0,3.197,6258.4,4.551,6304.907668644254,entry_grid_normal_long
5,3671,BTC,1.7855000000006696,-5.739084060000001,99997.19491688,0.0,99997.19491688,1.0,-4.551,6305.3,0.0,6304.907668644254,close_trailing_long
6,3672,BTC,0.0,-0.5255145,99996.66940238001,0.0,99996.66940238001,1.0,0.415,6331.5,0.415,6331.5,entry_initial_normal_long
7,3680,BTC,5.395,-0.5265934999999999,100001.53780888,0.0,100001.53780888,1.0,-0.415,6344.5,0.0,6331.5,close_trailing_long
8,3681,BTC,0.0,-0.5260697999999999,100001.01173908,0.0,100001.01173908,1.0,0.414,6353.5,0.414,6353.5,entry_initial_normal_long
9,3687,BTC,0.0,-1.21243746,99999.79930162,0.0,99999.79930162,1.0,0.977,6204.9,1.391,6249.127462257368,entry_grid_normal_long
10,3738,BTC,54.76720000000073,-1.7494607,100052.81704092001,0.0,100052.81704092001,1.0,-1.391,6288.5,0.0,6249.127462257368,close_trailing_long
11,3739,BTC,0.0,-0.5263456000000001,100052.29069532001,0.0,100052.29069532001,1.0,0.418,6296.0,0.418,6296.0,entry_initial_normal_long
12,3898,BTC,0.0,-1.21375338,100051.07694194002,0.0,100051.07694194002,1.0,0.987,6148.7,1.405,6192.52306049822,entry_grid_normal_long
13,4176,BTC,0.5296000000006416,-1.7402049,100049.86633704002,0.0,100049.86633704002,1.0,-1.405,6192.9,0.0,6192.52306049822,close_trailing_long
14,4736,BTC,0.0,-0.52600964,100049.34032740002,0.0,100049.34032740002,1.0,0.431,6102.2,0.431,6102.2,entry_initial_normal_long
15,4772,BTC,0.1724000000002352,-0.52604412,100048.98668328002,0.0,100048.98668328002,1.0,-0.431,6102.6,0.0,6102.2,close_trailing_long
16,6295,BTC,0.0,-0.5256328000000001,100048.46105048002,0.0,100048.46105048002,1.0,0.44,5973.1,0.44,5973.1,entry_initial_normal_long
17,6696,BTC,1.9359999999998398,-0.52602,100049.87103048002,0.0,100049.87103048002,1.0,-0.44,5977.5,0.0,5973.1,close_trailing_long
18,9462,BTC,0.0,-0.52606218,100049.34496830002,0.0,100049.34496830002,1.0,0.417,6307.7,0.417,6307.7,entry_initial_normal_long
19,9693,BTC,13.469100000000076,-0.528756,100062.28531230002,0.0,100062.28531230002,1.0,-0.417,6340.0,0.0,6307.7,close_trailing_long
20,12014,BTC,0.0,-0.5265468000000001,100061.75876550002,0.0,100061.75876550002,1.0,0.39,6750.6,0.39,6750.6,entry_initial_normal_long
21,12020,BTC,10.49099999999986,-0.528645,100071.72112050002,0.0,100071.72112050002,1.0,-0.39,6777.5,0.0,6750.6,close_trailing_long
22,12025,BTC,0.0,-0.525993,100071.19512750002,0.0,100071.19512750002,1.0,0.39,6743.5,0.39,6743.5,entry_initial_normal_long
23,12027,BTC,3.5100000000000002,-0.526695,100074.17843250002,0.0,100074.17843250002,1.0,-0.39,6752.5,0.0,6743.5,close_trailing_long
24,12112,BTC,0.0,-0.52562496,100073.65280754001,0.0,100073.65280754001,1.0,0.392,6704.4,0.392,6704.4,entry_initial_normal_long
25,12146,BTC,7.291200000000143,-0.5270832000000001,100080.41692434001,0.0,100080.41692434001,1.0,-0.392,6723.0,0.0,6704.4,close_trailing_long
26,13186,BTC,0.0,-0.52604264,100079.8908817,0.0,100079.8908817,1.0,0.388,6778.9,0.388,6778.9,entry_initial_normal_long
27,13200,BTC,4.112800000000141,-0.5268652,100083.4768165,0.0,100083.4768165,1.0,-0.388,6789.5,0.0,6778.9,close_trailing_long
28,13201,BTC,0.0,-0.52656596,100082.95025054,0.0,100082.95025054,1.0,0.389,6768.2,0.389,6768.2,entry_initial_normal_long
29,13247,BTC,3.812200000000071,-0.5273284,100086.23512214,0.0,100086.23512214,1.0,-0.389,6778.0,0.0,6768.2,close_trailing_long
30,13253,BTC,0.0,-0.52641894,100085.7087032,0.0,100085.7087032,1.0,0.391,6731.7,0.391,6731.7,entry_initial_normal_long
31,13345,BTC,6.7643000000000715,-0.5277718,100091.9452314,0.0,100091.9452314,1.0,-0.391,6749.0,0.0,6731.7,close_trailing_long
32,14467,BTC,0.0,-0.5269379000000001,100091.4182935,0.0,100091.4182935,1.0,0.395,6670.1,0.395,6670.1,entry_initial_normal_long
33,14480,BTC,13.785499999999857,-0.529695,100104.67409849999,0.0,100104.67409849999,1.0,-0.395,6705.0,0.0,6670.1,close_trailing_long
34,19289,BTC,0.0,-0.52600788,100104.14809061999,0.0,100104.14809061999,1.0,0.366,7185.9,0.366,7185.9,entry_initial_normal_long
35,19681,BTC,6.807600000000133,-0.5273694,100110.42832121998,0.0,100110.42832121998,1.0,-0.366,7204.5,0.0,7185.9,close_trailing_long
36,21681,BTC,0.0,-0.52595504,100109.90236617999,0.0,100109.90236617999,1.0,0.367,7165.6,0.367,7165.6,entry_initial_normal_long
37,21702,BTC,15.010299999999866,-0.5289571000000001,100124.38370908,0.0,100124.38370908,1.0,-0.367,7206.5,0.0,7165.6,close_trailing_long
38,22649,BTC,0.0,-0.5258958,100123.85781327999,0.0,100123.85781327999,1.0,0.37,7106.7,0.37,7106.7,entry_initial_normal_long
39,22661,BTC,5.4760000000000675,-0.526991,100128.80682227999,0.0,100128.80682227999,1.0,-0.37,7121.5,0.0,7106.7,close_trailing_long
40,22705,BTC,0.0,-0.52603776,100128.28078451999,0.0,100128.28078451999,1.0,0.372,7070.4,0.372,7070.4,entry_initial_normal_long
41,22828,BTC,0.0,-1.212518,100127.06826651999,0.0,100127.06826651999,1.0,0.878,6905.0,1.25,6954.22304,entry_grid_normal_long
42,23323,BTC,0.0,-4.00438896,100123.06387755998,0.0,100123.06387755998,1.0,2.951,6784.8,4.201,6835.211521066413,entry_grid_normal_long
43,23468,BTC,68.42789999999773,-5.756630299999999,100185.73514725998,0.0,100185.73514725998,1.0,-4.201,6851.5,0.0,6835.211521066413,close_trailing_long
44,26626,BTC,0.0,-0.5270070800000001,100185.20814017998,0.0,100185.20814017998,1.0,0.379,6952.6,0.379,6952.6,entry_initial_normal_long
45,26635,BTC,11.711099999999862,-0.5293493,100196.38989087997,0.0,100196.38989087997,1.0,-0.379,6983.5,0.0,6952.6,close_trailing_long
46,26720,BTC,0.0,-0.52634388,100195.86354699997,0.0,100195.86354699997,1.0,0.381,6907.4,0.381,6907.4,entry_initial_normal_long
47,26753,BTC,0.0,-1.214244,100194.64930299997,0.0,100194.64930299997,1.0,0.9,6745.8,1.281,6793.863700234193,entry_grid_normal_long
48,26755,BTC,0.0,-4.00885632,100190.64044667997,0.0,100190.64044667997,1.0,3.024,6628.4,4.305,6677.635540069687,entry_grid_normal_long
49,26774,BTC,1.9995000000006984,-5.7498441,100186.89010257997,0.0,100186.89010257997,1.0,-4.305,6678.1,0.0,6677.635540069687,close_trailing_long
50,26775,BTC,0.0,-0.5272881,100186.36281447997,0.0,100186.36281447997,1.0,0.393,6708.5,0.393,6708.5,entry_initial_normal_long
51,27420,BTC,5.3055,-0.5283492000000001,100191.13996527997,0.0,100191.13996527997,1.0,-0.393,6722.0,0.0,6708.5,close_trailing_long
52,30328,BTC,0.0,-0.52625058,100190.61371469997,0.0,100190.61371469997,1.0,0.393,6695.3,0.393,6695.3,entry_initial_normal_long
53,30365,BTC,2.436599999999929,-0.5267379,100192.52357679997,0.0,100192.52357679997,1.0,-0.393,6701.5,0.0,6695.3,close_trailing_long
54,31045,BTC,0.0,-0.52642478,100191.99715201998,0.0,100191.99715201998,1.0,0.401,6563.9,0.401,6563.9,entry_initial_normal_long
55,31136,BTC,11.869600000000146,-0.5287987000000001,100203.33795331998,0.0,100203.33795331998,1.0,-0.401,6593.5,0.0,6563.9,close_trailing_long
56,37511,BTC,0.0,-0.52741584,100202.81053747998,0.0,100202.81053747998,1.0,0.378,6976.4,0.378,6976.4,entry_initial_normal_long
57,37567,BTC,3.6288000000001377,-0.5281416,100205.91119587998,0.0,100205.91119587998,1.0,-0.378,6986.0,0.0,6976.4,close_trailing_long
58,37869,BTC,0.0,-0.52748088,100205.38371499997,0.0,100205.38371499997,1.0,0.382,6904.2,0.382,6904.2,entry_initial_normal_long
59,37890,BTC,0.15280000000020846,-0.52751144,100205.00900355997,0.0,100205.00900355997,1.0,-0.382,6904.6,0.0,6904.2,close_trailing_long
60,37897,BTC,0.0,-0.5268241600000001,100204.48217939997,0.0,100204.48217939997,1.0,0.383,6877.6,0.383,6877.6,entry_initial_normal_long
61,37916,BTC,0.15319999999986067,-0.5268548,100204.10852459997,0.0,100204.10852459997,1.0,-0.383,6878.0,0.0,6877.6,close_trailing_long
62,37919,BTC,0.0,-0.5267788800000001,100203.58174571997,0.0,100203.58174571997,1.0,0.384,6859.1,0.384,6859.1,entry_initial_normal_long
63,37939,BTC,6.297599999999861,-0.5280384,100209.35130731997,0.0,100209.35130731997,1.0,-0.384,6875.5,0.0,6859.1,close_trailing_long
64,37962,BTC,0.0,-0.5273146,100208.82399271998,0.0,100208.82399271998,1.0,0.386,6830.5,0.386,6830.5,entry_initial_normal_long
65,38108,BTC,0.15439999999985957,-0.5273454799999999,100208.45104723997,0.0,100208.45104723997,1.0,-0.386,6830.9,0.0,6830.5,close_trailing_long
66,51750,BTC,0.0,-0.5275758,100207.92347143996,0.0,100207.92347143996,1.0,0.293,9003.0,0.293,9003.0,entry_initial_normal_long
67,51794,BTC,0.0,-1.2168681599999998,100206.70660327996,0.0,100206.70660327996,1.0,0.692,8792.4,0.985,8855.045482233501,entry_grid_normal_long
68,51804,BTC,0.0,-4.0172745,100202.68932877996,0.0,100202.68932877996,1.0,2.325,8639.3,3.31,8703.502205438066,entry_grid_normal_long
69,51814,BTC,1.6477000000012596,-5.762048000000001,100198.57498077996,0.0,100198.57498077996,1.0,-3.31,8704.0,0.0,8703.502205438066,close_trailing_long
70,51815,BTC,0.0,-0.527141,100198.04783977996,0.0,100198.04783977996,1.0,0.302,8727.5,0.302,8727.5,entry_initial_normal_long
71,51826,BTC,33.673,-0.5338756,100231.18696417996,0.0,100231.18696417996,1.0,-0.302,8839.0,0.0,8727.5,close_trailing_long
72,51827,BTC,0.0,-0.5270726,100230.65989157996,0.0,100230.65989157996,1.0,0.298,8843.5,0.298,8843.5,entry_initial_normal_long
73,51883,BTC,8.642,-0.5288010000000001,100238.77309057995,0.0,100238.77309057995,1.0,-0.298,8872.5,0.0,8843.5,close_trailing_long
74,51974,BTC,0.0,-0.52742424,100238.24566633995,0.0,100238.24566633995,1.0,0.301,8761.2,0.301,8761.2,entry_initial_normal_long
75,52014,BTC,3.250799999999781,-0.5280743999999999,100240.96839193995,0.0,100240.96839193995,1.0,-0.301,8772.0,0.0,8761.2,close_trailing_long
76,52209,BTC,0.0,-0.5275097000000001,100240.44088223996,0.0,100240.44088223996,1.0,0.305,8647.7,0.305,8647.7,entry_initial_normal_long
77,52225,BTC,4.666499999999778,-0.5284430000000001,100244.57893923996,0.0,100244.57893923996,1.0,-0.305,8663.0,0.0,8647.7,close_trailing_long
78,52246,BTC,0.0,-0.52734816,100244.05159107996,0.0,100244.05159107996,1.0,0.306,8616.8,0.306,8616.8,entry_initial_normal_long
79,52277,BTC,0.0,-1.21515488,100242.83643619996,0.0,100242.83643619996,1.0,0.722,8415.2,1.028,8475.2093385214,entry_grid_normal_long
80,52284,BTC,84.08080000000149,-1.7593192,100325.15791699996,0.0,100325.15791699996,1.0,-1.028,8557.0,0.0,8475.2093385214,close_trailing_long
81,56274,BTC,0.0,-0.52769178,100324.63022521997,0.0,100324.63022521997,1.0,0.297,8883.7,0.297,8883.7,entry_initial_normal_long
82,56307,BTC,11.523599999999783,-0.5299965000000001,100335.62382871997,0.0,100335.62382871997,1.0,-0.297,8922.5,0.0,8883.7,close_trailing_long
83,56319,BTC,0.0,-0.5276268799999999,100335.09620183997,0.0,100335.09620183997,1.0,0.298,8852.8,0.298,8852.8,entry_initial_normal_long
84,56366,BTC,13.171600000000216,-0.5302612,100347.73754063998,0.0,100347.73754063998,1.0,-0.298,8897.0,0.0,8852.8,close_trailing_long
85,56414,BTC,0.0,-0.527196,100347.21034463999,0.0,100347.21034463999,1.0,0.3,8786.6,0.3,8786.6,entry_initial_normal_long
86,56474,BTC,0.8699999999998909,-0.52737,100347.55297463998,0.0,100347.55297463998,1.0,-0.3,8789.5,0.0,8786.6,close_trailing_long
87,57041,BTC,0.0,-0.5273715,100347.02560313999,0.0,100347.02560313999,1.0,0.303,8702.5,0.303,8702.5,entry_initial_normal_long
88,57142,BTC,9.696,-0.5293107,100356.19229243998,0.0,100356.19229243998,1.0,-0.303,8734.5,0.0,8702.5,close_trailing_long
89,57279,BTC,0.0,-0.5280352,100355.66425723999,0.0,100355.66425723999,1.0,0.308,8572.0,0.308,8572.0,entry_initial_normal_long
90,57295,BTC,2.464,-0.528528,100357.59972923998,0.0,100357.59972923998,1.0,-0.308,8580.0,0.0,8572.0,close_trailing_long
91,57301,BTC,0.0,-0.52856304,100357.07116619998,0.0,100357.07116619998,1.0,0.309,8552.8,0.309,8552.8,entry_initial_normal_long
92,57341,BTC,12.421800000000225,-0.5310474000000001,100368.96191879998,0.0,100368.96191879998,1.0,-0.309,8593.0,0.0,8552.8,close_trailing_long
93,59014,BTC,0.0,-0.5280938000000001,100368.43382499997,0.0,100368.43382499997,1.0,0.299,8831.0,0.299,8831.0,entry_initial_normal_long
94,59127,BTC,0.1495,-0.5281237000000001,100368.05520129997,0.0,100368.05520129997,1.0,-0.299,8831.5,0.0,8831.0,close_trailing_long
95,61280,BTC,0.0,-0.5282466,100367.52695469996,0.0,100367.52695469996,1.0,0.29,9107.7,0.29,9107.7,entry_initial_normal_long
96,61290,BTC,0.173999999999578,-0.5282814,100367.17267329997,0.0,100367.17267329997,1.0,-0.29,9108.3,0.0,9107.7,close_trailing_long
97,64639,BTC,0.0,-0.5275875,100366.64508579997,0.0,100366.64508579997,1.0,0.275,9592.5,0.275,9592.5,entry_initial_normal_long
98,64692,BTC,14.9875,-0.5305850000000001,100381.10200079998,0.0,100381.10200079998,1.0,-0.275,9647.0,0.0,9592.5,close_trailing_long
