,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2461,BTC,0.0,-1.3907148,99998.6092852,0.0,99998.6092852,1.0,0.996,6981.5,0.996,6981.5,entry_initial_normal_long
1,2463,BTC,-9.96,-1.3887228,99987.2605624,0.0,99987.2605624,1.0,-0.996,6971.5,0.0,6981.5,close_trailing_long
2,2464,BTC,0.0,-1.3909147000000002,99985.8696477,0.0,99985.8696477,1.0,0.997,6975.5,0.997,6975.5,entry_initial_normal_long
3,3144,BTC,24.326799999999636,-1.3957800599999999,100008.80066764001,0.0,100008.80066764001,1.0,-0.997,6999.9,0.0,6975.5,close_trailing_long
4,11078,BTC,0.0,-1.3909952,100007.40967244002,0.0,100007.40967244002,1.0,0.854,8144.0,0.854,8144.0,entry_initial_normal_long
5,11280,BTC,0.0,-2.1900725,100005.21959994001,0.0,100005.21959994001,1.0,1.375,7963.9,2.229,8032.901973979362,entry_grid_normal_long
6,11496,BTC,110.13049000000281,-3.6030937980000006,100111.74699614201,0.0,100111.74699614201,1.0,-2.229,8082.31,0.0,8032.901973979362,close_trailing_long
7,20406,BTC,0.0,-1.39297584,100110.35402030201,0.0,100110.35402030201,1.0,0.808,8619.9,0.808,8619.9,entry_initial_normal_long
8,20426,BTC,-1.0261600000003528,-1.392770608,100107.93508969402,0.0,100107.93508969402,1.0,-0.808,8618.63,0.0,8619.9,close_trailing_long
9,26581,BTC,0.0,-1.3929759800000001,100106.54211371402,0.0,100106.54211371402,1.0,0.781,8917.9,0.781,8917.9,entry_initial_normal_long
10,26582,BTC,0.0,-2.1941281200000002,100104.34798559402,0.0,100104.34798559402,1.0,1.258,8720.7,2.039,8796.233692986758,entry_grid_normal_long
11,26583,BTC,0.0,-5.626077100000001,100098.72190849403,0.0,100098.72190849403,1.0,3.283,8568.5,5.322,8655.750845546787,entry_grid_normal_long
12,26587,BTC,-52.74178173619229,-7.32260376,100038.65752299783,0.0,100038.65752299783,1.0,-4.236,8643.3,1.086,8655.750845546787,close_trailing_long
13,26600,BTC,30.548261736188586,-1.8861387360000001,100067.31964599802,0.0,100067.31964599802,1.0,-1.086,8683.88,0.0,8655.750845546787,close_trailing_long
14,26601,BTC,0.0,-1.3915309519999999,100065.92811504603,0.0,100065.92811504603,1.0,0.802,8675.38,0.802,8675.38,entry_initial_normal_long
15,26606,BTC,4.691700000000292,-1.392469292,100069.22734575403,0.0,100069.22734575403,1.0,-0.802,8681.23,0.0,8675.38,close_trailing_long
16,26607,BTC,0.0,-1.392802968,100067.83454278603,0.0,100067.83454278603,1.0,0.804,8661.71,0.804,8661.71,entry_initial_normal_long
17,26641,BTC,10.323360000000118,-1.3948676400000002,100076.76303514604,0.0,100076.76303514604,1.0,-0.804,8674.55,0.0,8661.71,close_trailing_long
18,26642,BTC,0.0,-1.39178832,100075.37124682603,0.0,100075.37124682603,1.0,0.804,8655.4,0.804,8655.4,entry_initial_normal_long
19,27232,BTC,54.985560000000994,-1.4027854320000004,100128.95402139403,0.0,100128.95402139403,1.0,-0.804,8723.79,0.0,8655.4,close_trailing_long
20,27256,BTC,0.0,-1.3929491,100127.56107229403,0.0,100127.56107229403,1.0,0.815,8545.7,0.815,8545.7,entry_initial_normal_long
21,27274,BTC,96.47969999999934,-1.41224504,100222.62852725403,0.0,100222.62852725403,1.0,-0.815,8664.08,0.0,8545.7,close_trailing_long
22,29981,BTC,0.0,-1.39491756,100221.23360969403,0.0,100221.23360969403,1.0,0.822,8484.9,0.822,8484.9,entry_initial_normal_long
23,29992,BTC,41.1822000000003,-1.403154,100261.01265569402,0.0,100261.01265569402,1.0,-0.822,8535.0,0.0,8484.9,close_trailing_long
24,57958,BTC,0.0,-1.39407488,100259.61858081403,0.0,100259.61858081403,1.0,0.704,9901.1,0.704,9901.1,entry_initial_normal_long
25,57998,BTC,54.7500800000003,-1.4050248960000002,100312.96363591803,0.0,100312.96363591803,1.0,-0.704,9978.87,0.0,9901.1,close_trailing_long
26,62412,BTC,0.0,-1.3967076800000002,100311.56692823803,0.0,100311.56692823803,1.0,0.683,10224.8,0.683,10224.8,entry_initial_normal_long
27,62430,BTC,-10.040099999999255,-1.3946996600000003,100300.13212857803,0.0,100300.13212857803,1.0,-0.683,10210.1,0.0,10224.8,close_trailing_long
28,62485,BTC,0.0,-1.3946142,100298.73751437802,0.0,100298.73751437802,1.0,0.69,10105.9,0.69,10105.9,entry_initial_normal_long
29,62511,BTC,46.340399999999896,-1.40388228,100343.67403209802,0.0,100343.67403209802,1.0,-0.69,10173.06,0.0,10105.9,close_trailing_long
30,65752,BTC,0.0,-1.3960087600000002,100342.27802333802,0.0,100342.27802333802,1.0,0.694,10057.7,0.694,10057.7,entry_initial_normal_long
31,65754,BTC,0.0,-2.1972060200000003,100340.08081731801,0.0,100340.08081731801,1.0,1.117,9835.3,1.811,9920.526725565986,entry_grid_normal_long
32,65766,BTC,162.7242799999987,-3.6257596359999997,100499.17933768201,0.0,100499.17933768201,1.0,-1.811,10010.38,0.0,9920.526725565986,close_trailing_long
33,65790,BTC,0.0,-1.3975977599999998,100497.78173992201,0.0,100497.78173992201,1.0,0.702,9954.4,0.702,9954.4,entry_initial_normal_long
34,66468,BTC,38.659139999999795,-1.4053295879999999,100535.03555033401,0.0,100535.03555033401,1.0,-0.702,10009.47,0.0,9954.4,close_trailing_long
35,67252,BTC,0.0,-1.3982097,100533.63734063401,0.0,100533.63734063401,1.0,0.723,9669.5,0.723,9669.5,entry_initial_normal_long
36,67351,BTC,99.59325,-1.41812835,100631.81246228401,0.0,100631.81246228401,1.0,-0.723,9807.25,0.0,9669.5,close_trailing_long
37,71856,BTC,0.0,-1.39936896,100630.41309332401,0.0,100630.41309332401,1.0,0.704,9938.7,0.704,9938.7,entry_initial_normal_long
38,71866,BTC,0.0,-2.20424652,100628.208846804,0.0,100628.208846804,1.0,1.134,9718.9,1.838,9803.088900979325,entry_grid_normal_long
39,71867,BTC,0.0,-5.6531856,100622.55566120401,0.0,100622.55566120401,1.0,2.96,9549.3,4.798,9646.520508545225,entry_grid_normal_long
40,71869,BTC,0.0,-8.72286784,100613.83279336401,0.0,100613.83279336401,1.0,4.688,9303.4,9.486,9476.949673202613,entry_grid_cropped_long
