,balance,equity,balance_btc,equity_btc
0,99989.5684856,100000.0,0.0,0.0
60,99989.5684856,100000.0,0.0,0.0
120,99989.5684856,100000.0,0.0,0.0
180,99989.5684856,100000.0,0.0,0.0
240,99989.5684856,100000.0,0.0,0.0
300,99989.5684856,100000.0,0.0,0.0
360,99989.5684856,100000.0,0.0,0.0
420,99989.5684856,100000.0,0.0,0.0
480,99989.5684856,100000.0,0.0,0.0
540,99989.5684856,100000.0,0.0,0.0
600,99989.5684856,100000.0,0.0,0.0
660,99989.5684856,100000.0,0.0,0.0
720,99989.5684856,100000.0,0.0,0.0
780,99989.5684856,100000.0,0.0,0.0
840,99989.5684856,100000.0,0.0,0.0
900,99989.5684856,100000.0,0.0,0.0
960,99989.5684856,100000.0,0.0,0.0
1020,99989.5684856,100000.0,0.0,0.0
1080,99989.5684856,100000.0,0.0,0.0
1140,99989.5684856,100000.0,0.0,0.0
1200,99989.5684856,100000.0,0.0,0.0
1260,99989.5684856,100000.0,0.0,0.0
1320,99989.5684856,100000.0,0.0,0.0
1380,99989.5684856,100000.0,0.0,0.0
1440,99989.5684856,100000.0,0.0,0.0
1500,99989.5684856,100000.0,0.0,0.0
1560,99989.5684856,100000.0,0.0,0.0
1620,99989.5684856,100000.0,0.0,0.0
1680,99989.5684856,100000.0,0.0,0.0
1740,99989.5684856,100000.0,0.0,0.0
1800,99989.5684856,100000.0,0.0,0.0
1860,99989.5684856,100000.0,0.0,0.0
1920,99989.5684856,100000.0,0.0,0.0
1980,99989.5684856,100000.0,0.0,0.0
2040,99989.5684856,100000.0,0.0,0.0
2100,99989.5684856,100000.0,0.0,0.0
2160,99989.5684856,100000.0,0.0,0.0
2220,99989.5684856,100000.0,0.0,0.0
2280,99989.5684856,100000.0,0.0,0.0
2340,99989.5684856,100000.0,0.0,0.0
2400,99989.5684856,100000.0,0.0,0.0
2460,99989.5684856,100000.0,0.0,0.0
2520,99989.5684856,99949.8117356,0.0,-39.75675000000022
2580,99989.5684856,99989.33148559999,0.0,-0.23700000000158072
2640,99989.5684856,100002.6232356,0.0,13.054749999999354
2700,99989.5684856,99943.6299856,0.0,-45.93850000000043
2760,99989.5684856,99986.8824856,0.0,-2.6860000000011497
2820,99989.5684856,99983.4657356,0.0,-6.102750000000288
2880,99989.5684856,99966.6387356,0.0,-22.92975000000115
2940,99989.5684856,99919.3769856,0.0,-70.19149999999993
3000,99989.5684856,99804.8072356,0.0,-184.76125000000036
3060,99989.5684856,99938.4752356,0.0,-51.09325000000158
3120,100041.7085251,99939.8577356,0.0,-49.71075000000015
3180,100041.7085251,100041.7085251,0.0,0.0
3240,100041.7085251,100041.7085251,0.0,0.0
3300,100041.7085251,100041.7085251,0.0,0.0
3360,100041.7085251,100041.7085251,0.0,0.0
3420,100041.7085251,100041.7085251,0.0,0.0
3480,100041.7085251,100041.7085251,0.0,0.0
3540,100041.7085251,100041.7085251,0.0,0.0
3600,100041.7085251,100041.7085251,0.0,0.0
3660,100041.7085251,100041.7085251,0.0,0.0
3720,100041.7085251,100041.7085251,0.0,0.0
3780,100041.7085251,100041.7085251,0.0,0.0
3840,100041.7085251,100041.7085251,0.0,0.0
3900,100041.7085251,100041.7085251,0.0,0.0
3960,100041.7085251,100041.7085251,0.0,0.0
4020,100041.7085251,100041.7085251,0.0,0.0
4080,100041.7085251,100041.7085251,0.0,0.0
4140,100041.7085251,100041.7085251,0.0,0.0
4200,100041.7085251,100041.7085251,0.0,0.0
4260,100041.7085251,100041.7085251,0.0,0.0
4320,100041.7085251,100041.7085251,0.0,0.0
4380,100041.7085251,100041.7085251,0.0,0.0
4440,100041.7085251,100041.7085251,0.0,0.0
4500,100041.7085251,100041.7085251,0.0,0.0
4560,100041.7085251,100041.7085251,0.0,0.0
4620,100041.7085251,100041.7085251,0.0,0.0
4680,100041.7085251,100041.7085251,0.0,0.0
4740,100041.7085251,100041.7085251,0.0,0.0
4800,100041.7085251,100041.7085251,0.0,0.0
4860,100041.7085251,100041.7085251,0.0,0.0
4920,100041.7085251,100041.7085251,0.0,0.0
4980,100041.7085251,100041.7085251,0.0,0.0
5040,100041.7085251,100041.7085251,0.0,0.0
5100,100041.7085251,100041.7085251,0.0,0.0
5160,100041.7085251,100041.7085251,0.0,0.0
5220,100041.7085251,100041.7085251,0.0,0.0
5280,100041.7085251,100041.7085251,0.0,0.0
