,balance,equity,balance_btc,equity_btc
0,99994.49266784,100000.0,0.0,0.0
60,99994.49266784,100000.0,0.0,0.0
120,99994.49266784,100000.0,0.0,0.0
180,99994.49266784,100000.0,0.0,0.0
240,99994.49266784,100000.0,0.0,0.0
300,99994.49266784,100000.0,0.0,0.0
360,99994.49266784,100000.0,0.0,0.0
420,99994.49266784,100000.0,0.0,0.0
480,99994.49266784,100000.0,0.0,0.0
540,99994.49266784,100000.0,0.0,0.0
600,99994.49266784,100000.0,0.0,0.0
660,99994.49266784,100000.0,0.0,0.0
720,99994.49266784,100000.0,0.0,0.0
780,99994.49266784,100000.0,0.0,0.0
840,99994.49266784,100000.0,0.0,0.0
900,99994.49266784,100000.0,0.0,0.0
960,99994.49266784,100000.0,0.0,0.0
1020,99994.49266784,100000.0,0.0,0.0
1080,99994.49266784,100000.0,0.0,0.0
1140,99994.49266784,100000.0,0.0,0.0
1200,99994.49266784,100000.0,0.0,0.0
1260,99994.49266784,100000.0,0.0,0.0
1320,99994.49266784,100000.0,0.0,0.0
1380,99994.49266784,100000.0,0.0,0.0
1440,99994.49266784,100000.0,0.0,0.0
1500,99994.49266784,100000.0,0.0,0.0
1560,99994.49266784,100000.0,0.0,0.0
1620,99994.49266784,100000.0,0.0,0.0
1680,99994.49266784,100000.0,0.0,0.0
1740,99994.49266784,100000.0,0.0,0.0
1800,99994.49266784,100000.0,0.0,0.0
1860,99994.49266784,100000.0,0.0,0.0
1920,99994.49266784,100000.0,0.0,0.0
1980,99994.49266784,100000.0,0.0,0.0
2040,99994.49266784,100000.0,0.0,0.0
2100,99994.49266784,100000.0,0.0,0.0
2160,99994.49266784,100000.0,0.0,0.0
2220,99994.49266784,100000.0,0.0,0.0
2280,99994.49266784,100000.0,0.0,0.0
2340,99994.49266784,100000.0,0.0,0.0
2400,99994.49266784,100000.0,0.0,0.0
2460,99994.49266784,100000.0,0.0,0.0
2520,99994.49266784,100000.0,0.0,0.0
2580,99994.49266784,100030.47586784,0.0,35.98319999999925
2640,100039.43444383999,100119.39986784,0.0,124.90719999999925
2700,100039.43444383999,100039.43444383999,0.0,0.0
2760,100039.43444383999,100039.43444383999,0.0,0.0
2820,100039.43444383999,100039.43444383999,0.0,0.0
2880,100039.43444383999,100039.43444383999,0.0,0.0
2940,100039.43444383999,100039.43444383999,0.0,0.0
3000,100039.43444383999,100039.43444383999,0.0,0.0
3060,100039.43444383999,100039.43444383999,0.0,0.0
3120,100039.43444383999,100039.43444383999,0.0,0.0
3180,100039.43444383999,100039.43444383999,0.0,0.0
3240,100039.43444383999,100039.43444383999,0.0,0.0
3300,100039.43444383999,100039.43444383999,0.0,0.0
3360,100039.43444383999,100039.43444383999,0.0,0.0
3420,100039.43444383999,100039.43444383999,0.0,0.0
3480,100039.43444383999,100039.43444383999,0.0,0.0
3540,100039.43444383999,100039.43444383999,0.0,0.0
3600,100039.43444383999,100039.43444383999,0.0,0.0
3660,99916.57079952002,100039.43444383999,0.0,0.0
3720,100143.85475322003,99599.67069952002,0.0,-316.9000999999936
3780,100143.85475322003,100143.85475322003,0.0,0.0
3840,100138.33895776003,100143.85475322003,0.0,0.0
3900,100138.33895776003,100247.26315776003,0.0,108.92419999999919
3960,100207.97482896002,100206.75415776004,0.0,68.41519999999919
4020,100207.97482896002,100207.97482896002,0.0,0.0
4080,100207.97482896002,100207.97482896002,0.0,0.0
4140,100207.97482896002,100207.97482896002,0.0,0.0
4200,100207.97482896002,100207.97482896002,0.0,0.0
4260,100207.97482896002,100207.97482896002,0.0,0.0
4320,100207.97482896002,100207.97482896002,0.0,0.0
4380,100207.97482896002,100207.97482896002,0.0,0.0
4440,100207.97482896002,100207.97482896002,0.0,0.0
4500,100207.97482896002,100207.97482896002,0.0,0.0
4560,100207.97482896002,100207.97482896002,0.0,0.0
4620,100207.97482896002,100207.97482896002,0.0,0.0
4680,100202.45608972003,100207.97482896002,0.0,0.0
4740,100192.41625488002,100192.95988972002,0.0,-9.496200000001645
4800,100192.41625488002,100192.41625488002,0.0,0.0
4860,100192.41625488002,100192.41625488002,0.0,0.0
4920,100192.41625488002,100192.41625488002,0.0,0.0
4980,100192.41625488002,100192.41625488002,0.0,0.0
5040,100192.41625488002,100192.41625488002,0.0,0.0
5100,100192.41625488002,100192.41625488002,0.0,0.0
5160,100192.41625488002,100192.41625488002,0.0,0.0
5220,100192.41625488002,100192.41625488002,0.0,0.0
5280,100192.41625488002,100192.41625488002,0.0,0.0
5340,100192.41625488002,100192.41625488002,0.0,0.0
5400,100192.41625488002,100192.41625488002,0.0,0.0
5460,100192.41625488002,100192.41625488002,0.0,0.0
5520,100192.41625488002,100192.41625488002,0.0,0.0
5580,100192.41625488002,100192.41625488002,0.0,0.0
5640,100192.41625488002,100192.41625488002,0.0,0.0
5700,100192.41625488002,100192.41625488002,0.0,0.0
5760,100192.41625488002,100192.41625488002,0.0,0.0
5820,100192.41625488002,100192.41625488002,0.0,0.0
5880,100192.41625488002,100192.41625488002,0.0,0.0
5940,100192.41625488002,100192.41625488002,0.0,0.0
